Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Root_amplitude,Amplitude_Root_mean_squared,Amplitude_Root_standard_squared,Amplitude_Peak,Amplitude_Skewness,Amplitude_Kurtosis,Amplitude_Crest_factor,Amplitude_Clearance_factor,Amplitude_Shape_factor,Amplitude_Impulse_factor,Amplitude_Max_Min_difference,Amplitude_Central_moment_3rd_order,Amplitude_Central_moment_4th_order,Amplitude_Central_moment_5th_order,Amplitude_Central_moment_6th_order,Amplitude_FM4,Amplitude_Median,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Root_amplitude,Rise-Time_Root_mean_squared,Rise-Time_Root_standard_squared,Rise-Time_Peak,Rise-Time_Skewness,Rise-Time_Kurtosis,Rise-Time_Crest_factor,Rise-Time_Clearance_factor,Rise-Time_Shape_factor,Rise-Time_Impulse_factor,Rise-Time_Max_Min_difference,Rise-Time_Central_moment_3rd_order,Rise-Time_Central_moment_4th_order,Rise-Time_Central_moment_5th_order,Rise-Time_Central_moment_6th_order,Rise-Time_FM4,Rise-Time_Median,Energy_Mean,Energy_Standard_deviation,Energy_Root_amplitude,Energy_Root_mean_squared,Energy_Root_standard_squared,Energy_Peak,Energy_Skewness,Energy_Kurtosis,Energy_Crest_factor,Energy_Clearance_factor,Energy_Shape_factor,Energy_Impulse_factor,Energy_Max_Min_difference,Energy_Central_moment_3rd_order,Energy_Central_moment_4th_order,Energy_Central_moment_5th_order,Energy_Central_moment_6th_order,Energy_FM4,Energy_Median,Counts_Mean,Counts_Standard_deviation,Counts_Root_amplitude,Counts_Root_mean_squared,Counts_Root_standard_squared,Counts_Peak,Counts_Skewness,Counts_Kurtosis,Counts_Crest_factor,Counts_Clearance_factor,Counts_Shape_factor,Counts_Impulse_factor,Counts_Max_Min_difference,Counts_Central_moment_3rd_order,Counts_Central_moment_4th_order,Counts_Central_moment_5th_order,Counts_Central_moment_6th_order,Counts_FM4,Counts_Median,Duration_Mean,Duration_Standard_deviation,Duration_Root_amplitude,Duration_Root_mean_squared,Duration_Root_standard_squared,Duration_Peak,Duration_Skewness,Duration_Kurtosis,Duration_Crest_factor,Duration_Clearance_factor,Duration_Shape_factor,Duration_Impulse_factor,Duration_Max_Min_difference,Duration_Central_moment_3rd_order,Duration_Central_moment_4th_order,Duration_Central_moment_5th_order,Duration_Central_moment_6th_order,Duration_FM4,Duration_Median,RMS_Mean,RMS_Standard_deviation,RMS_Root_amplitude,RMS_Root_mean_squared,RMS_Root_standard_squared,RMS_Peak,RMS_Skewness,RMS_Kurtosis,RMS_Crest_factor,RMS_Clearance_factor,RMS_Shape_factor,RMS_Impulse_factor,RMS_Max_Min_difference,RMS_Central_moment_3rd_order,RMS_Central_moment_4th_order,RMS_Central_moment_5th_order,RMS_Central_moment_6th_order,RMS_FM4,RMS_Median
500,88.92068965517242,8.149354927310032,88.7248041685419,89.29334261008913,480.8593661352558,100.0,-0.8656975042978682,0.3693077641591218,1.119904318473807,1.127080537817133,1.004190846431374,1.124597665490363,31.3,-468.5283390052913,14860.50658828954,-204079.61680817185,4557189.53961822,3.369307764159122,90.3,60.62758620689656,41.69725779912518,55.88601334648647,73.58237232681059,396.2532018798082,248.1,3.0513494281765605,11.274005155485524,3.371731464406753,4.439393421423895,1.2136780784196943,4.09219656466841,231.5,221214.92683627867,43149506.01963339,7979930627.122962,1497783424555.304,14.274005155485527,55.2,8457806.896551725,17675137.05609313,4052087.923987346,19594513.707949847,105519685.63296612,72600000.0,2.6293774904634244,5.647632749695871,3.705118743035959,17.916689213535122,2.316736944649161,8.583785476303468,72574600.0,1.451915397493928e+22,8.440115656674807e+29,4.938975760879625e+37,2.965310041930109e+45,8.647632749695873,2010000.0,74.06896551724138,26.845575034441808,71.51704408016953,78.78385971583353,424.2640687119285,138.0,0.329421055005758,-0.2563971091957069,1.751627814348699,1.9296099520738592,1.0636554617128362,1.863128491620112,111.0,6373.375210135713,1424990.9161648622,30205689.083479427,3905789953.596747,2.7436028908042926,69.0,568.4724137931034,231.08154837117976,545.1327320613678,613.6444958128275,3304.5767429430352,1111.6,0.6419934338527981,-0.0873922954456416,1.811472289876218,2.0391364059108863,1.0794622235374898,1.9554159059063307,932.6,7921845.952462176,8305065644.668103,2486248743802.333,1737280349688572.2,2.912607704554358,554.7,48.41724137931034,35.67381990862165,43.468444463203134,60.1402584767905,323.86520344118475,137.7,1.5908341619808206,1.342171390217504,2.2896476251950526,3.167815220914235,1.2421248456854388,2.844028203119436,118.5,72222.7058176227,7032430.093469514,594026029.2557142,53115285722.031815,4.342171390217501,36.7
1000,85.50588235294117,8.801100906286084,85.27545386661018,85.95763662477958,354.4124151324273,100.0,-0.1861192066483714,-0.5628079564185402,1.1633637676256483,1.1726703930115965,1.0052833122050446,1.1695101816180518,33.3,-126.88263627111544,14623.042856967704,-73385.17099589882,3835880.9380698176,2.437192043581461,85.9,52.37058823529412,11.948603891170588,51.64593466073507,53.71636293587665,221.47823820863303,70.7,-0.2444799113654044,-0.927790303736952,1.316172505655258,1.3689364025345288,1.025697146927893,1.3499943839155342,39.400000000000006,-417.056286179522,42237.90389637097,-245696.77971107836,14479560.654373884,2.072209696263048,53.7,4304928.235294118,8305794.631307807,2009575.0680253785,9355139.313152645,38572227.530496605,31500000.0,2.400146724546942,4.564349876711061,3.3671331816206407,15.674955616837,2.17312317461048,7.317195148979733,31496120.0,1.375249061584239e+21,3.599949118123125e+28,9.321743952039433e+35,2.471145549667609e+43,7.56434987671106,657000.0,65.41176470588235,27.979107380811666,61.30680010762477,71.1444264279691,293.3359848365011,115.0,-0.303117638840823,-0.6219607284113269,1.6164302078734576,1.8758114890699924,1.087639612657801,1.7580935251798562,110.0,-6639.154488092805,1457318.380886244,-31374860.21766272,3996380210.966481,2.378039271588673,67.0,486.6529411764706,241.384492210218,454.3943607806113,543.2288267712734,2239.7898316583187,1065.0,0.5771839221103318,0.0618714699477855,1.960499788514387,2.343779086893639,1.1162550984651034,2.188417884468941,988.3,8117874.276068381,10394998175.081272,3360974263439.659,2675193093305778.5,3.061871469947785,487.0,23.429411764705883,6.318857371195257,22.99303829305321,24.266546810736116,100.05353566966038,34.9,0.1213038954076113,-1.068162954371476,1.438193916596299,1.5178507318253884,1.0357300923487671,1.4895807180517198,20.7,30.60486057398724,3079.8155006453458,5371.238328496444,277667.1301388345,1.9318370456285248,22.6
1500,90.9,3.5,90.86629663457822,90.96735678252942,128.64726969508527,94.4,0.0,-2.0,1.0377348901724914,1.0388890435320886,1.0007409987076945,1.0385038503850386,7.0,0.0,150.0625,0.0,1838.265625,1.0,90.9,42.55,1.349999999999998,42.53928931330648,42.57141059443532,60.2050662320041,43.9,7.851600113185111e-15,-2.0,1.0312084891483098,1.0319871513760313,1.0005031867082332,1.0317273795534665,2.699999999999996,1.9539925233402755e-14,3.3215062499999792,5.906386491005834e-14,6.053445140624943,1.0,42.55,5615000.0,4145000.0,4701384.896185616,6979201.243695442,9870081.053365266,9760000.0,0.0,-2.0,1.3984408328698863,2.075984037792481,1.2429565883696243,1.7382012466607302,8290000.0,0.0,2.95187620050625e+26,0.0,5.071625879780289e+39,1.0,5615000.0,86.5,22.5,85.01122603564222,89.37840902589394,126.40015822774906,109.0,0.0,-2.0,1.2195339029633148,1.2821836018962969,1.0332764049236294,1.260115606936416,45.0,0.0,256289.0625,0.0,129746337.890625,1.0,86.5,737.7,126.59999999999997,732.2278095866615,748.4843685742542,1058.5167452619726,864.3,-1.3195834560926069e-15,-2.0,1.1547335339098082,1.1803703556245595,1.014618908193377,1.1716144774298494,253.19999999999996,-2.6775524020195007e-09,256882679.5535997,-7.43865966796875e-05,4117202559506.091,1.0,737.7,24.4,0.7000000000000011,24.39497847476575,24.41003891844501,34.521008096520006,25.1,7.606484279501767e-15,-2.0,1.0282654642157754,1.0289002724869598,1.000411431083812,1.028688524590164,1.400000000000002,2.609024107869118e-15,0.2401000000000014,2.1371793224034263e-15,0.117649000000001,1.0000000000000002,24.4
2000,82.45,1.4500000000000028,82.44362443119617,82.46274916591128,116.61993826100236,83.9,0.0,-2.0,1.0174290919066626,1.017665108476875,1.0001546290589602,1.0175864160097028,2.9000000000000057,0.0,4.4205062500000345,0.0,9.29411439062511,1.0,82.45,120.75,26.95,119.22706028679028,123.72091577417297,174.9677970370548,147.7,-7.434364451911762e-16,-2.0,1.1938159289864612,1.2388127296330258,1.0246038573430472,1.2231884057971014,53.89999999999999,-1.4551915228366852e-11,527515.3215062497,-1.862645149230957e-08,383135696.7982928,1.0,120.75,644500.0,58500.0,643169.77190569,647149.5190448649,915207.6267164736,703000.0,0.0,-2.0,1.086302283029686,1.093024005025975,1.0041109682620093,1.0907680372381692,117000.0,0.0,1.17117950625e+19,0.0,4.008069065264062e+28,1.0,644500.0,68.5,0.5,68.49908757908742,68.50182479321262,96.87620966986684,69.0,0.0,-2.0,1.007272437023265,1.00731268749141,1.0000266393169726,1.0072992700729928,1.0,0.0,0.0625,0.0,0.015625,1.0,68.5,555.95,39.349999999999966,555.2528299828531,557.3408517236109,788.1989913721026,595.3,-4.298910970972423e-15,-2.0,1.0681076008675805,1.0721242069462007,1.0025017568551322,1.07077974638007,78.69999999999993,-2.6557245291769505e-10,2397612.2385062417,-6.854534149169922e-07,3712516736.3784246,1.0,555.95,17.8,0.5,17.796488071143582,17.807021087200408,25.18293072698252,18.3,0.0,-2.0,1.027684524569578,1.0282927691600483,1.0003944431011464,1.0280898876404494,1.0,0.0,0.0625,0.0,0.015625,1.0,17.8
2500,86.65,1.0500000000000045,86.64681898304825,86.65636156682324,122.55060179370804,87.7,-2.0236005459099894e-14,-2.0,1.0120434139433836,1.0121548722655105,1.000073416812732,1.0121177149451817,2.1000000000000085,-2.3536728122053322e-14,1.2155062500000198,-4.3187675657918596e-14,1.3400956406250326,1.0,86.65,54.6,17.7,53.12571393011237,57.39729958804682,81.17203952100748,72.3,5.740482782608502e-16,-2.0,1.2596411419860023,1.3609228874573185,1.0512325931876707,1.3241758241758244,35.4,3.637978807091713e-12,98150.6241,1.746229827404022e-09,30749609.024288997,1.0,54.6,1065500.0,754500.0,908921.503439588,1305588.1816254312,1846380.5133287124,1820000.0,0.0,-2.0,1.3940077166860811,2.002373134657571,1.2253291240032202,1.7081182543406852,1509000.0,0.0,3.240686175350625e+23,0.0,1.8448262292133942e+35,1.0,1065500.0,73.0,2.0,72.98629879831606,73.02739212103907,103.27632836231156,75.0,0.0,-2.0,1.0270118899452336,1.027590126295463,1.0003752345347818,1.0273972602739727,4.0,0.0,16.0,0.0,64.0,1.0,73.0,520.8,58.400000000000034,519.1576472299901,524.064118214556,741.1385835321219,579.2,2.9224131007543584e-15,-2.0,1.105208274844856,1.1156534110406946,1.0062675080924657,1.112135176651306,116.80000000000008,5.820766091346741e-10,11631919.513600027,3.337860107421875e-06,39671359416.30376,1.0,520.8,21.3,0.5999999999999996,21.295773809357403,21.30844902849572,30.13469760923444,21.9,8.866364432770365e-15,-2.0,1.0277613340470348,1.0283730563656297,1.0003966680044938,1.028169014084507,1.1999999999999993,1.915134717478395e-15,0.1295999999999997,1.1518563880486001e-15,0.0466559999999998,1.0,21.3
3000,83.53333333333333,4.974664469248092,83.414886609069,83.78197644381082,160.3664584236485,93.0,0.5430000641880749,-1.0191695562340044,1.1135048763212818,1.119050610654316,1.0030890896755789,1.1172505673171504,14.150000000000006,382.7116296296288,9288.867937731471,146295.9708726334,2775882.0179992705,1.980830443765996,82.475,133.53333333333333,197.49184686566468,84.64473938298453,245.19638072901503,570.8949910215979,563.75,0.8901257942461972,-0.40762001184653807,1.8483090921461953,5.222325257677154,1.5445889869060017,3.1453009651158386,537.6500000000001,47803037.37162965,42394859638.11728,35357419509860.62,2.9862585587058996e+16,2.5923799881534624,54.75,2201150.0,3947358.80506463,966825.1559290774,4593509.183280071,10575931.454894008,10560000.0,0.89372259564056,-0.40127496560612563,1.9214009250639887,10.4183122699745,1.793650863987751,3.7460514551492445,10389100.0,3.25339714835036e+20,5.455244675959056e+27,8.624007359720414e+34,1.3793725704440544e+42,2.598725034393875,590650.0,73.58333333333334,32.70096826421693,68.77732056592397,85.30022083939674,171.14025621305285,143.5,0.7918068453223018,-0.5985898051958534,1.5998714985803022,2.155466448366981,1.1579834569825893,1.9429121132830536,92.5,201802.62962962952,30724584.846064795,4119662774.207815,572457688796.9977,2.401410194804146,59.75,552.2416666666667,338.97430146353685,498.5830304720877,687.6277313714588,1413.061525550083,1267.45,0.8568775891962267,-0.4694124166558198,1.7014057626807522,2.6035019947939873,1.2322888420177598,2.231376688579786,927.25,203772198.1737037,299179406851.15955,403809923034702.25,5.563409864028854e+17,2.53058758334418,422.075,19.09166666666667,1.1748412554413639,19.066750647182097,19.141101639158606,35.85586727034729,20.7,-0.003555762813837367,-1.568449377696929,1.0882969014345072,1.0932432927421607,1.0028761498903465,1.0915771032910195,3.25,-0.01904629629629384,8.795387384259264,-1.0406031121399095,58.70892478949122,1.431550622303071,19.0
3500,80.41666666666667,8.89932893849618,80.18295423508975,80.9075913207984,198.18231505358895,98.3,1.08600012837617,-0.0383391124680088,1.21496633869918,1.2259463490431215,1.0061047625384256,1.222383419689119,26.200000000000003,765.4232592592576,18576.52036921294,292591.9417452668,5551762.6959029,2.961660887531992,78.3,212.46666666666667,377.2836937313294,116.16376483585668,432.9954618699832,1060.6179425221883,1055.2,1.780251588492394,1.184759976306924,2.4369770423063883,9.08372762789699,2.0379453806243326,4.966426106055852,1039.9,95606074.7432593,84789621125.61046,70714839019721.23,5.972517114336838e+16,4.184759976306925,54.9,3336800.0,7140217.61012926,1024728.8084185668,7881430.184934711,19305482.396459304,19300000.0,1.78744519128112,1.1974500687877487,2.448794133441896,18.83425140529143,2.361972603972282,5.783984655957804,19269200.0,6.50679429670072e+20,1.0910165283300578e+28,1.7248014719440828e+35,2.758744956405486e+42,4.19745006878775,115800.0,74.16666666666667,63.401936528433865,64.56834233353189,97.57304955775442,239.00418406379416,212.0,1.5836136906446037,0.8028203896082933,2.172731107215371,3.283342770438499,1.3155916794303966,2.8584269662921344,181.0,403605.25925925904,61449153.69212959,8239325548.41563,1144915377529.9954,3.802820389608292,46.5,583.6833333333334,619.5486029270737,478.0084137141854,851.1913445283617,2084.984467568044,1955.7,1.7137551783924505,1.0611751666883604,2.2976032505166484,4.091350578547281,1.458310175943054,3.3506182005082663,1737.7,407544396.3474074,598347181782.8054,807619846069404.5,1.1126819331344113e+18,4.06117516668836,323.35,16.883333333333333,1.7496825108827283,16.837727485006788,16.973754249821496,41.577036931460135,19.5,-0.0071115256276836,-1.136898755393858,1.1488324688219798,1.1581135291186917,1.0053556317761991,1.154985192497532,5.300000000000001,-0.0380925925925896,17.46117476851853,-2.08120622427982,117.37119357898244,1.8631012446061417,16.7
4000,74.05,1.0499999999999972,74.04627766568842,74.05744392024341,104.73304158669316,75.1,0.0,-2.0,1.0140776676127166,1.0142305915642245,1.0001005255941042,1.014179608372721,2.0999999999999943,0.0,1.215506249999987,0.0,1.3400956406249782,1.0,74.05,80.95,23.75,79.16879795264353,84.36210642225572,119.30603505271642,104.7,0.0,-2.0,1.2410785415426624,1.3224907123464031,1.0421507896510898,1.2933909820877083,47.5,0.0,318166.50390625,0.0,179465793.60961914,1.0,80.95,58450.0,4950.0,58345.01030219599,58659.22774807047,82956.67543965344,63400.0,0.0,-2.0,1.0808188657424915,1.0866396230221207,1.0035796021911114,1.084687767322498,9900.0,0.0,600372506250000.0,0.0,1.4710627334390624e+22,1.0,58450.0,35.5,1.5,35.484147850968206,35.531676008879735,50.24937810560445,37.0,0.0,-2.0,1.041324366200832,1.0427191363140045,1.000892281940274,1.0422535211267605,3.0,0.0,5.0625,0.0,11.390625,1.0,35.5,212.9,16.299999999999997,212.58755226120488,213.52306666962235,301.9672167636745,229.2,2.7301135630984838e-15,-2.0,1.0734203267819962,1.078144028481891,1.0029265696083718,1.076561766087365,32.599999999999994,1.1368683772161605e-11,70591.17609999995,5.005858838558197e-09,18755369.57800898,1.0,212.9,18.15,1.5499999999999987,18.116847156416664,18.21606433892898,25.76140524117425,19.7,3.458383293115866e-15,-2.0,1.0814630226080035,1.0873856709125358,1.0036399084809355,1.0853994490358128,3.099999999999998,1.2656542480726783e-14,5.7720062499999845,5.0626169922907145e-14,13.867245015624942,1.0000000000000009,18.15
4500,79.6610294117647,5.447379826992709,79.56410453355696,79.8470635272304,1612.831624813948,90.6,-1.0549228187198376,0.1265879861126841,1.134669153726643,1.138704451349522,1.0023353215096442,1.1373189710076703,26.89999999999999,-170.52327348440957,2753.095569460349,-28465.513806156032,386623.067741813,3.126587986112684,81.6,28.46397058823529,23.67406231282016,25.942995730071843,37.022410078751165,747.8160268408267,315.5,5.557053690717519,53.33710921197422,8.52186552223081,12.161278646563083,1.3006762343287848,11.084187956911473,312.0,73733.17783374072,17696431.69442316,4846901559.459223,1375940104878.0283,56.33710921197424,21.2,206424.35294117648,165810.18810975726,180401.25752619357,264771.6600548036,5348125.376523628,2030000.0,6.286574937782599,67.56840571379402,7.666983692967071,11.252693178733812,1.2826570909986286,9.834111000355064,2029054.0,2.865812237446781e+16,5.3340263154056444e+22,9.617948560796124e+28,1.7450438180093746e+35,70.568405713794,211500.0,46.21078431372549,12.418348275622485,45.054696430102496,47.85030784419588,966.528840749204,85.0,-1.38465003844622,1.403537432018629,1.776373106663519,1.8865957765772172,1.0354792405023825,1.8393974753367983,83.0,-2651.7435966841563,104726.60735801968,-2696023.883223684,106576441.34145534,4.403537432018629,50.0,353.8014705882353,79.31888141431246,347.5843303844713,362.5837359000203,7323.832462584053,685.2,-1.6643175792941276,3.2762363752063344,1.8897703679376805,1.971320166366775,1.02482258001128,1.9366793440987595,680.1,-830550.3075512481,248430901.62536,-39584839695.065,15884104002565.662,6.2762363752063335,384.0,38.57671568627451,4.831764992088662,38.41159069503906,38.878129405598095,785.2997198522357,57.4,-0.8815993066934854,2.7649965864308843,1.47640848151853,1.4943406133767152,1.0078133587569982,1.4879441906565094,40.9,-99.44630438904896,3142.116374331424,-30777.081785857485,859001.9901178404,5.764996586430887,39.2
5000,76.33654485049834,6.424785376314866,76.20001429630933,76.60643541402938,1879.5916205388871,87.4,-0.1502580051019441,-1.207654595914012,1.14089631670806,1.1469814121049728,1.0035355354903683,1.144929996126612,26.500000000000007,-39.848638890809305,3053.9097893834905,-7322.548011955834,291808.89768386,1.7923454040859876,76.85,40.62607973421928,30.92509599617081,35.576886220066044,51.05722198615512,1252.7240837470954,265.3,1.6134505211177712,5.053549091590943,5.196130727048562,7.457088806450008,1.256759754329673,6.530287975990415,264.90000000000003,47718.72386832867,7365996.972314877,1264436801.8791366,255440123527.0993,8.053549091590941,22.6,149675.92857142858,127410.76843954502,118459.85396101027,196561.40900002408,4822769.461612384,546000.0,0.602465087953397,-0.8223424015962011,2.777757865990537,4.609156450418298,1.3132466314128843,3.647881160392715,545581.0,1246092523540878.8,5.738708103114626e+20,1.0583874931094578e+26,3.362865379563588e+31,2.177657598403799,120500.0,41.41694352159468,16.866898679265578,39.1867195901324,44.71974375740065,1097.229693364156,64.0,-0.614050023302074,-1.1417686107663914,1.4311352128311037,1.6332063686217777,1.0797451466712868,1.5452613002847633,63.0,-2946.5204558514565,150397.54124141476,-3150383.8209937904,112870644.68549173,1.8582313892336089,50.0,315.8101328903655,106.3173106561912,304.40401203259546,333.2257651823991,8175.923505635312,567.2,-0.7866200634393048,-0.7860511195161255,1.702149291155591,1.8633131548189463,1.0551458945684922,1.796015836505491,565.4000000000001,-945315.9082534944,282867803.7528205,-43647371638.55707,10948850534253.549,2.2139488804838745,381.85,41.25980066445183,4.609849194368167,41.12473617884802,41.51652514921156,1018.636520060026,53.3,-0.5905340199211188,0.6813830647356434,1.2838261344955604,1.2960569465589464,1.0062221455417966,1.2918142875547538,30.3,-57.8502282002346,1662.4855643628714,-11397.24257329331,227552.72479404736,3.681383064735644,41.75
