Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Root_amplitude,Amplitude_Root_mean_squared,Amplitude_Root_standard_squared,Amplitude_Peak,Amplitude_Skewness,Amplitude_Kurtosis,Amplitude_Crest_factor,Amplitude_Clearance_factor,Amplitude_Shape_factor,Amplitude_Impulse_factor,Amplitude_Max_Min_difference,Amplitude_Central_moment_3rd_order,Amplitude_Central_moment_4th_order,Amplitude_Central_moment_5th_order,Amplitude_Central_moment_6th_order,Amplitude_FM4,Amplitude_Median,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Root_amplitude,Rise-Time_Root_mean_squared,Rise-Time_Root_standard_squared,Rise-Time_Peak,Rise-Time_Skewness,Rise-Time_Kurtosis,Rise-Time_Crest_factor,Rise-Time_Clearance_factor,Rise-Time_Shape_factor,Rise-Time_Impulse_factor,Rise-Time_Max_Min_difference,Rise-Time_Central_moment_3rd_order,Rise-Time_Central_moment_4th_order,Rise-Time_Central_moment_5th_order,Rise-Time_Central_moment_6th_order,Rise-Time_FM4,Rise-Time_Median,Energy_Mean,Energy_Standard_deviation,Energy_Root_amplitude,Energy_Root_mean_squared,Energy_Root_standard_squared,Energy_Peak,Energy_Skewness,Energy_Kurtosis,Energy_Crest_factor,Energy_Clearance_factor,Energy_Shape_factor,Energy_Impulse_factor,Energy_Max_Min_difference,Energy_Central_moment_3rd_order,Energy_Central_moment_4th_order,Energy_Central_moment_5th_order,Energy_Central_moment_6th_order,Energy_FM4,Energy_Median,Counts_Mean,Counts_Standard_deviation,Counts_Root_amplitude,Counts_Root_mean_squared,Counts_Root_standard_squared,Counts_Peak,Counts_Skewness,Counts_Kurtosis,Counts_Crest_factor,Counts_Clearance_factor,Counts_Shape_factor,Counts_Impulse_factor,Counts_Max_Min_difference,Counts_Central_moment_3rd_order,Counts_Central_moment_4th_order,Counts_Central_moment_5th_order,Counts_Central_moment_6th_order,Counts_FM4,Counts_Median,Duration_Mean,Duration_Standard_deviation,Duration_Root_amplitude,Duration_Root_mean_squared,Duration_Root_standard_squared,Duration_Peak,Duration_Skewness,Duration_Kurtosis,Duration_Crest_factor,Duration_Clearance_factor,Duration_Shape_factor,Duration_Impulse_factor,Duration_Max_Min_difference,Duration_Central_moment_3rd_order,Duration_Central_moment_4th_order,Duration_Central_moment_5th_order,Duration_Central_moment_6th_order,Duration_FM4,Duration_Median,RMS_Mean,RMS_Standard_deviation,RMS_Root_amplitude,RMS_Root_mean_squared,RMS_Root_standard_squared,RMS_Peak,RMS_Skewness,RMS_Kurtosis,RMS_Crest_factor,RMS_Clearance_factor,RMS_Shape_factor,RMS_Impulse_factor,RMS_Max_Min_difference,RMS_Central_moment_3rd_order,RMS_Central_moment_4th_order,RMS_Central_moment_5th_order,RMS_Central_moment_6th_order,RMS_FM4,RMS_Median
500,75.44905660377358,9.413080474300852,75.16147561558182,76.0339807350312,782.8177437948121,100.0,0.5092711504023747,-0.2436084219961931,1.3152014274839476,1.3304688230371686,1.0077525705103163,1.3253976192857857,39.7,424.7607601442799,21640.53536520915,276743.434895454,8261182.903776644,2.7563915780038064,75.85,53.35943396226416,53.4053099230918,45.45396475111806,75.49408136241355,777.2591395409898,419.3,3.994071438415391,21.317206725273447,5.554077782430744,9.224717850155992,1.4148216305255985,7.858029384204664,419.1,608371.9018493119,197811458.77533787,67056582897.54396,23653521789232.984,24.317206725273454,39.15,1756342.641509434,9411051.82632044,316668.5189240675,9573538.31935056,98565609.67659968,75000000.0,6.907825011555086,47.259060015847794,7.834094093341213,236.84071992639065,5.45083749212106,42.70237380078843,74998620.0,5.757790021564425e+21,3.942457516269847e+29,2.7249507869081368e+37,1.898599202441983e+45,50.25906001584777,65150.0,39.198113207547166,30.457028129444115,33.15886682364868,49.63992991040009,511.0743585819973,160.0,1.4315978991889813,3.0680384635821945,3.223211642095375,4.825255363850042,1.2663856968718197,4.081829121540313,159.0,40446.74953149246,5221537.755820092,516828406.5417668,59099616341.3188,6.068038463582193,36.0,303.28018867924527,214.26460603647163,265.6281832318268,371.33299644023424,3823.107190493094,1167.3,1.3257077683326883,2.408237502376932,3.1435396562930435,4.394488513220902,1.2243892291723772,3.8489160966414393,1166.9,13040646.163647585,11398757175.55471,7548271402334.495,6010144085724365.0,5.40823750237693,273.25,37.571698113207546,28.63254763217665,33.52098803676707,47.23828196514844,486.3478796088249,158.8,2.0259422948250685,4.497812044609183,3.3616802600306213,4.73733052933351,1.2572836559799463,4.226585647566917,152.20000000000002,47556.18925903934,5039349.932242183,506136603.7504875,54424091014.33511,7.49781204460918,26.85
1000,72.6,5.854058421300561,72.48260905128039,72.83563688195497,252.3100473623672,82.9,0.2062097118192083,-1.2530954301433463,1.1381791050218506,1.1437226265040965,1.0032456870792696,1.1418732782369148,18.80000000000001,41.36950000000069,2051.6222000000034,6104.079975000073,156944.25175200065,1.7469045698566532,71.9,45.66666666666666,29.561498984696662,41.8797886273934,54.39969362658825,188.4460665548634,130.7,1.822293375794033,2.9691109959147592,2.4025870604557853,3.120837145641888,1.1912341670055822,2.862043795620438,119.79999999999998,47075.79392592592,4558431.819874073,366147503.3245256,31697444295.568207,5.969110995914759,38.55,77504.16666666667,95623.84957550545,53217.69594996361,123088.652841492,426391.60111334274,314000.0,1.4123786871155029,0.7400916888189992,2.5510068779804995,5.900293020863387,1.5881552971323087,4.051395086285683,307450.0,1234951282127748.2,3.1271386867461593e+20,6.722134277564661e+25,1.5554956030477238e+31,3.740091688818998,22100.0,30.33333333333333,16.208708221885612,28.11026412180908,34.39234410931208,119.13857477744142,58.0,0.4539450480227311,-1.0474724797494268,1.686421833174666,2.0633032741588955,1.133813542065233,1.912087912087912,49.0,1933.074074074075,134769.24074074076,1946477.2633744867,82965647.34499316,1.9525275202505727,27.0,226.01666666666665,94.85591558897222,216.22687085061156,245.11462284680883,849.101960897512,392.6,0.4198342117258439,-1.2745902159816815,1.6016996270572004,1.815685527222204,1.0844979994696948,1.73704004129489,281.1,358320.03092592646,139685053.32911372,13074721962.056334,2888390798659.304,1.7254097840183185,203.85,20.60833333333333,5.070578259813065,20.25560733160081,21.222963192416525,73.51850107285921,28.5,-0.5481517314571113,-0.3877979802563205,1.3428850505750174,1.4070177967726052,1.0298243360655008,1.3829357056207037,18.7,-71.46168634259236,1726.7788517216422,-10225.993590606487,160760.8589478859,2.6122020197436804,21.75
1500,80.7,4.451965857910412,80.63940200878977,80.82270720533927,139.98903528491078,86.8,0.5171016906058027,-1.5000000000000024,1.0739556122448948,1.0763968709805003,1.001520535382147,1.0755885997521684,10.5,45.62799999999968,589.2485999999989,2260.8673999999837,19600.275261999923,1.499999999999998,79.0,51.36666666666667,33.520176345333,44.31234143054576,61.33625898819284,106.2375169137532,92.1,-0.0283343947419539,-1.5,1.5015588090843484,2.07842774781729,1.1940868070381474,1.7929915639195326,82.1,-1067.1680740740849,1893722.9306740733,-2997681.048785627,3192825787.466175,1.5000000000000004,52.0,285266.6666666667,230395.91045753297,240978.58202438007,366686.9873157032,635120.4925051624,607000.0,0.6284465655910144,-1.4999999999999996,1.6553628053274678,2.5188960566569736,1.285418277573159,2.127833605982706,527200.0,7685863291259256.0,4.226591967233896e+21,1.0199577827723823e+27,3.956081737303375e+32,1.5000000000000004,169000.0,52.66666666666666,12.283683848458852,51.994880576630095,54.08018737640123,93.66963221877197,70.0,0.6930738653394392,-1.4999999999999998,1.294374213476665,1.3462863886538587,1.0268390008177448,1.3291139240506329,27.0,1284.5925925925935,34151.1851851852,484576.872427984,9379729.70919068,1.5000000000000002,45.0,364.26666666666665,66.8651046676981,361.36017304949473,370.35273276522025,641.4697498713404,458.8,0.7052093797192409,-1.4999999999999996,1.2388189944607473,1.2696473884441026,1.016707721720041,1.2595168374816983,143.8,210822.35792592625,29983986.5316741,2356436453.598674,245531073663.9537,1.5000000000000009,319.0,15.033333333333331,2.344260129668965,14.94422344210114,15.21501451417864,26.3531781764553,18.2,0.4386195431283749,-1.4999999999999998,1.1961868313066475,1.2178618762301576,1.012085222672637,1.2106430155210643,5.6,5.650740740740734,45.30169629629628,77.63489917695462,405.3678540548694,1.5000000000000009,14.3
2000,71.93333333333332,6.7153224461343255,71.77970652806542,72.24610716156269,125.1339282528923,81.1,0.4959553127445114,-1.499999999999997,1.122551832704806,1.1298458007527574,1.0043481069726048,1.1274328081557,15.899999999999991,150.1907407407418,3050.4136962962957,16932.33723251039,228897.4090673884,1.500000000000003,69.5,37.8,18.647430564736435,35.4390083921627,42.14933767767492,73.00479436311015,62.3,0.2972097349100176,-1.5000000000000004,1.4780777927383233,1.757949864471309,1.1150618433247332,1.648148148148148,45.2,1927.1699999999944,181370.75206666655,1675321.0004999945,98315154.77935256,1.4999999999999998,34.0,108460.0,129915.82608237791,69754.40609875321,169238.5696780337,293129.80128264,292000.0,0.7005787717846115,-1.4999999999999998,1.7253750167914597,4.186115491924735,1.5603777399781829,2.6922367693158766,282520.0,1536183694752000.0,4.273064966190773e+20,6.481973902402631e+25,1.3178057030554666e+31,1.5000000000000002,23900.0,29.666666666666668,16.996731711975947,27.32324588062136,34.19064199455752,59.21992907797171,53.0,0.5280049792181876,-1.4999999999999998,1.5501317585214271,1.939740257492231,1.1524935503783431,1.7865168539325842,40.0,2592.592592592592,125185.18518518518,1872427.983539094,60968449.93141288,1.5000000000000009,23.0,230.73333333333332,83.89598056853234,222.6338479818681,245.51253871577856,425.2401909509495,333.2,-0.0101312856927181,-1.5,1.3571608266644752,1.496627772552971,1.064053187153042,1.4440913030915918,205.5,-5982.573259259651,74311474.15022962,-105271386.4975376,784601720671.0104,1.4999999999999998,231.3,17.166666666666668,2.3098821518760557,17.09083872795154,17.321374079443007,30.001499962501875,20.3,0.4612971853806545,-1.5000000000000009,1.1719624497973302,1.1877708474774835,1.009012082297651,1.1825242718446602,5.5,5.68525925925925,42.70222962962962,75.83504156378591,374.0823506474621,1.4999999999999996,16.4
2500,70.76666666666667,7.272933077896123,70.58128646128328,71.13941710941036,123.2170848543334,80.2,0.236490457962349,-1.4999999999999996,1.1273637493635171,1.136278523968148,1.005267316666185,1.1333019312293924,17.700000000000003,90.97925925925968,4196.9096962963,12030.996156378658,341274.0306184998,1.5000000000000002,69.6,77.96666666666665,36.79423263985208,72.77100400769882,86.21262475221751,149.3246463247109,119.1,-0.2797450741613818,-1.5000000000000004,1.3814682054084728,1.63664087948271,1.105762609049391,1.5275758871312528,89.3,-13934.830740740705,2749224.837696296,-47162976.55212128,5777094534.262505,1.499999999999999,85.0,109256.66666666669,142703.83698026094,59713.70063326076,179725.91438075923,311294.4151442489,311000.0,0.704888829108074,-1.5000000000000002,1.730412673495317,5.208185001128062,1.6449880804902146,2.846508222229002,307230.0,2048460431350592.0,6.2206227007284e+20,1.042890926584372e+26,2.3198063564356623e+31,1.4999999999999996,13000.0,34.0,33.65511352924941,25.412035973732063,47.84001114827072,82.86132994346639,81.0,0.6288033609134909,-1.5000000000000002,1.6931434181517309,3.1874659741442266,1.407059151419727,2.3823529411764706,77.0,23970.0,1924400.6666666667,67875050.0,3844117632.6666665,1.4999999999999996,17.0,245.7,176.30237283334182,211.689210517896,302.40869145358016,523.787218248021,482.4,0.4061578395795216,-1.4999999999999996,1.5951922468936333,2.2788124100411737,1.2308046050206765,1.9633699633699635,422.9,2225713.770000003,1449185195.9760666,172952019020.98068,72520308034264.6,1.5000000000000002,195.2,18.6,0.7874007874011812,18.59177206785668,18.616659206205608,32.244999612342994,19.7,0.6309038567106281,-1.4999999999999956,1.0581920086625034,1.0596085154281414,1.0008956562476137,1.0591397849462367,1.8000000000000007,0.3080000000000022,0.5766000000000021,0.4774000000000038,0.6311020000000043,1.5000000000000044,18.2
3000,73.65,12.05,73.1537764726532,74.62925029772174,105.54169792077442,85.7,-9.09655775820661e-16,-2.0,1.1483433058500954,1.1715047962293088,1.013295998611293,1.163611676849966,24.1,-1.5916157281026244e-12,21083.766006250007,-3.7834979593753815e-10,3061415.5335225165,1.0000000000000002,73.65,64.55,16.049999999999997,63.5363979213982,66.51544933321881,94.0670505543785,80.6,0.0,-2.0,1.2117485607925849,1.2685642031471698,1.0304484792133046,1.2486444616576298,32.099999999999994,0.0,66359.04800624996,0.0,17094256.664029997,1.0,64.55,426080.0,422920.0,238938.06942611744,600337.8155672022,849005.8807805751,849000.0,0.0,-2.0,1.414203766587418,3.5532219793988125,1.408979101500193,1.9925835523845288,845840.0,0.0,3.199137408156733e+22,0.0,5.722019601587716e+33,1.0,426080.0,41.5,37.5,29.63819441731559,55.93299562869845,79.1012010022604,79.0,0.0,-2.0,1.4124042367483387,2.6654795122689947,1.347783027197553,1.9036144578313248,75.0,0.0,1977539.0625,0.0,2780914306.640625,1.0,41.5,295.85,243.85,231.68716329584615,383.3928077051003,542.1993083728529,539.7,0.0,-2.0,1.4076946389018563,2.3294341918755586,1.2959026794155832,1.824235254351868,487.7000000000001,0.0,3535827259.666508,0.0,210250268732211.0,1.0,295.85,18.25,1.0500000000000007,18.234884741312587,18.28018052427273,25.852079220055007,19.3,0.0,-2.0,1.0557882606450817,1.0584108577486266,1.0016537273574098,1.0575342465753426,2.1000000000000014,0.0,1.2155062500000031,0.0,1.3400956406250055,1.0,18.25
3500,74.85,9.29663917768136,74.5619744805317,75.42512843873718,150.85025687747435,86.7,0.1120148084314755,-1.8000693569173138,1.1494842871950912,1.1627910956493992,1.0076837466765154,1.1583166332665331,22.0,90.00225000000208,8963.137231249999,25928.89820625037,1043607.9706867356,1.1999306430826864,74.0,77.55,15.06129144529114,76.76960337447996,78.99901898125064,157.9980379625013,96.2,-0.4389571200656911,-0.9908360605889,1.2177366407908403,1.2531001304088951,1.018684964297236,1.240490006447453,41.900000000000006,-1499.7149999999983,103386.59320625004,-1133996.999624999,50010775.04316779,2.0091639394111005,79.85,351815.0,475750.7985016946,185344.0518240232,591703.1489691432,1183406.2979382863,1160000.0,1.0307656597716284,-0.7785451688800671,1.9604424989472096,6.258630846709739,1.6818587864904655,3.2971874422636898,1155180.0,1.1099374860663224e+17,1.1380349260610242e+23,8.374064779837524e+28,7.051025323498488e+34,2.221454831119933,121220.0,30.0,21.760055146988943,25.368846395047623,37.06076092041285,74.1215218408257,56.0,0.0563407013659634,-1.906859766126344,1.5110321161580773,2.207431868519336,1.235358697347095,1.8666666666666667,49.0,580.5,245084.5,916222.5,136272308.5,1.0931402338736564,28.5,245.325,133.94249465722223,225.1302758902905,279.5084032726029,559.0168065452058,422.1,0.0974135168313308,-1.6211128341042105,1.5101513766952055,1.8749144171337309,1.1393392572000527,1.720574747783553,339.20000000000005,234085.4243437511,443815292.6515708,13998770206.791414,12411097061763.88,1.3788871658957889,238.15,19.15,5.255711179279166,18.78461451368766,19.85812176415484,39.71624352830968,25.4,0.0558770498616711,-1.9170728805191264,1.2790736355463688,1.352170414862224,1.0369776378148738,1.3263707571801564,11.7,8.11199999999976,826.2761062499999,746.9123999999872,26407.101168890604,1.0829271194808732,18.75
4000,73.85,9.07331958884068,73.57109770182853,74.4053598337668,127.31657763800314,84.2,0.056007404215738896,-1.900034678458657,1.1313909259537547,1.144221059795337,1.0075178598090635,1.1398995657753392,19.85,45.00112500000186,7548.775618750002,12964.449103125295,762035.3058456258,1.0999653215413434,73.425,50.65,19.20564572264557,45.40742840795052,56.15247469205417,102.54986822283851,71.65,-0.21947856003284555,-1.49541803029445,1.3159496033725617,2.3032731017961785,1.210519964314043,1.611823950592148,44.300000000000004,-749.8574999999992,200327.08385625004,-566998.4998124995,106043872.59220088,1.5045819697055502,51.8,238667.5,299115.3992508473,130916.42683270382,383539.4026022756,715712.464748241,704000.0,0.5153828298858142,-1.3892725844400335,1.6872749116623518,4.750467762191867,1.539525856898069,2.6364840971675365,700070.0,5.549687430331612e+16,5.7014266559963e+22,4.187032389918762e+28,3.525681457329347e+34,1.6107274155599665,123370.0,24.75,19.630027573494473,19.710004514284467,31.630952966780328,55.587768234061755,46.5,0.0281703506829817,-1.953429883063172,1.4615920708149954,2.420332963221049,1.2895035797799013,1.882051282051282,42.0,290.25,169436.78125,458111.25,82497604.4453125,1.0465701169368282,24.0,234.4875,157.6462473286111,201.19947698270545,283.72220589419203,483.1099074418993,413.55,0.04870675841566528,-1.8105564170521053,1.4583569522778186,2.0797909936373866,1.2133897460061993,1.7657199694652168,350.95000000000005,117042.71217187485,762712080.7215385,6999385103.395669,23991428776502.367,1.1894435829478947,230.9,27.8,9.80285558963958,26.881411580792765,29.515567717141195,47.55762536981536,38.099999999999994,0.027938524930835203,-1.958536440259563,1.2879423812024147,1.402251611653945,1.0558415441492415,1.3600303717313675,20.2,4.055999999998857,21615.176056249988,373.45619999961525,4379180.221282949,1.0414635597404365,27.6
4500,72.85,8.850000000000001,72.58022092312535,73.3855912287964,103.78289839853193,81.7,2.2961931130434e-15,-2.0,1.113297564712418,1.125651023941275,1.0073519729416116,1.1214824982841456,17.700000000000003,1.6484591469634324e-12,6134.414006250005,2.1827872842550278e-10,480462.6410045161,1.0000000000000002,72.85,23.75,23.35,14.045253441421073,33.30593040285769,47.10169848317575,47.1,0.0,-2.0,1.4141625659542831,3.353446073183462,1.4023549643308502,1.9831578947368425,46.7,0.0,297267.5745062501,0.0,162076970.14123395,1.0,23.75,125520.0,122480.0,76488.80184138443,175375.656235408,248018.63155819563,248000.0,0.0,-2.0,1.414107324377494,3.242304677673995,1.3971929273056725,1.975780752071383,244960.0,0.0,2.2504051382358016e+20,0.0,3.37591160206357e+30,1.0,125520.0,19.5,17.5,14.051162633521312,26.201145013147805,37.05401462729781,37.0,0.0,-2.0,1.4121520254719135,2.6332340579227616,1.3436484622127078,1.8974358974358971,35.0,0.0,93789.0625,0.0,28722900.390625,1.0,19.5,223.65,181.35,177.26867807512042,287.9360085157812,407.2030083385927,405.0,-2.3422794567396493e-16,-2.0,1.406562527860432,2.284667570141042,1.287440234812346,1.8108651911468807,362.7,-1.3969838619232178e-09,1081608868.7915063,-7.62939453125e-05,35571760491240.86,1.0000000000000002,223.65,36.45,14.349999999999998,34.978208647897866,39.17301367012755,55.39900721132104,50.8,-6.925114976957696e-16,-2.0,1.2968111268584608,1.452332808445666,1.074705450483609,1.393689986282579,28.7,-2.0463630789890885e-12,42404.076006249976,-7.566995918750762e-10,8731953.341397008,1.0,36.45
5000,77.0141304347826,11.018672139812125,76.61368768423465,77.81400695038792,249.10185080120988,90.85,0.12721774941635328,-1.6446926247291085,1.1646075264635287,1.182810188973543,1.0102304617146407,1.1766696943244412,28.75,291.7559632612844,28934.53646071308,109879.401325214,8837164.744408745,1.3553073752708915,75.525,35.04673913043479,26.303692964342048,27.198669220057532,44.056033499959085,154.97134802317066,75.45,0.22200607652064336,-1.3501884071659394,1.654055531163496,2.9629019292482006,1.2924811418578872,2.11147762454264,75.15,5559.95687425002,991131.5665656576,20179815.212862823,2057112379.5468755,1.6498115928340609,32.775,5493544.130434782,10495728.034324866,1845121.128420783,11850848.83228028,56538147.67334488,40574000.0,1.054811230901302,0.792870500717421,2.426404438127551,12.814500336617872,1.7816040663892787,4.712030300260743,40571685.0,9.586899359818414e+21,6.245672614914788e+29,4.036600770306015e+37,2.7163927187269825e+45,3.79287050071742,124260.0,42.46739130434783,36.320394521375135,33.81639237012686,55.88555056927818,223.71655383100932,120.0,0.5433486687811814,-0.8654004743255101,1.8922399959363791,3.2109232483180126,1.3256810387091436,2.499880739415623,118.5,91095.62850332865,15158244.864596432,1630792852.4089594,219426442166.4602,2.13459952567449,33.75,349.5141304347826,283.32796461035036,286.2568061611354,449.9276216913029,1670.9322823171549,923.05,0.515511669121623,-0.9677087785703313,1.8808059419325625,2.9653805532029955,1.2873330938888352,2.421172921355198,901.6999999999998,29488696.57747556,34313372220.78411,25200706821144.348,2.376341484821782e+16,2.032291221429669,264.675,33.777173913043484,18.706360625823724,31.35002201893945,38.947353699401816,120.55086331568307,68.85,0.7185547616038676,-0.6270908763812986,1.7705155698885373,2.2935229442484366,1.1598009750038603,2.093755812263459,55.0,8814.374962275002,551059.3170334152,26106674.97159317,1420218536.249956,2.3729091236187014,29.125
