Energy_Central_moment_3rd_order,Energy_Central_moment_3rd_order.1,Energy_Central_moment_3rd_order.2,Energy_Central_moment_3rd_order.3,Energy_Central_moment_3rd_order.4,Energy_Central_moment_3rd_order.5,Energy_Central_moment_3rd_order.6,Energy_Central_moment_3rd_order.7,Energy_Central_moment_3rd_order.8,Energy_Central_moment_3rd_order.9,Energy_Central_moment_3rd_order.10,Energy_Central_moment_3rd_order
3.3304291665767465e+19,0.0,-99425925.92592695,5242315850074.075,282418066406.25,3.189922247774876e+17,3.245451302336725e+23,1.891876443924877e+16,8.3763161468928e+19,-4.634309880963952e+16,698173170664684.8,1.0853162731529624e+20
7858345242254006.0,0.0,113401657407.40732,1.1015519772292004e+22,-1367146030156.25,1.7114134620159278e+16,2.596391242690918e+23,9796193331392194.0,3.915175991351018e+19,-4.05558058843605e+16,-227105212163319.7,5.807537077761513e+19
3.245599996552985e+17,0.0,33198443854500.0,5.5279070360024e+21,-911430686770.8333,3225797067783088.5,1.947331183045112e+23,71923012366501.34,1.7406292556299446e+18,-3.476851295908149e+16,1.1152461750447192e+16,7.198211283825616e+18
8.328131264150045e+16,0.0,63415876838248.69,4.029429971279491e+19,-455715343385.4166,1.6117224789693782e+17,1.2982711233993051e+23,3.787277115363208e+17,1.418636031759375e+16,-2.898122003380248e+16,8.339132714152218e+17,2.0000394133094617e+19
72577027779254.56,0.0,93633309821997.38,7.51975321813175e+21,0.0,3.1911869872609254e+17,6.492110637534986e+22,88705827424198.77,5.248156020288287e+16,-2.3193927108523464e+16,-310198166765831.75,1.3966849319710431e+19
7747855813539962.0,0.0,123850742805746.06,4.924660146821868e+22,-14936358024.691317,3.148815457292187e+16,1.5100410769164e+19,2962207655762.8066,9.077676008817198e+16,-1.7406634183244448e+16,2.555039767569733e+16,9.363977542748885e+18
1.2492326580523475e+17,0.0,154068175789494.75,2.462330289688374e+22,-29872716049.38264,1.505667688822117e+17,1.144979746645738e+20,47140271481032.016,5.0025407439925946e+17,-1.161934125796544e+16,2.66907493121233e+21,6.061977501670498e+18
6.578174012981438e+16,0.0,184285608773243.44,4325548794000000.0,-44809074074.07395,2.696453831915015e+17,2.138955385599836e+20,42900001310266.43,8960956438825187.0,-5832048332686432.0,4.198411421007535e+16,5.684244198591232e+19
3576668690319571.5,0.0,214503041756992.1,1.4895757002467411e+22,-194136221911.72864,0.0,1196894406583477.8,353487213591104.44,-64842000.0,-44755407407406.93,3773753764955474.5,1.735716244022872e+19
192079711290073.03,0.0,244720474740740.8,8.968971489097963e+22,-6580763707682.031,100835280000000.0,2.546018129001513e+20,6041032107417409.0,3.821445039098456e+19,4.8646412474296296e+16,-7188366776239.071,4.771365002854608e+18
1.5135914828939548e+16,0.0,220248427266666.72,4.013308551338333e+23,-12967391193452.334,-1.734652087590565e+16,5.09202428905896e+20,542422002106986.1,2.780387444266295e+19,9.7337580356e+16,4.696265413164582e+18,3.532470461061234e+18
2312031398950413.0,0.0,195776379792592.62,0.0,-19354018679222.64,8.415939018497883e+17,3.3571231666971856e+20,728022792770389.2,8839908554169099.0,8.922611532633333e+16,1.8182757593136444e+16,3.44980502801159e+18
4.745422958891338e+18,0.0,171304332318518.56,1.736723680810649e+23,-25740646164992.94,0.0,1.6222220443354117e+20,-4753721350361.606,4.575025471652342e+20,8.111465029666667e+16,7283191341181014.0,1.83622149024172e+18
1.2586332857789302e+18,0.0,146832284844444.5,5.364202580683773e+19,5.273182527289655e+16,0.0,1063627064986472.8,1.2674254449124264e+16,9.892686679854276e+17,7.3003185267e+16,387463576677053.6,3.2191891684610545e+18
99309681543202.84,0.0,122360237370370.4,3.804339635196581e+19,0.0,0.0,1.5309807183065916e+16,9.192926612500508e+20,2.7523559579614003e+17,6.489172023733333e+16,2636472969869925.0,1.94185255139474e+18
1.1309041095629869e+17,0.0,97888189896296.31,1.492881123142724e+21,0.0,0.0,0.0,1262348988286072.0,2.5124843078208e+16,5.678025520766666e+16,275375402199849.7,5.43031921810157e+18
7878355674309539.0,0.0,73416142422222.25,1.5021707457008506e+17,1.4549239056376096e+17,0.0,0.0,409985490137368.25,3.207808569239583e+17,4.8668790178e+16,1.895800947554752e+19,4.401529344151929e+20
3.458191875546505e+17,0.0,48944094948148.16,1.990681695420077e+23,1.3627906054730612e+22,2.3427011042740728e+19,3688110119947008.0,94662314346443.08,6522514980225696.0,4.055732514833333e+16,0.0,1.2006413053499535e+19
2.5779432209007856e+17,0.0,24472047474074.062,3.236979152075653e+18,2442579324918425.0,1.2825807335453675e+21,0.0,672370848895964.1,1.025671044e+18,3.2445860118666664e+16,1.5565195017739452e+20,1.1093787772944536e+19
2.510772459784843e+17,0.0,0.0,4.344558117618457e+22,776844825616031.1,1.99682496688465e+16,224341074428592.72,3.59597775551382e+17,-2882590752000.0,2.4334395089e+16,1520031781576692.0,9.857716549385417e+18
2.3831409044391347e+17,0.0,-1.0927203688540736e+17,9.699417187405588e+22,0.0,1.027421383198605e+16,149560716285728.5,131531952557018.69,2.04209033376082e+17,1.6222930059333328e+16,2.9719391868390703e+19,6.963317785593199e+18
1.217404969148458e+17,0.0,-9.713069945369542e+16,5.309076388723792e+17,2.8800557443164964e+18,8849542709472122.0,74780358142864.25,3.674206077129957e+19,4903113445200000.0,8111465029666656.0,2.467523152261762e+20,9.51392999206354e+18
1.5333087055475128e+18,0.0,-8.49893620219835e+16,3.68752412569992e+20,4.702756124272781e+18,-45492810425000.91,0.0,2.848831766757459e+16,1.548790161518073e+18,0.0,3.9555030864815866e+17,6.872936142735055e+18
6.0902301961684616e+16,0.0,-7.284802459027158e+16,1.2588278499634512e+17,179103767407407.47,1.945022897188503e+23,2.1271801861043046e+17,1014584802158507.8,5.833080383592869e+18,0.0,45037980442125.0,2.319833515175461e+18
1.460778551120715e+17,0.0,-6.070668715855965e+16,1.442823386220595e+17,1.3693342602547198e+17,8.405223531530374e+21,4.254360372208609e+17,9030222407828410.0,6.984805321800513e+16,0.0,6737187493307693.0,3.2075570420734054e+18
4.559928109408893e+17,0.0,-4.856534972684772e+16,2.2468810999179588e+21,-7.329568949490036e+17,7.566809806645997e+21,3.545300310173841e+17,6.06836349022814e+17,2.1745207844924184e+16,0.0,3269489663914267.0,4.840652778501971e+18
1.445250562865701e+17,0.0,-3.642401229513579e+16,1.6606422650831772e+22,3.61385047308758e+16,6.393649757741081e+20,2.8362402481390726e+17,1.032796237501691e+16,2.957070495094265e+21,0.0,6418186921791471.0,4.179413830287392e+19
6.708960464986419e+16,0.0,-2.428267486342387e+16,2.370775566069311e+22,6.842122867163426e+16,-6.435627701342915e+17,2.1271801861043046e+17,1.974480704106141e+16,43061324460000.0,0.0,1244246687055393.5,2.517174991074632e+18
1.13198980141123e+17,0.0,-1.2141337431711936e+16,2.993588711007824e+18,1.8584003710868424e+18,4.458822473886226e+21,1.4181201240695363e+17,1.4023782932059188e+21,2.554919883664602e+21,0.0,7619714132680.56,2.575771999939849e+18
8.550361700711824e+16,0.0,0.0,1.4680543535520557e+20,1.5577522662025825e+18,4.614425477242505e+19,7.09060062034768e+16,4.552432168265699e+16,1.1762379942501246e+17,0.0,2.156999238119061e+16,4.42694907972479e+18
7.883665966868682e+16,0.0,295011798898666.7,1.0333251894821732e+21,5.85100564850908e+18,6.201338136073606e+19,0.0,4.585811010168017e+19,22858080520069.336,0.0,13020083705163.133,2.630626253559021e+18
1.478616716100363e+16,0.0,590023597797333.4,2.350999387501836e+17,3.468821151683267e+18,1.456683907528428e+19,0.0,8.984087908424283e+16,402737722969431.6,0.0,48511701221175.59,2.4132867976772424e+18
2.300433391994109e+16,0.0,885035396696000.0,4.709401311635438e+18,5.160081492200838e+17,1.914783485830608e+19,0.0,9.041562671388468e+20,55896455723308.586,0.0,1084543515447595.6,2.8090318504167373e+18
4.068171744953386e+16,0.0,1180047195594666.8,1.51847256326842e+16,-5.006964860507922e+16,7.577278079423446e+18,0.0,3.213151032339921e+18,2282073123839735.5,0.0,12391547903680.035,2.2540838849908424e+18
3.754604375898629e+16,0.0,1475058994493333.5,1.097768053759133e+17,3.889746295745705e+19,1.693123939532354e+17,0.0,2.655123635564875e+21,-87390132977639.42,0.0,5.991530097633255e+21,1.4826880304086733e+18
3.2155955657733504e+17,0.0,1770070793392000.0,7.780733774672069e+17,-4.432949196211518e+18,-119353514244341.31,0.0,1.30621025289566e+20,3590255729348717.0,0.0,1.691142840914295e+21,1.4982477065286894e+18
1.3966682197153667e+17,0.0,2065082592290666.8,7.679239563097818e+20,-7.549248398393052e+18,-285431812341985.3,0.0,1.6745078468448331e+22,2647066522163326.5,0.0,2929613139382.388,1.6527830299241167e+18
3.0379861269034176e+17,0.0,2360094391189333.0,3.3415828646988114e+18,-9.291730477232849e+18,269948166240216.0,0.0,5.900386555462995e+17,363193966246504.0,2.0205487045104003e+22,2608598334690.2524,1.899143345332977e+18
-3772599823736883.0,0.0,2655106190088000.0,3.6911409918488486e+17,-6.689791528917628e+18,2.4853674228957622e+19,0.0,3.467033057852761e+21,1.0259110054170797e+17,1.0102743522552e+22,75224124911204.39,7.728678347261764e+17
1.3230930716932842e+17,0.0,2950117988986667.0,1.509762844306704e+19,9.884099930980408e+19,2.4143941948989936e+16,0.0,-1.6944875718287152e+16,2.004069552801438e+16,0.0,1145221089123.544,6.449179718766464e+17
1941577972428964.8,0.0,3245129787885333.0,1.387395241878676e+18,-5.433632489921246e+18,1.070646897473396e+16,0.0,1.92060793963674e+16,359481720988554.56,4.582336616926877e+22,272941590565.6916,6.444952907363041e+17
-4849371318521398.0,0.0,3540141586784000.0,2.0272894068194253e+17,-1.8277897633152228e+18,3.8569100057652966e+20,0.0,7.706055708322523e+18,11252323520597.666,9.164673233853756e+22,34440460132381.062,4.9510957758902624e+17
-6969061539390576.0,0.0,3835153385682667.0,1.1599615932030665e+20,-1.0646260696771164e+19,2.6661191979295404e+16,0.0,4.973323879072327e+19,-2389303792972325.0,1.3747009850780633e+23,455647981934859.1,5.4515700356165216e+17
-264443092157012.4,0.0,4130165184581333.5,3.142284856604668e+19,-2.1067321378401124e+19,1030547844034760.8,0.0,9.176042187312403e+19,-15017055000000.0,1.832934646770751e+23,852410662156163.4,5.37673580781918e+17
-1956611736768828.8,0.0,4425176983480001.0,2.0017559646451136e+17,-9.32938462384824e+18,5149656024006967.0,0.0,2.12697230451052e+19,-22030486182587.266,2.2911683084634387e+23,2110796890058116.8,6.087543769639483e+17
-1542428974397888.0,0.0,4720188782378667.0,4.0194706819768856e+16,1.1442800446941237e+22,596762400210043.1,0.0,4.283465544741258e+19,3587551553589926.0,2.7494019701561266e+23,288999317175.58295,7.728517437415749e+17
672636229775690.9,0.0,5015200581277334.0,9.620209133278876e+20,8.305939849663298e+19,6705714353308795.0,1820629723640624.8,1.3261264749575348e+19,0.0,3.2076356318488144e+23,1.3039497629443288e+17,9.402667256380676e+17
-144205611067245.6,0.0,5310212380176000.0,3.9562962637438376e+16,4.844119334635075e+18,433822596429530.3,3641259447281249.5,2.289877621513436e+18,2412455537275258.0,3.665869293541502e+23,-2315716937052.3496,1.3880994290858504e+18
7.531569955522756e+17,0.0,4731271016516527.0,5.363455984374248e+20,2.9216645212143096e+19,6.560258118047042e+16,5461889170921875.0,1.3418004463110517e+19,134719450277519.52,4.124102955234189e+23,720127440957.4603,2.6794323242834017e+18
1.196283662271046e+17,0.0,4152329652857053.5,2.5474318178805795e+17,1.7232372932455932e+19,1.604883525698415e+16,7282518894562499.0,3.3069505902468748e+16,0.0,4.5823366169268775e+23,506237905934.72577,2.0415481608087252e+18
222505065363537.84,0.0,3573388289197580.0,5.790650024021505e+16,1.5069176466132089e+19,-3118972292698585.0,9103148618203124.0,7.470799565940747e+16,0.0,5.040570278619565e+23,3458450261592.014,1.970399241945736e+18
789879720208782.2,0.0,2994446925538107.0,3.7260044720982825e+18,1.2558556791910478e+19,-417818874069871.75,1.092377834184375e+16,-7.276791139200001e+19,1686427038000.0,-4.823043928200007e+19,3552151330301.71,2.8568375920924564e+18
3193805592410260.5,0.0,2415505561878634.0,6261637676759483.0,1.425572818770123e+19,2.540259302296608e+16,7.415348203124992e+16,0.0,77185982726869.84,-2.4115219641000034e+19,19273509957102.13,1.647679537012743e+18
5.797272464242169e+16,0.0,1836564198219160.5,1.1031393361668342e+17,4.431545599623983e+18,-5.322185656330233e+16,-2074074074.0741348,-7.707131516332832e+19,0.0,0.0,4.653172772375714e+16,1.5730289511357716e+18
7898912747343123.0,0.0,1257622834559687.0,1.3931318654332214e+18,1.7732801190631988e+21,1.927015611537945e+17,5.210187147692079e+18,-7.286617065697026e+19,1.308784876380662e+18,0.0,2142920327363660.8,2.346218244619845e+18
7.1528199113583256e+16,0.0,678681470900214.0,2.529344532250577e+18,1.6580043011824012e+21,3.631626069275974e+17,-2502750000000.0,-5.498952993560762e+19,6.54392438190331e+17,0.0,1295538921588421.8,2.888665814573214e+18
2.19909114302104e+16,0.0,99740107240740.77,9366046980730612.0,-5.018163151369227e+18,2.53378186393183e+17,-1251375000000.0,-3.914382934246977e+18,0.0,0.0,83278999965421.56,2.608999402910081e+18
1.6462972810372893e+17,0.0,0.0,103350117255907.38,7.26709236450211e+17,1.6509870933414096e+21,0.0,-8.25664663923182e+17,-129570192.0,0.0,1.882052662216848e+17,1.818210862297231e+18
4.512572555046533e+18,0.0,243962522206760.0,163735151258601.56,4.606277083153989e+18,-6.118938550030917e+17,5.130013451792591e+19,-2.041646233702084e+19,4320108664075.824,0.0,4880820933128.335,1.843699517166599e+18
2.684746884173928e+17,0.0,487925044413519.9,1297709583527502.8,6.986611901795218e+18,1.124798757833218e+18,3.847510088844444e+19,-2.376085631043244e+19,-17325414733556.838,0.0,6791034386469487.0,1.7497682530120778e+18
1.9871031403858253e+18,0.0,128879029325.3463,7.300178782100279e+18,4.521489157264508e+18,1.1404351111943108e+18,2.565006725896296e+19,-3.284340408216759e+19,-44759131817500.0,0.0,449297369425049.25,3.463999593960917e+18
7.934461626451986e+17,0.0,0.0,4.234681440512384e+17,7.748796986423138e+18,9.988374772813117e+21,1.2825033629481476e+19,-3.6875856015997272e+19,580230970540466.5,2.818338210740817e+22,54298973763130.56,9.102139292804014e+17
3688275088917825.0,0.0,6.082917290401427e+21,-1459403593328598.0,3.735962684756448e+18,-4.80773182403632e+18,0.0,-9.071560662995412e+17,201728906250.0,5.636676421481634e+22,1.139858289151584e+18,-9.864905283641251e+16
2349171111429108.5,0.0,0.0,1.0990939970125948e+18,1.6633704608491377e+19,1.957618504675669e+18,0.0,-4.6573001768448e+19,106443415384079.84,8.455014632222451e+22,487995594242593.06,7.897776566066458e+16
1.0375794640663264e+18,0.0,0.0,2.8872305538654904e+18,3.251635704824196e+19,8.566982653963544e+17,0.0,-3.440908908106076e+19,2596750870114540.0,1.1273352842963268e+23,-6101766000000.0,-3.632255024502774e+17
8.723286235840907e+16,0.0,0.0,3.66597777567702e+16,7.853724997168197e+18,354787806298543.75,-115578213818181.8,-1.5826275727391854e+20,328158149664631.94,3.5616101331941e+22,-7541396894739.195,-4.336601519704952e+17
5322404167991005.0,0.0,0.0,2.814340185720843e+20,3.500150527451528e+21,-934576431438658.0,6.435049739307841e+20,-2.5964487979703085e+20,2579077069297460.5,461080704000000.0,1.9437875856e+16,-2.065647252120376e+17
9.874487146580712e+16,0.0,-160127407.4074083,2.081273947000163e+18,2.7987947480247066e+18,736316230201266.6,7.06819595034e+17,1.5484883685202736e+20,6889238621714.417,-6.280149668503708e+16,5.773343796923479e+16,-7.865619789944805e+16
56702148091337.58,0.0,-133439506.17284024,3.172867602884636e+19,1.02552973429435e+18,14736918885022.969,3.796473966286296e+17,1.0652795792600562e+19,-50641262919682.86,-1.2606407407407416e+17,-3.617996489165696e+19,-9.665004509730578e+16
77264020034767.52,0.0,-106751604.9382722,3.1634947896013606e+17,6.976505372676858e+17,-9902640000000000.0,5.247519822325923e+16,4235457697501929.5,-3848243925358.884,-6.303203703703708e+16,2389570326000000.0,4.6925580785070464e+17
-44443975822979.2,0.0,-80063703.70370415,1030053341033241.2,3.423987836538464e+18,1.540694041523968e+22,1.9456514715482173e+19,1.179211429328963e+18,-45196403045140.94,0.0,9.807134879415566e+19,8.385907338902458e+17
930578861751598.6,0.0,-53375802.4691361,3014576596448930.5,3.4493372433619323e+18,-5.5586321381819416e+16,3.886055423274109e+19,4.220726027775926e+19,-11283380282576.752,0.0,1295544075000000.0,-1.351274240083758e+17
2917046654290809.0,0.0,-26687901.23456806,869416112376428.4,3.272263240844449e+18,0.0,5.826459375000001e+19,148036015338727.06,-1263427641833.7175,4.319262760959262e+17,1.3613003754109078e+21,6.962291877147956e+17
-63439372209160.12,0.0,0.0,1356515775411890.5,1.0671361191160138e+19,10930407604915.8,4.369844531250001e+19,-244081104913980.8,-782597839892.8607,2.159631380479631e+17,-8.513765608160151e+18,1.816895089725652e+18
22825832098970.223,0.0,1621171200.0,2.77607220043883e+17,2.7196507827628646e+18,9.111970032503904e+17,2.9132296875000005e+19,-1841903286296832.8,-749170645672.3556,0.0,-1.5954265276054116e+19,1.7630247610669665e+18
571809224044953.6,0.0,3242342400.0,4531441655183717.0,3.5557817730334888e+19,3.3682949068729024e+17,1.4566148437500002e+19,470221142275736.6,-1771364270169.6145,1.3346522687646304e+21,6858158794500.0,2.0354664903387955e+18
1141918417175785.8,0.0,4863513600.0,770930658958052.6,6.823188626368272e+18,3.0274508885491744e+17,0.0,3.5324788178963155e+17,-2090673449656.733,2.6693045375292607e+21,3.4836043379407404e+16,1.5268340903053018e+18
67683567514535.055,0.0,6484684800.0,505976302332195.0,1.5547757916627313e+19,2.01089240272356e+18,0.0,-1090301812997619.2,6.079063389631695e+17,0.0,0.0,1.6044839158386117e+18
146681528542730.53,0.0,8105856000.0,1.9899430792274584e+19,3.1642761794638176e+19,1.2670616415070994e+18,0.0,2.285760827631055e+16,49513630668337.79,121780939514814.92,0.0,1.3229713110106437e+18
-1279309222885.5005,0.0,9727027200.0,1.587977382822676e+19,2.8436279061177508e+19,8.518502190411245e+16,0.0,1.2243315411151834e+17,-401581828359.1232,243561879029629.84,0.0,2.2513848872820529e+18
-2312267207360.2466,0.0,11348198400.0,2356350616651947.5,8.656967735659651e+19,5.092856263411247e+17,0.0,8419976637758330.0,1.7812512597785738e+16,365342818544444.8,738339840000.0,1.696368384829594e+18
1784202927073.983,0.0,12969369600.0,2645136184488883.0,1.9560770897358328e+19,8.804961059116144e+21,0.0,7.144863378151789e+16,8650872328440006.0,487123758059259.7,492226560000.0,8.596566221725289e+17
73859573168210.81,0.0,14590540800.0,7.90274353425986e+19,7.391104147560301e+18,1.8260490650165635e+17,24609375000.0,1.9773444252729776e+17,2218338656382672.8,608904697574074.6,246113280000.0,9.12975404736752e+17
-818822342738.0211,0.0,16211712000.0,3.604790998111278e+20,1.9443578550030623e+18,2.8324014055670586e+17,49218750000.0,1.1370755927629502e+17,-21067748445129.07,-1.7179397223772816e+17,0.0,1.2136809841022912e+18
-3076914433703.3584,0.0,13509760000.0,3802972482019728.0,1.0579198504215064e+18,2.6832457222977536e+20,73828125000.0,3.47614234555876e+16,911813889827940.2,-3.441968491730304e+17,5.2857895976394e+16,1.3200334001873006e+18
62078077443059.23,0.0,10807808000.0,8.314449754791906e+18,4.85283188081965e+16,-2.6959543049085728e+17,98437500000.0,4975678600396180.0,-7357985617887.477,-5.165997261083326e+17,1.05715791952788e+17,1.3934292359117868e+18
400027999968192.0,0.0,8105856000.0,,-3.4107522690249914e+17,-1.8540975081593747e+17,123046875000.0,7274085717675554.0,2.634454775260528e+16,-6.89002603043635e+17,1.58573687929182e+17,1.0745650284846214e+18
41553128314342.414,0.0,5403904000.0,,-2.424499382093433e+17,1.297152815312649e+17,147656250000.0,1.7249470255442532e+16,1.1462790848889044e+16,-8.614054799789372e+17,2.11431583905576e+17,1.1131381754243236e+18
90573597215425.95,0.0,2701952000.0,,1.3571088114024154e+17,2.45525197700165e+16,-532644178206.9959,1.7544511573042168e+16,1.775407699800544e+17,-1.0338083569142394e+18,1.0559887889418544e+17,6.986101611548219e+17
553644488995687.9,0.0,0.0,,1.0668909998582358e+20,-408286283892295.8,-1212944606413.9917,6326261364159768.0,2.624042038196057e+17,-1.2062112338495416e+18,-233826117205107.8,1.288277336298161e+18
169631309740184.2,0.0,0.0,,1.454129546727628e+17,2.179990683510974e+16,9.89196751137026e+18,-4474029231016424.0,2.374841357169229e+17,-1.3786141107848438e+18,6932592592592.4375,1.1165434548749745e+18
7.123968740310298e+16,0.0,0.0,,-2256020659946335.0,3.4417499807024284e+16,1.978393623568513e+19,2.380781848096278e+16,2.962289498975159e+17,-1.551016987720146e+18,3466296296296.2188,9.870453594138812e+17
302369183577013.6,0.0,0.0,,6090611154099736.0,2.521668639580844e+16,2.967590496e+19,1.1710063152938376e+16,2.350637778043306e+17,-1.7234198646554483e+18,0.0,7.50874172028836e+17
373067464732858.5,0.0,0.0,,1.9800091132863608e+18,1.2684944927140137e+19,-7918357899456794.0,-1.382530330940764e+16,1.996145043748249e+17,-1.8958227415907505e+18,4.034837087612057e+16,4.540353386655189e+17
321976383342.8148,0.0,-1221262654320987.2,,2.004527390859145e+17,1.8050280946521504e+17,-63905808290499.6,2686150246708960.0,1.0581489312779875e+17,-2.0682256185260529e+18,934130534740740.4,3.3382494108634554e+17
92993676057017.69,0.0,-2442525308641974.5,,1.9964589801276166e+17,6.16268771197546e+17,-5139030814938073.0,3.078286187065972e+18,2.2358085434614707e+17,-2.240628495461355e+18,3.49517048699259e+16,9.051781390705592e+20
60487874215070.78,0.0,-3663787962962961.5,,2.4955796217057795e+17,3.4362224994427245e+17,-4933469582340550.0,-1.2685717837513444e+16,2.0327837357041168e+17,-2.4130313723966577e+18,2714479185597656.5,3.281268152575176e+17
3515421408104511.5,0.0,-4885050617283949.0,,2.1756724790429136e+20,5.130576852089909e+16,-4727908349743027.0,1.3357148280300466e+16,3151380078351905.0,-2.58543424933196e+18,7050378402695999.0,2.038672898902616e+17
59674689241472.25,0.0,-6106313271604936.0,,2.111617723234453e+17,9571070554694276.0,-4522347117145504.0,6.485759893549175e+16,1.0596374735769074e+17,-2.757837126267262e+18,4900303544906250.0,4.112134521293407e+17
10869798036657.756,0.0,-7327575925925923.0,,2.4559662071059866e+17,4232970034048669.0,-4316785884547981.5,5.504394580831281e+16,-717039234376767.0,0.0,1.0989720736045948e+23,5.0416932172363085e+17
-439903572799.7323,0.0,4932246816000000.0,,5.864990155932745e+17,2.8533007971065607e+20,-4111224651950458.5,1.8335315010505804e+16,-701648569801013.5,1.3904791991592175e+20,1.3017103659516357e+23,3.388130958520102e+17
-479256568507.2537,0.0,1.1594853107309448e+21,,1.19411329594353e+20,2.651061006265757e+18,-3905663419352936.0,3959552736184819.0,699787645156272.1,2.780958398318436e+20,5657536976000000.0,1.6604274638406755e+17
