Duration_Impulse_factor,Duration_Impulse_factor.1,Duration_Impulse_factor.2,Duration_Impulse_factor.3,Duration_Impulse_factor.4,Duration_Impulse_factor.5,Duration_Impulse_factor.6,Duration_Impulse_factor.7,Duration_Impulse_factor.8,Duration_Impulse_factor.9,Duration_Impulse_factor.10,Duration_Impulse_factor
11.861800577326616,4.476851832379254,8.43561680500606,8.447331922038105,8.893363912040126,5.4172035048747365,28.42995901601141,10.55063035417466,3.8489160966414393,2.3423981590069256,1.9554159059063307,34.00987790129175
3.693266044556702,1.7087723189530883,5.235430754584842,2.987980064497215,1.2923341946597762,1.949639400850644,2.2842436374034887,2.7219444444444445,1.73704004129489,1.1557325508279188,2.188417884468941,3.204309905419948
2.60296990266014,1.4024937655860348,2.035244704163623,5.654764337100641,1.57284469810754,2.121791182866991,1.5939060939060945,2.2493049147412183,1.2595168374816983,1.2284921336969552,1.1716144774298494,1.6493624640799411
4.09556678281669,1.3991756986769457,1.770257894250486,1.3109243697478992,1.28888482966481,2.2939429648833376,1.9066596748820133,6.0199435764527305,1.4440913030915918,1.3012517165659918,1.07077974638007,3.910889226210998
2.5827039007583856,1.3958576317678562,1.5052710843373494,2.110058455956461,1.543250829293187,2.1384849194996605,1.6805088265368335,2.029150870848259,1.9633699633699635,1.3740112994350282,1.112135176651306,1.7426083563049928
1.8139119854376045,1.3925395648587666,1.0867937978969882,1.253880266075388,1.7617135423559165,1.983026874115983,1.4543579781916538,1.2278654839547745,1.824235254351868,1.2049512378094525,2.231376688579786,1.977738470098903
2.039601475150353,1.3892214979496773,1.3200162082243247,2.364296819787986,1.980176255418646,1.1006825938566551,1.228207129846474,1.38545756118516,1.720574747783553,1.20996924196471,3.3506182005082663,1.8246646524547725
3.20336020859838,1.385903431040588,1.5532386185516616,1.8605722496935888,2.1986389684813754,2.4213719085394305,1.1404912280701756,2.351324285149558,1.7657199694652168,1.2149872461199671,1.076561766087365,1.8138567605596825
2.1166578720236267,1.382585364131499,1.7864610288789982,2.492941534184693,1.685839055043166,2.152815461338069,1.3125958090492504,1.5593852641823125,1.8108651911468807,1.2200052502752246,1.9366793440987595,1.9713378532718329
2.219598436409992,1.3792672972224094,1.045559134836631,1.6926865800616413,1.1730391416049568,1.884259014136708,1.484700390028325,1.6821935380421709,2.421172921355198,1.2250232544304818,1.796015836505491,2.089036698585609
1.705691833187935,1.37594923031332,1.3542788796604064,3.137224905478943,1.1444611803368478,3.719083546336469,1.6568049710074002,1.752418762278274,3.031480651563515,1.2300412585857392,1.945056182250276,1.9875555118032613
1.6090101032779902,1.3726311634042307,1.6629986244841817,2.1490559186637617,2.5205656248246453,2.896194170780802,1.828909551986475,2.075018099801931,1.3507328160514147,1.2350592627409966,2.012984783258404,2.5883628145936046
2.4391551740765745,1.3693130964951412,1.194755244755245,1.8538258575197888,1.1255441406930176,5.948816910818744,3.192424543570232,1.5856143931504294,1.3975834679590735,1.240077266896254,1.9876041653920045,2.2556422079620493
3.025825347939117,1.365995029586052,1.2914008675682571,2.529488016327581,1.1178308134449582,2.967652222061423,2.8616015465802143,1.671107507086634,2.709871869325825,1.2450952710515113,1.8144846862081925,2.568194597577842
2.365233465699028,1.3626769626769626,1.9944055944055945,2.482856763061831,1.108652845122881,1.7416993522398216,2.530778549590197,1.2367076534204309,1.741712605659684,1.2501132752067683,1.881091989798992,2.2631152500149887
2.848925199890403,1.3501834875183432,1.9219203756968108,2.436225509796081,1.0994748768008038,1.863612040414241,2.1999555526001795,2.13580333880815,1.7088686099052006,1.255131279362026,4.533118052687653,2.8257075315428324
2.968320550104286,1.3376900123597235,1.8494351569880272,2.350231998625193,1.0902969084787266,1.9855247285886608,1.869132555610162,1.4167638726878853,1.7813469155036548,1.2601492835172834,2.755512975474988,2.7976100654303244
2.4225896519701604,1.325196537201104,1.7769499382792435,2.8369569806222823,1.0699502718280265,1.9783479023049773,1.5383095586201447,1.5977717176963997,1.853825221102109,1.2651672876725406,2.492675961795541,2.7424919894162554
2.441591074608313,1.3127030620424849,1.70446471957046,2.4805354000906887,1.049603635177326,1.8208721598998776,1.6160780234935903,1.5986376951684946,1.4432751243205737,1.270185291827798,3.00322084823394,2.7986781880844767
3.041126170570009,1.3002095868838652,1.6319795008616762,2.124113819559095,1.029256998526626,1.6633964174947784,1.693846488367036,1.7344574099733925,2.754592090021512,1.2752032959830553,2.285560586363025,2.8411626806488504
2.495604920710769,1.2877161117252456,1.5594942821528923,1.4870800506184432,1.1711596063329053,1.0881876013471372,5.8832543130644845,1.706950488891383,1.6696969696969697,1.2802213001383127,1.887390067045034,2.8740097476670456
3.2311881075765023,1.2752226365666262,1.4870090634441089,2.516658540549326,1.1696509564014574,1.6375321336760924,3.716679348599048,1.597742877147364,2.119914889305436,1.5706224245916856,2.1019021739130435,2.766786543975083
1.7776350193850872,1.2627291614080067,1.4419659742088426,4.609900062460961,1.1681423064700098,1.2882558765476402,1.5501043841336115,1.4824375666880512,1.870523415977961,1.8610235490450584,2.5073553448839485,2.388988988966855
1.649998406476081,1.2502356862493873,1.3969228849735762,1.4990291262135922,1.1666336565385622,1.7781805507145347,1.715408586848301,1.624262682365951,1.5488344051446945,1.7935878259408762,2.6842416814073013,2.755383885375518
1.4886236478925774,1.2377422110907677,1.35187979573831,2.72844656336909,1.1651250066071144,1.3014416775884663,1.8807127895629905,1.5934481489787855,3.1586083666176163,1.726152102836694,2.671977959194037,2.840198021969088
3.008938574245517,1.2252487359321482,1.3068367065030435,4.116506717850288,2.0612035851472474,1.1683712410319036,4.234122848003452,1.6886571535187014,1.5865152070355442,1.6587163797325115,2.425082317183486,2.865748863122988
2.438039050606269,1.1169076052796982,1.2617936172677773,3.09984501669051,1.1193831427811751,1.200422329031547,1.6048292872906662,2.977153010164681,2.0410189860919115,1.5912806566283295,2.2002064318977914,2.666482489996552
3.682940873810853,1.124702613009434,1.2167505280325108,3.4019173806414624,1.2880215343203232,1.2324734170311906,1.0323308270676692,1.607587839318946,1.6685745270514525,1.5238449335241473,1.5452853048077777,2.7375653738702104
2.866093074700949,1.13249762073917,1.1717074387972446,2.959263827577252,1.710662481974722,1.264524505030834,1.5641983258209915,1.7311672168165089,2.406911043660985,1.4564092104199649,2.116648992576882,2.991748528661501
3.20572785493272,1.1402926284689057,1.1266643495619784,3.5512929809605005,3.840337114094881,1.879090909090909,2.207093920735409,1.8594241842610368,1.6506826506826506,1.3889734873157829,1.0016587980094422,3.032670176255419
