Counts_Central_moment_3rd_order,Counts_Central_moment_3rd_order.1,Counts_Central_moment_3rd_order.2,Counts_Central_moment_3rd_order.3,Counts_Central_moment_3rd_order.4,Counts_Central_moment_3rd_order.5,Counts_Central_moment_3rd_order.6,Counts_Central_moment_3rd_order.7,Counts_Central_moment_3rd_order.8,Counts_Central_moment_3rd_order.9,Counts_Central_moment_3rd_order.10,Counts_Central_moment_3rd_order
349184.2032050219,55337.84756515776,435816.51682198944,237859.20559110784,170008.73555140258,267447.57709235576,24840879.06466691,125163.87012040617,40446.74953149246,7609.391999999998,6373.375210135713,5225576.907201952
10660.098909695998,-3943.0,223213.8664109948,28859.111060537107,-3360.0,-39539.40740740745,137.16022743841046,5556.711162055115,1933.074074074075,-1190.0,-6639.154488092805,19040.334603464933
12303.466143684936,0.0,10611.215999999997,107914.7363453262,0.0,233324.0000000002,3483.407407407404,-5494.491300752036,1284.5925925925935,-1414.3333333333333,0.0,-3446.1906562500017
-4064.9723458690696,0.0,5305.607999999998,160.0,-1617.0,506187.4074074078,42988.59259259256,18149.01433135444,2592.592592592592,-1638.6666666666667,0.0,-668.785806768886
-10269.683170844502,0.0,0.0,325.78125,0.0,253093.7037037039,27907.197530864178,-727.4437722456225,23970.0,-1863.0,0.0,-16256.92905821136
-13523.271488912098,0.0,0.0,71.90625,51812.469135802494,0.0,12825.802469135791,-508.1057442579182,0.0,-26511.92592592591,201802.62962962952,-14953.8363397288
-11076.074264692092,0.0,1707.1358024691365,17402.81481481482,103624.938271605,0.0,-2255.5925925925944,1041.0156312420845,580.5,-24727.180246913565,403605.25925925904,-4792.947061556354
-6566.061775386842,0.0,3414.271604938273,-11343.39358600583,155437.40740740747,32038.224000000017,0.0,4865.546957175055,290.25,-22942.43456790122,0.0,-3015.085690042281
-11172.799754677282,0.0,5121.40740740741,10456.539444027045,77718.70370370374,21170.313166180764,0.0,-521.44921875,0.0,-21157.688888888875,-2651.7435966841563,-2026.195532935879
-9838.782988164494,0.0,0.0,47012.97599999999,0.0,10302.40233236151,0.0,1470.6281292671829,91095.62850332864,-19372.94320987653,-2946.5204558514565,-1776.2084818510475
-3693.714630961091,0.0,-1173.0,233116.37716002995,-0.5925925925925742,7029.689135711989,0.0,520.0508140996152,182191.2570066573,-17588.197530864185,-1750.4508537784516,-5103.478860208046
-13737.775453125396,0.0,-2346.0,8457.218658892125,12795.27113702624,206.22098779491697,0.0,512.8639692648912,807.6384839650153,-15803.451851851842,-2078.2315008435785,-3978.4334628823513
5541.976487301596,0.0,32.59259259259262,1338.74074074074,31.40625,14734.224667559514,269534.11661807576,6.029575643477626,-4640.255999999994,-14018.706172839498,-1671.0917951535523,-3700.197090120107
600.4330975406253,0.0,-11.407407407407396,-1362.0467812499949,-315.2407407407408,1623.29794185384,216264.1476944606,-346.55057272670234,10494.58229244929,-12233.960493827151,-2647.125847395861,-989.6088921443104
2480.841036748596,0.0,1722.65625,26433.976609375,-210.16049382716056,1895.78230995772,162994.17877084546,-60.48180965625002,4819.5,-10449.214814814808,-4008.5019683240703,-379.8861520888133
624.6508381567374,0.0,1464.5625,54230.0,-105.08024691358028,1991.770784608492,109724.20984723028,457.5942888814379,3024.0,-8664.469135802465,3934.561599950825,2711.1824203963915
