Energy_Crest_factor,Energy_Crest_factor.1,Energy_Crest_factor.2,Energy_Crest_factor.3,Energy_Crest_factor.4,Energy_Crest_factor.5,Energy_Crest_factor.6,Energy_Crest_factor.7,Energy_Crest_factor.8,Energy_Crest_factor.9,Energy_Crest_factor.10,Energy_Crest_factor
13.519443659049209,6.508576080460952,8.946672380655366,9.612575935256094,6.789398175060263,6.832875127158247,9.229016936395194,11.18996567286472,7.834094093341213,4.017380250565397,3.705118743035959,13.53181845349911
6.333281619317583,1.9452927829823643,5.499803949107136,4.7200039162556005,1.638945392371689,2.274876071421258,4.102763203048147,6.397010621367789,2.5510068779804995,1.544359454884794,3.3671331816206407,6.115869045824229
3.7167074996758473,1.4116119327408156,2.052935517558905,7.195531401272393,1.4139890073724477,2.0034142978051306,1.7574617131857615,8.638426851119107,1.6553628053274678,1.4498331532423572,1.3984408328698863,3.236604633941336
4.267110285968378,1.4117380187109096,1.7335502115984298,2.207275120242715,1.6527018967737122,1.731952524189003,1.7320449707665146,20.060913501055342,1.7253750167914597,1.3553068515999205,1.086302283029686,12.871936303945963
3.793417269511643,1.4118641046810034,1.4141649056379548,1.5555417371184146,1.4140912449257537,1.5730827739011457,1.788734688537882,22.718726227239163,1.730412673495317,1.2607805499574836,1.3940077166860811,2.5808810632819825
2.7472256733536087,1.4119901906510974,1.2843576912561148,1.2363723842264314,1.5200700171797683,1.414213023613288,1.8454244063092489,1.2303212608560596,1.414203766587418,1.3348643021124929,1.9214009250639887,2.589793486985357
3.342649523738654,1.4121162766211914,1.4335584849454848,2.9879429185394035,1.626048789433783,1.2863788752140868,1.902114124080616,6.815490454119346,1.9604424989472096,1.3397272325317608,2.448794133441896,2.3355118243262294
3.402009135857665,1.4122423625912852,1.582759278634855,2.2884545698924774,1.7320275616877976,3.140462607639521,1.0520154493283942,4.685287875323108,1.6872749116623518,1.344590162951029,1.0808188657424915,2.154107926478145
3.627302875382725,1.4123684485613792,1.731960072324225,3.310515730889611,1.5652402922429516,2.4639039993215377,1.1425589005743864,2.308442394776502,1.414107324377494,1.349453093370297,7.666983692967071,2.630534437681052
2.7929034759945703,1.4124945345314732,1.093807700540912,2.210014475628223,1.3984530227981056,1.7873453910035546,1.2331023518203783,3.16006518864582,2.426404438127551,1.354316023789565,2.777757865990537,2.3985561661446977
4.218313193633173,1.412620620501567,1.4044125575340367,3.2945901083618603,1.300869140049789,13.927973456109283,1.3236458030663705,13.834830931281632,3.438701551877607,1.359178954208833,14.018786136284689,3.7370627377638033
2.6252339394994992,1.412746706471661,1.7150174145271615,2.452616213803496,2.082724699261433,4.369205131006755,1.4141892543123626,19.86414242029981,2.01323457472412,1.3640418846281013,2.392901420768032,3.102054163268701
5.715566052318788,1.412872792441755,1.0978772555116407,1.7057090805865014,1.4966373195966465,10.584349215795134,2.6457280335402253,16.506241186934908,2.000540729097479,1.3689048150473693,4.037856947156639,3.526030801226036
