Rise-Time_Shape_factor,Rise-Time_Shape_factor.1,Rise-Time_Shape_factor.2,Rise-Time_Shape_factor.3,Rise-Time_Shape_factor.4,Rise-Time_Shape_factor.5,Rise-Time_Shape_factor.6,Rise-Time_Shape_factor.7,Rise-Time_Shape_factor.8,Rise-Time_Shape_factor.9,Rise-Time_Shape_factor.10,Rise-Time_Shape_factor
3.104021425489388,1.4754602685691836,2.313078773850413,1.84988124324477,1.650292497834802,2.252047652158822,3.6249350763936574,1.5514383454389216,1.4148216305255985,2.310689658021176,1.2136780784196943,5.909734263418814
1.1144838579143412,1.0500139334412784,1.8322938021439703,1.1375388054088549,1.0344204013886578,1.11992389295809,1.0941825007106247,1.5994697406934126,1.1912341670055822,1.0183462901521598,1.025697146927893,1.246238254966868
1.0712158310553437,1.0226882029699116,1.3515088304375278,1.2106285858468266,1.0425085626435018,1.1935837123259485,1.0672901747851518,1.0202703642370468,1.1940868070381474,1.0171825211914516,1.0005031867082332,1.239401230224304
1.110167654460192,1.0254778482317453,1.2084824208344105,1.072105886396325,1.034655708094841,1.2672435316938069,1.03713960529253,1.197870588210214,1.1150618433247332,1.0160187522307431,1.0246038573430472,1.2862723271385168
1.041265587094407,1.0282674934935792,1.0654560112312934,1.234259865648062,1.0162714583726649,1.3351242698156278,1.0397653209631526,1.0429465686513488,1.105762609049391,1.0148549832700349,1.0512325931876707,1.1780790227862863
1.0528444000474804,1.031057138755413,1.045948855247188,1.0067341335687536,1.1471620578816957,1.4030050079374488,1.0423910366337752,1.0337614533853965,1.0304484792133046,1.2936710903322024,1.5445889869060017,1.1387294275760875
1.0411080031297162,1.0338467840172467,1.1102841147402516,1.05672838037712,1.2780526573907267,1.0155745920967465,1.0450167523043978,1.0952631726293822,1.018684964297236,1.2799803725769452,2.0379453806243326,1.132129576504294
1.0671465607120665,1.0366364292790804,1.1746193742333153,1.1503310813571834,1.4089432568997575,1.0988138854959546,1.0461149132632106,1.1943193636333027,1.210519964314043,1.2662896548216882,1.0421507896510898,1.1054787031013842
1.043537297810296,1.0394260745409143,1.2389546337263788,1.045860757700583,1.20513620595723,1.0881867610436808,1.0366168290405673,1.0765842037492572,1.4023549643308502,1.252598937066431,1.3006762343287848,1.1146081783097548
1.0645631622316682,1.0422157198027482,1.0914748451355256,1.0453373225442353,1.001329155014702,1.0775596365914069,1.027118744817924,1.0237877963829256,1.2924811418578872,1.2389082193111738,1.256759754329673,1.1243260393341357
1.0540740072488366,1.045005365064582,1.1252407403763216,1.1840309416376966,1.174213439232987,1.0819501515118126,1.0176206605952804,1.1213237955556798,1.1826073193849245,1.2252175015559166,1.1984787165224309,1.1219136113893753
1.0547439986094842,1.0477950103264155,1.1590066356171176,1.111492617239053,1.0584636078001162,1.2120159822004353,1.0081225763726371,1.0176599624631189,1.0240635252445591,1.2115267838006596,1.217340506597943,1.1249437847408783
1.0369421596223705,1.0505846555882494,1.0890611400039332,1.233666601896958,1.0318719244772154,1.0780629347043895,1.4652454574726177,1.0845611883775004,1.1705924942108117,1.1978360660454024,1.29905210450325,1.1254124925627258
1.069917366830896,1.053374300850083,1.152473829921971,1.3026608852087354,1.074897530963323,1.2764173963152508,1.4050349345145343,1.2277683704573783,1.0263451234003074,1.1841453482901452,1.2155986790018718,1.0945398663121206
1.0790186593428224,1.056163946111917,1.3359261385998678,1.1713788918393724,1.0607550612712928,1.0784377044168565,1.3448244115564516,1.0652937402917624,1.3037939992579402,1.170454630534888,1.1276803238943902,1.1318506979448877
1.1906771729720802,1.0558255661244569,1.2995233203891852,1.0400968984700094,1.0466125915792626,1.115801232596231,1.2846138885983684,1.3002731590943537,1.0337929648966118,1.156763912779631,1.3635608195172704,1.1695329217034165
1.7493483835672337,1.0554871861369963,1.2631205021785024,1.1664144158771494,1.0324701218872323,1.1531647607756053,1.2244033656402855,1.280837596983412,1.08398396097092,1.1430731950243738,1.2353586043596565,1.2435438361422333
1.172184227957598,1.0551488061495362,1.2267176839678198,1.1679743284630184,1.0219139977930558,1.080170686400708,1.1641928426822024,1.347208223882447,1.1341749570452286,1.1293824772691166,1.2359418187562667,1.1866932892594133
1.127481916834871,1.054810426162076,1.1903148657571372,1.1118470847691424,1.0113578736988793,1.0810914131202087,1.1200718166152712,1.487190205753683,1.0485071763177705,1.1156917595138591,1.294410635267636,1.1730665238570923
1.1132447472879397,1.0544720461746155,1.1539120475464546,1.0557198410752666,1.0008017496047028,1.0820121398397096,1.0759507905483403,1.2069985571725144,1.312796051445937,1.1020010417586024,1.2765075776357455,1.2946078203180658
1.1051498737957408,1.0541336661871554,1.1175092293357718,1.0755639161136907,1.0604078570630842,1.0373458061278855,1.006457904235157,1.074480272665119,1.53485641822948,1.0883103240033452,1.0090251756110726,1.1953740216688262
1.1496646086897857,1.053795286199695,1.0811064111250892,1.1744591879289064,1.0725877845821212,1.0465767395636965,1.006898514146509,1.0212883322509878,1.3058237763007223,1.0516324891557134,1.0951233368070965,1.2282528791538094
1.0622793708857927,1.0534569062122348,1.0768290814435133,1.2929176980006312,1.0847677121011583,1.0064168592549927,1.007339124057861,1.0517343627505191,1.125747208588882,1.0149546543080816,1.0922796124469891,1.1617896635495442
1.1128281957517696,1.0531185262247744,1.0725517517619374,1.1119781081002849,1.0969476396201954,1.0801470587831143,1.0166806401970383,1.0379816878508366,1.0693108308620247,1.0145570158895854,1.0130453231009424,1.2103905419096723
1.086582830715036,1.0527801462373143,1.0682744220803615,1.209510763667668,1.1091275671392324,1.0614259574970075,1.0260221563362162,1.3650858274509272,1.031757560646244,1.014159377471089,1.0137303426352182,1.2051567137544172
1.1286277311261437,1.052441766249854,1.0639970923987856,1.432144623681734,1.245293116858199,1.2089404083993225,2.13807021473785,1.1728620250104185,1.0456119491634344,1.0137617390525928,1.018099449606823,1.203576632264132
1.1005043098750624,1.0360551741865411,1.0597197627172097,1.38419251347869,1.0001866847144818,1.1394507543409595,1.055026851116546,1.0263840635519128,1.10149292787606,1.0133641006340963,1.042247975972186,1.1442888184157796
1.3097660997406244,1.034250936764598,1.055442433035634,1.408691634247092,1.0311978718870227,1.0699611002825968,1.0119968923096534,1.020377317822967,1.019697706174898,1.0129664622156005,1.2767278931579429,1.1578901155359322
1.0593577138233696,1.0324466993426549,1.051165103354058,1.5498950619070593,1.0300333607825334,1.000471446224234,1.0001365933621995,1.0092435991090876,1.1249394274051945,1.0125688237971038,1.1201546768192323,1.1914433279424526
1.0462127636393523,1.0306424619207115,1.0468877736724822,1.0811246922128788,1.7737914118845413,1.0452058955903365,1.0426202044210873,1.048610153839758,1.0280560677270794,1.0121711853786075,1.0011820231199826,1.3002687003237914
1.0246401895023325,1.0288382244987684,1.0426104439909063,1.2194135077801296,1.0492165222792786,1.0237865550933216,1.0519929776474604,1.0215781649555542,1.0021130823837106,1.0117735469601112,1.312899259431661,1.2218287263263112
1.120053089858814,1.0270339870768252,1.0383331143093304,1.1457507828573248,1.1060941866693033,1.0266508178635925,1.439107851346685,1.0200956355365218,1.1456155669774168,1.011375908541615,1.1354838580985287,1.2058347182034748
1.058236560066821,1.025229749654882,1.238517674731084,1.4276929623136916,1.1322633834865927,1.1066073829735392,1.3051728309005948,1.006202716996196,1.0250476744357122,1.0109782701231187,1.4648680594862438,1.1673681568771264
1.0733756834949453,1.023425512232939,1.24511848584622,1.3875227287632974,1.0876923526018938,1.0014291142232052,1.1712378104545045,1.0088038992922617,1.110694565242677,1.0105806317046224,1.3756886704367683,1.2359831137906556
1.058748679235097,1.0216212748109956,1.2517192969613558,1.4887212795583566,1.0475397391099257,1.235636718958446,1.0373027900084142,1.0152863512790486,1.1102909156411989,1.0101829932861262,1.4807079061286952,1.3139644218841744
1.1035925338748849,1.0198170373890525,1.2583201080764916,1.5768640284665,1.0148564308597898,1.152242286615522,1.3547226944410653,1.1934495933650893,1.1433415129086573,1.005634840176271,1.508734759841226,1.1339045668634593
1.0908418659135175,1.0180127999671094,1.2649209191916275,1.3902970130479335,1.0235898012890057,1.23443898827346,1.6721425988737166,1.1393386082772792,1.1179018765866489,1.0010866870664157,1.649195216828888,1.1974938443039538
