Energy_Shape_factor,Energy_Shape_factor.1,Energy_Shape_factor.2,Energy_Shape_factor.3,Energy_Shape_factor.4,Energy_Shape_factor.5,Energy_Shape_factor.6,Energy_Shape_factor.7,Energy_Shape_factor.8,Energy_Shape_factor.9,Energy_Shape_factor.10,Energy_Shape_factor
6.325216366888927,4.653989133090947,5.23170864268174,5.220138811151419,3.5527956533566813,3.981500484134589,5.886584984462808,6.6792108563095365,5.45083749212106,2.82254066152397,2.316736944649161,6.72555598635732
3.904032558962948,1.5241219662110472,3.459731653141678,3.1266881234267285,1.222830704590511,1.636999163960844,2.3013028139563345,5.378404675222139,1.5881552971323087,1.2449251008107325,2.17312317461048,4.47543065136647
2.1013587677223606,1.335689233424315,1.6877546636016174,4.2454258878610185,1.389670636053944,1.6754336760135675,1.5167685478452595,2.241419962140089,1.285418277573159,1.2096181053078008,1.2429565883696243,1.567940485130672
1.7172237336400962,1.3378683171797472,1.5451907287851827,1.4357306588102146,1.3583333890442386,1.7138681880662914,1.7258811848554176,14.134616364433462,1.5603777399781829,1.1743111098048693,1.0041109682620093,3.916286027785729
1.4958790725583122,1.3400474009351793,1.402626793968748,1.4163917676457969,1.3959744249909791,1.5634244623290685,1.5811519753750474,5.434894552021346,1.6449880804902146,1.1390041143019376,1.2253291240032202,1.1662474978066677
1.3385225960584104,1.3422264846906111,1.0659134085677742,1.1087860373261162,1.5039337716827197,1.412980736591845,1.4364227658946769,1.0121909377791454,1.408979101500193,1.1993344250897164,1.793650863987751,1.1331826843732866
1.4609493255452957,1.3444055684460436,1.280166328013237,2.548681635734406,1.6118931183744596,1.0672693931294088,1.2916935564143066,2.7683162397239385,1.6818587864904655,1.192371355449352,2.361972603972282,1.1143174120214705
1.501438777024553,1.346584652201476,1.4944192474586997,1.6383235673355665,1.7198524650662,2.6345358959830865,1.0014312312933529,4.055572418634961,1.539525856898069,1.1854082858089878,1.0035796021911114,1.0994296962482293
1.4546171192841326,1.348763735956908,1.7086721669041625,2.9740824253310576,1.481431085571511,2.0028151052753453,1.1025719680922366,1.373334145803333,1.3971929273056725,1.1784452161686234,1.2826570909986286,1.1551892556307544
1.339065543806762,1.35094281971234,1.004905664108456,1.943528057735244,1.2430097060768222,1.3710943145676042,1.20371270489112,1.4200765991039002,1.7816040663892787,1.171482146528259,1.3132466314128843,1.1857645539664443
1.7917677314115077,1.3531219034677724,1.2632352570318932,2.9565978519282563,1.0345156523254548,7.86774902554187,1.3048534416900035,1.834508069577768,2.1660152054728847,1.1645190768878948,3.133409738461628,1.224518943030501
1.3980759290913174,1.3553009872232047,1.5215648499553305,1.8844080950968896,1.7150031512852624,1.2732678837817162,1.4059941784888874,2.303883589061711,1.2215619006628655,1.1575560072475304,1.1849249547569938,1.3307293083024192
