Rise-Time_Crest_factor,Rise-Time_Crest_factor.1,Rise-Time_Crest_factor.2,Rise-Time_Crest_factor.3,Rise-Time_Crest_factor.4,Rise-Time_Crest_factor.5,Rise-Time_Crest_factor.6,Rise-Time_Crest_factor.7,Rise-Time_Crest_factor.8,Rise-Time_Crest_factor.9,Rise-Time_Crest_factor.10,Rise-Time_Crest_factor
16.407493750777633,3.5396857592168858,6.481358764073032,7.758873865720689,5.616305223981459,5.4085787763857,10.975166302998762,8.127183215039807,5.554077782430744,4.289783914664252,3.371731464406753,17.5389149546162
3.2154236115430805,1.221647295527034,4.042982953089823,2.476613507480705,1.256375774785934,1.38035904850065,1.5997714500274276,4.896565298758765,2.4025870604557853,1.2348451721782243,1.316172505655258,4.073183586693161
4.219021878479513,1.1872848622836278,1.6046071421066144,2.5363061935335875,1.2418692244611196,1.44538657487999,1.6011508939391008,1.818011320520404,1.5015588090843484,1.2480570424335091,1.0312084891483098,2.212544477507816
7.653303411606223,1.194059329356543,1.4441370998598355,1.5725463065238765,1.393731212069032,1.51041410125933,1.324333924530496,8.702181419537949,1.4780777927383233,1.2612689126887944,1.1938159289864612,3.7724897676938833
7.185144488761151,1.2008337964294575,1.283667057613057,1.5459029578099854,1.1622179159382673,1.462291084332937,1.3793344379293513,3.098963943338491,1.3814682054084728,1.2744807829440794,1.2596411419860023,4.759929990632977
7.42165234922742,1.2076082635023724,1.249209153505774,1.127148403865581,1.3432688684066696,1.414168067406544,1.4343349513282064,2.4256735372654714,1.2117485607925849,1.6701648690323614,1.8483090921461955,6.385760774182088
7.300296729837559,1.214382730575287,1.3597371005547607,1.4055644856145464,1.524319820875072,1.15912428918371,1.4893354647270618,3.5088710649110912,1.2177366407908403,1.648867203625651,2.4369770423063883,6.572032967880158
7.960125381681245,1.221157197648202,1.4702650476037475,1.6350378991689585,1.7053707733434744,1.2592095958374103,1.249551909947279,2.0144432148044302,1.3159496033725615,1.6275695382189406,1.2410785415426624,6.073652721621189
2.319714541545666,1.2279316647211167,1.5807929946527342,1.3851601441232952,1.3777754262285362,1.310580544127156,1.216821152931112,1.6422037145304824,1.4141625659542831,1.6062718728122305,8.52186552223081,7.905989071343346
8.963932229755834,1.2347061317940315,1.3169322045211789,1.2556503957821032,1.0501800791135978,1.3619514924169016,1.1840903959149451,1.7188192682047614,1.654055531163496,1.5849742074055198,5.196130727048562,7.282267804667272
1.3907651684619609,1.2414805988669464,1.3517473685165522,2.431672080616625,1.6153351483234617,2.533666654364569,1.1513596388987783,6.672126483595375,1.893948496372709,1.5636765419988097,3.368129862877277,10.230652124482278
1.9749653272433696,1.248255065939861,1.3865625325119255,1.7661224942669629,1.6706749394327327,6.477513218316026,1.1186288818826116,2.737487956358102,1.2696067634794457,1.542378876592099,3.970790919678578,14.846923807635068
2.195868293160942,1.255029533012776,1.200575387342604,1.6146111833043404,1.1031180576823094,3.915450518528694,2.444579741095546,4.768380580358197,1.4942336890474943,1.5210812111853886,5.238939909953516,9.601861164906971
2.8777079633324907,1.2618040000856907,1.5171253000055749,5.269031354511733,1.2846480401862572,4.480127338509232,2.257988472926897,2.824097429463796,1.4570281436035926,1.499783545778678,3.673913549203821,9.652125916727195
2.230774374176354,1.2685784671586056,1.8702885309678905,3.249253115669563,1.262220702156871,4.211212691084493,2.0713972047582483,2.395608729782846,1.816389405419395,1.4784858803719678,4.200480697154091,10.590192883216622
7.836761392633667,1.267971285835638,1.8102535673367963,1.229474876827394,1.2397933641274843,2.999804670978194,1.8848059365895995,2.5918559361169247,1.2702545034419996,1.4571882149652573,3.5529991767697693,12.65021678831963
5.785135774650276,1.267364104512671,1.7502186037057026,1.646519752425898,1.2173660260980983,1.7883966508718951,1.6982146684209505,2.1228673207078783,1.495318425392354,1.435890549558547,4.0765353311360215,11.769102027572238
2.1005073986797567,1.2667569231897031,1.6901836400746086,1.7897479308209163,1.158991119572537,1.5162969634272998,1.5116234002523017,2.161903950671344,1.720382347342708,1.4145928841518365,3.4829106299069137,10.895055136309722
2.4687431689184645,1.2661497418667358,1.630148676443515,1.5351628365067618,1.100616213046976,1.5834530983287758,1.4335804245935329,8.674045041593832,1.3348890727241731,1.3932952187451262,4.175171763858324,10.42964697375858
2.796881804357254,1.2655425605437682,1.570113712812421,1.2805777421926072,1.042241306521415,1.650609233230252,1.355537448934764,1.4578948392741966,1.6235282389503551,1.371997553338416,3.415321099829346,13.193300321792432
2.249847495475598,1.264935379220801,1.510078749181327,1.5589660936435104,1.3667524800383766,1.2299056722973178,1.8218621671121389,1.1766981094622548,1.7167002768723647,1.3506998879317054,1.5887466685857343,9.448907664621467
5.266083161107838,1.2643281978978334,1.450043785550233,1.7126982985426011,1.4794632475020797,1.1998903314513625,1.4888253693145224,3.0809982701185152,2.501287894786609,1.2825408010399597,1.336686406715916,12.42555242158285
1.6086931797634358,1.263721016574866,1.428268411389067,1.6816352898848657,1.5921740149657828,1.0992179458117357,1.1557885715169056,3.541223710910164,1.67551549953748,1.2143817141482138,1.5066640525270478,8.993849665678816
1.6426592136978848,1.2631138352518985,1.4064930372279008,1.336634081872213,1.7048847824294855,1.4031795590984613,1.2721051806629549,4.811108617799083,1.738210629883482,1.2074790484604394,1.8228597220675329,10.16017830234384
1.5850379386605762,1.2625066539289311,1.3847176630667344,1.883222412069111,1.8175955498931888,1.2773798739965128,1.388421789809004,6.280611547738631,1.3677776709357088,1.200576382772665,1.6910971245893056,9.286109836898666
6.068839353718102,1.2618994726059636,1.3629422889055682,2.268530414206011,1.4939210573570545,1.3891214717428586,2.8586226143806788,4.676588857721249,1.2834023741307603,1.1936737170848906,3.833811287087751,11.859954500611169
2.2155728149844154,1.2267140089564212,1.341166914744402,2.351049535747645,1.019133414867011,1.2694891402635,1.2691818419453584,2.465856213337976,1.7031753416318829,1.186771051397116,1.8716556716502424,10.148655576643078
8.59774839760965,1.2178198791399193,1.319391540583236,2.208187840461962,1.2138621846901632,1.1498568087841414,1.141666702875244,2.7388144824928373,1.2894658722445789,1.1798683857093415,2.3679973434316586,8.56224731575256
2.574810754227429,1.2089257493234171,1.2976161664220698,3.466238858682817,1.2177805273823803,1.0302244773047828,1.01639009347966,1.2023737800233687,1.4917117891257656,1.1729657200215673,1.791940025371982,12.735703322018423
1.9880265912274624,1.2000316195069152,1.2758407922609034,1.340273872855787,6.239450931265074,1.3673565784810555,1.4169256737196347,1.1499432469504345,1.2339875752537877,1.1660630543337929,1.0473977760494273,10.522044561535433
