Energy_Central_moment_6th_order,Energy_Central_moment_6th_order.1,Energy_Central_moment_6th_order.2,Energy_Central_moment_6th_order.3,Energy_Central_moment_6th_order.4,Energy_Central_moment_6th_order.5,Energy_Central_moment_6th_order.6,Energy_Central_moment_6th_order.7,Energy_Central_moment_6th_order.8,Energy_Central_moment_6th_order.9,Energy_Central_moment_6th_order.10,Energy_Central_moment_6th_order
4.932009278842315e+46,1.2642642340256968e+44,2.243716634010153e+45,9.218223386510178e+45,4.111714894089231e+40,4.3615189488845855e+44,2.799573131931777e+48,1.0576176218350347e+45,1.898599202441983e+45,6.680906290076402e+44,2.965310041930109e+45,4.138574972241593e+45
1.7453814773062961e+43,4.172938250724125e+42,1.1218583170082663e+45,1.61928421846675e+44,8.064350171517398e+29,4.1077239746362115e+44,3.3577874432644296e+39,5.866854911949627e+43,1.5554956030477238e+31,1.052118528846698e+34,2.471145549667609e+43,6.852717405502548e+42
1.5036381547435175e+43,6.494347860673082e+28,6.379578321295455e+33,2.5086050122037856e+43,5.099056319892745e+34,4.363599618767611e+45,2.8483997787007345e+36,1.1110931258986692e+36,3.956081737303375e+32,7.019971227967428e+33,5.071625879780289e+39,3.426486287825616e+37
3.0497462269370267e+43,9.69093168648999e+31,2.240715522148504e+35,1.027968314214571e+37,2.061611379708383e+37,8.316426840071601e+45,2.445354660406148e+45,1.1429063026275499e+47,1.3178057030554666e+31,3.518757167467876e+33,4.008069065264062e+28,2.152992382526202e+44
1.6186083516133919e+43,1.9375369025119307e+32,4.417635261084054e+35,4.4722172189070175e+36,1.7275730463686784e+36,4.158213420056781e+45,1.630236440275932e+45,9.616468316314476e+41,2.3198063564356623e+31,1.754310696832307e+31,1.8448262292133942e+35,3.059556119524338e+40
5.302414597997193e+41,2.9059806363748623e+32,7.896739287939062e+28,1.6365328247985792e+32,3.902235140816496e+39,4.196010354597891e+34,8.151182201457173e+44,2.097836109661833e+28,5.722019601587716e+33,5.260061678811735e+34,1.3793725704440544e+42,1.0557084335436365e+41
7.904597171634419e+41,3.8744243702377946e+32,4.3994335445434e+35,9.201010836160306e+39,7.802742708586623e+39,1.0303775093937655e+24,1.550205153212867e+34,8.147227484015667e+34,7.051025323498488e+34,4.909422303731334e+34,2.758744956405486e+42,8.154674755397043e+40
2.5102287383033664e+40,4.842868104100726e+32,8.798866299412872e+35,1.3488582064835335e+36,1.1703250276356751e+40,2.2911271175347004e+44,7.35091890625e+23,5.214888478438837e+40,3.525681457329347e+34,4.558782928650931e+34,1.4710627334390624e+22,5.658646860668356e+39
6.313783550100326e+40,5.811311837963658e+32,1.3198299054282344e+36,1.852297112987856e+43,5.851625210950068e+39,1.14556355876787e+44,1.511374218640032e+32,3.3917463915283944e+31,3.37591160206357e+30,4.20814355357053e+34,1.7450438180093746e+35,1.0675959804329796e+40
1.669979299296236e+41,6.77975557182659e+32,2.985984e+18,8.895517196811784e+43,1.4554338346761216e+32,1.0396364313720625e+32,3.0227484299291453e+32,3.0634710750117663e+29,2.7163927187269822e+45,3.857504178490127e+34,3.362865379563588e+31,6.691183058023967e+39
5.078588382662495e+40,7.748199305689521e+32,3.875893813647399e+32,2.234423776741643e+46,5.825525808578258e+26,8.727209401661292e+45,4.5341226412182585e+32,1.1593395594655189e+35,5.432785437453961e+45,3.5068648034097257e+34,2.7972556908374748e+38,8.282605332409005e+39
1.1804386464057748e+42,8.716643039552453e+32,7.751787627294769e+32,4.418867505169999e+35,4.553380314535938e+33,8.8003364941164e+30,6.045496852507371e+32,9.020599337956078e+36,3.977011072201652e+32,3.156225428329324e+34,2.2324181993028984e+29,4.445496789743397e+40
3.3285536758379947e+40,9.685086773415385e+32,4.4261017485425286e+17,1.5819170963162084e+26,5.101752684690552e+24,1.3145231331956736e+37,7.801509429724208e+47,1.4373811197651116e+35,6.323102108077826e+40,2.8055860532489217e+34,3.6416136675800978e+31,1.5094848967657513e+41
9.798994979023078e+33,1.0653530507278316e+33,3.3721353879948347e+23,9.724819954134312e+45,4.4927667587757255e+25,5.506924972556897e+33,6.24120754723423e+47,4.754568278353123e+34,6.75384651155387e+40,2.45494667816852e+34,4.9807257446547496e+30,4.5121073717895584e+41
6.86799118605191e+36,1.1621974241141248e+33,5.650107086336461e+27,4.862417527911534e+45,2.9952633633974505e+25,9.263559052496252e+31,4.6809056647442524e+47,3.1859884819724496e+29,1.5831848468119198e+37,2.1043073030881177e+34,7.276226110182746e+34,8.425875835980277e+39
3.700672738225933e+36,1.056543294791653e+33,5.578928215259824e+28,1.5101688754896523e+40,1.4977599680191754e+25,3.528860711545161e+35,3.120603782254274e+47,7.042567993078135e+37,1.0416452059502056e+33,1.7536679280077157e+34,2.459964624144296e+38,1.0044324973206052e+40
1.1993150576084584e+30,9.508891654691812e+32,1.0592845721886e+29,5.7014015961887355e+44,2.565726409e+21,7.056795067185072e+35,1.5603018997642955e+47,1.559359634678846e+30,4.297896309127296e+34,1.4030285529273136e+34,1.3995782988545432e+30,4.1793960149627205e+39
