Counts_Clearance_factor,Counts_Clearance_factor.1,Counts_Clearance_factor.2,Counts_Clearance_factor.3,Counts_Clearance_factor.4,Counts_Clearance_factor.5,Counts_Clearance_factor.6,Counts_Clearance_factor.7,Counts_Clearance_factor.8,Counts_Clearance_factor.9,Counts_Clearance_factor.10,Counts_Clearance_factor
14.180386967809447,5.677661941201055,10.353239508838922,9.342642863281664,9.833685647289393,6.7006689744392745,35.6883414173329,9.19744742872398,4.825255363850042,2.59194457686768,1.9296099520738592,39.82602661793393
3.711705877253421,1.7282679868722866,6.9763350860900415,3.1477746399239805,1.372465784699849,2.405246198731404,2.586958606522047,2.9975588964219533,2.0633032741588955,1.1764673702453907,1.8758114890699924,4.077845354170192
2.6337069376020814,1.9098300562505253,3.599430663341161,6.886644682358694,1.6667176430050394,3.02421105785244,1.608757408923083,2.276352464284688,1.3462863886538587,1.264708222270159,1.2821836018962969,1.7260753722111453
3.462891651827765,1.84325444488199,2.6204025485744324,1.481424501952401,1.126713485193386,3.643175916973476,1.8774152416067649,4.580583284042564,1.939740257492231,1.3529490742949273,1.00731268749141,2.6125088311573568
2.006768458123349,1.776678833513455,1.6413744338077043,2.3595236301156115,1.477289745472979,3.4045501131357563,1.7263812508572929,2.0367687914540427,3.1874659741442266,1.4411899263196957,1.027590126295463,1.6182760216691932
1.7285780176411432,1.7101032221449195,1.1410880269767334,1.3330723680504406,1.9444785686307609,3.1659243092980365,1.575347260107821,1.173299234170968,2.6654795122689947,1.341201924757485,2.155466448366981,1.4183493933819962
2.0917669380112778,1.6435276107763843,1.4498672011980342,2.2583088626011665,2.4116673917885425,1.1200780487990596,1.424313269358349,2.116826318116147,2.207431868519336,1.3354477462443448,3.283342770438499,1.5769638116800058
2.4919666464905945,1.5769519994078491,1.758646375419335,2.0945219265725163,2.878856214946324,2.889798109379798,1.1767109298751663,2.656380746604795,2.420332963221049,1.329693567731205,1.0427191363140045,1.5158707199822663
1.789680280817023,1.510376388039314,2.067425549640636,2.5061176329025123,1.995423047655968,2.640899264869814,1.604657368095748,1.9403329463134005,2.6332340579227616,1.3239393892180649,1.8865957765772168,1.8067177476580432
2.0653566752211883,1.4438007766707788,1.0852206793636514,1.8847130497882645,1.1119898803656103,2.3920004203598304,2.032603806316329,2.1120653337036948,3.210923248318013,1.318185210704925,1.6332063686217777,1.9462505424918737
