Counts_Root_standard_squared,Counts_Root_standard_squared.1,Counts_Root_standard_squared.2,Counts_Root_standard_squared.3,Counts_Root_standard_squared.4,Counts_Root_standard_squared.5,Counts_Root_standard_squared.6,Counts_Root_standard_squared.7,Counts_Root_standard_squared.8,Counts_Root_standard_squared.9,Counts_Root_standard_squared.10,Counts_Root_standard_squared
1031.0494653507174,402.51459600864166,891.18179963462,721.6210917094927,443.6575255757531,520.39792466919,1776.1272476937006,818.8461393937203,511.0743585819973,277.06316969240066,424.2640687119285,1445.6545230448387
626.6482266790516,185.9193373482167,490.57423006308,273.19590040847976,79.54872720540537,217.19806628973475,247.5479751482528,356.73379430606235,119.13857477744142,107.70793842609746,293.3359848365011,296.5316172012691
1206.9979287471872,45.89117562233506,89.96666049153987,413.52267168802246,65.80273550544841,229.385000872911,156.25299997120055,502.4967661587485,93.66963221877197,103.09249236475114,126.40015822774906,339.683676381424
2251.06152736881,45.91921909758255,73.28968995520626,152.35156710713545,144.78259563911678,241.5719354560873,146.78555787270082,1213.2279258243277,59.21992907797171,98.47704630340483,96.87620966986684,1227.3178072528729
3290.7058513334187,45.947262572830034,56.61271941887264,115.58114033007288,78.0,153.28981365433367,139.0152698363139,1277.1029715727702,82.86132994346639,93.86160024205851,103.27632836231156,1826.735886766338
4721.252588032121,45.97530604807751,57.8013840664737,121.32188590687171,103.4824673500061,65.00769185258002,131.244981799927,383.020887158912,79.1012010022604,158.76397576276554,171.14025621305285,3917.469336191414
3738.548381390831,46.003349523325,59.89361516911686,179.20379460268134,128.9649347000122,30.610455730027933,123.47469376354006,236.16731357239087,74.1215218408257,154.60258649565293,239.00418406379416,4798.940299691172
3401.143190164154,46.031392998572485,61.98584627176002,142.80056022299073,154.4474020500183,210.535032714273,72.42237223399962,213.68200672962607,55.58776823406176,150.4411972285403,50.24937810560445,4877.287668366507
3278.727192067068,46.05943647381997,64.07807737440318,210.70121024806667,109.94219732297492,168.93461932248275,70.32458976908184,116.03878661895772,37.05401462729781,146.27980796142768,966.528840749204,4819.7535206688735
3884.81144973601,46.08747994906746,17.029386365926403,213.4923886231076,65.43699259593154,127.33420593069248,68.22680730416405,94.87887014504336,223.7165538310093,142.11841869431504,1097.229693364156,5101.678841322727
