RMS_Root_amplitude,RMS_Root_amplitude.1,RMS_Root_amplitude.2,RMS_Root_amplitude.3,RMS_Root_amplitude.4,RMS_Root_amplitude.5,RMS_Root_amplitude.6,RMS_Root_amplitude.7,RMS_Root_amplitude.8,RMS_Root_amplitude.9,RMS_Root_amplitude.10,RMS_Root_amplitude
75.15919802557114,88.8822722538245,57.55971878892328,32.10433654607425,43.628094915435135,41.71921822350425,39.98215602291148,47.22863393575812,33.52098803676707,42.72159721272958,43.468444463203134,35.706708551689424
72.32087100165951,43.89591920911007,42.892898620571,20.058953928249167,11.786060065168863,19.824479765375457,25.06470700085656,31.29271514544465,20.25560733160081,19.8711973640916,22.99303829305321,35.027971007240225
84.27249322121904,27.891716566776804,28.22607845221872,23.62832122154592,16.296164741766525,18.39053219301683,29.84662409309962,35.05024258565758,14.94422344210114,19.199299598743824,24.39497847476575,37.61296782748161
77.49192295966279,28.47145245997969,26.568959443495764,17.136992183398498,13.8057771436706,16.95658462065821,24.196380101382783,32.39331345594288,17.09083872795154,18.52740183339605,17.796488071143582,43.45246683291954
78.67920740638051,29.05118835318258,24.91184043477281,17.70670444814893,13.799813430238189,24.098000518132963,23.70192142153956,29.224573680791845,18.59177206785668,17.855504068048276,21.295773809357403,46.93426575191793
68.16555176060031,29.63092424638547,35.49746460765594,17.87535113112793,15.556285266690276,31.23941641560772,23.20746274169633,28.117788419294545,18.234884741312587,11.792075337194444,19.066750647182097,47.15851208574512
66.0282927600383,30.21066013958836,33.19138392941087,19.641394313811613,17.312757103142363,17.90889383614004,22.713004061853105,26.89331905915304,18.78461451368766,11.689353428733517,16.837727485006788,47.36650971589674
62.24004768621914,30.790396032791243,30.8853032511658,19.799829113797333,19.06922893959445,27.25281264065218,14.613694235532575,31.75498745589015,26.881411580792765,11.586631520272588,18.116847156416664,47.31481257199319
70.54372667016973,31.37013192599413,28.579222572920724,20.288017156796176,18.85825703358992,28.554215594961374,18.78996291915967,31.818744218965413,34.978208647897866,11.48390961181166,38.41159069503906,48.83012743615304
66.86846264226536,31.94986781919702,29.31400966133065,25.188336183578777,18.6472851275854,29.855618549270567,22.96623160278677,30.242990589934656,31.35002201893945,11.381187703350731,41.12473617884802,52.204900679916086
60.73647669996714,32.529603712399904,29.19734881436804,36.20653627276517,17.583692870996643,48.29927003577008,27.142500286413863,30.185086825548844,27.721835389981035,11.278465794889804,59.21264468272746,51.95966960190288
60.275096724123095,33.1093396056028,29.080687967405428,37.40379604286711,18.88279868933052,35.94406955977485,31.31876897004096,28.674478327618505,17.194875920945485,11.175743886428878,53.395915004904616,55.59935005829737
52.248083400058526,33.689075498805686,29.74653800009218,31.64700631966445,22.34891036903804,39.11771039311623,33.935081561891664,27.51052341107214,26.6939346314756,11.073021977967947,48.702451882848486,55.10389387316208
48.45424147158344,34.26881139200857,19.90057935599293,51.6621057431561,21.201384239470908,42.49407788097848,32.49450482223667,28.03073536092242,18.683261741030417,10.970300069507022,37.14572142767324,54.21803737830796
49.27286097310882,34.84854728521146,22.90644867028308,59.11776730247836,20.87162742658044,50.42437273750644,31.05392808258168,26.201699848279112,26.71402618708857,10.867578161046094,35.034802921788355,43.02273878462378
53.21846241993018,34.39259286396484,24.84496176050136,66.57342886180062,20.541870613689976,48.72031272019301,29.613351342926684,27.41785916374189,20.801481718728706,10.764856252585169,45.058129784088,53.46605235457164
58.212684342488494,33.93663844271821,26.78347485071965,45.71700160860362,20.21211380079951,47.01625270287958,28.17277460327169,29.166227177770065,25.827487539539696,10.662134344124238,40.1127057677109,50.08910679522821
57.86615360734303,33.48068402147159,28.72198794093793,39.61406804682915,21.168712898495723,31.961041513977644,26.7321978636167,27.323389526616545,30.853493360350686,10.559412435663312,50.342713136949946,53.82761926564298
56.769770206966,33.02472960022497,30.66050103115621,49.81726488408177,22.12531199619194,37.89228449616136,27.63608143796036,30.01204891442607,30.692272351764885,10.456690527202383,50.39947468517392,54.91088306003348
64.76011620885082,32.56877517897835,32.599014121374495,60.02046172133439,23.081911093888152,43.82352747834508,28.539965012304016,26.045862011331405,35.96767701337412,10.353968618741456,47.81731087464862,57.517025909326215
59.51156617777319,32.112820757731726,34.53752721159278,60.99746307289358,25.576528165310144,28.752438279606064,30.24829438682208,23.935207599185127,29.032467837851684,10.251246710280528,60.223020058424375,58.41051297149817
58.59768784615864,31.656866336485106,36.47604030181107,33.410643858167774,26.9471996753162,37.6396715812943,29.89088444465675,25.03110821326809,25.47006122980975,12.018526454044755,57.67546303075663,52.10098584450429
67.71075480729151,31.20091191523848,35.3931414034244,64.08107239124297,28.31787118532225,45.93667929709736,29.53347450249142,25.94201342056748,24.582451225795563,13.785806197808984,52.14130131586359,52.12709946984314
