Duration_Median,Duration_Median.1,Duration_Median.2,Duration_Median.3,Duration_Median.4,Duration_Median.5,Duration_Median.6,Duration_Median.7,Duration_Median.8,Duration_Median.9,Duration_Median.10,Duration_Median
277.7,263.25,222.3,258.15,195.4,290.5,272.54999999999995,258.54999999999995,273.25,393.9,554.7,225.7
196.8,457.05,167.0,256.45,341.95,658.7,366.5,403.7,203.85,530.3,487.0,228.3
296.95000000000005,200.5,111.7,280.0,332.9,577.8,353.15,393.7,319.0,451.9,737.7,396.5
442.2,199.97916666666663,188.65000000000003,438.1,599.75,496.9,304.7,433.1,231.3,373.5,555.95,430.5
576.25,199.4583333333333,265.6,321.4,391.9,372.175,349.1166666666667,418.85,195.2,295.1,520.8,656.5
595.6,198.9375,280.54999999999995,345.95,331.3333333333333,247.45,393.5333333333333,351.1,295.85,791.1,422.075,667.2
541.8,198.41666666666663,261.29999999999995,324.5,270.76666666666665,175.8,437.95,340.8,238.15,760.8266666666667,323.35,674.7
454.2,197.8958333333333,242.05,345.1,210.2,263.6,356.25,363.95,230.9,730.5533333333334,212.9,661.6500000000001
518.75,197.375,222.8,377.2,270.525,265.35,341.125,318.05,223.65,700.28,384.0,657.6
596.9,196.85416666666663,108.65,649.4,330.85,267.1,326.0,280.9,264.675,670.0066666666667,381.85,620.9
411.6,196.3333333333333,149.525,319.7,241.25,353.7,310.875,352.6,305.7,639.7333333333333,300.1,657.9
516.7,195.8125,190.4,259.0,142.0,189.6,295.75,350.15,351.9,609.46,308.45000000000005,658.2
208.7,195.29166666666663,94.4,96.2,142.39999999999998,165.45,321.8,348.4,665.7,579.1866666666667,313.4,658.3
137.7,194.7708333333333,117.3,536.3,139.8,234.0,356.78000000000003,346.3,335.9,548.9133333333334,371.9,620.0
155.25,194.25,96.7,453.0,147.65,269.20000000000005,391.76,346.6,316.15,518.6400000000001,304.9,530.7
191.3,204.4590909090909,106.75714285714284,369.7,155.5,302.45000000000005,426.74,346.7,246.75,488.3666666666667,112.0,530.7
160.15,214.66818181818184,116.81428571428572,210.65,163.35,335.7,461.72,346.3,311.525,458.09333333333336,303.2,529.2
148.1,224.87727272727275,126.87142857142857,327.1,160.95,367.5,496.7,346.1,376.3,427.8200000000001,238.0,531.0
236.1,235.08636363636364,136.92857142857142,255.625,158.55,360.7,504.25,343.0,479.6,397.5466666666667,408.0,515.7
228.7,245.29545454545456,146.98571428571427,184.15,156.15,353.9,511.8,335.1,100.5,367.27333333333337,273.15,527.1
169.35000000000002,255.50454545454545,157.04285714285714,829.85,160.3,400.85,87.1,335.5,43.5,337.0,179.5,534.4
161.1,265.7136363636364,167.1,374.1,196.75,190.0,311.15,343.1,387.2000000000001,300.4,180.8,522.6
218.3,275.9227272727273,184.29,219.0,233.2,497.8,535.2,342.9,413.3,263.8,284.5,516.1
218.2,286.1318181818182,201.48,257.5,269.65000000000003,466.7,473.2000000000001,342.5,377.1,274.31666666666666,178.8,521.4
339.0,296.3409090909091,218.67,356.85,306.1,305.2,411.2,339.3,168.0,284.83333333333337,180.6,530.8
215.9,306.55,235.86,90.0,153.5,327.54999999999995,48.1,343.2,469.85,295.35,178.9,551.2
215.6,477.3,253.05,332.8,188.05,321.06666666666666,377.65,347.6,255.2,305.8666666666667,177.64999999999998,592.6
218.25,463.5289473684211,270.24,251.6,222.9,314.5833333333333,266.0,339.4,305.7,316.3833333333333,364.1,593.6
226.1,449.7578947368421,287.43,256.1,419.2,308.1,388.25,339.5,232.3,326.9,310.4,600.2
143.6,435.9868421052632,304.62,317.2,259.4,313.2,188.5,282.1,299.1,337.4166666666667,391.85,602.7
193.9,422.21578947368425,321.81,172.29999999999998,222.3,336.9,352.4,282.3,605.8,347.93333333333334,311.5,600.6500000000001
219.6,408.44473684210527,339.0,421.35,261.5,288.8,172.3,289.7,220.2,358.45,292.1,604.2
208.5,394.6736842105264,342.9,275.8,132.5,278.2,132.18333333333334,332.2,273.4,368.9666666666667,287.4,661.1
208.0,380.9026315789474,313.8111111111111,286.5,126.9,288.5,92.06666666666668,332.9,312.2,379.48333333333335,213.3,660.45
196.4,367.1315789473685,284.72222222222223,285.7,344.35,255.3,51.95,290.4,311.04999999999995,390.0,138.05,660.3
193.5,353.36052631578946,255.63333333333333,247.6,171.0,248.85,26.025,283.0,235.15,249.05,213.35,592.8
191.3,339.58947368421053,226.5444444444444,320.5,538.6,438.1,0.1,282.5,282.5,108.1,161.14999999999998,607.6
179.6,325.8184210526316,197.45555555555555,352.2,584.7,378.15,58.175,275.05,251.35,146.83999999999995,171.5,620.2
179.7,312.0473684210526,168.36666666666667,326.0,546.3,365.4,116.25,275.1,282.4,185.58,155.0,591.65
175.8,298.2763157894737,139.27777777777777,315.65,562.95,591.2,174.325,282.3,89.3,224.32,217.7,525.1
248.8,284.5052631578948,110.1888888888889,309.75,543.4,642.1,232.4,225.2,314.55,263.05999999999995,159.2,521.8
252.5,270.7342105263158,81.1,313.2,543.9,694.6,290.475,223.05,315.0,301.79999999999995,167.8,518.7
245.1,256.96315789473687,83.85,402.9,543.9,702.4,348.55,283.9,355.7,340.54,137.7,457.3
207.0,243.1921052631579,86.6,301.7,589.2,639.55,334.925,278.2,355.9,379.28,138.45,484.2
252.4,229.42105263157896,89.35,344.29999999999995,583.0,593.2,321.3,286.1,202.15,418.02,227.05,466.6
245.6,215.65,92.1,292.15,643.7,527.95,307.675,7.0,98.3,456.76,221.9,377.3
333.6,218.35,94.85,375.85,586.0,426.1,294.05,312.4,439.9,495.5,223.05,377.0
337.7,221.05,97.6,401.3,581.4,325.2,306.93636363636364,301.1,442.5,427.95,218.15,518.6500000000001
253.1,223.75,100.35,626.6,577.9,335.9,319.82272727272726,190.75,392.3,445.3,137.7,592.8
405.8,226.45,103.1,316.0,579.2,272.75,332.70909090909095,271.7,392.3,588.7,142.3,650.0
409.9,229.15,105.85,279.75,581.1,379.3,345.5954545454546,448.7,165.75,375.3250000000001,147.95,660.6
410.3,231.85,108.6,289.7,581.6,281.4,358.4818181818182,510.2,163.15,161.95000000000002,189.25,660.8
410.2,234.55,111.35,206.0,589.2,367.9,371.3681818181818,298.15,393.05,193.89545454545456,210.7,615.95
413.3,237.25,114.1,374.3,584.7,360.1,384.2545454545455,376.9500000000001,239.05,225.8409090909091,221.6,599.6
414.3,239.95,116.85,487.35,581.7,494.1,397.1409090909091,447.2000000000001,355.9,257.78636363636366,396.5,393.7
395.0,242.65,119.6,502.7,588.5,451.3,410.0272727272728,517.45,335.85,289.7318181818182,229.55,415.9
390.3,245.35,122.35,404.3,585.3,435.5,422.9136363636364,517.3,335.7,321.67727272727274,130.1,412.5
390.1,243.32302631578943,125.1,436.6,588.6,393.0,435.8,503.0,327.6,353.6227272727273,86.0,384.7
383.0,241.29605263157893,127.85,430.0,595.9,387.7,423.7583333333333,437.8,142.6,385.5681818181818,227.5,383.6
337.2,239.26907894736843,130.6,433.7,581.6,336.4,411.7166666666667,276.0,235.2,417.5136363636364,228.2,412.15
337.0,237.2421052631579,137.27777777777777,437.0,577.6,301.9,399.675,280.0,136.35,449.45909090909095,248.7,572.8
329.5,235.21513157894736,143.95555555555555,441.8,578.2,271.1,387.6333333333333,282.55,71.15,481.4045454545454,93.1,523.0
321.9,233.18815789473683,150.63333333333333,475.0,585.6,382.8,375.5916666666667,113.1,107.1,513.35,105.0,481.7
323.1,231.1611842105263,157.3111111111111,465.15,589.1,431.6,363.55,722.2,236.35,671.9,175.2,485.6
279.1,229.13421052631577,163.98888888888888,475.85,647.5,437.3,420.4,671.5999999999999,125.7,527.425,130.0,407.3
316.8,227.10723684210527,170.66666666666666,470.5,649.9,487.65,301.4,721.7,392.05,382.95,329.1,476.9
338.2,225.0802631578948,177.34444444444443,515.4,651.8,446.5,302.8,721.55,96.2,403.55,77.45,512.6
405.2,223.0532894736842,184.0222222222222,257.0,592.4,337.45,330.1,702.05,191.475,424.15,318.45,512.8
337.1,221.02631578947367,190.7,204.25,653.3,343.3,340.1,700.6,286.75,444.75,180.55,505.2
190.2,218.9993421052632,263.54999999999995,307.2,653.5,407.0,350.1,699.3,20.35,465.35,180.7,510.2
215.7,216.97236842105264,212.275,301.5,654.1,548.5,639.4,700.55,146.9,471.4500000000001,183.8,569.8
284.35,214.9453947368421,161.0,320.6,654.3,488.4,562.35,703.2,262.7,477.55,184.55,581.5
215.7,212.9184210526316,177.9,316.0,661.9,484.65,485.3,709.4,349.0,386.1,226.3,661.9
274.65,210.89144736842104,176.65,335.5,695.3,482.1,408.25,718.3,240.8,385.1,188.9,720.1
273.7,208.8644736842105,306.7,516.75,695.8,693.3,331.2,707.7,353.0,384.1,339.04999999999995,751.1
269.8,206.8375,132.0,446.0,691.9,677.5,389.4,649.95,194.2,383.1,340.7,718.7
224.4,204.81052631578947,166.78333333333333,382.65,663.1,370.8,447.6,652.2,231.0,382.1,167.5,751.1
205.2,202.7835526315789,201.56666666666663,557.6500000000001,653.4,359.5,541.3,661.2,231.6,513.85,165.75,751.1
201.7,200.7565789473684,236.35,611.5,605.8,387.8,500.6,664.7,243.3,325.6,334.75,722.9
199.7,198.72960526315788,81.2,315.20000000000005,580.3,442.0,488.4,591.2,258.5,454.15,425.9500000000001,727.8
201.5,196.7026315789473,105.05,382.6,584.4,445.8,392.65,344.45,261.8,582.7,665.2,729.05
201.5,194.67565789473684,128.9,499.8,584.4,483.7,296.9,404.15,288.0,497.4,311.6,726.5
201.4,192.6486842105263,152.75,489.4,579.8,579.9,361.01666666666665,409.8,268.9,412.1,164.0,726.6
201.4,190.62171052631567,176.60000000000002,562.5,630.3,547.8,425.1333333333333,409.9,262.1,394.65,296.05,729.3
202.1,188.59473684210525,200.45000000000005,557.05,647.8,409.35,489.25,412.3,261.9,355.2,630.5,726.05
202.1,186.56776315789472,224.3,528.1500000000001,651.7,432.7,485.15,415.3,211.3,313.65,597.1,725.2
202.0,184.54078947368416,211.26,490.2,652.0,303.3,481.05,415.4,220.1,272.1,638.7,726.3
219.4,182.51381578947368,198.22,451.4,650.3,622.05,476.9500000000001,419.4,226.4,348.20000000000005,43.9,726.6
219.5,180.48684210526315,185.18,439.5,571.5,343.1,472.85,457.7,236.8,424.3,226.95,726.2
219.5,178.45986842105262,172.14,350.7,571.5,416.3,396.41,468.7,205.2,512.9,149.8,726.4
213.2,176.43289473684212,159.10000000000002,323.95000000000005,585.4,466.6,319.97,469.0,223.3,468.97,199.85,726.5
197.4,174.40592105263158,146.06,310.45,585.7,497.6,243.53,469.25,266.3,425.04,249.9,726.4
197.4,172.37894736842105,133.02,281.05,544.3,443.0,167.08999999999995,438.1,270.7,381.11,186.85,726.3
140.8,170.35197368421052,119.98,288.45,542.7,701.9,90.65,420.3,306.1,337.18,186.96666666666667,725.75
120.05,168.325,106.94,249.55,578.1,443.3,121.075,413.2,321.9,293.25,187.0833333333333,665.6
154.8,166.29802631578946,93.9,507.0,588.1,383.8,151.5,417.0,368.5,311.534375,187.2,658.5
154.5,164.27105263157893,80.31666666666668,387.0,590.3,692.9,181.925,416.2,372.0,329.81875,225.6125,658.5
154.6,162.2440789473684,66.73333333333333,373.25,593.7,696.5,212.35,421.3,372.4,348.103125,264.025,662.4
149.4,160.2171052631579,53.150000000000006,,617.8,696.5,242.775,452.75,326.4,366.3875,302.4375,640.5999999999999
70.9,158.19013157894736,39.56666666666667,,665.0,502.6,273.2,421.2,326.5,384.671875,340.85,603.9
322.3,156.16315789473683,25.98333333333333,,597.4,495.8,307.4,470.1,326.5,402.95625,351.925,659.0
174.3,154.13618421052632,12.4,,591.8,528.25,341.6,470.4,322.8,421.240625,363.0,665.9
175.7,152.1092105263158,67.63333333333333,,599.1,283.9,379.0,470.5,281.3,439.525,428.6,662.75
159.9,150.08223684210526,122.86666666666666,,573.4,283.8,416.4,499.6,339.7,457.809375,411.2000000000001,662.2
222.05,148.05526315789473,178.1,,558.4,284.1,453.8,553.65,294.8,476.09375,393.8,662.4
153.9,146.0282894736842,305.65,,565.6,284.2,558.9,519.9,294.7,494.378125,241.05,501.6
91.7,144.0013157894737,322.39166666666665,,604.7,284.5,386.5,515.3499999999999,295.0,512.6624999999999,335.5,662.5
172.8,141.97434210526313,339.1333333333333,,608.7,284.7,394.2,519.1,235.6,530.946875,529.4,662.95
142.9,139.94736842105263,355.875,,609.8,284.7,397.85,520.1,159.7,549.2312499999999,321.4,665.8
146.0,137.9203947368421,372.6166666666667,,612.4,272.1,401.5,432.05,77.7,567.515625,337.7,665.6
174.2,135.89342105263157,389.35833333333335,,618.0,272.1,405.15,368.5,289.5,585.8,339.20000000000005,589.9
177.7,133.86644736842106,406.1,,620.4,275.7,408.8,261.1,351.35,226.4,339.45000000000005,662.5
177.9,131.83947368421053,409.15,,620.6,396.3,412.45,227.9,362.8,246.24444444444444,347.9,662.6
178.1,129.8125,413.0,,620.3,480.95,416.1,175.0,342.0,266.0888888888889,302.65,516.7
181.2,127.78552631578948,171.35000000000002,,616.4,490.8,419.75,181.5,338.3,285.93333333333334,302.1,509.6
188.9,125.75855263157894,171.5,,601.2,437.05,423.4,217.45,342.5,305.77777777777777,310.9,513.3
192.5,123.7315789473684,192.0,,608.6,498.0,427.05,174.25,104.6,325.62222222222226,318.3,721.1
231.3,121.70460526315787,309.0,,608.4,498.2,430.7,148.3,63.8,345.4666666666667,325.7,500.0
231.6,119.67763157894736,46.25,,602.8,498.0,434.35,442.05,78.1,365.31111111111113,332.0,506.45
238.2,117.65065789473684,160.56666666666666,,602.8,497.8,438.0,487.6,62.4,385.1555555555556,208.95,496.5
236.0,115.6236842105263,274.8833333333333,,600.9,497.9,441.65,521.4,99.0,405.0,323.3,513.3
236.4,113.59671052631576,389.2,,604.8,494.6,445.3,525.4,101.3,397.25,251.9,535.1
240.1,111.56973684210524,230.4,,608.1,498.4,448.95,525.9,105.9,389.5,203.6,535.2
