Counts_Shape_factor,Counts_Shape_factor.1,Counts_Shape_factor.2,Counts_Shape_factor.3,Counts_Shape_factor.4,Counts_Shape_factor.5,Counts_Shape_factor.6,Counts_Shape_factor.7,Counts_Shape_factor.8,Counts_Shape_factor.9,Counts_Shape_factor.10,Counts_Shape_factor
1.4309243231490536,1.3156585533017295,1.538478340606933,1.4041006254631816,1.5497185446269597,1.3111089427387217,2.501181616926082,1.2952583519821577,1.2663856968718197,1.1778176454254132,1.0636554617128362,2.14153814908384
1.1700730325999618,1.1000181396606332,1.5088405253318773,1.2284225989562518,1.0749828000730457,1.211900764303066,1.1552854468408482,1.1890738181324998,1.133813542065233,1.0194296269535574,1.087639612657801,1.255938596101585
1.1116239486224115,1.2018504251546631,1.479202710056822,1.3591761891490608,1.1348673291835942,1.315128120952707,1.066128469940267,1.0512060333726614,1.0268390008177448,1.0311613252426657,1.0332764049236294,1.0747114570733791
1.1164316430523302,1.1855113980773189,1.303421605767794,1.045332215478631,1.0124657037700473,1.418355477602348,1.1350001966645518,1.0358702210595068,1.1524935503783431,1.042893023531774,1.0000266393169726,1.038506595089916
1.0613822105986608,1.1691723709999746,1.127640501478766,1.2631818615308512,1.0814574300500135,1.405653189380641,1.1043104711868108,1.0155098780831986,1.407059151419727,1.0546247218208822,1.0003752345347818,1.022725505215835
1.0535686937398383,1.1528333439226306,1.009179028033867,1.032526688569121,1.1759218707946506,1.3929509011589338,1.07362074570907,1.0073777662431078,1.347783027197553,1.074169032940405,1.1579834569825893,1.0155866333818435
1.065987683849354,1.1364943168452863,1.0663551167878125,1.13420123166254,1.270386311539288,1.006737712647133,1.042931020231329,1.0148380570943745,1.235358697347095,1.0703915883956303,1.3155916794303966,1.008038261738566
1.0723130773604512,1.120155289767942,1.1235312055417572,1.180671154471049,1.364850752283925,1.2490998698595954,1.0140663468569795,1.108691871632007,1.2895035797799013,1.0666141438508556,1.000892281940274,1.0062253800323948
1.056105031745062,1.1038162626905978,1.1807072942957024,1.1864462771929083,1.185370389240192,1.2054027664547946,1.10355677295097,1.1050749211976272,1.3436484622127078,1.0628366993060807,1.0354792405023825,1.0113549199214986
1.0394972034074206,1.0874772356132536,1.003466214899358,1.1076183147101422,1.0058900261964587,1.1617056630499936,1.1930471990449607,1.0493577646197647,1.3256810387091436,1.059059254761306,1.0797451466712868,1.0143339700448688
1.0798070420350194,1.0711382085359094,1.0854914560185107,1.319317374655408,1.003085886518814,1.108346996722768,1.2825376251389513,1.007521960150334,1.3077136152055793,1.0552818102165311,1.0644110445373551,1.0134287326874516
1.0641356910631403,1.054799181458565,1.1675166971376634,1.1824941279112415,1.286221211495058,1.0242069362970818,1.372028051232942,1.0039832509527489,1.024344683401544,1.0515043656717566,1.060795798882863,1.0203496770692964
1.0759602826348464,1.038460154381221,1.0453696876863792,1.3292482941807662,1.0169653499123985,1.0951271185045532,1.28309630456282,1.0032075249669092,1.055153575002368,1.047726921126982,1.0712024499214152,1.026752464338082
1.0355124259922237,1.0221211273038768,1.021242521680645,1.0395201720601328,1.0490976443339004,1.037965056524493,1.235167387863581,1.0093569744701043,1.0867881324302997,1.043949476582207,1.0636864757973643,1.0307413620434076
