Counts_Crest_factor,Counts_Crest_factor.1,Counts_Crest_factor.2,Counts_Crest_factor.3,Counts_Crest_factor.4,Counts_Crest_factor.5,Counts_Crest_factor.6,Counts_Crest_factor.7,Counts_Crest_factor.8,Counts_Crest_factor.9,Counts_Crest_factor.10,Counts_Crest_factor
7.902102681502246,3.6258769516464953,5.327996673689292,5.443683702027345,4.660461701136631,4.457443129157064,10.56026516533248,6.155002457154715,3.223211642095375,1.888522055514845,1.751627814348699,14.988414332168052
2.8259482981051764,1.4756014898971317,3.4593393541620774,2.239720071627187,1.2068074923702456,1.601430203394267,1.9721295695680063,2.153916788249977,1.686421833174666,1.1417506372733015,1.6164302078734576,2.7507356282792608
2.2305608311784475,1.3867504905630728,1.590682034634863,4.034877709083934,1.3539779728781636,1.639595429840202,1.45790830333384,2.061505026100579,1.294374213476665,1.201531769155158,1.2195339029633148,1.52675436686358
2.819836606273964,1.3629649780142037,1.4698142907448242,1.3826974141409218,1.105105204763796,1.6777606562861371,1.5457832438004553,4.335222740769139,1.5501317585214271,1.2613129010370148,1.007272437023265,2.444700103192888
1.815836410876904,1.3391794654653344,1.3489465468547857,1.5054359171669047,1.3054279037290109,1.545903442905471,1.4735706063461065,1.9870107915591664,1.6931434181517309,1.3210940329188714,1.0270118899452336,1.543941712938249
1.5813152335412457,1.315393952916465,1.1254717325513883,1.2693505285452982,1.434748571807645,1.414046229524805,1.4013579688917572,1.1584586810918236,1.4124042367483387,1.189145945218165,1.5998714985803022,1.373862138969141
1.8760352510427016,1.2916084403675965,1.2819107421558666,1.8582195803292296,1.5640692398862792,1.108808238475818,1.3291453314374082,2.0748002447417577,1.5110321161580773,1.1913695282705707,2.172731107215371,1.555211819761352
2.2158918661796827,1.267822927818727,1.438349751760345,1.482207804749846,1.6933899079649133,1.937605408955132,1.1521108409763092,2.216995239761034,1.4615920708149954,1.1935931113229767,1.041324366200832,1.4995626872857744
1.6301938765661226,1.244037415269858,1.5947887613648233,1.8574251415128176,1.3977967759013945,1.903813121574052,1.2174640141717408,1.633114434230344,1.4121520254719135,1.1958166943753823,1.776373106663519,1.7748476849271333
1.93504076507812,1.2202519027209888,1.0795912380986197,1.6129589947250047,1.1022036438378755,1.870020834192972,1.2828171873671723,1.9760845174221564,1.8922399959363791,1.1980402774277883,1.4311352128311037,1.9023366453109407
1.591717251776871,1.1964663901721195,1.22806965447981,2.608876036950522,1.1064123267121249,2.9987859438593896,1.348170360562604,2.16750438410758,2.3723279664008445,1.2002638604801943,2.0235842509560213,1.7212853869962672
1.5791321642372191,1.1726808776232505,1.3765480708610005,1.7840165048618637,1.9383529541030944,1.7668978450342367,1.4135235337580356,2.476066008977336,1.3194631029088864,1.2024874435326005,1.5260934939057735,2.1385384609693854
2.3889404764763245,1.1488953650743814,1.359378072960995,1.6795644194607295,1.3110902288344308,4.828735026818246,2.272160936907836,1.830990282346992,1.2957237054302089,1.204711026585006,1.3925040283631764,2.070926814028325
2.7647747221752383,1.125109852525512,1.1595781620676646,2.1505635121674063,1.2255430108515966,1.953863087570432,2.1026459060128166,2.1421724732490115,2.89737095798618,1.206934609637412,1.4609338268667031,2.187203158980662
2.565434534801489,1.101324339976643,1.7321861398976826,2.2109620360313977,1.1727531284628174,1.5944841127705058,1.9331308751177976,1.327117820651372,1.5954591237988205,1.2091581926898178,1.6908207186459978,2.0603433259134523
