Energy_Root_amplitude,Energy_Root_amplitude.1,Energy_Root_amplitude.2,Energy_Root_amplitude.3,Energy_Root_amplitude.4,Energy_Root_amplitude.5,Energy_Root_amplitude.6,Energy_Root_amplitude.7,Energy_Root_amplitude.8,Energy_Root_amplitude.9,Energy_Root_amplitude.10,Energy_Root_amplitude
370245.4454339725,259947.9768752676,328814.4813110031,402958.7979423301,153433.63582413192,518218.0520341175,774334.1174691463,192120.5335031826,316668.5189240675,1386668.0862953989,4052087.923987346,200643.2102522353
315654.9125918617,4739565.951518137,217769.89462522828,808083.5697610062,90092.12096078008,7446260.725032583,395192.4569515153,247239.8965677105,53217.69594996361,446179.0723615984,2009575.0680253785,198435.9494633409
1786317.822489931,52435.80475961412,106725.30793945344,311001.77393366635,398295.7677867012,9242604.192538138,568944.3159896685,93231.61846528518,240978.58202438007,362570.4802030786,4701384.896185616,503962.9972286404
3574393.888037762,68253.41097760263,315262.5837887545,699115.2108638223,1151515.0450759872,11038947.660043694,8604445.492232207,208430.21319436425,69754.40609875321,278961.8880445588,643169.77190569,771046.2906135777
5341906.595441274,84071.01719559115,523799.8596380555,687750.7873599527,689602.7886575939,5675818.226871049,5860611.445074561,175309.03564674422,59713.70063326076,195353.2958860389,908921.503439588,4827465.148393585
5384767.356395175,99888.62341357968,171236.36250920515,326067.8398809562,856651.9506621681,312688.79369840334,3116777.397916915,114402.72615764115,238938.06942611744,634404.4234223353,966825.1559290774,8140741.357082583
3638417.238257474,115706.2296315682,208896.7064245006,395417.7140066639,1023701.1126667424,25977.99964008637,372943.3507592691,52415.28768792391,185344.0518240232,608093.585209387,1024728.8084185668,8147459.319479076
1989951.4771228016,131523.8358495567,246557.0503397961,310929.6481457401,1190750.2746713166,1567626.2394311274,177372.7961644181,156194.82790876628,130916.42683270382,581782.7469964388,58345.01030219599,5881741.819459812
2432796.729186428,147341.44206754523,284217.3942550915,771876.7955246739,725419.647606361,857338.3064766653,175405.78848783523,92199.9898978136,76488.80184138443,555471.9087834905,180401.2575261936,4853085.688545231
4336644.061238526,163159.04828553373,12070.174416077993,3536049.8739469764,260089.0205414053,147050.37352220318,173438.78081125236,31882.81038128209,1845121.128420783,529161.0705705422,118459.85396101027,4491890.975324775
1092266.1184172374,178976.65450352227,76107.04538182858,1964037.1100355955,73488.97497011369,289146.7950108677,171471.7731346695,66587.58681700156,3613753.455000181,502850.232357594,103829.31342595186,3231185.8638311266
5235782.817615655,194794.2607215108,140143.91634757916,171271.12222821682,117878.62807733224,60286.73814414454,169504.76545808662,82936.77393290571,228937.44329380177,476539.3941446458,70435.19544008866,3465888.7440462937
231670.5071480107,210611.86693949928,8456.072340784925,14758.566888711564,30817.19688919159,74369.28230535176,4381638.843362252,69787.48762461613,2701143.3504626253,450228.5559316975,76891.52753955171,3412283.539498581
