Energy_Mean,Energy_Mean.1,Energy_Mean.2,Energy_Mean.3,Energy_Mean.4,Energy_Mean.5,Energy_Mean.6,Energy_Mean.7,Energy_Mean.8,Energy_Mean.9,Energy_Mean.10,Energy_Mean
1847663.504823151,1508706.8055555555,1724123.8150289017,2112438.285714286,514067.5342465753,2084168.37704918,4933054.718309859,1044953.88671875,1756342.641509434,4709319.0,8457806.896551725,1142744.0914826498
1383196.48,8600733.333333334,976063.9075144508,2920453.846153846,110770.0,13480236.666666666,748805.7894736842,1095748.2926829269,77504.16666666667,551333.3333333334,4304928.235294118,1004707.5925925926
4302101.841346154,71600.0,228004.0,1135913.701754386,631050.0,20400960.0,885333.3333333334,117754.34782608696,285266.6666666667,442530.5555555556,5615000.0,776384.75
6960002.991765782,94862.5,557652.0,915100.0,1608075.0,27321683.33333333,22045266.666666668,670067.9875930521,108460.0,333727.7777777777,644500.0,1210072.9416058394
8229809.39935065,118125.0,887300.0,1229997.5,1124600.0,13956099.166666664,14848794.444444444,231627.9335793358,109256.66666666669,224925.0,1065500.0,5581495.3295711065
7451273.754482758,141387.5,177500.0,359625.0,1708722.222222222,590515.0,7652322.222222222,115632.9268292683,426080.0,787033.3333333334,2201150.0,9098005.549008168
5487932.973291437,164650.0,331217.7777777777,997988.8888888888,2292844.444444444,26950.0,455850.0,70491.83673469388,351815.0,751475.5555555556,3336800.0,8876075.603617774
3093242.605427975,187912.5,484935.5555555556,528108.5714285715,2876966.6666666665,4991744.0,177500.0,568375.4545454546,238667.5,715917.7777777778,58450.0,6333683.2
3563078.040904198,211175.0,638653.3333333334,2742300.909090909,1593808.3333333333,2592786.285714286,206678.75,117025.0,125520.0,680360.0,206424.35294117648,5462745.342290467
5936018.048881524,234437.5,12100.0,8381400.0,310650.0,193828.57142857145,235857.5,36100.0,5493544.130434782,644802.2222222222,149675.92857142858,5168553.050357806
1825822.497716895,257700.0,118140.0,9054718.181818182,75050.0,1076821.1550151976,265036.25,72497.71863117871,10861568.260869564,609244.4444444445,151844.20938628158,3649392.493072289
7574361.472803348,280962.5,224180.0,333208.5714285714,215012.8571428572,65789.84536082474,294215.0,89807.26495726495,256171.4285714285,573686.6666666667,80764.3735632184,4166672.328210213
629427.0754716981,304225.0,8473.333333333334,19453.33333333333,31562.5,106039.0410958904,22300242.85714286,73776.11940298507,4186400.0,538128.8888888889,95414.72413793104,4242343.979747439
43537.56613756614,327487.5,14283.333333333334,3597795.5,31232.5,142422.71186440677,18254254.285714287,72062.95634920635,409591.5909090909,502571.1111111111,145028.24228028505,3740701.65691173
102388.41463414632,350750.0,25870.0,2308708.861111111,33288.333333333336,134394.73684210525,14208265.714285716,68308.85,765517.5,467013.3333333334,161304.61478599222,1897389.1078528827
42049.90723562152,338818.1818181818,32264.761904761905,1019622.2222222222,35344.166666666664,261405.70175438595,10162277.142857142,99783.61623616236,168225.0,431455.5555555556,89204.59154929577,2443869.2598954444
45887.20070422535,326886.36363636365,38659.52380952381,12715061.25,37400.0,388416.6666666667,6116288.571428571,67167.3717948718,231127.5,395897.77777777775,124154.97422680412,2201183.238325672
