Counts_Impulse_factor,Counts_Impulse_factor.1,Counts_Impulse_factor.2,Counts_Impulse_factor.3,Counts_Impulse_factor.4,Counts_Impulse_factor.5,Counts_Impulse_factor.6,Counts_Impulse_factor.7,Counts_Impulse_factor.8,Counts_Impulse_factor.9,Counts_Impulse_factor.10,Counts_Impulse_factor
11.307310930982922,4.770416024653312,8.197007481296758,7.643479690840323,7.222403924775143,5.844193548387096,26.41314110139447,7.972318339100346,4.081829121540313,2.2243346007604563,1.863128491620112,32.098261086612865
3.3065658951346246,1.6231884057971016,5.2749743288836735,2.751322751322752,1.2972972972972974,1.940774487471526,2.2783725910064243,2.561166059344092,1.912087912087912,1.1639344262295082,1.7580935251798562,3.454755043227666
2.479544838797074,1.6666666666666667,2.3529411764705883,5.484109708315193,1.5365853658536586,2.16021775221034,1.554317548746518,2.1670665212649944,1.3291139240506329,1.2403757598084362,1.260115606936416,1.6408204102051025
3.148154815481548,1.62008547008547,1.9370339685169844,1.4453781512605042,1.118881118881119,2.3796610169491528,1.7544642857142856,4.490728138822729,1.7865168539325842,1.3168170933873642,1.0072992700729928,2.538837180182812
1.927296463862066,1.5735042735042737,1.5211267605633805,1.901639344262295,1.411764705882353,2.174678993323061,1.6317118226600984,2.017829086686249,2.3823529411764706,1.3932584269662922,1.0273972602739727,1.5790285683885723
1.6660242249929578,1.526923076923077,1.1358024691358024,1.3106382978723403,1.7115846338535416,1.9696969696969693,1.5089593596059112,1.1670055184432182,1.9036144578313248,1.27734375,1.9429121132830536,1.3952760244464484
1.9998304720787512,1.4803418803418804,1.3848612205586202,2.107594936708861,2.01140456182473,1.1162790697674418,1.386206896551724,2.105586249232658,1.8666666666666667,1.2751143292682927,2.8584269662921344,1.567713019427505
2.376129826121129,1.4337606837606838,1.633919971981438,1.75,2.3112244897959187,2.4202626641651035,1.1683168316831682,2.457964601769912,1.882051282051282,1.2728849085365854,1.0422535211267605,1.5088980348965275
1.7216559557614706,1.3871794871794871,1.882978723404256,2.203735144312394,1.709960070984916,2.2963382286342755,1.361086108610861,1.8047138047138047,1.8974358974358967,1.270655487804878,1.8393974753367983,1.7950009382623382
2.011469463778061,1.3405982905982907,1.0833333333333333,1.7865429234338746,1.108695652173913,2.172413793103448,1.553855385538554,2.0736196319018405,2.499880739415623,1.2684260670731706,1.5452613002847633,1.9296046818000847
1.7187474973972934,1.294017094017094,1.3452380952380951,3.441935483870968,1.1098265895953758,3.323695394691005,1.746624662466247,2.183808265710512,3.1023255813953488,1.2661966463414631,2.15392542626944,1.7444000683370566
1.6804108968706055,1.2474358974358974,1.6071428571428572,2.1095890410958904,2.493150684931507,1.809669028612432,1.93939393939394,2.485928801266663,1.351585014409222,1.263967225609756,1.618873567037714,2.1820570280503824
