Rise-Time_Central_moment_6th_order,Rise-Time_Central_moment_6th_order.1,Rise-Time_Central_moment_6th_order.2,Rise-Time_Central_moment_6th_order.3,Rise-Time_Central_moment_6th_order.4,Rise-Time_Central_moment_6th_order.5,Rise-Time_Central_moment_6th_order.6,Rise-Time_Central_moment_6th_order.7,Rise-Time_Central_moment_6th_order.8,Rise-Time_Central_moment_6th_order.9,Rise-Time_Central_moment_6th_order.10,Rise-Time_Central_moment_6th_order
3.300801628885629e+17,74915493918211.19,8.878684949272994e+16,2377245357528898.5,300172769477994.06,1.0224716682980082e+16,6.914526499045694e+18,281177842423476.2,23653521789232.984,2.567974467158537e+16,1497783424555.304,1.3162739101293024e+21
6366647821.42325,100366393.09263615,4.439342566793547e+16,45275222934.1088,73839704.52394386,611555398.2982421,1086719146.1600523,553669952492761.94,31697444295.568207,499381.578024666,14479560.654373884,5634374466528.907
244684452326.12164,3061415.533522512,1843141006.585512,37237339988.36209,16777216.0,376848559.73442537,85842363.31066626,188924698.2556664,3192825787.466175,842869.5699665733,6.053445140624943,4418835142.104199
15204577965303.502,4054303.558349719,941942494.8745192,769508833.691286,98591271.09238362,142141721.17060864,12804054.774187492,7243847689246.9375,98315154.77935256,1186357.5619084805,383135696.7982928,883753812510.8214
3043754224643.4805,5047191.583176926,40743983.1635269,2614284421.555478,1543301.5256347626,1374878321.8181643,12522012.77413094,391803938.7377067,5777094534.262505,1529845.5538503877,30749609.024289,1097330310201.6066
6086482343498.377,6040079.608004133,8026729.714765136,161636.98913445306,47935811470941.52,2607614922.46572,12239970.774074383,10008292.60970134,17094256.664029997,549583070547.0476,2.9862585587059e+16,20971720722571.047
1816013180561.797,7032967.632831341,241668336732.37784,332816077.3695319,95871621398581.52,42180.53364100009,11957928.774017831,369026945.4443684,50010775.04316779,512962893886.4896,5.972517114336838e+16,7775330113250.784
2041991903255.772,8025855.657658547,483328646735.04095,394919757.7212556,143807431326221.5,4111313440.780843,6611856.250608998,394159790.4526648,106043872.59220088,476342717225.9315,179465793.60961914,5593154892191.563
1168536029.046352,9018743.682485756,724988956737.704,148569175.61307624,71903715664199.14,2451353727.545944,4998307.415962721,95994877.66608553,162076970.14123395,439722540565.3735,1375940104878.0283,41036360030220.76
13635913342359.531,10011631.70731296,5920163.568466893,127680054.428768,2176.782336000005,791394014.3110462,3384758.581316445,146896.01596530134,2057112379.546876,403102363904.8154,255440123527.0993,24410755915917.8
1212165275.666865,11004519.732140169,68806151.22647598,407378001903.93365,2132558025.2869952,130627122112.0293,1771209.746670168,7884273922.48095,3952147788.952517,366482187244.2574,851393247788.6823,11170734612168.09
2432869558.4059134,11997407.756967377,131692138.88448508,456578713.9636341,208468633.2298025,11920513098606.297,157660.91202389082,1443575.0159736464,23054325.75101884,329862010583.69934,787451191762.1481,95746928558450.77
566901408.2449521,12990295.781794582,72542902.58368863,922733584.5997932,30706336.056495104,199079540968.60065,8766853705840.167,586316566.807152,5263219971.669576,293241833923.1413,17543934624733.73,21022260692550.76
7351658367.447821,13983183.80662179,91534826.61196864,7309155258910.92,14789808.52197444,16388949243610.64,7014545368129.954,1114793188.175629,21033830.05058265,256621657262.58325,259025198625.3523,11447733299403.068
788864388.7531976,14976071.831448996,20008458595.11544,3654588851544.689,10020026.561651131,2459300874613.3354,5262237030419.742,5830240.833815434,130942002406.4358,220001480602.0252,334190558920.2497,28588729132055.63
434940340705.0568,20976466.86347581,17161059555.715528,22444178.45826391,5250244.601327824,1243418509603.9695,3509928692709.5293,1642200363.8055398,2279385.559208827,183381303941.4672,97110186357.55997,165261311555146.8
