RMS_Clearance_factor,RMS_Clearance_factor.1,RMS_Clearance_factor.2,RMS_Clearance_factor.3,RMS_Clearance_factor.4,RMS_Clearance_factor.5,RMS_Clearance_factor.6,RMS_Clearance_factor.7,RMS_Clearance_factor.8,RMS_Clearance_factor.9,RMS_Clearance_factor.10,RMS_Clearance_factor
2.657026754490605,1.972271810281685,3.198417293786848,4.46980113711608,3.642148489591347,4.252236919915589,3.914246142962346,3.188743511083782,4.73733052933351,3.129564639970014,3.167815220914235,3.77520094871982
1.2707258461791924,1.4762192287467018,2.2457738447792623,2.2334165660008742,1.612073915705755,1.528413373697736,1.4003754362179657,1.9014010041458973,1.4070177967726052,1.2480375261540626,1.5178507318253884,2.2267918396951263
1.1593343956673166,1.0935146256408632,1.293130395771677,2.306554049650518,1.0309174131593162,1.3274097264730875,1.2497225777914212,1.7460649480652326,1.2178618762301576,1.35660649275983,1.0289002724869598,1.3399633932416162
1.2027059910297206,1.0868012990762976,1.1864691056367098,1.09120665983122,1.3979654893131666,1.1264060792484396,1.1117365443627951,2.515951327759217,1.1877708474774835,1.4651754593655977,1.0282927691600483,1.3048741333379064
1.1629502001386427,1.0800879725117325,1.0798078155017423,1.084335035704918,1.3695837335442715,1.0817786680698975,1.1975775796899393,1.5842831620305604,1.0596085154281414,1.5737444259713649,1.0283730563656297,1.2229870667073213
1.2763044932951897,1.0733746459471667,1.0169740402308651,1.185990688769328,1.3011155610885698,1.0371512568913557,1.2834186150170832,1.2732153562772344,1.0584108577486266,1.16179719076146,1.0932432927421607,1.2765457886063587
1.276725422939,1.0666613193826011,1.066376743454069,1.4968387442497522,1.232647388632868,1.2172722782022265,1.3692596503442274,1.182449809562535,1.352170414862224,1.1584813688312663,1.1581135291186917,1.2899409385761464
1.2740992808968907,1.0599479928180355,1.1157794466772726,1.2727382572428163,1.1641792161771662,2.0511644334506483,1.635452310332877,1.379310889693822,1.402251611653945,1.155165546901073,1.0873856709125358,1.3399609245737143
1.1794103306875925,1.05323466625347,1.1651821499004764,1.5526406428263484,1.094228503089038,1.7122201427213626,1.5387023943286016,1.1754077955630915,1.452332808445666,1.1518497249708797,1.4943406133767152,1.3024745856573698
1.184414847754258,1.0465213396889046,1.258783783805473,1.0957452607764335,1.0242777900009097,1.3732758519920771,1.4419524783243258,1.0911619306254363,2.2935229442484366,1.148533903040686,1.2960569465589464,1.335123697051961
1.2134388427578953,1.039808013124339,1.32744965528003,1.5770633117134447,1.3080301259092886,2.975200244094307,1.34520256232005,1.404667153851364,3.134713080051207,1.1452180811104926,2.403202909825601,1.3471987126999831
1.1298198377298538,1.0330946865597734,1.3961155267545868,1.395580275867602,1.3875061865063452,1.4550383593328322,1.2484526463157746,1.3426573819450385,1.808678361099213,1.1419022591802992,1.1892295505033912,1.2913820022125406
1.322536550688529,1.026381359995208,1.314438675178901,1.50409171468528,1.109673786797126,1.3190956086499466,1.1964020161835385,1.290415288344254,1.180043348231528,1.1385864372501058,1.4023934598671235,1.284845680106875
1.2547921121757086,1.0196680334306425,1.0954454948285248,1.1362293339693426,1.3018017921969784,1.7578920104873668,1.1890516634287025,1.455545117695313,2.1463061726495094,1.1352706153199124,1.8494727618567424,1.3648594375274563
1.2075612989566964,1.012954706866077,1.5148572569879375,1.154685024973347,1.2999519779209865,1.3227730238156736,1.181701310673866,1.4312048537745137,1.7930655478338575,1.131954793389719,1.843880787461912,1.473639330991615
1.527665330848667,1.0314834960114494,1.482914588830592,1.1731407159773506,1.2981021636449943,1.255861792118507,1.17435095791903,1.4151360165752895,1.5912328000268496,1.1286389714595255,1.4714325764895249,1.5617386420499455
1.314146579290519,1.0500122851568217,1.4509719206732463,1.2074282664594465,1.2962523493690024,1.1889505604213395,1.167000605164194,1.5017369141725507,1.4713907687853576,1.125323149529332,1.685251560726558,1.4434276158202073
1.2459787890731815,1.068541074302194,1.4190292525159012,1.6509286529898524,1.2410867629517026,1.6864281464803863,1.1596502524093577,1.7311175816574158,1.3515487375438653,1.1220073275991385,1.424237899235798,1.462074694621178
1.4567612251819932,1.0870698634475666,1.3870865843585556,1.5543824111828517,1.1859211765344029,1.4159657763613738,1.145698279624365,1.3461260214253712,1.2446129619269914,1.118691505668945,1.400808251296486,1.4569060911392897
1.4592314765964642,1.105598652592939,1.3551439162012102,1.4578361693758506,1.130755590117103,1.1455034062423612,1.1317463068393732,1.7968305283825654,1.2705852530594912,1.1153756837387516,1.6521213459095534,1.4534826632342357
