Amplitude_Shape_factor,Amplitude_Shape_factor.1,Amplitude_Shape_factor.2,Amplitude_Shape_factor.3,Amplitude_Shape_factor.4,Amplitude_Shape_factor.5,Amplitude_Shape_factor.6,Amplitude_Shape_factor.7,Amplitude_Shape_factor.8,Amplitude_Shape_factor.9,Amplitude_Shape_factor.10,Amplitude_Shape_factor
1.0074328677126243,1.0072675677823892,1.0074365018567797,1.0081383842186729,1.007720289057462,1.0065737154872016,1.007799871870675,1.0048363011229835,1.0077525705103163,1.009244138066038,1.004190846431374,1.006769409077703
1.0058574297030347,1.0096059040779255,1.0085560524566677,1.0082621508499376,1.0033323526501623,1.0142759183063077,1.0077620359866173,1.005613360347947,1.0032456870792696,1.0018904815010794,1.0052833122050446,1.0061041322131583
1.0072502381599204,1.0024916970213098,1.0096756030565557,1.0084194898212897,1.0078412807524653,1.016128949067466,1.0030992388638895,1.002088760144115,1.001520535382147,1.001964482148604,1.0007409987076945,1.006363033960395
1.0089495881790962,1.002466711259301,1.0091999134674057,1.0025208262227612,1.0031980798577729,1.0179819798286245,1.0068470064356525,1.0007544281145686,1.0043481069726048,1.0020384827961288,1.0001546290589602,1.002644108562145
1.00442908455334,1.002441725497293,1.008724223878255,1.0096635932733846,1.0060035289907976,1.017738333052575,1.005227534876245,1.000352362150928,1.005267316666185,1.0021124834436534,1.000073416812732,1.0020039816175252
1.0038829573126202,1.0024167397352846,1.0000570840913323,1.001226663762898,1.0072978383490034,1.017494686276526,1.0036080633168376,1.0000957234624617,1.013295998611293,1.0018929427452767,1.0030890896755789,1.0015221048690233
1.0044212365762262,1.002391753973276,1.0025730967205877,1.0036327938948744,1.0085921477072095,1.0004602983433355,1.00198859175743,1.0005346133149684,1.0076837466765154,1.0017871006075838,1.0061047625384256,1.0007182536719
1.0045687133723555,1.0023667682112676,1.0050891093498426,1.007783091846688,1.0098864570654154,1.0103985494842342,1.0001979952995517,1.004326712801235,1.0075178598090635,1.0016812584698906,1.0001005255941042,1.000589015367816
1.0038829612754443,1.002341782449259,1.0076051219790978,1.007695685954423,1.0056369864214976,1.006293135195976,1.0031925780464754,1.0024940483479003,1.0073519729416116,1.0015754163321977,1.0023353215096442,1.0008398170956918
1.003710566755535,1.0023167966872508,1.0000434209044111,1.0055780757534374,1.0013875157775798,1.0021877209077177,1.006187160793399,1.0005799202822852,1.0102304617146407,1.0014695741945048,1.0035355354903683,1.0009780705490874
