Energy_Central_moment_4th_order,Energy_Central_moment_4th_order.1,Energy_Central_moment_4th_order.2,Energy_Central_moment_4th_order.3,Energy_Central_moment_4th_order.4,Energy_Central_moment_4th_order.5,Energy_Central_moment_4th_order.6,Energy_Central_moment_4th_order.7,Energy_Central_moment_4th_order.8,Energy_Central_moment_4th_order.9,Energy_Central_moment_4th_order.10,Energy_Central_moment_4th_order
1.908162788822545e+19,9.04448055785547e+21,1.2582987500243546e+19,3.631368036850202e+29,187416100000000.0,4.4419263479655765e+23,8.900673260340866e+30,2.3670773665574e+19,5.057093317703568e+22,2.967709039156651e+22,1.133263021125866e+20,9.183054160409254e+25
8.405890869990223e+21,8.03971474365625e+21,1.7839233992374098e+19,4.08172368412701e+30,277026558024691.25,2.636406451991156e+22,8.990815855092887e+25,4.7274282151582086e+17,9.442166400462912e+22,2.231917035813784e+22,4.949578742096039e+22,5.2176285732747735e+25
4.746018761825029e+23,7.034948929457032e+21,2.309548048450465e+19,2.040861842784596e+30,366637016049382.5,1.794462536661424e+23,1.5708885677468467e+27,7.593757021261102e+18,1.0269859936447736e+24,1.4961250324709177e+22,2.0511002040594787e+29,3.105653452905418e+25
1.535416774242744e+23,6.030183115257813e+21,2.83517269766352e+19,1.4421817301847562e+21,456247474074073.7,3.3252844281237326e+23,3.0518689769427643e+27,6.610691841363272e+18,3.722533648239033e+21,7.603330291280525e+21,4.298416256720045e+22,2.3624744011717508e+27
2.0738808520867017e+21,5.025417301058593e+21,3.360797346876576e+19,1.0540913344485114e+30,1.769022549027055e+16,1.1338204200625e+21,5.004442392170607e+20,1.1367018829652523e+20,783804326666.6666,2.4541025785185183e+20,1.92558652696628e+21,2.762075309742205e+26
6.215117570943884e+19,4.020651486859375e+21,3.88642199608963e+19,7.598984068699275e+30,3.1322650445355136e+18,1.13713217334e+19,4.8691519943652656e+27,8.390939154032525e+21,2.8139076964161887e+26,5.390968437689422e+22,7.495297693727144e+17,2.3579446938096592e+25
8.280073115885918e+21,3.0158856726601563e+21,8.906311437105666e+19,6.302191210589474e+31,6.246839863580756e+18,1.2284558637891183e+22,9.738303488286292e+27,2.3474876508987343e+20,2.0023347439852712e+26,1.075739584959366e+23,1.838349311024046e+25,1.6722970518396492e+25
7.524609758975999e+20,2.0111198584609377e+21,1.3926200878121704e+20,7.07281e+17,9.361414682626e+18,2.2492902192127168e+24,6.248233520477824e+27,4.621421790927197e+20,6.441899168843976e+21,9.866139539594188e+22,2.006593700948417e+22,2.2932401843520034e+25
1.6577234539216843e+25,1.0063540442617192e+21,1.894609031913773e+20,1.875045398398987e+31,1.2475989501671242e+19,4.554390564750625e+19,2.7581635526693563e+27,8.540079684182487e+17,7.03426581053648e+27,8.974883229594716e+22,7.884240491615599e+21,1.395036212154823e+25
7.114853155185718e+24,1.5882300625e+18,2.396597976015377e+20,4.306198814094811e+26,4.722075837117274e+22,8.40897053150625e+18,3.076168812403522e+20,2.13480637525084e+22,2.509413456701853e+24,8.083626919595244e+22,2.040798987160321e+20,3.031811769162684e+25
1.4243260274494595e+19,1.5214875390625e+25,2.8985869201169813e+20,3.3146987397057634e+26,7.11674333700625e+18,4.44174574958934e+21,1.2733385405058194e+22,6.99877381240419e+28,3.904340356590805e+23,7.192370609595773e+22,1.1385175533334036e+21,2.8097244707510807e+25
2.948829350745713e+23,1.4414111453015505e+25,3.400575864218585e+20,3.857169440520057e+28,7.06178804700625e+18,8.875082528647174e+21,1.146228736e+17,1.0432898337035084e+21,2.0829923074686948e+22,6.3011142995963015e+22,1.190800651519724e+20,5.165159880125511e+25
