Rise-Time_Impulse_factor,Rise-Time_Impulse_factor.1,Rise-Time_Impulse_factor.2,Rise-Time_Impulse_factor.3,Rise-Time_Impulse_factor.4,Rise-Time_Impulse_factor.5,Rise-Time_Impulse_factor.6,Rise-Time_Impulse_factor.7,Rise-Time_Impulse_factor.8,Rise-Time_Impulse_factor.9,Rise-Time_Impulse_factor.10,Rise-Time_Impulse_factor
50.92921214099701,5.222665700944661,14.991893382886676,14.352995232898742,9.26854637668701,12.180377134875451,39.78426530099392,12.608823680220334,7.858029384204664,9.912359326760283,4.09219656466841,103.650326650484
3.5835377114213967,1.282746682054241,8.580267052413445,2.817243970759035,1.299620733249052,1.545897079276773,1.7504419257564727,7.831908028694045,2.862043795620438,1.2574999999999998,1.3499943839155342,5.0761572052401736
4.519483027796109,1.214222222222222,2.1686407219402146,3.0705247803521147,1.294659300184162,1.7299797896383864,1.7088926174496648,1.8548630721744264,1.7929915639195326,1.2694710578842314,1.0317273795534665,2.7422303473491776
8.496449897335065,1.2246892736892736,1.7681657524468168,1.6859361518550475,1.4420319541171651,1.9140625,1.3735191637630662,10.424087175733918,1.648148148148148,1.281442115768463,1.2231884057971014,4.852449192597854
7.481643694448022,1.2351563251563251,1.367690782953419,1.908045977011494,1.181128896377422,1.9490736903183024,1.4344729459889891,3.232053811079132,1.5275758871312528,1.2934131736526946,1.3241758241758244,5.607573671896034
7.813845114983316,1.2456233766233766,1.3066088840736727,1.1347387717690192,1.5883428147903524,1.984084880636605,1.495426728214912,2.5075678013220486,1.2486444616576298,2.160644007155635,3.1453009651158386,7.271653711022203
7.600397350655578,1.256090428090428,1.5239161912781831,1.4852998823990593,1.9955567332032829,1.1771771771771773,1.556380510440835,3.843137254901961,1.240490006447453,2.114599782189676,4.966426106055852,7.440392900698423
8.494620423897965,1.2665574795574794,1.7412234984826935,1.8808349146110053,2.4027706516162133,1.3836369886558957,1.3071748878923768,2.405888538380652,1.611823950592148,2.0685555572237155,1.2933909820877083,6.7142937337859845
2.420708644375814,1.277024531024531,1.958530805687204,1.4486846378694382,1.7271732914241524,1.425610471939888,1.2623099235213675,1.767970578401872,1.9831578947368425,2.022511332257756,11.084187956911473,8.812080076546836
9.54267204053924,1.2874915824915825,1.43739837398374,1.3125782227784732,1.0515759312320916,1.4675839552238803,1.2174449591503589,1.7597061909758656,2.11147762454264,1.976467107291796,6.530287975990415,8.187643318192045
1.4659694142628024,1.297958633958634,1.5222167749315685,2.8791749833666,1.8967482400268187,2.7413010205701727,1.1725799947793494,7.481614193012737,2.239797354348438,1.930422882325836,4.036631955142029,11.477907871846297
