Duration_Central_moment_5th_order,Duration_Central_moment_5th_order.1,Duration_Central_moment_5th_order.2,Duration_Central_moment_5th_order.3,Duration_Central_moment_5th_order.4,Duration_Central_moment_5th_order.5,Duration_Central_moment_5th_order.6,Duration_Central_moment_5th_order.7,Duration_Central_moment_5th_order.8,Duration_Central_moment_5th_order.9,Duration_Central_moment_5th_order.10,Duration_Central_moment_5th_order
89252015578.90991,-3.4679066051136365e-07,-117098202.45760044,44727857467782.33,-722172044.3198894,19928820721.062386,189793939615.1985,-24426729940.44722,1669555005865.8774,399305861236.01306,5761587937.382484,1874890890189.296
45031756211.94735,-2.600929953835227e-07,-105388382.2118404,386632355524072.5,-1445259995.441965,-76669730444.35692,96541056815.46942,-36069032367.31411,682391177448.9623,795949562297.1141,1704460476041.323,80697561595.57767
-19119257129.026814,-1.7339533025568177e-07,-93678561.96608035,0.0,-2168347946.564041,-339715606092.3256,311144856412.8024,-44314754316.940895,19465991800.78962,729620432105.688,71352110265.02032,1875723051107.971
14493238836.145304,-8.669766512784083e-08,-81968741.72032031,82201281662953.81,-2891435897.686117,0.0,525748656010.1354,-88791814346.45885,9829919150618.713,663291301914.2617,19427696875.961777,1105744101177.7627
375811080085.9072,0.0,-70258921.47456026,5123796962116.391,485256163727.9021,1.341104507446289e-06,414637570255.4252,-86827501239.93735,-503725839175.3083,596962171722.8356,2745088943.641633,840537382681.9136
31322574260.32365,0.0,-58549101.22880022,5249366473849.781,-1.7695128917694092e-08,-1.390775044759114e-07,62210201076.384384,184174283088.0287,133326788100.16606,530633041531.4094,39409680294.42888,-70426093052.02972
722104940433.831,0.0,-46839280.98304018,13732344924495.838,0.0,-1.6192595163981118e-06,0.0,-25851928615.93025,58169323868.4125,464303911339.9833,-218161670984.07,276726480840.5107
23950715996.94088,0.0,-35129460.73728013,784311509473.7552,6874361614.79854,-3.0994415283203125e-06,-0.000335693359375,-27580404787.214653,810918078149.3408,397974781148.55707,1881229874982.1167,-64631578398.17771
60325964936.044586,0.0,-23419640.49152009,34367693367026.074,11031691892565.1,2479125775592.9585,318984827571.8287,-7575416448.85243,-17116674894.956654,331645650957.13086,-2.5361657218780923e-14,5068399283324.133
47552244595.43848,0.0,-11709820.245760052,5117226501579.698,22024631250.20168,64279011376724.19,4.0381564758718014e-10,-1989330545.593713,-425407709.49600047,265316520765.7047,3239463537497.904,951330709686.62
103747598801.541,0.0,0.0,60454008885550.33,-13302330202.59001,-11799282745.258583,61942527245.62216,-28798141668.06153,13012560413.318527,198987390574.27856,-99556437313.1549,1653835683152.2632
21688257075.21424,0.0,-207532067465.4923,54569886923996.734,0.0,-47363916905.21344,41295018163.74811,-930315799.3935229,381391412809.3806,132658260382.85242,2183206503247.981,2629598265110.233
153296958064.94684,0.0,-184472948858.2154,191300229920.7533,243569109123.41104,2023478942.6306496,20647509081.87405,65622028297.106415,-13339207543.657274,66329130191.42615,7965965639696.825,3103240753542.289
99729954858.92592,0.0,-161413830250.93848,2296220072081.622,249268535371.17285,-94834140872.35352,0.0,-43550590911.17927,1212189350467.4358,0.0,470647232655.00464,7382803892915.458
36886183490.82638,0.0,-138354711643.66153,1738329862545.8967,1067039121.190937,1141550933392015.0,493209053240.454,-88600565016.70609,3642268018161.3687,0.0,-9377270818.041183,1144103048644.384
217638366042.58444,0.0,-115295593036.3846,39523236462.04948,-21331135795.82744,4991227274087.965,986418106480.908,-83244530503.99763,275650918330.3358,0.0,114356676734.4318,4425709849685.535
612770426763.1235,0.0,-92236474429.1077,2219283775973.392,-2682102812.065937,2603839243382.326,822015088734.09,-134595201.73189452,3280127698.623887,0.0,118847124351.18144,9544366805184.684
120047644983.2222,0.0,-69177355821.83075,11169260686653.65,16333544096.222672,458095925473.5491,657612070987.272,-2664218523.980428,15177541494894.72,0.0,683504345335.1178,4882235204435.359
505363938366.4044,0.0,-46118237214.55383,10459688741620.232,-171549977241.94055,-561156869334.6135,493209053240.454,1386826439.6511986,60100280360.04481,0.0,19047883285.73696,4215701089796.0015
402963119696.1623,0.0,-23059118607.27692,1187286842801.09,-259501098667.3468,-476573431545.4473,328806035493.636,85220606762111.3,6628272004950.717,0.0,-1664140935.4534822,3256382989247.1377
1072061544022.482,0.0,1.1920928955078125e-07,8347095671500.347,-389743425784.9686,-199558845864.9897,164403017746.818,7189768519.286265,11996693354.367657,0.0,88819154337.644,4091030196295.5615
94650217716.02235,0.0,12263517.687305836,1816917186451.4675,-155397259065.05807,131208583568.34148,0.0,3922488495766.56,-62608244536.834335,0.0,10821636396.78634,10192489688022.45
154456347757.4739,0.0,24527035.37461156,5047761621025.417,-78588471819.96753,-6567551044.298361,0.0,4919803240.21328,-17608763332.685143,0.0,10725081463.924988,4825051709109.264
223130339658.9624,0.0,36790553.06191727,3637004421447.274,-313637140172.4629,-61611339886.12595,0.0,83399256391.79634,-1418378481.217783,0.0,-5567149393.58674,11894929387445.549
138874058165.70163,0.0,49054070.74922299,890980511032.733,-501357926580.9064,-32999017885.60966,0.0,2514376756596.891,231123133846.8972,0.0,-16586389551.863607,7174272591496.181
148394371957.029,-1.2302982874891968e-10,61317588.43652871,4544325872430.254,-577507759365.1289,36002096601.73659,0.0,533400817223.9319,-106553931717.9448,0.0,40743201629545.48,4061826094996.821
213563391242.4616,-2.460596574978393e-10,73581106.12383442,1093936871549.5269,-375507757664.82336,12981954746.983915,-1.1097301136363637e-05,1017668373270.2654,-111725595517.86508,0.0,16797034974654.287,5853505325344.322
27481993976.08692,-3.690894862467592e-10,85844623.81114013,-793198182653.9756,-384559470627.4391,-53275436.67739986,-2.219460227272728e-05,10537734004143.34,152144078637.67398,3.0994415283203125e-06,-3769027319.41598,4432426951471.912
-35692773178.57832,-4.921193149956787e-10,98108141.49844584,742328815363.2915,-174156230971.10193,-74276682142.82747,-3.329190340909091e-05,249090956677.29663,109381502627.29826,216893151933.0999,-1210130937.5096366,1604976289004.4043
-37850689345.05401,-6.15149143744598e-10,110371659.18575156,-60666391371.24315,-259923209235.2505,4139415042112.54,-4.438920454545455e-05,442114204590.45984,1269582069998.6494,108446575966.54996,1498187556.0457058,4734033234121.822
-4116605409.518986,-7.381789724935184e-10,122635176.87305728,693799591413.72,44902470617.64381,2657549918.9927464,-5.548650568181819e-05,-358856564336.9661,35203429935.5229,-2.86102294921875e-06,349866778.79012275,942081464910.0176
-9794576251.241203,-8.61208801242438e-10,134898694.560363,19882149100556.453,-144933539408.92157,-27065196283.40916,-6.658380681818181e-05,1610755167.4150867,-37331489645.22606,876035485276.3505,311266922.8515485,1489190558623.752
-27420727533.85898,-9.842386299913574e-10,147162212.2476687,7633644478482.044,-377776724616.121,653581356572.629,-7.768110795454545e-05,3123692189946.512,1827175005.1337333,1752070970552.701,-1358750993.2495067,179303162658.8731
-168641384714.24844,-1.1072684587402776e-09,159425729.93497443,3390405688583.665,-355222607924.82275,-66376494054.869286,-8.87784090909091e-05,471382062422.2197,656713324900.4423,2628106455829.052,-78135694385.73048,2914235926820.016
-32802804422.61412,-1.230298287489197e-09,171689247.62228015,12112168595093.33,-205429767650.1687,-42962405881.61716,-9.987571022727272e-05,-2180928065102.0728,-11008964442.13579,3504141941105.402,-54425682370.75379,128453881010.29932
-21641651437.287685,-1.353328116238117e-09,183952765.30958587,6182257976135.492,-319726111280.5928,-673420583810.3129,-0.0001109730113636,-1191407946349.7417,-98847519126.92888,4380177426381.752,208102622545.21973,-514809420575.4594
53149175268.694496,-1.335521167340247e-09,196216282.9968916,6471489113342.419,1029765472017.5256,62084129867.794525,-0.0001220703125,-61860367367.32615,-613540371999.7407,5256212911658.103,10444636622.684628,617980586253.3645
37587353047.887314,-1.3177142184423771e-09,208479800.6841973,5356003310471.477,-374485532577.141,-45303399465.471146,1140224037.665516,846491978621.5852,0.0,6132248396934.453,81580912439.55519,1704557489801.276
