Rise-Time_Peak,Rise-Time_Peak.1,Rise-Time_Peak.2,Rise-Time_Peak.3,Rise-Time_Peak.4,Rise-Time_Peak.5,Rise-Time_Peak.6,Rise-Time_Peak.7,Rise-Time_Peak.8,Rise-Time_Peak.9,Rise-Time_Peak.10,Rise-Time_Peak
2207.2,470.7,1492.3,892.5,590.8,943.5,3233.2,672.4,419.3,995.3,248.1,8728.6
146.7,74.1,784.6,158.6,77.1,74.1,88.6,609.8,130.7,50.3,70.7,322.9
270.0,68.3,76.9,158.8,70.3,61.55,67.9,92.1,92.1,53.33333333333333,43.9,112.5
535.7,67.76666666666667,72.95,97.7,88.0,49.0,65.7,413.5,62.3,56.36666666666667,147.7,297.5
484.0,67.23333333333333,69.0,91.3,70.1,61.9,62.43333333333334,92.2,119.1,59.4,72.3,333.8
513.3,66.7,60.3,61.9,202.8333333333333,74.8,59.16666666666666,49.5,80.6,201.3,563.75,607.5
468.2,66.16666666666666,113.66666666666669,84.2,335.5666666666667,39.2,55.9,69.2,96.2,192.94,1055.2,531.4
466.1,65.63333333333333,167.03333333333336,70.8,468.3,80.5,58.3,72.8,71.65,184.58,104.7,512.0
151.7,65.1,220.4,81.1,270.85,85.2,59.95,66.1,47.1,176.22,315.5,727.4
628.6,64.56666666666666,44.2,83.9,73.4,89.9,61.6,25.8,75.45,167.86,265.3,649.1
88.9,64.03333333333333,48.75,196.7,94.3,262.4,63.25,130.2,103.8,159.5,283.8,530.4
144.1,63.5,53.3,75.1,77.1,420.5,64.9,42.3,82.3,151.14,284.9,857.9
121.4,62.96666666666667,52.3,73.7,42.6,210.5,275.5,90.0,111.7,142.78,428.7,597.9
143.5,62.43333333333333,56.3,337.8,43.9,380.0,242.44,76.3,70.4,134.42000000000002,249.9,567.0
108.8,61.9,109.0,197.85,43.7,323.4,209.38,40.1,153.4,126.06,297.8,699.2
278.1,63.92727272727273,103.02857142857142,57.9,43.5,231.75,176.32,74.9,54.3,117.7,204.0,919.2
411.1,65.95454545454545,97.05714285714286,58.6,43.3,140.1,143.26,88.2,80.69999999999999,109.34,285.5,886.1
68.5,67.98181818181818,91.08571428571427,88.1,43.93333333333333,111.3,110.2,71.8,107.1,100.98,213.5,854.0
100.2,70.00909090909092,85.11428571428571,59.8,44.56666666666667,103.8,99.9,220.6,103.9,92.62,322.2,804.7
111.1,72.03636363636363,79.14285714285714,31.5,45.2,96.3,89.6,72.0,70.0,84.25999999999999,270.7,996.3
99.1,74.06363636363636,73.17142857142858,66.4,52.9,89.5,64.7,73.9,43.3,75.9,76.6,743.3
337.6,76.0909090909091,67.2,105.0,61.8,79.7,70.15,213.1,199.6,68.25,66.5,1037.6
103.9,78.11818181818182,63.73,41.6,70.7,82.6,75.6,254.0,109.4,60.6,118.6,658.1
83.2,80.14545454545456,60.260000000000005,78.7,79.6,88.6,97.25,348.7,105.6,61.875,97.0,884.1
97.6,82.17272727272727,56.790000000000006,94.3,88.5,78.3,118.9,332.9,75.5,63.150000000000006,101.0,813.7
403.1,84.2,53.32,95.3,30.2,52.9,89.5,268.3,53.7,64.425,217.4,1030.4
95.1,84.2,49.85,191.2,42.2,53.16666666666666,82.4,150.3,101.9,65.7,100.3,833.5
430.9,82.29473684210527,46.38,69.0,54.2,53.43333333333334,120.1,177.8,67.4,66.97500000000001,256.1,745.3
98.9,80.38947368421053,42.91,317.4,75.1,53.7,61.5,83.3,89.4,68.25,114.7,1083.7
92.8,78.48421052631579,39.44,88.5,745.7,79.7,78.8,76.1,39.2,69.525,88.4,951.7
105.4,76.57894736842105,35.97,49.7,76.5,150.0,52.8,79.3,50.3,70.80000000000001,124.0,1091.2
508.9,74.67368421052632,32.5,149.9,66.6,176.4,106.3,79.5,106.9,72.075,128.3,845.2
184.0,72.76842105263158,32.9,275.3,49.3,158.1,90.53333333333332,90.5,64.7,73.35000000000001,233.0,859.0
191.0,70.86315789473684,33.24444444444444,402.9,65.0,90.2,74.76666666666667,136.3,96.5,74.625,140.0,852.2
97.1,68.9578947368421,33.58888888888889,332.4,81.8,254.6,59.0,80.1,170.4,75.9,136.8,850.9
97.0,67.05263157894737,33.93333333333333,716.4,50.9,147.4,61.0,236.6,87.2,68.25,61.1,732.7
