Amplitude_Impulse_factor,Amplitude_Impulse_factor.1,Amplitude_Impulse_factor.2,Amplitude_Impulse_factor.3,Amplitude_Impulse_factor.4,Amplitude_Impulse_factor.5,Amplitude_Impulse_factor.6,Amplitude_Impulse_factor.7,Amplitude_Impulse_factor.8,Amplitude_Impulse_factor.9,Amplitude_Impulse_factor.10,Amplitude_Impulse_factor
1.304065245193618,1.3534852244529665,1.317874337253946,1.3120038985258695,1.343717782901273,1.2719462863338755,1.275808161578408,1.3291589435263211,1.3253976192857857,1.2420045954170031,1.124597665490363,1.3429073732816506
1.301459717218833,1.142204454597373,1.2616283867572846,1.2547656966362628,1.0734951779181907,1.1456940996753866,1.186078978859194,1.3228793598554511,1.1418732782369148,1.0458715596330277,1.1695101816180518,1.3267013339362426
1.182322012221117,1.0706371191135735,1.2053824362606231,1.3230890647849405,1.1254752851711023,1.1767117841372103,1.1001191895113231,1.1402629233511583,1.0755885997521684,1.0532553351569198,1.0385038503850386,1.1635134727376966
1.1571990911805126,1.0702711972526369,1.1688813983664832,1.0913423351866562,1.0873671782762693,1.207729468599034,1.163241566498643,1.2620410617429318,1.1274328081557,1.0606391106808122,1.0175864160097028,1.1770298753665684
1.1079149974999971,1.0699052753917004,1.1323803604723433,1.1410419313850064,1.1097410604192357,1.1978001331129646,1.1399747005719174,1.2697579728852788,1.1333019312293924,1.0680228862047043,1.0121177149451817,1.0692501554999916
1.0910701999081394,1.0695393535307638,1.0106851037083595,1.0333940497874925,1.1395756957604748,1.1878707976268952,1.116707834645192,1.007430388582952,1.163611676849966,1.0510774142059056,1.1172505673171504,1.0761822779024115
1.1178045721104684,1.0691734316698271,1.065134032692437,1.161371942648299,1.169410331101714,1.030344827586207,1.0934409687184663,1.2206066334899497,1.1583166332665331,1.049536471400192,1.222383419689119,1.0424350625027885
1.1442398413041313,1.0688075098088905,1.1195829616765147,1.1613316261203586,1.1992449664429532,1.2417732522041476,1.0199004975124375,1.3051865332120114,1.1398995657753392,1.0479955285944782,1.014179608372721,1.044208394714878
1.1237259885365225,1.068441587947954,1.1740318906605922,1.2584372497425922,1.125970902316331,1.165884800618321,1.0540572938451962,1.1037704371037704,1.1214824982841456,1.0464545857887646,1.1373189710076703,1.069537465662296
1.1217049915872126,1.0680756660870174,1.0093189964157707,1.1764705882352942,1.0526968381897086,1.0899963490324935,1.088214090177955,1.1167899086559372,1.1766696943244412,1.0449136429830508,1.144929996126612,1.0621529490143642
1.163305204015136,1.0677097442260808,1.0650417744893796,1.2507106310403642,1.0208287656215742,1.3215982903579564,1.1223708865107134,1.2423266458238416,1.231856890364737,1.0433727001773372,1.2932334787417938,1.0837416702397176
1.117241134294254,1.067343822365144,1.1207645525629888,1.1751349339289037,1.1527831094049903,1.0451364828326473,1.156527682843472,1.282767004341534,1.0522793053545587,1.0418317573716236,1.0988052754072926,1.0811827567975238
1.245889818286703,1.0669779005042077,1.022896963663514,1.0674212598425197,1.038961038961039,1.1781405629976829,1.2267788293024886,1.239520590043024,1.1300889096864764,1.0402908145659098,1.0983422648296834,1.0967474970483533
1.2046818727490995,1.066611978643271,1.0291545189504374,1.1155111829996096,1.0584643220626482,1.1183421555492103,1.2054807646983892,1.237210906135317,1.2262337357871294,1.0387498717601962,1.0839553266919344,1.1012875343055128
1.247408893346707,1.0662460567823344,1.0948431301839163,1.1606172088118778,1.0419180567541435,1.0856095224310598,1.1841827000942895,1.109552963710367,1.19080012957564,1.0372089289544824,1.17500667583398,1.1370508339434755
1.2724688083059388,1.0608546028104389,1.0921195513697053,1.2057232346241458,1.0253717914456395,1.1132410538137498,1.1628846354901905,1.3445206478914342,1.1015262110152622,1.0356679861487688,1.3453635447814896,1.101597616443234
1.116028955532575,1.0554631488385433,1.089395972555494,1.2461059190031152,1.008825526137135,1.14087258519644,1.141586570886091,1.144259384020952,1.1202467398191436,1.0341270433430552,1.1046917769405395,1.105908532250153
1.2007523160903075,1.0500716948666475,1.086672393741283,1.2032378035440825,1.0087888828681817,1.097822289507395,1.1202885062819916,1.134411376297631,1.138967268623025,1.0325861005373411,1.219632410520982,1.1002797852589383
1.277835874133688,1.044680240894752,1.083948814927072,1.1539816093071626,1.0087522395992286,1.1468957642180309,1.152788947674758,1.106241984994168,1.0648129216929054,1.0310451577316275,1.2595578211131528,1.1029891895156418
1.1838832065930356,1.0392887869228564,1.081225236112861,1.1047254150702428,1.0087155963302752,1.1959692389286665,1.185289389067524,1.0934937694618507,1.1808943089430892,1.029504214925914,1.165281010974393,1.1332135737045437
1.1484583339339511,1.0338973329509609,1.0785016572986497,1.0606328442637438,1.022709662037313,1.0035885167464116,1.2949861660590074,1.1251971837442398,1.0285714285714285,1.0279632721202003,1.081363532720225,1.128115677410057
1.1215390279823267,1.028505878979065,1.0757780784844386,1.234263144902493,1.0289912798134404,1.0549750113584735,1.230826416362837,1.19890665025688,1.207729468599034,1.0611593951165448,1.0757424755830176,1.0991925931846536
1.1148179250324457,1.0231144250071698,1.06975343670529,1.338289962825279,1.0352728975895675,1.02646224929119,1.1666666666666667,1.186889956283412,1.15456303850888,1.0943555181128894,1.185608977885356,1.0938051962777482
1.113697062190004,1.017722971035274,1.0637287949261411,1.0297029702970295,1.0415545153656949,1.1023817987913258,1.2052670538663022,1.1989383510924383,1.0631788559015207,1.0872881032184385,1.1437572264021316,1.0775073512288649
