RMS_Mean,RMS_Mean.1,RMS_Mean.2,RMS_Mean.3,RMS_Mean.4,RMS_Mean.5,RMS_Mean.6,RMS_Mean.7,RMS_Mean.8,RMS_Mean.9,RMS_Mean.10,RMS_Mean
78.28135048231512,97.24305555555556,63.34046242774566,36.14571428571429,49.33561643835616,47.7967213114754,43.37323943661972,49.734765625,37.571698113207546,49.55499999999999,48.41724137931034,38.203785488958985
72.7792,44.53333333333333,46.03023121387284,21.32692307692308,12.075,20.55,25.35263157894737,31.943902439024384,20.60833333333333,20.03333333333333,23.429411764705883,35.464814814814815
84.69062500000001,27.95,28.72000000000001,24.621052631578944,16.3,18.775,29.966666666666665,35.223913043478255,15.033333333333331,19.58055555555556,24.4,38.1475
77.956175663312,28.525,26.835000000000004,17.166666666666668,14.0,17.0,24.23333333333333,32.552357320099254,17.166666666666668,19.127777777777776,17.8,43.55012165450121
78.8030303030303,29.1,24.95,17.725,14.2,24.125,24.00555555555556,29.353136531365315,18.6,18.675,21.3,47.09706546275395
68.3152,29.675,35.5,17.925,15.844444444444443,31.25,23.77777777777778,28.17804878048781,18.25,11.833333333333334,19.09166666666667,47.30985997666278
66.16390416339355,30.25,33.233333333333334,19.77777777777778,17.488888888888887,18.1,23.55,26.93469387755102,19.15,11.72888888888889,16.883333333333333,47.50405033425088
62.388016701461375,30.825,30.966666666666665,19.9,19.133333333333333,28.08,15.75,31.97272727272728,27.8,11.624444444444444,18.15,47.521789473684215
70.63928955866523,31.4,28.7,20.55454545454546,18.891666666666666,29.732857142857146,19.75,32.0,36.45,11.52,38.57671568627451,49.13103007037749
66.95919635459818,31.975,29.75,25.24,18.65,31.385714285714283,23.75,30.27692307692308,33.777173913043484,11.415555555555557,41.25980066445183,52.5005035780546
60.96849315068494,32.55,29.675,36.7090909090909,17.7,48.981155015197565,27.75,30.2467680608365,31.10434782608696,11.311111111111112,60.13465703971119,52.19192771084338
60.37907949790795,33.12499999999999,29.6,39.08571428571428,19.21428571428572,36.072680412371135,31.75,28.76581196581197,18.000000000000004,11.206666666666669,53.60459770114944,55.799851264253846
52.67389937106918,33.7,30.600000000000005,34.800000000000004,22.375,39.201369863013696,34.12857142857143,27.54179104477612,26.78,11.102222222222222,49.765517241379314,55.316678579938056
48.53439153439153,34.27499999999999,19.96666666666667,51.76875,21.616666666666664,42.91864406779661,32.69085714285715,28.123809523809523,19.07272727272728,10.99777777777778,38.38242280285036,54.47185343802047
49.37317073170732,34.849999999999994,23.325,59.30659722222222,21.27777777777777,50.87999999999998,31.253142857142866,26.27725,28.0,10.893333333333334,35.99669260700389,43.28051689860835
53.36141001855288,34.422727272727265,25.32142857142857,66.84444444444445,20.93888888888889,49.14833333333332,29.815428571428576,27.50350553505535,22.225,10.78888888888889,45.52,53.97809310430669
58.94735915492959,33.99545454545454,27.317857142857143,45.925,20.6,47.41666666666666,28.377714285714287,29.3125,27.06805555555556,10.684444444444445,40.50953608247423,50.411492862327606
58.02834224598931,33.56818181818181,29.31428571428572,41.28181818181818,21.444444444444446,32.70909090909091,26.94,27.40764462809917,31.911111111111115,10.580000000000002,50.77551724137931,54.21555263157895
56.91386554621849,33.14090909090908,31.310714285714283,52.01590909090909,22.28888888888889,38.45454545454545,27.770000000000003,30.08100208768267,30.883333333333336,10.475555555555555,50.68882352941176,55.24645399419984
64.944769874477,32.71363636363636,33.30714285714286,62.75,23.133333333333336,44.2,28.6,26.171739130434784,36.50000000000001,10.371111111111112,48.86249999999999,57.897219361483
59.84673913043478,32.28636363636363,35.30357142857143,61.23333333333334,25.59565217391304,29.05,30.28852459016393,24.10944123314065,29.33333333333333,10.266666666666667,60.26857142857144,58.891687728166254
58.676294277929145,31.859090909090902,37.3,37.34,26.964596273291924,39.2,29.927595628415297,25.1172268907563,25.6,12.25,57.98571428571429,52.51357204735778
