Amplitude_Crest_factor,Amplitude_Crest_factor.1,Amplitude_Crest_factor.2,Amplitude_Crest_factor.3,Amplitude_Crest_factor.4,Amplitude_Crest_factor.5,Amplitude_Crest_factor.6,Amplitude_Crest_factor.7,Amplitude_Crest_factor.8,Amplitude_Crest_factor.9,Amplitude_Crest_factor.10,Amplitude_Crest_factor
1.2944438155512012,1.343719650810175,1.3081463048291444,1.3014125035450357,1.3334233690561843,1.263639479914522,1.2659340382830735,1.322761669777337,1.3152014274839476,1.2306284956948,1.119904318473807,1.3338778087346554
1.2938809007983076,1.131336940467429,1.250988851185351,1.2444835855224057,1.0699297945318949,1.129568472441432,1.17694350104983,1.3154950123153983,1.1381791050218506,1.043898089605616,1.1633637676256483,1.318652107131154
1.17381159857656,1.0679760463799783,1.193831397541558,1.3120423376777617,1.1167187796979408,1.1579820985258786,1.0967201916704852,1.1378861521080943,1.0739556122448948,1.0511892136161698,1.0377348901724914,1.1561568077067168
1.1469344997394466,1.0676375506522795,1.158209030321134,1.0885981683777597,1.0839007770334144,1.186395724610325,1.1553310076539278,1.2610896602482486,1.122551832704806,1.0584803376267231,1.0174290919066626,1.1739258878751144
1.1030295861978907,1.0672990549245804,1.1225866631007095,1.1301209026322183,1.1031184567836512,1.1769212043767818,1.133977630585431,1.2693107158312529,1.1273637493635171,1.065771461637277,1.0120434139433836,1.0671116833028065
1.0868500077229304,1.0669605591968816,1.010627412960815,1.0321279758009043,1.131247221755865,1.1674466841432387,1.112624253516934,1.0073339630881502,1.1483433058500954,1.0490915439786002,1.1135048763212818,1.0745467051305393
1.112884247570006,1.0666220634691828,1.0621418172818695,1.1571681891155372,1.1593759867280782,1.0298707797724278,1.0912708764484371,1.2199544296082263,1.1494842871950912,1.04766207569647,1.21496633869918,1.041686867085534
1.1390359126981937,1.0662835677414837,1.1136562216029242,1.1523626815293204,1.1875047517002917,1.228993502453087,1.0196986019822858,1.299563694339691,1.131390925953755,1.0462326074143398,1.0140776676127166,1.043593701986652
1.119379481357883,1.0659450720137849,1.165170625923979,1.248826671864416,1.1193714901309382,1.1583052245758498,1.0504276594443287,1.1010244289457605,1.113297564712418,1.0448031391322097,1.134669153726643,1.068640003518201
1.1175582172190246,1.065606576286086,1.0092751727749691,1.1699445489141298,1.0512382285615844,1.0876169466986128,1.0811567169063716,1.116142634904033,1.1646075264635287,1.0433736708500791,1.14089631670806,1.0611151035823585
1.1580538945139318,1.065268080558387,1.0616666761420426,1.2394560380969777,1.0206808705656512,1.316863305646634,1.1118857743684143,1.242010258684193,1.2159174882146395,1.0419442025679488,1.2901885218471632,1.082738071362505
1.1117734674611777,1.064929584830688,1.1140581795091162,1.1691946065096652,1.146234387373031,1.0445240843561958,1.1426148318304572,1.2825728232452729,1.0514896457206566,1.0405147342858188,1.097292355157329,1.0799028517503828
1.2429675720368565,1.0645910891029893,1.022756081154347,1.0662101059069755,1.0387167761291582,1.1777280189911776,1.2195300731265066,1.2393427024462558,1.122827168902964,1.0390852660036884,1.0962784494540554,1.0952101196211634
1.2041558289338954,1.0642525933752902,1.028550732573668,1.1128334029516596,1.0571081566278735,1.1176432788026505,1.199000521507002,1.236884479802864,1.2242789982411413,1.037655797721558,1.08167233864699,1.0998102400602443
1.2454350085643624,1.0639140976475914,1.0930057113291147,1.1570960068317908,1.0410008510074509,1.0849063699741486,1.178470969887497,1.109352598686682,1.182266917677333,1.0362263294394278,1.1707826777015762,1.135813587139942
1.2720847038947147,1.0587324355521113,1.0903131711892184,1.2013586107119218,1.024893545387028,1.1108236801364004,1.1579414182679926,1.34388823869525,1.0990929007459256,1.0347968611572975,1.3368238197279114,1.1003551142673214
1.114433597654638,1.053550773456631,1.0876206310493224,1.2227497487416124,1.0087862397666052,1.136740990298652,1.137411866648488,1.1440015696709294,1.1169159537083213,1.0333673928751674,1.0980990007106954,1.1044089806464814
1.1997151502045156,1.0483691113611509,1.084928090909426,1.1963288055254342,1.008760074186546,1.0949324601462336,1.1168823150289833,1.134315220912018,1.1347390066707173,1.0319379245930371,1.209254764183256,1.0989643295287204
