Counts_Peak,Counts_Peak.1,Counts_Peak.2,Counts_Peak.3,Counts_Peak.4,Counts_Peak.5,Counts_Peak.6,Counts_Peak.7,Counts_Peak.8,Counts_Peak.9,Counts_Peak.10,Counts_Peak
70.0,30.355263157894736,67.0,,130.0,112.0,88.0,86.0,74.0,75.3125,80.0,145.0
28.0,30.34210526315789,69.33333333333333,,106.0,84.0,61.0,88.0,106.0,77.25,63.0,191.0
59.0,30.32894736842105,71.66666666666667,,126.0,88.0,65.0,84.0,75.0,79.1875,81.0,170.0
62.0,30.31578947368421,74.0,,130.0,87.0,65.72,78.0,74.0,81.125,79.0,203.0
76.0,30.30263157894737,76.33333333333333,,114.0,85.0,66.44,82.0,69.0,83.0625,70.0,192.0
68.0,30.289473684210527,78.66666666666667,,119.0,84.0,67.16,85.0,83.0,85.0,72.0,196.0
65.0,30.276315789473685,81.0,,99.0,81.0,67.88,84.0,62.0,45.0,125.0,196.0
28.0,30.26315789473684,79.0,,120.0,197.0,68.6,69.0,54.0,50.0,141.0,168.0
28.0,30.25,106.0,,156.0,147.0,69.32,63.0,65.0,55.0,72.0,159.0
33.0,30.23684210526316,86.0,,145.0,85.0,70.04,65.0,49.0,60.0,74.0,149.0
32.0,30.223684210526315,28.0,,167.0,103.0,70.76,70.0,57.0,65.0,74.0,163.0
69.0,30.21052631578948,191.0,,157.0,96.0,71.48,77.0,49.0,70.0,72.0,197.0
71.0,30.19736842105263,89.0,,163.0,240.0,72.2,68.0,57.0,75.0,71.0,104.0
71.0,30.18421052631579,14.0,,164.0,189.0,72.92,72.0,63.0,80.0,72.0,157.0
74.0,30.17105263157895,32.0,,157.0,107.0,73.64,73.0,14.0,85.0,42.0,148.0
71.0,30.157894736842103,50.0,,157.0,147.0,74.36,73.0,16.0,90.0,73.0,164.0
31.0,30.144736842105264,68.0,,160.0,74.0,75.08,75.0,17.0,84.5,71.0,108.0
73.0,30.13157894736842,66.0,,158.0,162.0,75.8,76.0,25.0,79.0,72.0,167.0
72.0,30.11842105263158,51.0,,167.0,116.0,76.52,85.0,79.0,174.33333333333331,74.0,161.0
69.0,30.105263157894736,36.0,,165.0,101.0,77.24,88.0,75.0,269.66666666666663,75.0,169.0
66.0,30.09210526315789,9.0,,172.0,130.0,77.96,89.0,81.0,365.0,76.0,170.0
71.0,30.07894736842105,14.0,,182.0,171.0,78.68,89.0,82.0,64.0,77.0,170.0
64.0,30.06578947368421,20.0,,167.0,104.0,79.4,91.0,80.0,28.0,72.0,169.0
39.0,30.05263157894737,26.0,,207.0,90.0,80.12,94.0,80.0,19.0,71.0,166.0
37.0,30.039473684210527,32.0,,192.0,93.0,80.84,96.0,79.0,64.0,93.0,161.0
60.0,30.026315789473685,39.833333333333336,,184.0,155.0,81.56,87.0,90.0,18.0,67.0,166.0
59.0,30.01315789473684,47.66666666666666,,434.0,103.0,82.28,94.0,78.0,48.0,77.0,164.0
63.0,30.0,55.5,,,93.0,83.0,157.0,88.0,58.0,75.0,162.0
50.0,39.0,63.33333333333333,,,119.0,88.6,135.0,90.0,75.0,74.0,176.0
64.0,48.0,71.16666666666666,,,138.0,94.2,115.0,65.0,33.0,76.0,163.0
17.0,88.0,79.0,,,97.0,99.8,104.0,46.0,31.0,75.0,138.0
21.0,58.5,124.0,,,93.0,105.4,106.0,27.0,26.0,85.0,136.0
47.0,29.0,101.0,,,93.0,111.0,127.0,78.0,27.0,70.0,203.0
63.0,27.214285714285715,78.0,,,93.0,110.77272727272728,146.0,90.0,31.0,70.0,201.0
66.0,25.428571428571427,55.0,,,108.0,110.54545454545456,120.0,89.0,35.0,67.0,152.0
69.0,23.642857142857142,32.0,,,91.0,110.3181818181818,160.0,88.0,32.0,64.0,128.0
126.0,21.857142857142858,23.0,,,100.0,110.0909090909091,123.0,76.0,31.0,68.0,121.0
136.0,20.07142857142857,93.0,,,86.0,109.86363636363636,148.0,78.0,34.0,103.0,127.0
94.0,18.285714285714285,23.0,,,110.0,109.63636363636364,132.0,79.0,32.0,64.0,134.0
108.0,16.5,38.5,,,128.0,109.4090909090909,123.0,87.0,33.0,65.0,133.0
58.0,14.714285714285714,54.0,,,117.0,109.1818181818182,129.0,103.0,54.0,64.0,156.0
67.0,12.928571428571429,72.0,,,119.0,108.95454545454544,145.0,94.0,38.0,62.0,197.0
127.0,11.142857142857142,90.0,,,132.0,108.72727272727272,135.0,104.0,35.0,59.0,164.0
72.5,9.357142857142858,108.0,,,98.0,108.5,130.0,93.0,36.5,60.0,238.0
18.0,7.571428571428569,11.0,,,132.0,108.27272727272728,135.0,97.0,38.0,59.0,145.0
71.0,5.785714285714285,100.0,,,142.0,108.04545454545456,135.0,92.0,36.0,59.0,181.0
49.0,4.0,97.33333333333331,,,152.0,107.8181818181818,136.0,79.0,37.0,59.0,160.0
47.0,4.285714285714286,94.66666666666669,,,150.0,107.5909090909091,139.0,49.0,37.0,66.5,228.0
46.0,4.571428571428571,92.0,,,158.0,107.36363636363636,149.0,70.0,82.0,74.0,184.0
40.0,4.857142857142857,29.0,,,123.0,107.13636363636364,134.0,61.5,60.5,73.0,192.0
37.0,5.142857142857142,59.5,,,120.0,106.9090909090909,156.0,53.0,39.0,72.0,188.0
46.0,5.428571428571429,90.0,,,133.0,106.6818181818182,149.0,44.5,44.0,57.0,186.0
110.0,5.714285714285714,77.2,,,205.0,106.45454545454544,148.0,36.0,37.0,165.0,223.0
45.0,6.0,64.4,,,135.0,106.22727272727272,149.0,68.5,37.0,75.0,246.0
49.0,6.285714285714286,51.6,,,116.0,106.0,150.0,101.0,41.0,79.0,248.0
117.0,6.571428571428571,38.8,,,112.0,98.0,160.0,72.0,23.0,59.0,201.0
93.0,6.857142857142857,26.0,,,160.0,90.0,144.0,63.5,25.0,75.0,183.0
45.0,7.142857142857142,23.0,,,157.0,82.0,144.0,55.0,28.0,83.0,189.0
47.0,7.428571428571429,25.0,,,120.0,74.0,133.0,46.5,31.0,97.0,229.0
68.0,7.7142857142857135,5.0,,,181.0,66.0,186.0,38.0,36.0,121.0,191.0
54.0,8.0,6.0,,,124.0,58.0,178.0,39.0,37.0,103.0,189.0
67.0,8.285714285714285,3.0,,,120.0,50.0,166.0,40.0,38.0,102.0,195.0
62.0,8.571428571428571,61.0,,,117.0,42.2,151.0,41.0,39.0,105.0,188.0
38.0,8.857142857142858,13.0,,,111.0,34.4,158.0,42.0,44.0,102.0,172.0
52.0,9.142857142857142,39.0,,,129.0,26.6,179.0,57.0,52.5,106.0,192.0
46.0,9.428571428571429,35.0,,,126.0,18.8,167.0,46.0,61.0,107.0,194.0
81.0,9.714285714285714,31.0,,,136.0,11.0,189.0,42.0,69.5,109.0,219.0
56.0,10.0,20.0,,,124.0,10.88888888888889,157.0,48.0,78.0,120.0,224.0
53.0,10.285714285714285,7.0,,,125.0,10.77777777777778,178.0,45.0,44.0,128.0,188.0
67.0,10.571428571428571,82.0,,,139.0,10.666666666666666,147.0,45.0,44.0,109.0,204.0
73.0,10.857142857142858,4.0,,,131.0,10.555555555555555,164.0,51.0,47.0,128.0,285.0
88.0,11.142857142857142,6.0,,,128.0,10.444444444444445,168.0,48.0,36.0,122.0,217.0
73.0,11.428571428571429,10.0,,,144.0,10.333333333333334,161.0,85.0,49.0,114.0,285.0
67.0,11.714285714285714,14.0,,,130.0,10.22222222222222,150.0,51.0,52.0,112.0,256.0
65.0,12.0,18.0,,,143.0,10.11111111111111,165.0,43.0,49.0,110.0,261.0
67.0,8.0,43.0,,,159.0,10.0,161.0,77.0,48.0,110.0,269.0
40.0,4.0,2.0,,,180.0,9.88888888888889,176.0,82.0,46.0,117.0,231.0
68.0,6.0,11.5,,,128.0,9.77777777777778,118.0,83.0,49.0,106.0,250.0
47.0,8.0,21.0,,,136.0,9.666666666666666,125.0,82.0,48.0,112.0,223.0
112.0,8.3125,31.75,,,149.0,9.555555555555555,123.0,79.0,50.0,120.0,245.0
101.0,8.625,42.5,,,127.0,9.444444444444445,166.0,77.0,59.0,123.0,264.0
126.0,8.9375,53.25,,,156.0,9.333333333333334,176.0,82.0,50.0,117.0,302.0
65.0,9.25,64.0,,,163.0,9.22222222222222,153.0,82.0,49.5,128.0,237.0
54.0,9.5625,11.0,,,232.0,9.11111111111111,161.0,81.0,49.0,118.0,254.0
67.0,9.875,19.0,,,,9.0,169.0,83.0,53.0,126.0,239.0
70.0,10.1875,73.0,,,,8.88888888888889,181.0,84.0,115.0,137.0,255.0
56.0,10.5,80.0,,,,8.777777777777779,201.0,85.0,55.0,110.0,255.0
71.0,10.8125,87.0,,,,8.666666666666668,219.0,87.0,54.0,120.0,245.0
61.0,11.125,31.0,,,,8.555555555555555,196.0,85.0,58.0,157.0,245.0
76.0,11.4375,99.0,,,,8.444444444444445,179.0,87.0,56.0,140.0,225.0
123.0,11.75,79.5,,,,8.333333333333334,176.0,89.0,58.0,131.0,242.0
72.0,12.0625,60.0,,,,8.222222222222221,163.0,88.0,57.0,122.0,234.0
70.0,12.375,40.5,,,,8.11111111111111,161.0,89.0,59.0,126.0,201.0
72.0,12.6875,21.0,,,,8.0,155.0,86.0,58.0,123.0,204.0
56.0,13.0,21.166666666666668,,,,24.666666666666668,169.0,88.0,61.0,149.0,198.0
41.0,22.0,21.33333333333333,,,,41.333333333333336,158.0,87.0,58.0,163.0,185.0
35.0,22.181818181818183,21.5,,,,58.0,209.0,85.0,56.0,165.0,229.0
27.0,22.363636363636363,21.666666666666668,,,,64.0,177.0,91.0,60.0,111.0,213.0
71.0,22.545454545454547,21.83333333333333,,,,29.0,182.0,92.0,61.0,113.0,234.0
73.0,22.727272727272727,22.0,,,,23.0,182.0,89.0,60.0,130.0,219.0
76.0,22.90909090909091,31.0,,,,23.0,184.0,86.0,97.0,133.0,275.0
110.0,23.09090909090909,30.7,,,,67.0,246.0,89.0,64.0,137.0,193.0
75.0,23.27272727272728,30.4,,,,64.0,169.0,71.0,65.0,139.0,181.0
50.0,23.454545454545453,30.1,,,,75.0,175.0,77.0,66.0,126.0,183.0
35.0,23.63636363636364,29.8,,,,135.0,177.0,123.0,132.0,123.0,181.0
40.0,23.81818181818182,29.5,,,,67.0,176.0,73.0,69.0,126.0,238.0
75.0,24.0,29.2,,,,77.0,178.0,72.0,67.0,144.0,190.0
95.0,55.5,28.9,,,,101.0,180.0,70.0,67.0,125.0,181.0
62.0,87.0,28.6,,,,95.0,187.0,67.0,71.0,123.0,177.0
72.0,106.0,28.3,,,,93.0,177.0,66.0,69.0,117.0,160.0
51.0,139.0,28.0,,,,96.0,177.0,65.0,71.0,124.0,177.0
97.0,54.0,61.5,,,,98.0,174.0,65.0,70.0,148.0,181.0
158.0,80.0,95.0,,,,108.0,185.0,63.0,69.0,207.0,217.0
49.0,106.0,88.5,,,,83.0,220.0,63.0,71.0,388.0,238.0
76.0,132.0,82.0,,,,126.0,173.0,63.0,88.0,135.0,194.0
158.0,205.0,29.0,,,,126.0,174.0,68.0,73.0,155.0,175.0
85.0,32.0,31.0,,,,64.0,177.0,63.0,72.0,,194.0
85.0,35.5,30.0,,,,87.0,178.0,65.0,73.0,,172.0
81.0,39.0,35.0,,,,119.0,156.0,67.0,75.0,,178.0
88.0,40.0,31.0,,,,72.0,163.0,66.0,76.0,,237.0
66.0,49.0,32.0,,,,82.0,168.0,67.0,83.0,,222.0
96.0,123.0,33.0,,,,82.0,167.0,69.0,82.0,,186.0
73.0,16.0,32.0,,,,86.0,146.0,68.0,78.0,,209.0
76.0,39.0,35.0,,,,70.0,153.0,69.0,71.0,,217.0
77.0,9.0,26.0,,,,58.0,189.0,56.0,83.0,,205.0
65.0,8.0,20.0,,,,69.0,189.0,68.0,99.0,,207.0
87.0,21.5,14.0,,,,60.0,144.0,75.0,59.0,,184.0
66.0,35.0,8.0,,,,59.9,153.0,61.0,116.0,,205.0
78.0,51.0,90.0,,,,59.8,149.0,86.0,95.0,,229.0
