Duration_Root_standard_squared,Duration_Root_standard_squared.1,Duration_Root_standard_squared.2,Duration_Root_standard_squared.3,Duration_Root_standard_squared.4,Duration_Root_standard_squared.5,Duration_Root_standard_squared.6,Duration_Root_standard_squared.7,Duration_Root_standard_squared.8,Duration_Root_standard_squared.9,Duration_Root_standard_squared.10,Duration_Root_standard_squared
8150.945380751855,3628.661528718269,8021.472425932784,5890.236569952009,3961.929388568151,4233.695329142143,14370.167910640434,6667.520675633485,3823.107190493094,2334.776588883827,3304.5767429430352,11653.178373302282
4524.288802673853,1267.373342784201,4329.0036084061385,1945.3416460868768,620.4907251522782,1598.1905706141556,1723.7514466999005,2649.707270624436,849.101960897512,841.1184280468476,2239.7898316583187,2337.7739924979915
8470.913292555886,305.6558195094606,636.5347908794931,3324.145081069717,542.5659406929263,1647.394791672607,1064.0195580909217,3621.6781289893775,641.4697498713404,761.7533825059442,1058.5167452619726,2344.635963214759
15786.247994377893,304.53616811181087,528.6872138979897,1089.126856706784,1139.5176260154997,1696.599012731058,1046.9565129459772,8866.37340461138,425.2401909509495,682.3883369650407,788.1989913721026,9285.866887372444
22645.16298439912,303.4165167141611,420.8396369164863,941.8274629676074,630.732938730807,1093.6584933621336,1023.7165364416852,9450.81114032018,523.787218248021,603.0232914241373,741.1385835321219,13125.383349449265
32638.89672216265,302.29686531651134,398.2492310099292,730.4104188742108,772.8440240574129,490.7179739932093,1000.476559937393,3292.376644614039,542.1993083728529,1197.9469562547415,1413.061525550083,27989.08978888024
25891.785082531485,301.1772139188615,478.63322991072033,1344.093065974228,914.9551093840188,249.8756890935971,977.2365834331008,2398.129637863641,559.0168065452058,1160.7091667617783,2084.984467568044,34359.204768882526
23173.902426004992,300.05756252121176,559.0172288115115,1029.7904495575788,1057.0661947106246,1691.8954282106208,508.7613684233504,1761.960039274444,483.1099074418993,1123.4713772688149,301.9672167636745,34955.39249200329
22595.985917857182,298.937911123562,639.4012277123027,1645.7988090893734,765.9560164259025,1236.509370569434,517.3864272299277,914.4249723186698,407.2030083385927,1086.2335877758517,7323.832462584053,35490.20215707428
27354.03554413864,297.81825972591224,153.81368599705294,1698.9722864131716,474.8458381411803,781.1233129282468,526.0114860365051,1067.4414972259603,1670.9322823171549,1048.9957982828882,8175.923505635312,37888.32058115008
6358.218670350997,296.6986083282625,248.0482538259472,1719.376244456111,599.359424719425,6612.68013743293,534.6365448430824,6074.258520181701,2934.6615562957168,1011.758008789925,5215.930160575389,38464.77864241519
18095.772144067243,295.57895693061266,342.2828216548415,979.5774701369974,837.1178710313143,4115.666651953241,543.2616036496597,8008.549543456667,985.028060514014,974.5202192969616,3778.0352949648313,41119.6580537825
4679.203433277933,294.4593055329629,167.09835427077073,257.81008514020544,406.6892425427552,2618.7252318637784,1813.2830308586688,7175.030873104311,1394.1771695161272,937.2824298039984,3603.602221389037,42187.14320038749
2277.6802892416663,293.33965413531314,231.1575004190865,5072.703994912377,467.2716982655808,2240.895564277818,1690.052173511075,7663.320684925041,2179.3365068295443,900.0446403110351,6594.145793050075,40888.47244444332
2421.506811883873,292.2200027376634,329.7959369064452,3167.4916392946648,388.8316836588839,4046.297830115821,1566.8213161634806,6975.84991165951,787.2002096036306,862.8068508180718,6507.252079026906,36011.53435039946
4432.306942214178,306.0535506722048,326.8124910477722,1262.2792836769524,310.3916690521869,2486.993317848329,1443.5904588158864,8160.713052791404,619.4288417566621,825.5690613251085,3547.326094398428,36452.93832025067
5092.095571569725,319.8870986067462,323.8290451890992,1701.2506811166895,231.95165444549,927.688805580837,1320.3596014682923,6144.339495828661,895.0050239124137,788.3312718321451,5142.252178763698,36792.06971169195
2476.8847167359245,333.7206465412876,320.8455993304262,1754.1917113018176,283.9673830318107,1385.915780269494,1197.1287441206982,7581.977020540223,1170.581206068165,751.093482339182,4869.81251384486,35636.66000384997
