RMS_Crest_factor,RMS_Crest_factor.1,RMS_Crest_factor.2,RMS_Crest_factor.3,RMS_Crest_factor.4,RMS_Crest_factor.5,RMS_Crest_factor.6,RMS_Crest_factor.7,RMS_Crest_factor.8,RMS_Crest_factor.9,RMS_Crest_factor.10,RMS_Crest_factor
2.3386933146668363,1.5871349840271158,2.4209629959238934,3.1714105069351266,2.622236683281592,2.917269258283749,3.069865980339136,2.6943554389224103,3.3616802600306213,2.100738376828904,2.2896476251950526,3.0646819191573966
1.2483217246010023,1.412266428299182,1.826655904798014,1.8580336405690543,1.4931612340147438,1.384762787205779,1.3563078137125733,1.799765598523644,1.3428850505750174,1.2181034540234534,1.438193916596299,2.132174580739812
1.145633226773888,1.0867209467627572,1.2323488136721343,2.0359685839014503,1.0301902837614816,1.2513102986171596,1.2344182793355174,1.7193212929322168,1.1961868313066475,1.2763074985209957,1.0282654642157754,1.296047104233247
1.185323359302155,1.0805632053712126,1.1536136128867436,1.0856995815549322,1.3401323719972815,1.11785781002854,1.1065961638315926,2.477468128139406,1.1719624497973302,1.3345115430185377,1.027684524569578,1.2964432522079512
1.1580538764807644,1.074405463979668,1.074878412101353,1.0809870095950942,1.2635711248931347,1.076978242127384,1.1569891488744537,1.5641814486500696,1.0581920086625034,1.3927155875160795,1.0277613340470348,1.2110683328431966
1.2682311721080242,1.068247722588123,1.016756196748824,1.175887533556751,1.2265109396544105,1.036098674226228,1.2073821339173143,1.2649485215825695,1.0557882606450817,1.1496379813685071,1.0882969014345072,1.265195537933406
1.2695696583175369,1.0620899811965785,1.0613958087582869,1.463175569206201,1.1894507544156856,1.1800172320919673,1.2577751189601754,1.176990876077664,1.2790736355463688,1.1467946113242322,1.1488324688219798,1.2789292207431475
1.265598058185356,1.055932239805034,1.10603542076775,1.2537047451135332,1.1523905691769611,1.8643009494893696,1.3477145997397897,1.3519220994525587,1.2879423812024149,1.1439512412799573,1.0814630226080035,1.323163957207378
1.174938753278677,1.0497744984134891,1.1506750327772128,1.4928361272688722,1.0881106325398209,1.5427421715161866,1.310727843052529,1.1565762714843708,1.2968111268584608,1.1411078712356824,1.47640848151853,1.2798861722580823
1.1796962017731312,1.0436167570219443,1.2059950547847298,1.0891527934527971,1.0238306959026804,1.2211833935430034,1.273741086365269,1.0875395800224614,1.7705155698885373,1.1382645011914072,1.2838261344955604,1.3137971723550357
1.201235062427738,1.0374590156303998,1.2649344978792798,1.5126796448837374,1.2820252575681574,2.8291778150641136,1.2367543296780088,1.3960819970720957,2.2442200129186136,1.1354211311471325,2.312554118284036,1.3300992215989125
1.124598372889568,1.0313012742388552,1.32387394097383,1.2603129441357432,1.3197287961167958,1.4402541201571657,1.1997675729907484,1.3303521822970266,1.5999379458801175,1.1325777611028571,1.1765727057457558,1.278321107691592
1.2922511054158496,1.0251435328473104,1.2200375899616225,1.2184770502056017,1.1058268124483794,1.3108824239628454,1.1768398440656325,1.2859818321569094,1.1686192025802893,1.1297343910585824,1.3261088217879082,1.2704473629407176
1.2484820878584,1.0189857914557656,1.08496210200315,1.1296452353957585,1.2383178413432887,1.7134569077492734,1.1685531192813263,1.4409197256704558,2.011969369413929,1.1268910210143075,1.682496255620962,1.3462301426735734
1.2002018671824404,1.012828050064221,1.430860924212285,1.1444991367112791,1.2346466525543816,1.289000857286818,1.1602663944970202,1.418773297966635,1.562837065843561,1.1240476509700326,1.6971271070713656,1.4478336764464956
1.5154281665532867,1.0279971409285111,1.400139771536232,1.1593530380268002,1.2309754637654742,1.2245834327687943,1.1519796697127138,1.402057705535649,1.3645830280735238,1.1212042809257576,1.4290737058077383,1.5185475055657018
1.273284627941115,1.0431662317928012,1.3694186188601791,1.1914960317789924,1.227304274976567,1.1601660082507708,1.1436929449284077,1.4807562235290206,1.3095616589635406,1.1183609108814827,1.6378699501442924,1.416196410771277
1.236904386651419,1.058335322657091,1.3386974661841264,1.492191099251187,1.1926201314547753,1.5685701156238532,1.1354062201441015,1.7146429100468823,1.2545402898535574,1.1155175408372076,1.3945395578997275,1.4311592220036773
1.44676731501017,1.0735044135213812,1.3079763135080735,1.3994001507317455,1.1579359879329838,1.3438880452912318,1.1299716670213948,1.336906041595487,1.2219501444702972,1.1126741707929326,1.3798965103201497,1.4308918922404787
1.4474926352410722,1.0886735043856712,1.2772551608320206,1.3066092022123044,1.123251844411192,1.1192059749586103,1.1245371138986884,1.7720661030529945,1.2186159114037778,1.1098308007486577,1.5563394550962824,1.4254782797633954
1.4591188343821473,1.103842595249961,1.246534008155968,1.1911389889296071,1.0884088431527343,1.177734117381997,1.2248378104955244,1.9287129417183653,1.137770865403737,1.1069874307043828,1.0885010081443691,1.4657272522226616
1.3312281047670556,1.1190116861142514,1.215812855479915,1.3672150768028593,1.0888502316350617,1.278336532942677,1.135513603413027,1.924146788183498,1.241493877070758,1.268160658360641,1.117456237515238,1.401061212388165
1.315964124586394,1.1341807769785417,1.1963523455668854,1.248994463318822,1.089291620117389,1.1520554719750804,1.0461893963305298,2.00129836130538,1.387841646887583,1.4293338860168991,1.190387661657484,1.4022659744165114
1.432722909493291,1.149349867842831,1.1768918356538558,1.0191989930357457,1.0897330085997163,1.4201166352965455,1.2046123910246458,1.9438386721760943,1.2591302050609243,1.3942253736216623,1.1875670778022496,1.4587593910782113
1.3457443240196123,1.1645189587071214,1.1574313257408262,1.3004586471857056,1.0901743970820437,1.3349489577665723,1.3630353857187618,1.587785007351754,1.5172026135687522,1.359116861226426,1.2630542795546822,1.52366179436585
1.319955699980914,1.1796880495714115,1.1379708158277966,1.241164251317716,1.16438791678135,1.235643725279055,1.2374077641430594,1.882306400464288,1.173812639487955,1.3240083488311891,1.1379150789374897,1.52843237830834
1.14179099576297,1.079400783067081,1.118510305914767,1.4007335074458789,1.007066871530402,1.1827331548619535,1.369009156525297,1.820812027099084,2.018487873984249,1.2888998364359527,1.106060556761455,1.4644993194807576
1.219697302531685,1.08403260534,1.0990497960017371,1.3017126648744428,1.0341698952643694,1.1298225844448524,1.0165802802511534,1.9108370434942188,1.519921797585459,1.253791324040716,1.3969807243464265,1.292782210668936
