Rise-Time_Max_Min_difference,Rise-Time_Max_Min_difference.1,Rise-Time_Max_Min_difference.2,Rise-Time_Max_Min_difference.3,Rise-Time_Max_Min_difference.4,Rise-Time_Max_Min_difference.5,Rise-Time_Max_Min_difference.6,Rise-Time_Max_Min_difference.7,Rise-Time_Max_Min_difference.8,Rise-Time_Max_Min_difference.9,Rise-Time_Max_Min_difference.10,Rise-Time_Max_Min_difference
2207.1,470.4,1492.1,892.0,590.6999999999999,943.4,3228.7,672.3,419.1,995.1,231.5,8728.5
146.6,42.49999999999999,783.4499999999999,145.9,43.1,64.3,87.1,609.6999999999999,119.79999999999998,18.5,39.400000000000006,322.79999999999995
269.9,24.099999999999994,74.80000000000001,158.70000000000002,32.0,56.5,43.60000000000001,85.5,82.1,19.2,2.699999999999996,106.3
535.6,24.70833333333333,55.95,69.2,40.8,48.7,31.300000000000004,413.4,45.2,19.9,53.89999999999999,297.4
477.3,25.316666666666663,37.1,80.89999999999999,21.5,61.45,32.06666666666667,75.9,89.3,20.6,35.4,333.7
512.8,25.925,28.3,16.199999999999996,153.83333333333334,74.2,32.83333333333333,32.7,32.099999999999994,162.9,537.6500000000001,607.4
467.9,26.533333333333328,85.43333333333332,64.0,286.1666666666667,11.800000000000004,33.599999999999994,55.3,41.900000000000006,155.61333333333334,1039.9,531.1
466.0,27.141666666666666,142.56666666666666,63.9,418.5,80.2,27.4,69.6,44.3,148.32666666666668,47.5,511.9
151.5,27.75,199.7,56.99999999999999,212.85,73.5,24.225,52.89999999999999,46.7,141.04000000000002,312.0,725.5
625.3000000000001,28.35833333333333,26.9,48.400000000000006,7.200000000000003,66.80000000000001,21.05,12.3,75.15,133.75333333333333,264.90000000000003,649.0
88.80000000000001,28.966666666666665,36.65,163.2,77.6,262.29999999999995,17.875000000000004,120.5,103.6,126.46666666666668,283.7,530.1999999999999
143.79999999999998,29.575,46.4,66.6,52.39999999999999,392.5,14.700000000000005,30.9,40.7,119.18,284.79999999999995,857.8
121.2,30.18333333333333,36.7,62.900000000000006,30.200000000000003,175.9,251.1,82.0,80.2,111.89333333333336,428.5,597.8
