Amplitude_Mean,Amplitude_Mean.1,Amplitude_Mean.2,Amplitude_Mean.3,Amplitude_Mean.4,Amplitude_Mean.5,Amplitude_Mean.6,Amplitude_Mean.7,Amplitude_Mean.8,Amplitude_Mean.9,Amplitude_Mean.10,Amplitude_Mean
76.68327974276528,73.88333333333334,75.87976878612717,76.21928571428572,73.08082191780821,78.61967213114754,78.38169014084508,75.235546875,75.44905660377358,80.51499999999999,88.92068965517242,74.46529968454259
76.83679999999998,87.55,73.23988439306359,79.69615384615385,75.17500000000001,87.28333333333335,79.16842105263159,75.59268292682927,72.6,83.56666666666666,85.50588235294117,73.71666666666665
84.57932692307692,72.19999999999999,70.6,75.58070175438596,78.9,85.04166666666667,83.89999999999999,78.05217391304349,80.7,81.92777777777778,90.9,82.8525
86.41555352241537,72.7875,75.52499999999999,83.93333333333332,84.69999999999999,82.8,85.96666666666665,79.23672456575683,71.93333333333332,80.28888888888889,82.45,84.95961070559613
90.25963203463203,73.37499999999999,80.44999999999999,78.69999999999999,81.1,79.32499999999999,84.83888888888887,78.75516605166052,70.76666666666667,78.65,86.65,91.09187358916478
91.65313103448275,73.96249999999999,79.55000000000001,82.35,80.55555555555554,75.85,83.71111111111111,78.61585365853658,73.65,83.53333333333335,83.53333333333333,92.9210618436406
89.4610761979576,74.55,77.42222222222223,79.04444444444445,80.0111111111111,72.5,82.58333333333333,73.40612244897959,74.85,83.2888888888889,80.41666666666667,93.43507668108532
86.78250521920668,75.13749999999999,75.29444444444445,78.1,79.46666666666665,80.53,80.4,74.93181818181816,73.85,83.04444444444445,74.05,92.31873684210528
87.12088266953714,75.725,73.16666666666667,79.46363636363638,80.05833333333334,79.39357142857143,78.5875,74.925,72.85,82.80000000000001,79.6610294117647,90.6934101087652
89.15,76.3125,69.75,85.0,80.65,78.25714285714287,76.775,70.73846153846155,77.0141304347826,82.55555555555556,76.33654485049834,90.66490856082692
83.38310502283106,76.89999999999999,73.24166666666667,79.95454545454544,76.01666666666667,75.6659574468085,74.9625,72.60570342205322,81.17826086956521,82.31111111111112,75.39241877256318,91.53472891566264
89.50619246861925,77.4875,76.73333333333333,76.75714285714287,74.42857142857143,75.87525773195875,73.15,73.82478632478633,78.97142857142856,82.06666666666668,74.08045977011494,91.47389687654932
78.49811320754718,78.075,66.96666666666667,67.73333333333333,74.1125,77.1554794520548,81.51428571428572,72.85074626865672,85.47999999999999,81.82222222222222,74.3848275862069,90.631617822254
74.04444444444445,78.6625,68.6,89.645,73.69166666666668,77.16779661016949,82.40342857142858,72.50178571428572,77.55454545454545,81.57777777777778,77.58622327790972,90.8028075184392
72.95121951219512,79.25,69.325,83.84472222222222,73.67777777777779,76.36263157894736,83.29257142857143,73.0925,77.175,81.33333333333333,77.95700389105059,87.33118787276342
73.08627087198516,79.25,69.97857142857143,78.04444444444444,73.66388888888889,76.57298245614035,84.18171428571428,73.33468634686348,75.35,81.08888888888889,70.46422535211266,88.50781677869057
73.20598591549296,79.25,70.63214285714285,80.25,73.65,76.78333333333335,85.07085714285714,71.83685897435898,77.05277777777778,80.84444444444445,75.04355670103094,87.8011129929833
72.78770053475935,79.25,71.28571428571428,83.10909090909091,73.32222222222222,78.06363636363636,85.96,70.87376033057852,78.75555555555555,80.6,74.85862068965517,87.34142105263159
73.32710084033613,79.25,71.93928571428572,80.70454545454545,72.99444444444445,76.74181818181818,84.44666666666666,71.9553235908142,81.51666666666667,80.35555555555555,79.39294117647059,87.30819931452676
76.86569037656905,79.25,72.59285714285714,78.3,72.66666666666667,75.41999999999999,82.93333333333334,71.97114624505929,70.28571428571429,80.1111111111111,75.175,88.24461894953656
75.4054347826087,79.25,73.24642857142857,94.28333333333336,72.94347826086955,83.6,63.3983606557377,71.45414258188823,61.833333333333336,79.86666666666666,75.18285714285715,88.46610502667791
74.00544959128067,79.25,73.89999999999999,81.02000000000001,73.7707039337474,73.36666666666667,74.29918032786885,73.40021008403362,78.66,79.5,71.67142857142858,87.79171238810281
77.05294117647058,79.25,74.88,74.72222222222223,74.59792960662526,82.80869565217391,85.2,73.38506787330316,81.24285714285715,79.13333333333334,75.74166666666666,87.76699939503932
74.88571428571429,79.25,75.86,70.69999999999999,75.42515527950312,80.37142857142858,82.15405405405406,72.48079096045197,78.91428571428571,79.52222222222223,75.54050632911392,88.07364505844846
81.76153846153846,79.25,76.83999999999999,83.99999999999999,76.25238095238096,80.5,79.10810810810811,71.31446153846154,74.82857142857144,79.91111111111111,74.73658536585366,87.3159793814433
77.51351351351352,79.25,77.82,68.12222222222222,74.36666666666666,78.0,65.16086956521738,72.44075067024129,80.25,80.30000000000001,75.27287234042552,88.05669027208349
74.99452054794521,89.55,78.8,73.45882352941176,77.5,77.64999999999999,77.76249999999999,74.05020833333333,76.325,80.6888888888889,74.97500000000001,87.90751935127165
76.87989130434782,88.99473684210525,79.78,73.0909090909091,78.15,77.3,70.4,72.60967741935484,77.14000000000001,81.07777777777778,73.32727272727273,88.13625939106366
77.12148900169205,88.43947368421053,80.76,72.56538461538462,76.01428571428572,76.94999999999999,79.45,73.03271028037383,73.19999999999999,81.46666666666667,77.95714285714287,87.11171171171172
75.91199999999999,87.88421052631578,81.74,76.7764705882353,75.82244897959183,82.63333333333333,73.56,70.86111111111111,76.8,81.85555555555555,79.5,86.84669205140409
77.57154255319149,87.32894736842105,82.72,74.36666666666667,72.74999999999999,77.52209302325582,77.3,72.74771371769383,86.26666666666667,82.24444444444444,76.45333333333335,86.15696544276457
78.94522868435912,86.77368421052631,83.7,81.91,71.725,76.41212121212122,69.06666666666668,72.9407894736842,72.32,82.63333333333333,73.58333333333333,87.62616451932605
79.19096170970614,86.21842105263158,78.4,72.36759776536313,70.45,73.33548387096775,66.89444444444445,74.62610441767069,75.9375,83.02222222222223,70.10000000000001,88.13839150227616
79.52766895200783,85.66315789473684,76.95555555555556,73.26831119544592,77.26,79.37441860465115,64.72222222222223,73.83996062992125,76.82000000000001,83.41111111111111,71.3159090909091,86.66821705426356
78.50418910831837,85.1078947368421,75.51111111111112,73.29640718562874,81.275,72.575,62.55,74.12767295597484,75.8,83.8,68.01666666666668,85.85209409064831
77.85353711790393,84.55263157894737,74.06666666666668,71.47066666666666,72.26666666666667,76.68333333333334,63.52763157894736,72.73962264150943,74.4375,73.25,67.96875,86.89647058823529
77.82484599589323,83.99736842105263,72.62222222222223,74.07696078431373,87.17599999999999,85.70967741935483,64.50526315789473,71.39903381642512,73.36363636363636,62.7,68.36329113924052,86.75120192307692
78.20670647680294,83.4421052631579,71.17777777777778,76.35266666666665,89.38251121076235,81.70666666666666,67.36271929824561,71.65716666666667,71.66,65.345,70.36138613861387,85.27518330513254
76.03090631364562,82.88684210526316,69.73333333333333,78.29298245614036,88.89392712550605,84.0625,70.22017543859648,73.13682170542636,75.35833333333333,67.99000000000001,66.3,84.76151419558359
76.61427837699024,82.33157894736843,68.28888888888889,75.10238095238095,89.12564575645754,89.75253456221199,73.07763157894738,72.18641188959661,66.93333333333334,70.635,72.55714285714285,83.80559610705598
78.22050508857896,81.77631578947368,66.84444444444445,76.3434065934066,88.475,90.4283439490446,75.93508771929825,67.95127610208817,74.62222222222222,73.28,67.85409836065574,82.05180327868852
78.3630898021309,81.22105263157894,65.4,74.92462006079028,87.98101788170564,93.27511520737328,78.79254385964913,70.61250000000001,74.08181818181819,75.92500000000001,68.24705882352941,83.39128043990574
77.80050377833754,80.66578947368421,66.11777777777779,75.82139737991265,90.19289871944122,92.55729794933654,81.65,72.99278937381403,73.55057471264368,78.57000000000001,65.82293577981652,82.32489270386267
79.7564336372847,80.11052631578947,66.83555555555556,75.74333333333333,91.23230361871138,89.4745081967213,80.9,72.15056689342404,72.95703125,81.215,65.27777777777777,83.35998672859986
77.62161997563948,79.55526315789474,67.55333333333334,76.80964285714286,90.76545454545456,88.28783690393918,80.15,72.9175,71.95,83.86000000000001,70.30714285714285,81.97791084497672
