Amplitude_Median,Amplitude_Median.1,Amplitude_Median.2,Amplitude_Median.3,Amplitude_Median.4,Amplitude_Median.5,Amplitude_Median.6,Amplitude_Median.7,Amplitude_Median.8,Amplitude_Median.9,Amplitude_Median.10,Amplitude_Median
72.69999999999999,64.32142857142857,73.41666666666667,,,78.8,88.80909090909091,90.5,81.35,74.0,77.9,83.7
70.05,63.65714285714286,78.43333333333334,,,78.7,88.55454545454545,90.9,81.65,73.2,80.5,82.4
70.375,62.99285714285714,83.45,,,78.6,88.3,91.1,80.6,72.95,73.4,83.5
70.7,62.32857142857143,68.9,,,78.1,88.04545454545455,91.5,78.4,72.7,78.0,79.3
78.8,61.66428571428571,65.0,,,78.1,87.79090909090908,91.9,80.9,73.85,79.0,81.1
69.8,61.0,64.93333333333334,,,78.1,87.53636363636363,91.9,70.3,72.2,77.05000000000001,81.45
69.4,61.22857142857143,64.86666666666666,,,78.0,87.28181818181818,92.1,71.3,71.35,71.575,83.8
68.3,61.457142857142856,64.8,,,78.2,87.02727272727273,92.3,72.1,74.8,66.1,83.2
69.3,61.68571428571428,66.35,,,78.5,86.77272727272727,92.3,72.225,73.675,75.15,79.8
69.25,61.91428571428572,75.975,,,78.6,86.51818181818182,91.9,72.35,72.55,84.2,82.0
70.5,62.142857142857146,85.6,,,78.4,86.26363636363637,91.7,72.475,75.5,79.2,81.9
69.9,62.371428571428574,82.53999999999999,,,78.2,86.0090909090909,91.2,72.6,73.15,73.9,82.1
70.4,62.6,79.48,,,78.6,85.75454545454545,91.3,73.0,75.0,74.8,82.9
71.7,62.82857142857143,76.42,,,78.6,85.5,90.9,73.4,75.9,72.7,83.9
71.3,63.05714285714286,73.36000000000001,,,79.1,84.45714285714286,90.45,74.6,66.8,70.6,83.5
72.0,63.285714285714285,70.30000000000001,,,78.9,83.41428571428571,88.7,74.27499999999999,67.05,73.1,83.5
71.8,63.51428571428572,69.1,,,79.0,82.37142857142857,90.1,73.94999999999999,73.25,73.2,83.4
72.1,63.74285714285715,63.150000000000006,,,78.8,81.32857142857142,91.0,73.625,67.6,78.2,82.65
70.7,63.971428571428575,60.4,,,79.2,80.28571428571428,91.2,73.3,73.85,80.8,82.6
71.3,64.2,62.75,,,79.3,79.24285714285713,91.4,73.55,73.16666666666666,81.2,81.2
71.1,64.42857142857143,61.5,,,79.2,78.19999999999999,90.9,73.80000000000001,72.48333333333333,80.8,80.6
71.5,64.65714285714286,69.4,,,79.5,75.10999999999999,89.9,74.05000000000001,71.8,81.1,81.1
72.0,64.88571428571429,69.1,,,78.6,72.02,88.4,74.30000000000001,73.95,81.2,81.2
72.2,65.11428571428571,64.9,,,76.6,68.92999999999999,87.6,76.0,78.075,81.2,81.2
71.7,65.34285714285714,66.97500000000001,,,78.6,65.84,87.9,71.15,82.2,81.6,81.2
72.1,65.57142857142857,69.05000000000001,,,78.7,62.75,86.9,71.0,86.325,81.3,81.4
72.3,65.80000000000001,65.75,,,78.8,62.81851851851852,85.1,72.8,90.45,81.4,81.4
72.3,66.02857142857144,63.7,,,78.8,62.88703703703704,82.4,71.3,76.75,81.6,81.4
72.0,66.25714285714287,79.15,,,78.5,62.95555555555556,82.9,71.5,73.0,81.0,80.6
72.2,66.4857142857143,63.650000000000006,,,81.0,63.02407407407407,83.1,71.2,73.9,81.3,80.1
71.9,66.71428571428572,63.5,,,80.9,63.09259259259259,85.3,71.4,65.3,81.1,80.5
71.7,66.94285714285715,64.73333333333333,,,80.9,63.16111111111111,84.4,70.7,74.25,81.4,80.7
71.4,67.17142857142858,65.96666666666665,,,80.9,63.22962962962963,84.7,71.0,73.2,81.3,81.0
71.3,67.4,67.19999999999999,,,80.9,63.298148148148144,84.8,72.1,74.1,81.6,80.5
70.8,65.05000000000001,66.3,,,80.4,63.36666666666667,86.0,73.8,72.3,81.5,80.0
70.55,62.7,61.4,,,80.1,63.43518518518518,85.1,72.2,73.4,81.5,80.0
70.7,62.7,63.325,,,80.5,63.5037037037037,85.5,72.5,69.3,81.6,80.1
70.5,62.7,65.25,,,81.2,63.57222222222222,85.5,72.5,76.2,81.2,79.9
70.1,62.7875,65.8625,,,79.2,63.64074074074074,85.5,72.4,65.9,80.8,80.0
70.0,62.875,66.475,,,79.0,63.709259259259255,85.7,72.8,79.7,80.7,80.4
72.3,62.9625,67.0875,,,78.9,63.77777777777777,86.75,73.2,66.4,80.8,80.5
70.9,63.05,67.7,,,79.2,63.846296296296295,85.7,73.0,70.75,81.1,80.8
72.0,63.1375,67.9,,,78.8,63.91481481481481,85.8,73.1,75.1,80.8,81.3
73.4,63.225,68.4,,,,63.98333333333333,85.7,73.6,69.4,81.1,81.7
72.9,63.3125,77.35,,,,64.05185185185185,85.4,74.3,75.0,80.9,81.5
75.0,63.4,75.625,,,,64.12037037037037,85.4,74.5,74.7,80.9,81.8
76.8,63.4875,73.9,,,,64.18888888888888,85.6,74.8,74.2,80.5,82.2
77.8,63.575,71.85,,,,64.2574074074074,85.5,74.7,75.0,80.5,81.9
76.1,63.6625,73.65,,,,64.32592592592592,85.6,74.6,75.2,80.1,81.7
77.7,63.75,72.2125,,,,64.39444444444445,85.4,74.7,74.8,80.2,82.1
78.5,63.8375,70.775,,,,64.46296296296296,85.7,75.0,75.8,80.2,81.7
79.3,63.925,69.3375,,,,64.53148148148148,85.7,74.9,74.7,81.1,81.5
73.6,64.01249999999999,67.9,,,,64.6,85.7,75.2,74.9,81.2,81.6
71.3,64.1,68.83333333333334,,,,67.8,85.6,75.0,74.4,81.3,81.5
69.3,66.9,69.76666666666667,,,,70.99999999999999,85.5,75.1,74.4,82.5,80.8
68.4,66.82272727272728,70.7,,,,74.19999999999999,85.7,75.3,75.9,82.8,80.3
69.75,66.74545454545455,71.63333333333334,,,,84.5,85.9,75.4,76.2,82.1,80.3
68.5,66.66818181818182,72.56666666666666,,,,66.8,86.3,75.1,76.2,82.0,80.5
68.5,66.5909090909091,73.5,,,,66.55,86.4,74.2,76.1,81.0,82.1
74.0,66.51363636363637,63.9,,,,67.05,86.7,74.3,76.4,81.4,82.2
68.7,66.43636363636364,64.735,,,,80.8,86.6,74.3,76.2,81.9,82.1
68.5,66.35909090909091,65.57,,,,81.2,86.8,74.3,76.3,83.3,82.5
74.1,66.28181818181818,66.405,,,,78.3,87.0,74.6,76.6,84.1,82.3
72.6,66.20454545454545,67.24,,,,82.9,86.7,74.1,76.6,84.9,82.6
71.6,66.12727272727273,68.075,,,,78.1,86.7,73.7,76.6,83.8,82.2
72.1,66.05,68.91,,,,80.7,86.8,73.45,76.6,84.0,82.7
72.1,71.3,69.745,,,,86.15,86.9,73.5,77.1,84.2,81.7
72.5,76.55,70.58,,,,60.5,87.0,73.7,77.1,85.0,81.8
72.5,83.3,71.415,,,,61.5,87.1,73.0,76.7,84.95,82.3
72.5,83.9,72.25,,,,84.05,87.2,73.0,76.9,84.8,82.2
72.8,69.6,79.1,,,,83.5,87.5,73.5,77.1,85.5,82.2
72.5,71.89999999999999,85.94999999999999,,,,83.1,87.0,73.3,77.3,84.9,81.9
72.8,74.2,81.425,,,,82.1,87.3,76.7,77.5,85.0,81.5
73.1,76.5,76.9,,,,83.5,87.1,75.2,77.8,84.1,81.2
73.3,77.3,75.6,,,,80.7,87.1,75.4,78.1,84.35,80.0
73.5,66.85,75.7,,,,80.9,87.0,75.1,77.8,,80.1
73.5,69.475,70.55000000000001,,,,82.7,87.3,75.3,78.1,,79.9
74.1,72.1,76.6,,,,82.8,87.2,74.6,78.4,,80.3
73.7,74.8,70.0,,,,72.3,87.3,74.7,78.6,,80.3
74.1,70.75,72.8,,,,82.8,87.4,74.7,75.8,,79.5
73.8,69.2,68.9,,,,80.7,87.2,75.3,71.15,,79.6
73.2,71.4,71.55000000000001,,,,71.7,87.4,75.3,74.75,,79.7
72.8,66.2,76.3,,,,85.0,87.2,75.2,75.1,,80.7
72.2,66.65,68.3,,,,84.2,87.2,75.5,75.8,,80.6
72.4,63.65,67.86666666666666,,,,79.7,87.1,75.4,76.0,,81.0
72.2,68.975,67.43333333333334,,,,78.7,87.2,75.3,76.0,,81.2
72.1,74.3,67.0,,,,78.92,87.2,75.6,76.4,,81.3
72.2,64.5,68.9,,,,79.14,87.2,75.7,75.8,,81.4
72.1,73.5,83.6,,,,79.36,87.4,76.25,76.7,,81.4
72.0,76.35,65.05,,,,79.58,87.3,75.8,76.4,,81.4
72.6,73.25,65.75,,,,79.80000000000001,87.3,75.2,75.7,,81.7
72.9,94.3,65.94999999999999,,,,80.02000000000001,87.2,75.4,76.0,,81.6
73.0,73.6,77.69999999999999,,,,80.24000000000001,87.1,75.4,76.1,,81.8
72.8,71.5,78.80000000000001,,,,80.46000000000001,86.9,75.7,76.6,,81.2
72.9,63.4,83.525,,,,80.68,87.3,75.8,77.0,,81.3
71.5,67.05,88.25,,,,80.9,86.9,76.1,77.3,,81.6
71.7,70.7,72.25,,,,82.0625,86.9,76.5,77.0,,81.7
72.1,74.35,71.8,,,,83.22500000000001,87.0,76.4,77.3,,81.5
72.3,78.0,72.4,,,,84.38750000000002,87.3,76.7,77.8,,81.5
72.4,69.0,67.75,,,,85.55000000000001,87.3,76.5,77.6,,81.5
72.3,74.8,70.6,,,,85.10000000000001,87.7,77.7,76.6,,81.6
72.6,73.25,70.0,,,,84.65,88.1,77.8,77.25,,78.2
72.6,61.1,72.2,,,,84.2,87.8,77.2,77.9,,77.7
72.6,62.7,72.4,,,,83.32499999999999,87.9,77.5,79.2,,78.1
72.0,68.6,70.55,,,,82.44999999999999,88.1,77.3,78.7,,78.6
72.0,75.5,63.75,,,,81.85,88.0,78.0,78.9,,79.3
72.5,82.4,62.8,,,,83.5,88.1,78.3,79.3,,80.55
72.5,63.1,67.7,,,,82.925,88.3,77.8,79.0,,80.4
72.6,67.8,74.9,,,,82.35,88.4,77.0,79.0,,79.0
74.8,72.5,70.9,,,,81.9,88.85,77.2,79.5,,76.6
75.1,72.4,77.4,,,,79.86666666666667,88.8,77.7,79.6,,76.9
72.7,72.4,75.65,,,,77.83333333333333,89.2,77.6,79.8,,76.9
72.4,60.8,72.7,,,,75.8,89.1,77.4,79.7,,76.8
72.4,64.85,71.3,,,,76.45,89.2,77.3,79.6,,75.3
73.1,71.0,76.0,,,,77.4625,89.2,76.95,79.6,,75.1
72.9,70.1,80.9,,,,78.475,89.3,77.1,79.9,,76.1
