Energy_Median,Energy_Median.1,Energy_Median.2,Energy_Median.3,Energy_Median.4,Energy_Median.5,Energy_Median.6,Energy_Median.7,Energy_Median.8,Energy_Median.9,Energy_Median.10,Energy_Median
120000.0,161859.0909090909,19479.444444444445,230500.0,5350000.0,163500.0,275650.0,161000.0,142500.0,5289500.0,35600.0,608500.0
146000.0,151518.18181818182,21873.33333333333,267000.0,5290000.0,285500.0,808677.2727272727,62850.0,163000.0,2074000.0,33550.0,1530000.0
86500.0,141177.27272727274,24267.22222222222,12800000.0,5840000.0,349500.0,1341704.5454545454,42850.0,124000.0,1510000.0,11700.0,1780000.0
255000.0,130836.36363636365,26661.11111111111,79200.0,6580000.0,85300.0,1874731.818181818,74500.0,120500.0,5260000.0,9690.0,1770000.0
574000.0,120495.45454545456,29055.0,38050.0,5680000.0,202500.0,2407759.090909091,512000.0,13800.0,2644777.5,14500.0,1550000.0
670000.0,110154.54545454546,31448.888888888887,93000.0,5980000.0,98250.0,2940786.363636364,990000.0,19620.0,29555.0,15450.0,1460000.0
610000.0,99813.63636363635,33842.777777777774,58200.0,7160000.0,259000.0,3473813.636363636,96900.0,126000.0,263231.8181818182,25200.0,1480000.0
585000.0,89472.72727272728,36236.66666666666,163000.0,6720000.0,168000.0,4006840.909090909,118050.0,42200.0,496908.6363636364,31500.0,1480000.0
535000.0,79131.81818181819,38630.55555555556,404000.0,6790000.0,331000.0,4539868.181818182,646525.0,354000.0,730585.4545454546,255000.0,1260000.0
497000.0,68790.9090909091,41024.44444444444,489000.0,8440000.0,279000.0,5072895.454545454,1175000.0,87600.0,964262.2727272728,49000.0,1230000.0
424000.0,58450.0,43418.33333333333,222000.0,8860000.0,286000.0,5605922.727272727,962000.0,81900.0,1197939.0909090908,7760.0,1260000.0
397000.0,57968.81578947369,45812.22222222222,266500.0,9780000.0,196000.0,6138950.0,694000.0,99100.0,1431615.9090909092,8645.0,786000.0
361000.0,57487.63157894737,48206.11111111111,235500.0,9150000.0,225000.0,5141791.666666667,302000.0,44280.0,1665292.7272727273,50300.0,581000.0
324000.0,57006.44736842105,50600.0,194500.0,7345000.0,273000.0,4144633.333333333,173000.0,43400.0,1898969.5454545447,34000.0,979000.0
310000.0,56525.26315789474,51116.66666666666,211000.0,5790000.0,280000.0,3147475.0,108000.0,15150.0,2132646.363636364,23900.0,958000.0
288500.0,56044.07894736842,51633.333333333336,194000.0,6160000.0,278000.0,2150316.6666666665,163500.0,3600.0,2366323.1818181816,8370.0,925000.0
271000.0,55562.89473684211,52150.0,223000.0,6390000.0,600500.0,1153158.333333333,18500.0,9860.0,2600000.0,11150.0,929000.0
259000.0,55081.71052631579,52666.66666666666,210000.0,5700000.0,546000.0,156000.0,9630000.0,22400.0,12110000.0,17100.0,856000.0
230000.0,54600.52631578947,53183.333333333336,180000.0,5890000.0,554000.0,1979500.0,6375000.0,9020.0,6636250.0,11600.0,724000.0
218000.0,54119.34210526316,53700.0,175000.0,6040000.0,1040000.0,111000.0,9110000.0,146700.0,1162500.0,189000.0,648000.0
191000.0,53638.15789473684,54216.66666666666,210000.0,6880000.0,615000.0,125000.0,9350000.0,6380.0,1132500.0,13550.0,651000.0
236000.0,53156.97368421053,54733.333333333336,36600.0,6870000.0,246000.0,154000.0,9065000.0,273985.0,1102500.0,33800.0,643000.0
145000.0,52675.78947368421,55250.0,25250.0,6040000.0,264000.0,461272.5,8770000.0,541590.0,1072500.0,12200.0,580000.0
104000.0,52194.60526315789,115900.0,43600.0,5215000.0,212500.0,768545.0,8340000.0,3270.0,1042500.0,13100.0,751000.0
83350.0,51713.42105263158,66900.0,67800.0,5480000.0,2150000.0,3480000.0,8725000.0,16000.0,2002250.0,14700.0,908000.0
