Rise-Time_Central_moment_4th_order,Rise-Time_Central_moment_4th_order.1,Rise-Time_Central_moment_4th_order.2,Rise-Time_Central_moment_4th_order.3,Rise-Time_Central_moment_4th_order.4,Rise-Time_Central_moment_4th_order.5,Rise-Time_Central_moment_4th_order.6,Rise-Time_Central_moment_4th_order.7,Rise-Time_Central_moment_4th_order.8,Rise-Time_Central_moment_4th_order.9,Rise-Time_Central_moment_4th_order.10,Rise-Time_Central_moment_4th_order
70529835927.87794,696145800.0775359,52076001724.06756,3732661961.028756,1171286337.040085,14917537741.712816,703626296851.1334,868598383.069269,197811458.77533787,32088744301.46557,43149506.01963339,17615158482783.21
910467.3016487228,171953.2697518519,26038660438.9091,4899412.594503036,127891.99894570306,527260.1817518518,632970.6343536406,1992454699.9014063,4558431.819874073,5265.251266666662,42237.90389637097,86067922.24494718
6975049.03381168,21083.76600624998,1319153.75063712,5146592.108200241,65536.0,381888.4565092592,118414.3606296298,125898.66250035078,1893722.9306740733,6489.36723676215,3.3215062499999792,1471367.362001328
87806331.10720927,24389.89551406248,718780.140571685,557944.5921562501,145616.73657070324,236516.73126666667,44950.031118518535,57614124.93350195,181370.7520666665,7713.48320685764,527515.3215062497,26819208.78910473
19276339.560336795,27696.025021874982,118406.53050625,1678586.4987062498,13354.691406249982,1065510.609683333,41526.97853541667,118003.88071383118,2749224.837696296,8937.599176953128,98150.6241,20782243.464397285
37382085.03814887,31002.154529687483,40089.04950624998,2380.1792562499986,700167787.863804,1894504.4880999995,38103.92595231481,12918.050186886918,66359.04800624996,51276474.9848963,42394859638.11728,112272853.69811454
11953996.1551978,34308.28403749998,22978498.945125155,311909.6480061272,1400322221.0362017,1211.736100000002,34680.87336921294,144002.6712604476,103386.59320625004,47882216.4933126,84789621125.61046,52460804.31153844
13052357.462456448,37614.41354531248,45916908.840744056,405232.2990006664,2100476654.2086,1417892.54770512,35227.53609999999,306200.3124253879,200327.08385625004,44487958.00172889,318166.50390625,38492500.87746817
461380.84418173385,40920.54305312499,68855318.73636296,187390.17335564503,1050238411.0850998,1038254.2551199486,27150.25970156249,133612.22282609856,297267.5745062501,41093699.51014519,17696431.69442316,133964463.14740928
47076216.86359196,44226.672560937484,32725.714506250013,197043.48347712003,167.96160000000026,658615.9625347772,19072.983303124995,1184.7542520149852,991131.5665656576,37699441.01856148,7365996.972314877,110568921.2381939
526582.8650318338,47532.80206874998,123319.3168679398,25021134.963957444,1349908.7977414352,9740175.341916572,10995.7069046875,644660.8157721682,1684995.558625065,34305182.52697778,29887069.198752824,61182968.906602696
976075.8714991832,50838.931576562485,213912.9192296296,376646.30693127855,198902.298342857,105186556.83635531,2918.430506250002,2623.582273902912,59985.43479999998,30910924.03539408,19475080.49086664,192529271.6676293
236081.852713787,54145.06108437499,132926.02726666664,765822.5360666668,49262.14716757811,8198275.694750942,224489934.4638812,143516.92618192322,2661027.343469121,27516665.54381037,150026605.7954102,99301560.86143622
965200.4827145597,57451.190592187486,173692.52326666666,91596502.58539248,42812.36731769387,177809777.68540034,180117474.9949786,468079.1003379,39938.06143766691,24122407.05222667,10724323.71762894,60417722.440053634
390761.70822525775,60757.32009999998,4981411.229270703,45824409.08126007,30586.382880545912,40070598.83907485,135745015.52607605,13052.881567838718,18344882.252520707,20728148.560642965,8261369.630038426,109067430.50162916
7200641.929329782,72250.05187272726,4290395.468823566,52315.57712766348,18360.39844339796,23017688.330385573,91372556.05717348,678185.1375347123,15666.219756249997,17333890.06905926,5788783.443361303,314656750.01321304
240196100.8880508,83742.78364545453,3599379.708376428,170093.14519172366,6134.414006249994,5964777.821696294,47000096.5882709,865483.8127464134,836055.5975038223,13939631.577475555,16822971.01926526,335832908.8831803
