Rise-Time_Root_amplitude,Rise-Time_Root_amplitude.1,Rise-Time_Root_amplitude.2,Rise-Time_Root_amplitude.3,Rise-Time_Root_amplitude.4,Rise-Time_Root_amplitude.5,Rise-Time_Root_amplitude.6,Rise-Time_Root_amplitude.7,Rise-Time_Root_amplitude.8,Rise-Time_Root_amplitude.9,Rise-Time_Root_amplitude.10,Rise-Time_Root_amplitude
30.52530351139584,71.95153324087943,61.43120632666592,47.73523938818474,48.57173229253422,54.56509382712777,53.59137013471762,45.45600218417948,45.45396475111806,64.16755471081574,55.88601334648647,49.89281202972714
37.23864856787508,56.06813356466023,44.03778354707575,52.40868029351601,58.13572279578997,43.99158184366667,47.16610593110411,61.94847954614616,41.8797886273934,39.63833897663896,51.64593466073507,54.92990985614931
57.6617319173962,55.59707673256611,26.64436076748558,42.92652686260541,53.09460444870957,31.0863074675845,38.48975802950706,48.98031602668832,44.31234143054576,41.62746131602525,42.53928931330648,35.30335645174655
59.799102038300695,54.69942644659624,37.66365092680411,55.80925364098106,60.04325616834953,18.18103309150233,46.961656408301245,37.91706107019664,35.4390083921627,43.61658365541154,119.22706028679028,51.96733995654829
63.65454395704844,53.80177616062637,48.68294108612263,40.53363925594384,58.85915666076374,20.190329968195584,43.01149363694007,28.01386013964056,72.77100400769882,45.60570599479783,53.12571393011237,54.43286675419533
64.35062556324054,52.9041258746565,45.03860626126775,54.362207542043095,89.55479622255814,22.199626844888844,39.06133086557889,19.491885743260507,63.5363979213982,79.1715601670545,84.64473938298453,77.77185308115428
60.202219062502586,52.00647558868663,61.64619618245564,54.73081488226038,120.25043578435256,33.03657987500748,35.11116809421771,17.55431133688513,76.76960337447996,77.14902200187659,116.16376483585668,67.51402703517597
52.84199731191397,51.10882530271675,78.25378610364352,33.536853591612264,150.94607534614696,51.51519350030861,43.5218637258842,27.029206490975632,45.40742840795052,75.12648383669867,79.16879795264353,72.53051868715215
60.92894333530226,50.211175016746886,94.8613760248314,54.47195101723834,110.34981304891394,54.869815332624086,46.96998749128092,35.78875553132191,14.045253441421073,73.10394567152076,25.942995730071843,78.21054377157549
63.958903242399714,49.31352473077702,29.20124316291305,62.27240197052826,69.75355075168095,58.224437164939566,50.418111256677626,14.527399054739025,27.19866922005753,71.08140750634284,35.576886220066044,75.04086111771402
