RMS_Median,RMS_Median.1,RMS_Median.2,RMS_Median.3,RMS_Median.4,RMS_Median.5,RMS_Median.6,RMS_Median.7,RMS_Median.8,RMS_Median.9,RMS_Median.10,RMS_Median
24.575,28.79285714285714,21.4,,,31.7,39.85,47.8,29.4,21.4,45.9,54.2
25.0,28.428571428571427,39.900000000000006,,,34.4,40.80909090909091,47.85,34.05,21.9,34.4,54.7
35.4,28.06428571428572,32.4,,,36.3,41.768181818181816,47.2,27.4,29.15,37.4,53.8
26.3,27.7,34.266666666666666,,,37.5,42.72727272727273,47.0,20.4,21.3,35.2,52.9
49.0,27.816071428571423,36.13333333333333,,,39.3,43.68636363636364,47.8,18.5,19.4,52.55,53.6
52.6,27.932142857142857,38.0,,,38.0,44.64545454545454,48.1,14.0,21.65,69.9,54.7
51.7,28.048214285714284,33.7,,,37.3,45.60454545454546,48.2,14.625,21.125,73.875,53.8
52.5,28.164285714285715,36.150000000000006,,,42.5,46.56363636363636,48.0,15.25,20.6,77.85,56.6
53.6,28.28035714285714,38.6,,,44.7,47.52272727272727,48.2,15.875,25.5,37.3,55.9
54.7,28.39642857142857,40.04,,,46.0,48.48181818181818,48.3,16.5,22.4,62.5,57.4
54.6,28.5125,41.48,,,43.5,49.44090909090909,48.3,20.45,19.6,48.4,57.1
61.1,28.628571428571423,42.92,,,42.0,50.4,47.6,24.4,23.6,54.7,56.4
59.3,28.744642857142857,44.36,,,40.5,47.24285714285714,47.3,17.6,20.6,82.1,57.4
59.1,28.860714285714284,45.8,,,44.3,44.08571428571428,46.6,19.1,20.6,53.25,58.7
56.5,28.976785714285715,34.4,,,46.0,40.92857142857143,47.150000000000006,20.6,20.95,61.4,61.1
56.4,29.09285714285714,30.8,,,52.7,37.77142857142857,48.0,22.1,23.0,60.2,63.7
56.3,29.20892857142857,46.7,,,60.3,34.614285714285714,48.05,23.6,23.0,60.4,63.6
54.3,29.325,49.6,,,57.7,31.457142857142856,49.6,21.775,23.23333333333333,61.0,63.3
56.3,29.441071428571423,33.9,,,57.5,28.3,47.3,19.950000000000003,23.466666666666665,60.6,63.7
56.6,29.557142857142857,44.8,,,53.4,32.0,48.4,18.125,23.7,59.2,64.4
54.6,29.673214285714284,43.2,,,57.0,35.7,49.150000000000006,16.3,24.9,60.7,65.0
58.4,29.789285714285715,34.0,,,63.6,39.4,49.45,21.4,26.325,62.4,66.0
58.9,29.90535714285714,42.7,,,61.85,43.1,44.8,16.4,27.75,61.7,66.2
58.55,30.02142857142857,51.400000000000006,,,60.3,46.8,29.05,16.2,29.175,61.5,67.3
56.8,30.1375,48.150000000000006,,,61.5,46.72222222222222,28.5,17.3,30.6,60.9,67.9
55.45,30.253571428571423,37.7,,,59.0,46.64444444444444,29.3,15.3,24.45,62.4,67.8
52.9,30.369642857142857,37.2,,,58.5,46.56666666666666,29.0,15.9,23.8,61.9,67.2
