Amplitude_Clearance_factor,Amplitude_Clearance_factor.1,Amplitude_Clearance_factor.2,Amplitude_Clearance_factor.3,Amplitude_Clearance_factor.4,Amplitude_Clearance_factor.5,Amplitude_Clearance_factor.6,Amplitude_Clearance_factor.7,Amplitude_Clearance_factor.8,Amplitude_Clearance_factor.9,Amplitude_Clearance_factor.10,Amplitude_Clearance_factor
1.308913709809609,1.3581887781423068,1.3226486521471528,1.3172399130912518,1.348822995231867,1.2760950086098304,1.2807221753156095,1.3323230177521677,1.3304688230371686,1.247841905193326,1.127080537817133,1.3472969309731022
1.3051831788459518,1.1479185553160878,1.2668798215452102,1.2598430503913698,1.0753703708763809,1.154621731381222,1.1909151414040422,1.3266345058782236,1.1437226265040965,1.04688510634762,1.1726703930115965,1.3306215884497323
1.1866085346078048,1.0719759748184123,1.2111109909432676,1.3286084458613865,1.1299403882922858,1.1869755079753568,1.1018252452564616,1.1415519838597743,1.0763968709805003,1.054318350414153,1.0388890435320886,1.1673194832149187
1.1626660487111986,1.0715961808014172,1.1742482105017809,1.0927461785782144,1.0891330828997203,1.2193292845694916,1.1671278674746806,1.2625362107507174,1.1298458007527574,1.0617515944806857,1.017665108476875,1.178689307830644
1.1104726663159723,1.071216386784422,1.1373854300602944,1.1466639228027018,1.1131025129661,1.208935423642293,1.1429329421524572,1.2699794391928647,1.136278523968148,1.069184838547218,1.0121548722655105,1.070474170938105
1.0932997402676656,1.0708365927674268,1.010713953199014,1.034047640054112,1.1437274764741423,1.1985415627150935,1.118738016830234,1.0074806265101772,1.1715047962293088,1.0520964095584278,1.119050610654316,1.0771120874550586
1.1203666281093974,1.0704567987504316,1.066597929299486,1.1634638697398745,1.1743524399821847,1.0305821244358395,1.0945430915080108,1.2209035846963927,1.1627910956493992,1.0504980332856644,1.2259463490431215,1.0428423848428874
1.146932828535009,1.0700770047334365,1.122481905399958,1.1660078901915,1.204977403490227,1.2482877592470083,1.0200014952603162,1.307883658849765,1.144221059795337,1.0488996570129012,1.0142305915642245,1.0445386391544886
1.1260086958209774,1.0696972107164413,1.17836588150043,1.2632223048800604,1.129203040788008,1.1697349583586936,1.055926074926177,1.1051700958841728,1.125651023941275,1.0473012807401378,1.138704451349522,1.0700039302222333
1.1238903730303815,1.0693174166994464,1.009340910614904,1.1796646262393395,1.053428678085789,1.0911821574703788,1.0918506545920377,1.117098151947757,1.182810188973543,1.0457029044673745,1.1469814121049728,1.0626967657490505
1.1660347943282068,1.0689376226824512,1.066788446871599,1.2561488536691392,1.0209031104680228,1.3239755515035108,1.1277752342578982,1.2424771664496028,1.239969354005811,1.0441045281946113,1.2947958371555333,1.084268998353756
1.1201688365502165,1.068557828665456,1.124235983128293,1.178047685091146,1.156080924058779,1.045459071352457,1.1636998139237589,1.282857475098303,1.052675348243104,1.042506151921848,1.0995963200052097,1.0818554868395058
1.2472664617044584,1.0681780346484608,1.0229671071182125,1.0680185238413091,1.0390829721307568,1.1783402219139882,1.2302780177618775,1.2396049455254623,1.1338344242212852,1.0409077756490843,1.0994043659068675,1.097553182313184
