Rise-Time_Central_moment_3rd_order,Rise-Time_Central_moment_3rd_order.1,Rise-Time_Central_moment_3rd_order.2,Rise-Time_Central_moment_3rd_order.3,Rise-Time_Central_moment_3rd_order.4,Rise-Time_Central_moment_3rd_order.5,Rise-Time_Central_moment_3rd_order.6,Rise-Time_Central_moment_3rd_order.7,Rise-Time_Central_moment_3rd_order.8,Rise-Time_Central_moment_3rd_order.9,Rise-Time_Central_moment_3rd_order.10,Rise-Time_Central_moment_3rd_order
32701512.140596434,2107256.125610248,42026353.80770086,5102513.800012336,2438984.878642933,18155491.82549712,228725604.2173052,1628520.9344251887,608371.9018493119,35636791.150961995,221214.92683627867,2038492680.5867407
1646.6057687976984,-3624.0924074074137,21018792.746866427,37497.9943948566,-2629.6791562499984,-4495.794592592604,651.6224787869971,3814593.3729436006,47075.79392592592,177.3659999999998,-417.056286179522,297432.09370644693
34054.03856480961,0.0,11231.686032,23505.333009876147,0.0,-2810.3162962963006,3006.778740740748,-466.53547677375457,-1067.1680740740849,286.65790624999994,1.9539925233402755e-14,12675.47248125
211413.7345097396,-2.273736754432321e-13,5615.843015999998,5506.806500000009,3881.855343750008,-1124.8379999999968,1064.039407407407,173554.13461404707,1927.1699999999944,395.9498125000001,-1.4551915228366852e-11,138969.6167178682
52456.6042480309,-4.547473508864641e-13,-3.637978807091713e-12,4021.379999999987,1.2505552149377765e-12,-562.4189999999911,941.1380246913571,1893.8146166805288,-13934.830740740705,505.24171875000025,3.637978807091713e-12,102901.9212069042
92506.59082020896,-6.821210263296962e-13,0.0,-58.41000000000041,1696568.2073333326,1.4551915228366852e-11,818.2366419753073,492.8844660190655,0.0,316042.8552592593,47803037.37162965,261048.2161436012
26688.61949999143,-9.094947017729282e-13,52940.76024691352,-3004.6204471879296,3393136.4146666653,3.694822225952521e-13,695.3352592592574,2917.143461516885,-1499.7149999999983,294732.8938469136,95606074.7432593,159401.4366775738
30230.36845571049,-1.1368683772161605e-12,105881.52049382705,-1961.68894460642,5089704.621999998,-21661.626575999988,1.8189894035458565e-12,4770.812993238163,-749.8574999999992,273422.93243456795,0.0,109515.94623752349
-2566.2393876307447,-1.3642420526593924e-12,158822.28074074056,-2263.4519954921084,2544852.310999999,-14719.618223860052,1.3642420526593924e-12,973.1114179687468,0.0,252112.97102222225,73733.17783374072,248145.10381076785
88934.75560614682,-1.5916157281026244e-12,9.094947017729282e-13,-3256.997424,-2.771116669464391e-13,-7777.609871720118,9.094947017729282e-13,105.53373236231224,5559.95687425002,230803.0096098765,47718.72386832867,250487.00563245043
-6938.10561189871,-1.8189894035458565e-12,-1621.7623703703698,181988.5979459053,10864.420092592596,-27201.39075194229,4.547473508864641e-13,6194.226608315981,11119.91374850004,209493.04819753088,136270.93959758987,150863.3255199206
-8766.09623663826,-2.0463630789890885e-12,-3243.5247407407405,3273.534944606415,4310.974285714283,331556.702523806,0.0,122.64520704632996,-682.0199999999978,188183.0867851852,75988.31947648835,297645.48694286146
560.2948837395968,-2.273736754432321e-12,-3631.452,10096.170000000004,-1905.85059375,53757.68536360622,1068061.7358017494,2371.659283233224,23939.06443200001,166873.1253728395,432434.03677213617,231289.8684011309
4378.456756838741,-2.501110429875553e-12,1696.1580000000024,329516.8216042501,-1436.2388553240744,614737.7531954191,853516.4498605996,9326.412130090655,264.64315007513375,145563.16396049384,25560.22262760321,151225.33098068723
-1666.9300955899646,-2.7284841053187847e-12,57131.71734375,164214.26001337334,-957.49257021605,158819.50588291936,638971.1639194497,618.330914994,122399.93765624998,124253.20254814815,-9744.899401099736,250188.067820599
30770.43761260523,-2.893846778368408e-12,49411.059998346565,-1088.3015775034291,-478.7462851080254,97494.42081183004,424425.8779782997,13339.29340384326,38.34000000000162,102943.24113580248,23638.25210635103,514594.7541856943
807772.1559463815,-3.059209451418032e-12,41690.40265294313,2719.2559570312487,-8.526512829121202e-13,36169.335740740695,209880.59203715,15262.448990592718,4565.052294924557,81633.2797234568,41802.22874881388,629167.7617057468
4009.6451572658025,-3.2245721244676546e-12,33969.745307539684,2908.515840721254,0.0020246913574527,-3136.734915101429,-4664.693903999956,17673.510060174052,9091.764589849112,60323.31831111113,22739.52875234802,726037.5192616766
9919.30812152147,-3.3899347975172778e-12,26249.087962136247,1372.2319203606269,0.0040493827157581,4850.897230449287,-3729.726581629607,56171.90613038763,-1218.365925925949,39013.35689876543,378937.2998315392,628710.250944234
6219.735590039903,-3.5552974705669014e-12,18528.43061673281,-164.0520000000001,0.0060740740740635,12838.529376000002,-2794.7592592592578,3366.9425855375966,7566.759708454796,17703.39548641973,359540.29339467577,1049456.354903143
5391.265377208842,-3.720660143616525e-12,10807.773271329366,678.5250000000019,-1179.7132173913049,-7.73070496506989e-12,413.6920586128358,-15486.59831287124,4637.574740740739,-3606.5659259259214,738.5373597201167,676557.2318144008
102688.66735973376,-3.886022816666148e-12,3087.1159259259275,13664.063999999991,596.7432298136653,-5071.654074074068,316.7363996767888,1144.1846371779511,258418.95817200007,-1680.6159999999973,-10425.280565597672,1178546.8012313356
