RMS_FM4,RMS_FM4.1,RMS_FM4.2,RMS_FM4.3,RMS_FM4.4,RMS_FM4.5,RMS_FM4.6,RMS_FM4.7,RMS_FM4.8,RMS_FM4.9,RMS_FM4.10,RMS_FM4
5.794956408418919,1.5177035156142895,3.6160286246671474,5.420719931816878,3.2141935163406585,6.077615641298435,7.545620229185497,8.115919444229625,7.49781204460918,3.1179531597912105,4.342171390217501,7.378858911239669
3.5097384127311195,2.216602106104143,2.511691508361762,2.654282173644464,2.31207039368962,1.2655205031116366,2.508748255607829,6.110193668445644,2.6122020197436804,1.5000000000000009,1.9318370456285248,15.09055371141858
21.185137482953984,1.0,1.4073543920563762,3.452485477976684,1.0,1.3827602515558182,2.441714308579696,14.57147301973048,1.5000000000000009,1.402553348219387,1.0000000000000002,8.484088593961253
15.676577210168544,1.0,1.2036771960281882,2.2227266126196845,1.8767840081830327,1.5,1.5000000000000029,32.44671823150148,1.4999999999999996,1.3051066964387734,1.0,6.96821354543424
24.155194884966072,1.0,1.0,1.388421193206561,1.0,1.25,2.1077805010771167,3.9328548530523535,1.5000000000000044,1.2076600446581596,1.0,4.734435730253388
6.616848247684928,1.0,1.0,2.233886423186956,1.1666666666666663,1.0,2.7155610021542302,3.588964437632386,1.0,1.5,1.431550622303071,7.679138375975846
13.371170712815614,1.0,1.1666666666666667,6.121765751292379,1.3333333333333328,1.0,3.323341503231344,2.627282237332857,1.0829271194808732,1.4999999999999998,1.8631012446061417,2.396103313055788
7.742449328265686,1.0,1.3333333333333337,2.778672394812258,1.4999999999999991,5.15545168443736,1.0000000000000004,3.475951226653261,1.0414635597404365,1.4999999999999998,1.0000000000000009,2.924828830543314
13.927118813886157,1.0,1.5000000000000004,3.323660373680975,1.2499999999999996,3.664268507074625,1.0000000000000004,2.5706323126462323,1.0,1.4999999999999996,5.764996586430887,2.5443002411182247
4.06897192285772,1.0,1.0,1.4141984012903166,1.0,2.17308532971189,1.0000000000000002,2.3437371912718907,2.372909123618701,1.4999999999999991,3.681383064735644,2.981189705971541
10.80299469335288,1.0,1.25,3.232303381916787,2.2897445835667467,23.38229682445982,1.0,4.116172957854094,3.745818247237403,1.4999999999999991,11.338467504937068,3.97699754629635
