Counts_Standard_deviation,Counts_Standard_deviation.1,Counts_Standard_deviation.2,Counts_Standard_deviation.3,Counts_Standard_deviation.4,Counts_Standard_deviation.5,Counts_Standard_deviation.6,Counts_Standard_deviation.7,Counts_Standard_deviation.8,Counts_Standard_deviation.9,Counts_Standard_deviation.10,Counts_Standard_deviation
41.81853982450154,30.82607522180284,51.489979762776485,42.812249701338935,39.66887717216838,43.09216512284419,136.61821764821238,32.526909823573746,30.457028129444115,32.73285810924552,26.845575034441808,71.80016740126742
20.577648456517085,31.6227766016838,40.568619666295845,31.11773785909663,14.594519519326424,50.09130552190559,28.438785890686123,30.14320372020116,16.208708221885612,12.083045973594572,27.979107380811666,24.41390488460782
25.845738446037984,18.0,29.64725956981521,37.09540327709824,22.0,74.4998964840371,22.1164845508704,16.15164359244099,12.283683848458852,13.02471448768824,22.5,19.675476487241674
30.274904613998764,16.791666666666668,24.07362978490761,18.11767093199344,11.324751652906125,98.9084874461686,40.08601862107147,15.766184281279006,16.996731711975947,13.966383001781908,0.5,16.332417954061942
25.65469170444142,15.583333333333334,18.5,35.30846215852512,21.0,65.4542437230843,31.49532587039962,9.55077859484836,33.65511352924941,14.908051515875574,2.0,18.194497248859403
24.68598829868872,14.375,5.5,15.105876340020794,34.22893661424668,32.0,22.904633119727773,5.109756097560975,37.5,33.46972097616325,32.70096826421693,16.514297942083232
25.6635614508537,13.166666666666668,10.223163774191969,28.185890875479604,47.45787322849336,2.5,14.313940369055926,5.748222838922844,21.760055146988943,31.92334113363781,63.401936528433865,11.993949444142364
25.089191175226915,11.958333333333334,14.946327548383936,28.69402270117437,60.68680984274003,39.89498715377661,8.5,19.67210551865738,19.63002757349448,30.37696129111237,1.5,10.146902060332303
24.462389114168072,10.75,19.669491322575904,34.18762039729808,32.843404921370016,32.19452570383104,14.125,17.460222650355867,17.5,28.830581448586926,12.418348275622485,12.88140232776382
21.58851239181775,9.541666666666668,1.0,41.05313629919157,5.0,24.494064253885465,19.75,7.975554366664508,36.320394521375135,27.284201606061487,16.866898679265578,13.913542772162552
23.22983506553305,8.333333333333334,8.936033823229176,48.50543123717314,2.266911751455907,20.85097034016277,25.375,4.951808411126409,55.14078904275028,25.737821763536044,14.051597052971657,15.364808606048696
25.549683766639266,7.125,16.87206764645835,26.32605599951873,25.307899871746912,6.36065086480588,31.0,3.7377524202504406,11.004637241469004,24.1914419210106,12.244170260870945,17.562556711840493
13.595147039338752,5.916666666666668,3.858612300930075,12.552113589175152,4.02336923485777,12.747833993785791,52.945871473821725,3.2292591105559856,25.85652722234755,22.64506207848516,13.6447818356923,19.930726728713264
6.010241997984077,4.708333333333334,2.6246692913372702,22.478197770283987,5.920773222777203,10.423825271704729,46.32577767710728,5.390337705865037,15.272101583503808,21.09868223595972,14.23085914763885,20.0598927422992
9.842307743271691,3.5,11.96609794377432,27.83227017134685,4.447182148518135,12.82794301061774,39.705683880392826,2.9441032166009395,28.521921393903323,19.55230239343428,15.747854230583906,16.268994318944866
5.528923183615122,4.0,10.966163210175672,33.186342572409714,2.973591074259068,16.523441762888588,33.085590083678376,5.816562221195456,18.68154169226941,18.005922550908835,15.51625393205816,17.133842969570935
12.01042815008456,4.5,9.966228476577022,56.643484841594976,1.5,20.21894051515943,26.465496286963926,4.919616004375366,20.750913615823933,16.459542708383395,17.787259987583052,20.099940961263737
8.74143956064342,5.0,8.966293742978374,38.80572506113835,1.2290614236454256,18.305939965391804,19.84540249024948,3.0295851265816864,22.820285539378453,14.913162865857952,24.14685450819039,17.798386584960472
10.436039984049987,5.5,7.966359009379726,33.49186533417455,0.9581228472908512,19.91215210774612,28.039605567393,3.207016281576012,21.34635019544715,13.366783023332513,19.800476209714954,17.680372915399072
12.618302074440129,6.0,6.966424275781077,28.178005607210743,0.6871842709362768,21.518364250100426,36.23380864453651,3.953912815097405,18.90146306830372,11.82040318080707,21.228256849983914,17.956587009342265
7.695498647449186,6.5,5.966489542182428,38.90444133457716,1.5530931390862392,2.0,9.803196446828666,3.3596795915384736,2.6246692913372702,10.274023338281628,5.610049292227697,19.73180913800059
7.321609545534769,7.0,4.96655480858378,59.632206063502295,2.941463483474454,16.35712552851373,22.866069332306523,4.5445731462439936,31.73263304549436,15.03650660575248,16.49860847564585,20.287458195286472
17.121588387977784,7.5,4.6698993277254015,80.52390182692403,4.329833827862669,9.72106243269818,35.92894221778438,5.942840761747338,31.74323003509921,19.79898987322333,25.70992026436488,20.493647950834102
13.522468075656263,8.0,4.373243846867024,13.5,5.718204172250883,24.056056982619168,31.55977762939453,6.137923416386702,14.859889855938109,18.565740717121383,8.905222979504396,22.63081599889038
13.478450914450608,8.5,4.076588366008646,52.99056519796708,7.106574516639098,10.5,27.19061304100468,8.202294382433166,34.38022687534217,17.33249156101944,5.830653983684326,22.35610558464156
11.95941174215553,9.0,3.779932885150268,30.133038346638727,26.886593106767712,9.5,16.201005826554734,7.519251288185585,29.55080371157441,16.099242404917497,3.1502297515500244,20.866927783004424
8.593365890271158,5.0,3.48327740429189,33.15831793747847,1.5,10.0,21.32926393479156,10.858816182664151,22.910453703252774,14.865993248815553,13.19494852838262,23.157997849405632
13.321260551892184,5.447368421052632,3.186621923433512,37.83718927935826,4.0,10.5,4.0,5.798219572756586,25.506077707087776,13.632744092713608,20.569575542935468,24.6540864891584
7.501964874798863,5.894736842105263,2.8899664425751337,20.927884063157144,26.02745802856229,11.0,20.5,5.319070842741117,24.891954021329862,12.399494936611664,22.97469770625672,26.68334922000998
8.308830643758883,6.342105263157895,2.593310961716756,33.026255676564986,21.54239932697877,33.06895153396242,20.15341162185698,5.124986872488963,27.95997138768207,11.16624578050972,7.0,30.12604985092752
8.828219287696008,6.789473684210527,2.296655480858378,36.27211968808367,15.35143858622594,17.495375267763485,2.0,2.2873918994692723,7.118052168020874,9.932996624407776,29.36543697765945,30.833895442542254
12.159174280058902,7.236842105263157,2.0,38.81736080673183,12.754901018824098,8.006743918007759,21.82251640444388,8.413237134198827,12.727922061357855,8.699747468305832,11.70201119347534,31.03689036822491
11.533922598238004,7.684210526315789,21.213203435596427,31.057036179751663,2.5,18.19915264862603,14.881677602962586,2.677893607964628,27.37699764400764,7.466498312203887,27.22976312787168,29.89800627750849
12.424066895132556,8.131578947368421,19.24506972053016,14.886878582276037,24.46548589339685,4.629718004885323,7.940838801481293,5.855245389204208,15.892136420255143,6.233249156101943,32.16360392361795,33.37592794877945
12.400378633316963,8.578947368421053,17.276936005463888,22.74203724749175,26.81883666380777,10.998179892032136,1.0,7.339830725257969,25.564732651752013,5.0,22.229165581936176,35.48446446678463
12.071671513987855,9.026315789473683,15.308802290397615,16.563794519640993,10.402991022884825,64.93006684308058,9.018352356518603,13.66662736205192,27.08205125170544,3.75,11.864962863405852,30.50314744489323
