Counts_Central_moment_6th_order,Counts_Central_moment_6th_order.1,Counts_Central_moment_6th_order.2,Counts_Central_moment_6th_order.3,Counts_Central_moment_6th_order.4,Counts_Central_moment_6th_order.5,Counts_Central_moment_6th_order.6,Counts_Central_moment_6th_order.7,Counts_Central_moment_6th_order.8,Counts_Central_moment_6th_order.9,Counts_Central_moment_6th_order.10,Counts_Central_moment_6th_order
1730167.9570070107,3301879.1747159087,58558.2601725,362967266.7449356,1022370836.0881652,7369465720.281692,292896218.6875,698245911.3773506,1029260962.1549072,156945220.2,2237542.0883759283,46166271898.06765
39695506.970968895,2751565.981534091,64860.48178888889,1408794694.853623,1920731006.749048,182747495.40344787,366054737.359375,1264016158.0724597,188819495.93469223,16777216.0,332529.9256754674,24955388637.06356
37514287.42223588,2201252.7883522725,71162.70340527777,12541167269.690664,577973383.4654332,147405177.5452381,439213256.03125,476422632.770919,121550019.04365312,984227926.2272727,631681.3388833029,28279247889.84244
122553710.95635816,1650939.595170454,77464.92502166667,16664603525.077848,1528689502.1586308,4743938189.703019,512371774.703125,33227894597.203125,60736518.35466367,1951678636.4545453,25521431.83602872,16178617872.153503
1250409792.550571,1100626.4019886358,83767.14663805555,5217575008.61276,1000837262.403598,220917161.70080948,585530293.375,20685396358.738537,65223133.81968,2919129346.681818,190816263.3722606,13875584715.817863
179226907.24883866,550313.2088068174,90069.36825444445,4505326638.693463,653160007.9036486,140056826.53542975,658688812.046875,8142898120.273947,385901.6822916667,3886580056.909091,105471291.19211948,7801110953.635353
203614161.0456264,0.015625,96371.58987083333,9518129736.565506,1158327454.96722,2030189460.540588,731847330.71875,3906064552.5207233,88459321.03807999,4854030767.136364,199583735.11853355,2771163301.227343
208723037.05529204,149876.66015625,102673.81148722222,2909935918.974859,14570037700.913485,161954690.23537207,805005849.390625,2064889378.107365,637061189.1147933,5821481477.363636,435053.97673871584,2830207319.291282
93472368.26223646,299753.3046875,108976.03310361112,4143437446.09191,2212317892.4692144,321966217.38167244,677960490.6588541,2844671291.741248,54980371.265625,6788932187.590909,549341415.4990048,4877075376.880775
80215070.94644609,449629.94921875,115278.25472,1812391523.04872,2992834965.472143,152594149.5696128,550915131.9270834,2108130733.8229167,146685060.8696845,7756382897.818182,32438450.018398903,3399218541.21457
97843371.72549772,599506.59375,338808.5967881481,3141268024.984509,1687349114.73563,74151280.64116926,423869773.1953125,8499638971.466105,3292644.793701172,8723833608.045454,21958248.21629825,4323957721.630984
31530841.76361378,749383.23828125,562338.9388562962,14327950358.361504,2988893882.114013,82521297.7005129,296824414.4635417,12069149.0,1.0,9691284318.272728,4670065.8825191,5145423332.980819
137961260.01668745,899259.8828125,785869.2809244443,13649741515.718807,3759076418.439233,539305267.552539,169779055.73177087,6032669444.178326,64.0,10658735028.5,5759536.815920749,3607876630.908806
183373927.2700469,1049136.52734375,1009399.6229925924,11949871012.969303,3487279231.01534,150644791.80437768,42733697.0,191192287.1659809,27579174.890625,418513794.4118652,17276917.86673005,3475578807.6036263
214369395.13097283,1199013.171875,1232929.9650607407,2775777755.1835303,3731910757.569722,457579821.7103888,134429317.4802246,11.390625,60713813.95170809,209257261.7059326,67652484.64229187,5551953097.865847
169384993.6142773,1348889.81640625,1456460.3071288888,18051192096.09381,5313015088.022685,401812027.1300869,0.0301783264746221,647845004.989792,1000000.0,729.0,1687298182.7385285,2836020251.9938984
191796956.26126057,1498766.4609375,1679990.6491970369,4581808706.13034,6950644652.098405,269263101.9051101,347245702.1520777,9737274172.3142,9654300316.250387,29959.0,1322537471.0267148,7449375328.439978
340674795.2880416,1648643.10546875,1903520.991265185,1633043236.2283108,6392910723.060873,127889960.7282718,148.3650721615169,9093337283.565624,5416360241.133006,59189.0,341653503.50968206,3656240711.250468
399921942.68762165,1798519.75,2127051.333333333,610272125.6117274,3444209700.4979234,78756886.39959456,1282863278.682536,451.319553352608,1178420166.015625,88419.0,67599111.51049393,11918674390.042725
353271009.68364054,1948396.39453125,6053445.140625,69299122.45685129,3127516334.456621,9817440976.996485,2565726409.0,1848.1527580495824,15.441280000000006,117649.0,1659241954.757433,8340794002.59415
293203232.4449868,2098273.0390625,117668468.03524412,23262231.151666496,3365167270.848728,1215605727.7872512,346779823.83264774,5484616331.032593,2407602.642524005,193769069.0,1363231.2218570805,4641680414.715612
1349812064.791891,2248149.68359375,229283490.92986324,398747231.2765669,3971982383.388994,952774648.313177,260084867.87839204,328719822.99255294,78763847.81568904,387420489.0,749742030.4841673,21069514593.295727
275503595.52631193,2398026.328125,18475.36540876116,1061523299.2844944,4378917559.692157,370096064.637204,173389911.92413637,656923325.4503815,120470464.62277097,46656.0,71427542.53223704,25268695036.6526
555616223.6381793,2547902.97265625,244.140625,907510896.8207716,5068678851.569946,5427713092.762572,86694955.9698807,364310.8083024422,20150252.492683098,141461584353.6325,67404788.57003696,25439374901.384068
447497375.22944313,2697779.6171875,40427317990.74624,2738800534.957192,6364205072.689215,440359372.02784,0.015625,1581.4648018650637,28618304.0,282923122051.265,1200995314.142034,33595824560.31758
280388280.23259246,2847656.26171875,7529536.0,509464096.7536225,104820092421863.78,99108514.41221005,1156530.390625,1858521333.5612795,25887616.978564,424384659748.8975,807516779.5633162,42228421475.14407
898664485.1772358,2997532.90625,5019691.0,258994796.9219845,6571961988.083785,78111661.73354734,2313060.765625,4657568895.9987335,67833622.74479167,565846197446.53,1333.1962429008474,25943610082.573254
