Duration_Central_moment_3rd_order,Duration_Central_moment_3rd_order.1,Duration_Central_moment_3rd_order.2,Duration_Central_moment_3rd_order.3,Duration_Central_moment_3rd_order.4,Duration_Central_moment_3rd_order.5,Duration_Central_moment_3rd_order.6,Duration_Central_moment_3rd_order.7,Duration_Central_moment_3rd_order.8,Duration_Central_moment_3rd_order.9,Duration_Central_moment_3rd_order.10,Duration_Central_moment_3rd_order
600315.5958742625,0.0,-1060.0512000000035,16076446.619574076,433945.9052592591,32640043.35558824,4.547473508864641e-12,-20373.599501720983,-74622.2400000001,2112377.451358027,8342984.660170075,-3282785.541914278
850787.6397651337,0.0,0.0,53358915.45604575,-448442.28000000026,-211203.38496613505,1495422.5114074072,-631616.7201222965,390495.5549760001,1584283.08851852,-1288510.013900734,-1673570.4352799875
551753.082376264,0.0,-3094091.3265925925,36455495.008116856,0.0,-699217.2711678027,996948.3409382716,-17946.28716837712,3465607.924042969,1056188.725679013,6506064.940691998,-278425.6306848801
1295716.7405154018,0.0,-2750303.4014156377,689825.4244209711,2843489.4816480046,64903.89227866727,498474.1704691357,172874.37419064835,-267211.1715839996,528094.3628395069,17357738.019315198,816046.1061013867
1128809.4668201208,0.0,-2406515.476238683,5892397.4873860525,1786659.682500002,-1359477.3887226572,0.0,-551128.6990555441,7829901.473999993,0.0,3491970.3597037056,1918422.1497926856
733842.2234619982,0.0,-2062727.5510617285,4120441.6482017376,123790.1907407408,337528766.08807683,3104341.897657677,-1389125.1287537524,13842192.428496098,0.0,-462424.4469375002,-7015.65072248639
1619437.1138465756,0.0,-1718939.6258847737,-204673.3852693879,-530198.1469290248,13479221.596845957,6208683.795315354,-1776917.6162205967,1721728.220984225,0.0,930200.382372166,1667439.3408279372
3418918.536501802,0.0,-1375151.7007078188,3489653.0813285103,-109568.16444736326,10373494.938827276,5173903.162762795,-611224.111442443,-8800.799699999578,0.0,878841.7418967567,5394168.040342058
845511.0227969564,0.0,-1031363.7755308644,13452450.53266972,79324.2283576942,1419781.411947703,4139122.530210236,-77583.52503001704,30879429.72679933,0.0,3253758.7617139085,947347.448530358
2339623.6966720643,0.0,-687575.8503539097,11542049.551149825,-683388.1940160005,-2803805.3332327097,3104341.897657677,16555.400100059782,1430356.0740740728,0.0,605321.4331486871,3868824.142675754
1885258.360101959,0.0,-343787.9251769548,2753875.6886081034,-1005827.4595333276,-2658438.628367864,2069561.265105118,21153931.84076336,13933225.229620716,0.0,-136636.62651699473,2709963.110761825
2337962.172223118,0.0,4.365574568510056e-11,10609346.067000302,-1350990.943843118,-246884.68335641688,1034780.6325525596,127330.27896311862,276871.2315822681,0.0,938344.3641298604,4210198.261800882
1100110.104774464,0.0,2255.123277333369,3569450.93050152,-323162.77876885625,1092106.518836877,0.0,4128733.204690321,-688290.1135070476,0.0,129884.36846220896,11222667.651042666
1532200.7918495955,0.0,4510.246554666695,7338059.769888937,-252617.08323308508,-3166308.164581575,0.0,84807.69973192803,-316697.5439254941,0.0,78467.32816392291,7139419.516925564
1652923.2410298076,0.0,6765.36983200002,5820834.867081773,-882088.7941997157,-414610.9686854924,0.0,296376.1234769178,-72641.86034765601,0.0,-343784.6639037889,10063189.426791482
952904.2646611484,0.0,9020.493109333343,2353757.737656591,-1735241.1190806916,96032.41639127448,0.0,9465353.021153253,2764612.818158399,0.0,-447215.0912729493,8641608.263357833
471987.9727613422,-5.374286874112758e-13,11275.61638666667,6872839.175798073,-2506558.741419168,664176.7125756583,0.0,3080012.4426985574,-1007814.0792464316,0.0,53337787.33662889,5932877.736288844
608574.0307095017,-1.0748573748225516e-12,13530.739663999995,1023187.6036284948,-1518519.1482038316,77038.57052187437,-1.6933137720281428e-10,4629476.334300403,-496926.7108622881,0.0,21708476.55840741,2770500.4293794795
246077.7200046803,-1.6122860622338277e-12,15785.862941333322,-3578243.333176347,-1692831.929104637,-2570.4163883514743,-3.3866275440562856e-10,28877198.882413983,808855.084567546,4.0745362639427185e-10,-140217.89840871296,-627666.813274949
-963487.6842493452,-2.1497147496451032e-12,18040.986218666647,2170936.5107231475,-553798.0570253618,-755206.4879520013,-5.079941316084428e-10,1800883.7439259298,135527.47962446843,1764077.5496639975,3767.322507695897,-5517112.782467517
-1047855.2672810826,-2.687143437056379e-12,20296.10949599997,-869074.423136533,-455693.92922065576,7973951.192281458,-6.77325508811257e-10,1629706.992752954,5439594.702852896,882038.7748319986,58334.05135191715,-3529422.178615044
-58938.03415810652,-3.224572124467655e-12,22551.232773333297,3172567.8818984344,-253146.03169866392,-879061.2113649203,-8.466568860140715e-10,-1707365.692470971,390069.77040740725,-1.7462298274040222e-10,27311.218621971868,-5155061.732080428
-125235.03660112285,-3.762000811878931e-12,24806.35605066662,23194694.204049826,-81235.3483723141,-20449.46177140903,-1.0159882632168856e-09,-64447.35400000358,157422.47609557194,2779438.7851960217,9070.19372446269,-4509361.547354081
-126928.65253453737,-4.2994294992902064e-12,27061.47932799995,9932257.090063902,-713097.5157805749,1080390.773537462,-1.1853196404197e-09,10953346.320000002,-102917.3107390676,5558877.570392043,-85094.04740509226,-3482111.8727518534
-1428814.984298078,-4.836858186701482e-12,29316.602605333275,4591221.453605033,-987053.8341078026,-558396.3670918939,-1.354651017622514e-09,2121804.493435161,4071326.359109264,8338316.355588065,-903939.9386914317,1758368.6154876857
-446586.8665263261,-5.374286874112758e-12,31571.7258826666,9497893.925726674,-667715.0813620725,-554433.9386034878,-1.5239823948253282e-09,-6709737.333129679,-482758.2615925921,11117755.140784089,-717020.9482507316,-655011.4976933183
-241800.4885876194,-5.9117155615240335e-12,33826.849159999925,8020935.080889019,-929213.9397732472,-3271846.065594204,-1.6933137720281431e-09,-3060208.3432699447,-1689824.9038447405,13897193.925980108,2219138.72791899,-2164380.423558969
425803.7234710771,-5.833929830451349e-12,36081.97243733325,5887213.9629253615,-595841.9823961698,-30376.463647905155,-1.862645149230957e-09,642016.6345952479,-4150283.254909087,16676632.71117613,373278.6640370374,1626276.61237427
753965.4282026597,-5.756144099378664e-12,38337.095714666575,7135057.340030224,-1411825.2495819018,-756804.8713363776,15571.574999998284,3475398.369254118,0.0,19456071.496372152,311266.57485942787,2549546.5868536537
-39210.05898746288,-5.6783583683059794e-12,40592.2189919999,2047637.0869915944,-3301718.877350144,-332224.8052161827,31143.14999999844,4036823.17925434,-495807.88800000056,22235510.281568173,-1177940.953474739,-297327.7229836041
