Energy_Impulse_factor,Energy_Impulse_factor.1,Energy_Impulse_factor.2,Energy_Impulse_factor.3,Energy_Impulse_factor.4,Energy_Impulse_factor.5,Energy_Impulse_factor.6,Energy_Impulse_factor.7,Energy_Impulse_factor.8,Energy_Impulse_factor.9,Energy_Impulse_factor.10,Energy_Impulse_factor
85.51340630345078,30.290842350360947,46.8063832171167,50.178980714770496,24.121344325261887,27.20509562681175,54.3273925191369,74.74014020392907,42.70237380078843,11.339219110024189,8.583785476303468,91.0090026062314
24.725337646897422,2.964863461255242,25.13561735547507,14.757980187484032,2.0041527489392434,3.723970227031128,9.441700504171203,34.4057118334102,4.051395086285683,1.92261185006046,7.317195148979733,27.37114778742516
7.810135891503292,1.885474860335196,3.4648514938334416,30.548095287878688,1.964979003248554,3.346154280739887,2.665662650602409,19.36234238558532,2.127833605982706,1.7604193112514508,1.7382012466607302,5.074803439918159
7.327583057124675,1.8887225896622168,2.7241985407857614,3.1690525625614687,2.244920168524478,2.9683383344486463,2.989303826369379,283.5533162575011,2.6922367693158766,1.5982267724424422,1.0907680372381692,50.41018429769146
5.674493506943762,1.8919703189892367,1.9835455877380817,2.203256510683965,1.9740352125200071,2.483297047125765,2.8118520701261107,123.4738814012866,2.846508222229002,1.4360342336334333,1.7081182543406852,3.009946082189223
3.6772236402555865,1.895218048316258,1.3690140845070422,1.370872436565867,2.3089674321904576,1.998255759802884,2.6344003138828427,1.2453200307955157,1.9925835523845288,1.6009487103468725,3.746051455149245,2.934709135554521
4.88344156724029,1.8984657776432787,1.899126712927936,7.615315245104043,2.643899651860908,1.37291280148423,2.456948557639574,18.867432905822067,3.2971874422636898,1.5969783232619867,5.783984655957804,2.602501491828747
5.10790843636849,1.9017135069702995,2.42923934134883,3.749229054631623,2.978831871531358,8.273661469818965,1.0535211267605633,19.0015242805252,2.6364840971675365,1.5930079361771012,1.084687767322498,2.36829022329377
5.276336859360271,1.90496123629732,2.9593519697697235,9.845746654020791,2.3585612761809376,5.362140286796275,1.287226309781603,3.1702627643665884,1.975780752071383,1.5890375490922155,9.834111000355064,3.038765118975839
3.7398808118824647,1.9082089656243408,1.0991735537190082,4.295225141384495,1.7382906808305167,2.450619103773585,1.5209314928026427,4.487534626038781,4.712030300260743,1.5850671620073298,3.647881160392715,2.8441228825120324
