Energy_Root_standard_squared,Energy_Root_standard_squared.1,Energy_Root_standard_squared.2,Energy_Root_standard_squared.3,Energy_Root_standard_squared.4,Energy_Root_standard_squared.5,Energy_Root_standard_squared.6,Energy_Root_standard_squared.7,Energy_Root_standard_squared.8,Energy_Root_standard_squared.9,Energy_Root_standard_squared.10,Energy_Root_standard_squared
6105378.308507999,347277.72060623096,394048.9006169342,124029723.4223313,557880.4262563798,239199.686454644,22498551.66494057,1246164.1581669727,17400453.30046318,1134086.0178832207,1488918.9632750333,136514442.51147944
6390010.016424075,314453.49417680193,467435.31785070326,8890693.490369579,914607.6949162412,172125.21604924713,330453.875904036,2610728.049606086,3089267.6962186364,1124647.411766727,1298330.4712206365,155516201.01327586
890527.6708783394,5311995.858432121,540821.7350844723,9600990.61783861,177446.58351177123,354430.8784368391,1229009.2768160866,76443842.35966949,2106039.105619836,1115208.805650233,911918.9025894792,153901184.06854966
5259422.719548221,5048833.06616589,614208.1523182413,28371915.633337133,197051.79522145947,536736.540824431,66404.81910223083,2273673.2055860623,963967.9714596332,1105770.1995337394,445916.2589545261,152413184.9427171
3900788.29977993,4785670.273899658,687594.5695520104,2033233.9671321649,1824175.8221180325,719042.2032120229,773208.6135060835,2229427.453876892,1613738.4493467335,1096331.5934172457,6117011.728777378,176226550.80269462
7112889.903295284,4522507.481633427,760980.9867857795,160014160.38026133,89418925.32885082,6922337.249802266,374052.8256810794,1349131.451527241,685438.8516126,1086892.987300752,277281.44546651514,171262861.25776073
12650184.224350251,4259344.689367196,834367.4040195486,3390124.5851738253,371097.4843622629,49240385.70071319,186967.91168540125,2223126.806999547,3076946.0508757704,1077454.3811842585,14429555.51119299,157376821.0471558
24194521.420077726,3996181.897100964,907753.8212533176,107608144.128058,246592.7778747788,1786536.079344607,154565.29396989482,6353729.989399928,132750.81920651186,1068015.7750677643,861340.7020738077,184115237.34935823
29606883.626800373,3733019.1048347326,1620525.12785208,298143693.1287408,28541.198292993937,1023334.9535220616,104880.85224501896,3635397.95345709,1629568.9951640586,1058577.1689512706,8969874.617256364,187650696.15435585
22345366.40120721,3469856.3125685016,1441725.666750145,9877034.475500934,3462958.229606589,1417438.887571524,55196.41052014311,26883374.76153617,518475.428540254,1049138.562834777,26674698.115590736,159602975.3092216
23718310.547998566,3206693.52030227,1262926.20564821,66687887.91258133,5872591.990765236,469827.22952272574,5511.968795267259,3855138.698127474,2662369.333882885,1039699.9567182832,2137612.473976516,134882118.52882951
14138735.135566406,2943530.7280360386,1084126.7445462751,4893459.426800737,160270.70849035392,162626348.19773713,1068464.0279779332,2254449.51198735,4205566.458742508,524604.4394221855,156722.0590727419,113505946.71235996
16072280.203804312,2680367.9357698075,905327.28344434,5169793.768062416,11311205.506045764,67887652.26460552,2131416.0871605994,2017420.6774493016,1326141.2131820654,9508.922126087688,1213199.9051681466,126118843.56726731
17476622.88302577,2417205.143503576,726527.8223424051,70493569.52344704,51301417.436558224,67928621.49653855,1922238.1813136016,7609111.39259375,721047.488657994,1048712.061776068,877591.4903302105,118061364.80952267
11099173.579236204,2154042.351237345,547728.3612404703,145816591.4425318,62016816.15497526,84726648.8489399,1713060.2754666037,2987667.869124679,49544002.84003403,2087915.2014260483,921047.7375717286,125381478.2457258
13829498.985950684,1890879.5589711133,368928.9001385353,200538049.3730217,98833127.52400988,69053844.75127073,1503882.3696196056,3005985.2031571944,87689.99771923819,3127118.341076029,360063.8137886116,93074837.00945637
