Energy_Max_Min_difference,Energy_Max_Min_difference.1,Energy_Max_Min_difference.2,Energy_Max_Min_difference.3,Energy_Max_Min_difference.4,Energy_Max_Min_difference.5,Energy_Max_Min_difference.6,Energy_Max_Min_difference.7,Energy_Max_Min_difference.8,Energy_Max_Min_difference.9,Energy_Max_Min_difference.10,Energy_Max_Min_difference
4849126.0,855768.4210526315,29997.777777777777,62499334.0,13397970.0,48719400.0,826400.0,28097680.0,212610.0,6134064.0,122290.0,8598600.0
1149061.0,662378.9473684211,54415.55555555556,3239201.0,13692510.0,13797650.0,730475.0,2948960.0,524800.0,7155798.0,108520.0,9789186.0
888160.0,468989.47368421033,78833.33333333333,8838970.0,11598580.0,10997860.0,634550.0,73797510.0,117420.0,8177532.0,377820.0,9568960.0
1547870.0,275600.0,103251.11111111112,1369243.0,10599038.0,7033580.0,538625.0,5519289.0,361210.0,9199266.0,93330.0,7498620.0
1948160.0,256372.7272727273,127668.88888888888,3119314.0,42298190.0,2019000.0,442700.0,38387900.0,155470.0,10221000.0,55099060.0,7098920.0
7523800.0,237145.45454545453,152086.66666666666,3618780.0,9759303.0,491330.0,1504463.6363636365,14897530.0,672180.0,3032000.0,38397020.0,6918540.0
5666600.0,217918.18181818185,176504.44444444444,47596770.0,10098790.0,328000.0,2566227.272727273,67998850.0,661500.0,1920000.0,62410.0,8359194.0
7281900.0,198690.9090909091,200922.22222222225,5398550.0,13398330.0,235930.0,3627990.909090909,2147970.0,375310.0,65260000.0,46550.0,7348310.0
956400.0,179463.63636363635,225340.0,2419196.0,11298730.0,10698750.0,4689754.545454546,56288200.0,1689382.0,32650745.0,290940.0,6869103.0
4904600.0,160236.36363636365,249757.7777777777,10998450.0,57099589.0,1269263.0,5751518.181818183,1207880.0,637608.0,41490.0,46060.0,6449188.0
2180900.0,141009.0909090909,274175.5555555556,5838770.0,13498990.0,900500.0,6813281.818181818,729920.0,515600.0,16111627.272727272,49000.0,7179175.0
913200.0,121781.81818181818,298593.3333333333,3829420.0,14398520.0,74098450.0,7875045.454545455,4427940.0,99270.0,32181764.545454547,185840.0,6689008.0
1375530.0,102554.54545454544,323011.1111111111,50499340.0,12899102.0,1308580.0,8936809.090909092,9813150.0,531600.0,48251901.81818182,996290.0,6328520.0
1685130.0,83327.2727272727,347428.8888888889,32399242.0,15198770.0,680040.0,9998572.727272728,15198360.0,65100.0,64322039.09090909,250130.0,5288880.0
659690.0,64100.0,371846.6666666667,3139318.0,17899417.0,1848790.0,11060336.363636363,10299289.0,84750.0,80392176.36363637,365380.0,6748920.0
702860.0,63770.26315789474,396264.4444444445,1979064.0,304999129.0,829169.0,12122100.0,12795980.0,535960.0,96462313.63636364,25200.0,4889277.0
1220330.0,63440.52631578947,420682.2222222222,89899482.0,67899577.0,1238480.0,10191466.666666666,6923080.0,85040.0,112532450.9090909,1757780.0,6739350.0
908340.0,63110.78947368421,445100.0,2218700.0,19399359.0,743172.0,8260833.333333334,4677490.0,344240.0,128602588.1818182,61860.0,5269187.0
7937120.0,62781.05263157895,410577.77777777775,85899478.0,17799200.0,3958730.0,6330200.0,7007230.0,126610.0,144672725.45454547,51960.0,5518870.0
4539300.0,62451.31578947369,376055.5555555556,5539148.0,16399181.0,2839278.0,4399566.666666667,795300.0,3100.0,160742862.72727275,28250.0,6828700.0
677680.0,62121.57894736842,341533.3333333334,2309332.0,16699296.0,1049053.0,2468933.333333334,1004200.0,8280.0,176813000.0,60280.0,5878410.0
736870.0,61791.84210526316,307011.1111111111,17299125.0,15199322.0,1197950.0,538300.0,13558000.0,46720.0,22512000.0,63360.0,5968630.0
797670.0,61462.10526315789,272488.8888888889,1269373.0,14499490.0,1389112.0,4024000.0,4410000.0,194810.0,11793500.0,97620.0,7338910.0
2206440.0,61132.36842105263,237966.6666666667,3699090.0,14299405.0,2248940.0,5000.0,12111000.0,102600.0,1075000.0,1657620.0,7448980.0
1066710.0,60802.63157894737,203444.44444444447,5868760.0,162999624.0,2348800.0,6449500.0,10690650.0,2526000.0,920000.0,403810.0,6168870.0
2120990.0,60472.89473684211,168922.22222222225,8399032.0,160999268.0,4718970.0,69000.0,10478900.0,1801410.0,765000.0,471920.0,6459000.0
1223890.0,60143.15789473684,134400.0,1299000.0,13699212.0,2339371.0,795955.0,6510000.0,1076820.0,610000.0,172693.0,5768840.0
4115910.0,59813.42105263158,166200.0,277830.0,13599036.0,123998900.0,1522910.0,4510000.0,2760.0,455000.0,2638230.0,5249361.0
9664700.0,59483.68421052631,224020.0,475850.0,14199011.0,2769380.0,11462000.0,10390820.0,55732.0,3065500.0,92420.0,5639261.0
3567270.0,59153.94736842105,281840.0,701990.0,13599197.0,3149167.0,8597750.0,9888000.0,116490.0,5676000.0,1058150.0,6698340.0
