RMS_Impulse_factor,RMS_Impulse_factor.1,RMS_Impulse_factor.2,RMS_Impulse_factor.3,RMS_Impulse_factor.4,RMS_Impulse_factor.5,RMS_Impulse_factor.6,RMS_Impulse_factor.7,RMS_Impulse_factor.8,RMS_Impulse_factor.9,RMS_Impulse_factor.10,RMS_Impulse_factor
2.55105460968146,1.8026994215525245,2.9065149344308674,3.9700418939214295,3.220796890184645,3.71155165317602,3.6082156194187367,3.028062927561047,4.226585647566917,2.69801230955504,2.844028203119436,3.5284461546083605
1.2627234154813465,1.4550898203592817,2.088703149666687,2.100631199278629,1.5734989648033126,1.4744525547445255,1.3844716628607017,1.8626402993051847,1.3829357056207037,1.2379367720465893,1.4895807180517198,2.199362957547909
1.153610567875724,1.0912343470483006,1.2708913649025066,2.213552800342027,1.030674846625767,1.2989909832546158,1.2447163515016686,1.7374560266617296,1.2106430155210643,1.326852984131015,1.028688524590164,1.3211874959040566
1.1955435115560973,1.084707524966442,1.1745238387638786,1.0893203883495144,1.3785714285714286,1.123529411764706,1.110041265474553,2.5036589270196514,1.1825242718446602,1.4157691962154406,1.0280898876404494,1.3019481426440438
1.1611228609882716,1.0781807028845831,1.0781563126252505,1.083215796897038,1.3309859154929575,1.080164705882353,1.1802256702597516,1.5773442115981744,1.0591397849462367,1.5046854082998664,1.028169014084507,1.2187595858895703
1.2735086774246434,1.0716538808027247,1.0169014084507042,1.1827057182705718,1.2740835255435048,1.0368,1.2504100750449498,1.2704925127672462,1.0575342465753426,1.1577464788732392,1.0915771032910195,1.2724620201728716
1.27410861051698,1.065127058720866,1.0646938541820026,1.486516853932584,1.2171811355940518,1.2044198895027625,1.3205944798301483,1.180633429307471,1.3263707571801564,1.154589354307664,1.154985192497532,1.2862061144278114
1.2710774310949122,1.0586002366390077,1.1124862999133007,1.2663316582914574,1.160278745644599,1.9907407407407405,1.5174603174603174,1.3699175433608188,1.3600303717313675,1.1514322297420887,1.0853994490358128,1.334124844669592
1.1778147900383855,1.0520734145571489,1.160278745644599,1.5325077399380802,1.0922037159858389,1.6485337750130649,1.4459692538432696,1.16875,1.393689986282579,1.1482751051765134,1.4879441906565094,1.294497589586388
1.1828098948586203,1.0455465924752902,1.2403361344537815,1.093502377179081,1.024128686327078,1.3063268092853892,1.3744781902262218,1.089939024390244,2.093755812263459,1.1451179806109382,1.2918142875547538,1.3276063132684857
1.208821084323814,1.0390197703934316,1.3059788780377015,1.5554730064388314,1.2994350282485876,2.933781368679723,1.302987126609174,1.4018026625098996,2.7938216382443386,1.141960856045363,2.3663558920113106,1.341203574388321
1.1278741008689863,1.032492948311573,1.3716216216216215,1.335526315789474,1.3635687732342003,1.4498506737543049,1.231496062992126,1.338394342762063,1.7277777777777774,1.1388037314797876,1.1845998799210908,1.28674178108421
1.3118451609821913,1.0259661262297144,1.2777777777777777,1.3678160919540228,1.1083798882681564,1.316280532550582,1.189619087484303,1.2889503061832766,1.1762509335324869,1.1356466069142124,1.3724362527716183,1.2799033097709764
1.25271993895127,1.0194393041478558,1.0918196994991651,1.1338886876735483,1.2767925983037782,1.7405023299897322,1.1818363241819487,1.450728073145953,2.1024785510009534,1.132489482348637,1.789881799616313,1.3584997632621254
1.205107938546658,1.0129124820659972,1.4876741693461952,1.1511364980920933,1.275143285600577,1.3109276729559751,1.1740535608795943,1.427089973265848,1.7107142857142856,1.129332357783062,1.7946093188414414,1.4648623570860952
1.5235729335437975,1.0302822654693145,1.4555399429325104,1.1683843085106382,1.2734939728973758,1.2449190210122585,1.1662707975772402,1.4107292596046126,1.489313835770529,1.1261752332174868,1.4565026362038662,1.5469238573998063
1.2977680611431182,1.0476520488726315,1.423405716518826,1.2019597169297769,1.2718446601941746,1.1789103690685414,1.1584880342748858,1.4942430703624732,1.3980343552111698,1.1230181086519115,1.6687428822283157,1.4341967653576395
1.2424962907670047,1.065021832275949,1.391271490105141,1.5842325478969392,1.223977131772101,1.6478599221789882,1.1507052709725316,1.7257958734442491,1.3067548746518105,1.1198609840863365,1.4120978750280138,1.4516129815148209
1.4530729762651804,1.0823916156792663,1.3591372636914565,1.4893274293269556,1.1761096033500271,1.391803264256915,1.1400379501715805,1.3430403642218645,1.236913113869401,1.116703859520761,1.3928119669030183,1.448056738779994
1.4550825290881209,1.099761399082584,1.3270030372777717,1.3944223107569722,1.1282420749279538,1.1357466063348416,1.1293706293706294,1.7881883877398452,1.2520547945205478,1.1135467349551855,1.616781785622922,1.4439380841079934
1.4737645071650414,1.1171311824859012,1.294868810864087,1.200326619488296,1.0900288771870223,1.2013769363166955,1.2281879194630871,1.9577392749824185,1.1590909090909092,1.1103896103896105,1.0901204133876932,1.4891745063379382
1.3344400999340589,1.1345009658892184,1.262734584450402,1.5773968934118905,1.090280278579922,1.3622448979591837,1.1383329676233136,1.9389083122835784,1.25390625,1.3174898871620182,1.1278640059127865,1.422489407740804
1.3269297334717896,1.1518707492925355,1.2386053755180324,1.3784039036675586,1.0905316799728215,1.172987110031758,1.04847801578354,2.0633392188105595,1.4612794612794615,1.524590163934426,1.2183509380419362,1.422486697210187
1.4785245073269326,1.169240532695853,1.2144761665856627,1.0193905817174516,1.090783081365721,1.4472972972972973,1.22797741321361,1.967676110116552,1.3391304347826087,1.481546359950643,1.1897336210027127,1.488044315863343
1.373722627737226,1.1866103160991703,1.1903469576532932,1.3356890459363957,1.0910344827586207,1.481828839390387,1.4074768106436804,1.609034069159117,1.6059945504087194,1.4385025559668605,1.2883062472547893,1.5651396300508365
1.3233240150349177,1.2039800995024876,1.1662177487209235,1.3269314079422383,1.213527851458886,1.28476821192053,1.2488228369629193,1.9087311514930976,1.221505376344086,1.3954587519830777,1.1400150968715927,1.558948733317839
1.146615022693249,1.0831234256926952,1.1420885397885538,1.4754168448054723,1.0070921985815602,1.2166407586436974,1.420849420849421,1.8349538768386933,2.2464577071704595,1.3524149479992948,1.117476035579608,1.4855778730119125
1.2243151522699272,1.0886336274395665,1.1179593308561842,1.4139367018323157,1.034795763993949,1.1485133053668648,1.0167224080267558,1.9217221476276,1.6319237641453246,1.309371144015512,1.46084446048358,1.3038592589285218
1.4184370165790603,1.0941438291864376,1.0938301219238145,1.273909356449637,1.119005328596803,1.0803858520900322,1.1339712918660287,1.9136532563938435,1.281574630945872,1.2663273400317292,1.1649454116258484,1.3513420005897885
1.1816337937070929,1.099654030933309,1.069700912991445,1.2864534674811354,2.470771976796073,1.566137566137566,1.0543414057885412,1.884747425208436,1.2113127001067234,1.2232835360479464,1.41280353200883,1.3485758918559418
1.3941765425730523,1.10516423268018,1.0455717040590753,1.4291518537328591,1.1863765373699149,1.1598858358050252,1.25531914893617,1.881083277361792,1.0578034682080923,1.1802397320641635,1.4223494275759083,1.3722193993034064
1.5733375619925145,1.1106744344270514,1.0214424951267056,1.2802060449965913,1.5738831615120277,1.1846897006006805,1.195121951219512,1.8551812449162028,1.5749235474006116,1.1371959280803807,2.4149165848871443,1.351366908827774
1.6968114647033457,1.1161846361739225,1.1201157742402317,1.6859838487918202,1.635922330097087,1.2832351536379556,1.3092604799921872,2.3760458874914487,2.140468227424749,1.094152124096598,1.783922171018945,1.2952473817078185
1.504381195191103,1.1216948379207938,1.1299285674745332,1.503501649499942,1.4681014604150655,1.0783831628638867,1.4233990087648625,2.7688361654376403,1.6251482799525503,1.0511083201128153,1.402069558070903,1.2816085156712005
1.354314606379724,1.1272050396676652,1.139741360708835,1.42013465957481,1.1119496855345912,1.181831045705391,1.5375375375375375,2.406659939455096,1.3736951983298535,1.0080645161290325,1.465477035384771,1.3176404215835602
1.489307438248384,1.1327152414145365,1.1495541539431364,1.346535336633834,1.1859375,1.276499434175783,1.4542927734526092,1.5522055119810032,1.318181818181818,1.2719880591694883,1.179549948215799,1.355152300712897
1.4704744626050896,1.1382254431614076,1.159366947177438,1.3531325331777004,1.246227785850006,1.1176551534333288,1.3710480093676811,2.0134611281029944,2.175461175461176,1.5359116022099446,1.305373258854532,1.4277219024636103
1.4184459573355537,1.1437356449082787,1.1691797404117397,1.4281753572128943,1.2341061745475648,1.3298675163508298,1.364639455320213,1.969319672286958,1.4246854811288676,1.5263962713728365,1.133319307104285,1.499665868814633
1.4000911400172351,1.14924584665515,1.1789925336460412,1.3771302501769136,1.3474950495049505,1.399550471718372,1.358230901272745,2.6339697535029574,1.593869731800766,1.5168809405357282,1.3973276218755324,1.530620609191219
1.4772635304444728,1.1547560484020214,1.188805326880343,1.374552909747677,1.3561562603954238,1.5054788303183555,1.3518223472252768,2.5718657492599406,1.2448680351906158,1.50736560969862,1.180756843800322,1.5612553917149026
1.4430666323642911,1.1602662501488925,1.1986181201146444,1.3866297380414243,1.4683743644298504,1.508854425372997,1.345413793177809,3.011111494134004,1.7912813738441216,1.4978502788615118,1.1486560341829382,1.5519997452553815
1.4522611085897297,1.1657764518957638,1.208430913348946,1.2745383197723257,1.5379932648303256,1.274502756944379,1.3390052391303409,2.1925385800044004,1.7230008244023085,1.4883349480244037,1.4578813988849466,1.5891269342248533
1.3856101566399566,1.171286653642635,1.2017644945045411,1.295022795026286,1.3424242424242423,1.5801799217731418,1.3325966850828728,3.213925459196208,3.335412271851784,1.4788196171872952,2.51777661891469,1.5761008612868284
1.3125833058795442,1.1767968553895063,1.1950980756601364,1.301519656672933,1.3764834210099195,1.4104452531615184,1.264257940352439,2.4447866502407885,3.3323279625367097,1.469304286350187,1.8581460674157304,1.6200031840986675
1.3167289202620591,1.1823070571363774,1.1884316568157316,1.211800420331595,1.4070942752504936,1.6734329636035363,1.1959191956220052,1.9273043856785288,1.5133952979770366,1.4597889555130787,1.3861221582477594,1.6933944862655168
1.41096503213779,1.1878172588832487,1.1817652379713268,1.1534709858732204,1.4689891506047756,1.7150147269397509,1.1275804508915712,1.5591433460285915,1.8549035369774924,1.4502736246759709,1.1704320580474934,1.6566991766746662
1.3452695025037906,1.1838527842415951,1.1750988191269218,1.1904155359878903,1.671588418502711,1.2427528214206682,1.0592417061611374,1.26934564213956,2.392395437262357,1.4407582938388623,1.892324481629684,1.6991078230757124
1.299695167845853,1.1798883095999415,1.168432400282517,1.1571647990111875,1.5027817494585145,1.5982073546476732,1.0674246175413324,1.5943816375471054,1.6261621621621618,1.0064935064935066,1.364644970414201,1.792020166922926
1.3897385221495533,1.175923834958288,1.1617659814381125,1.1464040252487364,1.517590513071972,1.5205331412103744,1.0756075289215277,1.3525271912987844,3.1712767731637004,1.0563380281690142,1.9270077370599168,1.678798446779457
1.3737227898711684,1.1719593603166345,1.1550995625937075,1.2833810945672433,1.4413066906780256,1.2861491628614918,1.083790440301723,1.3718735252477583,2.871037954019861,1.0643889618922469,2.275137853896243,1.6795380399862374
1.3139201368004017,1.1679948856749809,1.1484331437493027,1.2769993533089028,1.553997904397153,1.4866095828019676,1.091973351681918,1.1596834264432028,1.2336129232680957,1.19886114761279,2.242259641499185,1.84904117373918
1.3392333046371176,1.1640304110333273,1.141766724904898,1.2950382517215306,1.542787464434972,1.5361599185128594,1.100156263062113,1.0947266641874305,1.514694800301432,1.3333333333333333,2.390715475036656,1.80764691999056
1.3691553523725593,1.1600659363916737,1.1351003060604932,1.19731750558853,1.4726355164373814,1.6339779276277102,1.108339174442308,1.245913043478261,2.23098935122203,1.3126559714795007,1.682504305541485,1.7967175679303131
1.2906851503139631,1.15610146175002,1.1284338872160884,1.3834162437071995,1.4582297895121412,1.7130083700533407,1.1165220858225031,1.2673267326732671,1.7906976744186045,1.2919786096256685,1.7543558564686432,1.7609491178280978
1.2917249650209874,1.1521369871083664,1.1217674683716836,1.683331700379736,1.43823169030317,1.9229283258998324,1.1247049972026983,1.237802431620566,1.6868832236842108,1.271301247771836,2.7086573354069463,1.7317472867238173
1.3066399465597862,1.1481725124667128,1.1151010495272788,1.5470634628864803,1.5770016280371957,1.7153848138496868,1.1328879085828931,1.208278130567865,1.584766584766585,1.2506238859180034,1.7589019470268372,1.665084420400506
1.248886404823603,1.1442080378250592,1.1084346306828738,1.370495466440243,1.4470230616738342,1.5216117654092185,1.1410708199630886,1.2166327050433012,2.843213728549141,1.229946524064171,1.2985485750609174,1.7814475246876234
1.2802888343241148,1.1461588445907034,1.101768211838469,1.329245066306293,1.6677576289894656,1.625575546769431,1.1492537313432836,1.308018299618337,1.4059884095299422,1.2092691622103386,1.5674570727718724,1.91354291667326
1.2771557337434618,1.1481096513563471,1.0951017929940643,1.4361067160717362,1.4770730944032318,1.6162974869643627,1.1675129818707193,1.3685258964143423,1.4004282655246254,1.188591800356506,1.2780136017161896,1.886785079775393
1.284422879209609,1.1500604581219915,1.0884353741496595,1.3866362189333936,1.4847047374674704,1.4972145348410044,1.185772232398155,1.1514383876126089,1.5623556581986144,1.1679144385026736,1.3298279158699808,1.770041981392685
1.2633457973445206,1.1520112648876355,1.0848785771578815,1.370656910774632,1.5176473569693394,1.5071482770349829,1.2040314829255907,1.1984074319840743,1.736366919465511,1.1472370766488411,1.3222937168811506,1.8653693211809832
1.2658802342011692,1.1539620716532797,1.0813217801661037,1.3375832655152664,1.5950388678864318,1.4759857566884804,1.2222907334530264,1.720136518771331,1.4587628865979383,1.1265597147950088,1.3676049618320612,1.6700341007620014
1.3825080895240665,1.155912878418924,1.0777649831743257,1.4436520635725338,1.4526204244534109,1.3853635079493885,1.240549983980462,1.4020813623462631,1.070259865255053,1.1058823529411763,1.5606722336745744,1.6300179318458408
1.4285648896641128,1.1578636851845678,1.0742081861825474,1.3868879605331084,1.706659848549918,1.4644804864487584,1.2588092345078978,1.2446601941747573,2.0539534883720934,1.1884550084889645,1.4550733861023828,1.6459013941345044
1.4398609562450984,1.159814491950212,1.0706513891907692,1.4028879293776986,1.5293594855873225,1.6063740777363658,1.2483139178418148,1.0033333333333334,1.6716811466819916,1.100400343750655,1.438749133093752,1.735867313195961
1.480773574150621,1.161765298715856,1.0670945921989912,1.4792940689393306,1.5667554795697034,1.612444905669178,1.0112359550561798,1.2044899205864388,1.2784090909090908,1.0123456790123455,1.259938776332219,1.736474683806869
1.2945773843410333,1.1637161054815002,1.0635377952072131,1.448423630241812,1.6312237730041173,1.5833721747236464,1.4967227306455606,1.195505617977528,1.8226950354609923,1.0617802676626205,1.2061312843714656,1.7905253622587292
1.3155846399521869,1.1656669122471444,1.0599809982154351,1.2486531852876794,1.7420779871338208,1.4318565506218472,1.079863028830222,1.236333744348541,1.487347517730496,1.1112148563128954,1.34268261206229,1.7784624202908932
1.3981139949796548,1.1676177190127883,1.056424201223657,1.323596859778042,1.5037472934689242,1.50497299226591,1.0618613389765144,1.1257633272817296,1.152,1.1606494449631704,1.3371495917164744,1.8212323195431304
