Energy_Root_mean_squared,Energy_Root_mean_squared.1,Energy_Root_mean_squared.2,Energy_Root_mean_squared.3,Energy_Root_mean_squared.4,Energy_Root_mean_squared.5,Energy_Root_mean_squared.6,Energy_Root_mean_squared.7,Energy_Root_mean_squared.8,Energy_Root_mean_squared.9,Energy_Root_mean_squared.10,Energy_Root_mean_squared
3271449.8346942933,350321.62447118864,176631.88329934914,26771160.326179363,77640.39970702538,8472158.593053691,354686.9438067235,132997.6498548758,23526322.008325152,721856.3421896859,475790.12441998126,4468750.238320325
10589532.45336302,382157.4088909396,341104.4080629859,627900.9293556701,368747.7275668479,83768.09717690367,413664.577224108,206905.4839135596,312929.25718123576,677444.3765556678,95699.7216903735,5544712.985242007
2099529.58117449,413993.1933106906,8507.32625447032,27671.776235001613,33007.328731662004,342959.2057093991,58585008.75186172,123589.61540042864,6198324.192876652,633032.4109216498,126304.62313904648,5927344.705194538
99886.21409982344,445828.9777304416,16013.978268999868,11473346.53574405,34484.245315796026,224557.2864737962,47512391.69559687,107637.67676665184,1877565.137490696,588620.4452876316,178136.64202267985,4995977.634479087
383613.167310699,477664.7621501925,40156.9950319991,7103915.3016352095,35517.02212717745,187012.010872367,36439774.63933201,72726.26374976237,1387009.8985677788,544208.4796536136,204368.51064800195,2516008.946499798
162101.36919873286,454454.52905474056,48762.45797181733,2734484.067526369,36549.79893855887,442791.1211845265,25367157.58306715,288764.9130073334,286598.87037460564,499796.51401959546,379667.7004044755,3285096.481124916
55674.42973423611,431244.2959592887,57367.92091163556,22404266.748752624,37582.57574994029,698570.2314966859,14294540.526802294,71941.36733461742,375934.014451531,455384.5483855774,159438.9557545878,3068797.210168721
100401.06598705464,408034.0628638367,65973.38385145381,27522032.558320187,40238.2161289889,398399.67512080586,3221923.4705374367,57796.50957818723,465269.1585284563,410972.5827515593,306391.70576972666,2810425.5990718547
203451.8872366832,384823.8297683848,74578.84679127204,13868490.828472942,42893.8565080375,534670.9576363344,5768810.3279265445,71022.53326602768,1078421.1947719376,366560.61711754126,5948501.247953283,2574306.2799315634
220384.4188018464,361613.5966729329,83184.30973109027,214949.0986256979,45549.496887086105,670942.2401518628,8315697.185315653,75085.64656680883,183705.90254145736,322148.6514835231,285222.08840948256,3168179.6617946257
108440.8018229301,338403.3635774809,91789.77267090853,36072013.72255228,48463.17741561516,561339.9148466105,55081.63616508638,83407.05036204278,2536.723608646923,277736.68584950507,106501.93559609274,3146757.305703392
61623.19405691794,315193.13048202894,100395.23561072674,43782474.0226534,66782.2554671172,78139.2986915035,5631582.233361936,129892.96193194526,3003686.5066115004,471700.1585614191,46413.24472296982,2578291.159762163
261288.18324961112,291982.897386577,154543.60031527627,58011569.609609805,85101.33351861924,725751.9246181552,11208082.830558786,107020.03416813328,3418519.958361262,665663.6312733331,1287246.5967489162,2503536.810903243
163136.124338804,268772.6642911251,208691.9650198258,49487.47316240748,103420.41157012129,1305686.429999835,7453410.970056138,91986.10640608404,373219.2997612606,671456.5694834602,150945.45036980006,2717472.299089196
