CWT,EMD,FFT,Hilbert,SPWVD,STFT,Time
"[4.698079257367538e-05, 0.6467710983174901, 0.5018221896549191]","[5.572340570142442e-05, 0.6408490149306473, 0.29308352828869816]","[np.float64(0.0008496746405737832), np.float64(0.6075303324793123), np.float64(0.7665603184196341), 'Amplitude_Kurtosis']","[0.00022136736845210225, 0.573862237535707, 0.5716958472007917]","[0.03873936208412865, 0.5921471662005253, 0.26907629792850113]","[np.float64(0.039133393965464586), np.float64(0.669738198309627), np.float64(0.2674940736080291), 'Amplitude_Kurtosis']","[2.0026729094457796e-05, 0.559994257443237, 0.5708814648221947]"
"[0.0026326213489452632, 0.6097857812290804, 0.7813306180601525]","[3.313596151621745e-05, 0.5806652531142326, 0.41737369220793785]","[np.float64(0.003604298799250477), np.float64(0.6275064051594663), np.float64(0.9769818131225355), 'Amplitude_Mean']","[9.123384812542018e-05, 0.6118064022145656, 0.5532775806185493]","[0.0004883056981261902, 0.5357443115942834, 0.18767822185825586]","[np.float64(0.3078860690689955), np.float64(0.7350443207586065), np.float64(0.8032633650612518), 'Amplitude_Mean']","[1.8118663289642956e-06, 0.6025287864063373, 0.5310910754015182]"
"[0.0001513125691919026, 0.6970402106484583, 0.6973593089642836]","[1.200299698268445e-05, 0.6120521541950115, 0.2706277497781022]","[np.float64(0.00016240207449871868), np.float64(0.5611806107724479), np.float64(0.8694023440569331), 'Amplitude_P10']","[0.00030821399260663046, 0.5769593898165329, 0.5500162933906748]","[0.22555873146505664, 0.49528759631090846, 0.045811504585201786]","[np.float64(0.0012668511639015896), np.float64(0.6833704390847248), np.float64(0.45841063736930177), 'Amplitude_Skewness']","[0.00014422688817218587, 0.5678511058102894, 0.5399097823012221]"
"[0.0008224160212199905, 0.5993637404977614, 0.7260518962891914]","[5.5448776450823384e-05, 0.5788059899284389, 0.4528491375096809]","[np.float64(0.0002912134356861107), np.float64(0.6574226227287451), np.float64(0.2332754032760338), 'Amplitude_P11']","[4.088472238946014e-05, 0.6124286597755985, 0.5564656996688084]","[0.0010702895571642536, 0.5186328139709524, 0.004378204551034861]","[np.float64(0.056740965403281954), np.float64(0.8009193980622553), np.float64(0.5782767904270899), 'Amplitude_Standard_deviation']","[9.949680255130137e-05, 0.6144363459669582, 0.5360259512225412]"
"[0.0006979132789816933, 0.641531812975112, 0.39381216053681684]","[6.709369429514986e-05, 0.747993786259092, 0.5003237988881923]","[np.float64(0.000402807415958666), np.float64(0.7091305180080691), np.float64(0.5901121011650352), 'Amplitude_P12']","[0.0002011774488454715, 0.6991362605648319, 0.5848291975278865]","[0.18782391396714773, 0.500516076252449, 0.8192473585363955]","[np.float64(0.11165948251460914), np.float64(0.7246114203257061), np.float64(0.8088025559588584), 'Counts_Kurtosis']","[0.00037444097360030864, 0.6917439703153988, 0.4973484525457746]"
"[0.0003498079335402249, 0.6567539905684237, 0.6197849191641844]","[0.00018463317378122207, 0.7509576817740081, 0.6245096671215858]","[np.float64(0.0042219959061137735), np.float64(0.6507307771593488), np.float64(0.9643288901403289), 'Amplitude_P13']","[0.0002010559553917296, 0.7003891686544748, 0.5822387140989188]","[0.3979317079786489, 0.5266337232766611, 0.8905436345971021]","[np.float64(0.15787678738982566), np.float64(0.7044465058750774), np.float64(0.8266814242120347), 'Counts_Mean']","[8.739318514035363e-05, 0.6943990929705217, 0.49888341244363565]"
"[0.0003478013359338068, 0.6729591942994005, 0.6172259709647027]","[4.9206964079525836e-05, 0.7031455959006978, 0.31115855360663114]","[np.float64(0.0016221354997480036), np.float64(0.5877347822245782), np.float64(0.7637350531188665), 'Amplitude_P14']","[4.721768426927883e-05, 0.7183668315811175, 0.30909651059254445]","[0.06077149852209834, 0.5129962174649271, 0.8025669419027467]","[np.float64(0.05014048357605621), np.float64(0.7275200989486705), np.float64(0.7346694417728128), 'Counts_Skewness']","[6.429105747872508e-05, 0.7126742645109994, 0.3146054172591557]"
"[0.0008215181763438981, 0.6010746641674479, 0.4774397117137034]","[8.523573968598208e-06, 0.6801232441028356, 0.3179058058917847]","[np.float64(0.001924142684229871), np.float64(0.5781410313042967), np.float64(0.7931570744951857), 'Amplitude_P5']","[8.618046742062124e-05, 0.6990725034602585, 0.5838709772055947]","[0.37767342035926754, 0.5378614507131324, 0.7813456859614453]","[np.float64(0.006097605070211343), np.float64(0.6793424036281178), np.float64(0.6524909915380751), 'Counts_Standard_deviation']","[7.418232476030275e-05, 0.6909756456695234, 0.4974609324648652]"
"[3.310737928734382e-05, 0.642345695541572, 0.39530343936937834]","[4.920696407961431e-05, 0.7050748741054861, 0.4554374996116559]","[np.float64(0.0021551753240653393), np.float64(0.5755514326942899), np.float64(0.8100580249978987), 'Amplitude_P6']","[4.721768426925975e-05, 0.7182227523043853, 0.4061599609087106]","[0.28934594709732553, 0.5237092704803413, 0.1861701150032785]","[np.float64(0.049833328280292966), np.float64(0.7089569160997733), np.float64(0.7648624915397029), 'Duration_Kurtosis']","[6.429105747860972e-05, 0.7118069911947464, 0.40179370406672443]"
"[0.0012435973496604802, 0.6399772392555899, 0.7038357305221269]","[0.00035694668478714053, 0.5723852224872633, 0.8269388107264015]","[np.float64(0.001003067855565018), np.float64(0.5793447595488416), np.float64(0.781061470979995), 'Amplitude_P7']","[8.255809279926474e-05, 0.6302989074417648, 0.8356604531049995]","[0.0013028675265946178, 0.6053188833866163, 0.5229406112593457]","[np.float64(0.25574902593370213), np.float64(0.68136260564832), np.float64(0.8208937170968069), 'Duration_Mean']","[0.0007431197382542498, 0.620492608298731, 0.834718537692728]"
