Data_Window_idx,Time_cycle,Amplitude_mean,Amplitude_std,Amplitude_max,Amplitude_min,Energy_sum,Energy_mean,Counts_sum,Duration_mean,RMS_mean,Rise-Time_mean,Amplitude_mean_smoothed,Amplitude_std_smoothed,Amplitude_max_smoothed,Amplitude_min_smoothed,Energy_sum_smoothed,Energy_mean_smoothed,Counts_sum_smoothed,Duration_mean_smoothed,RMS_mean_smoothed,Rise-Time_mean_smoothed
0,1.0,78.44146341463414,9.437239416528444,100.0,62.2,88074530.0,2148159.2682926827,2265.0,499.6560975609757,138.06829268292682,98.74878048780488,78.44146341463414,9.437239416528444,100.0,62.2,88074530.0,2148159.2682926827,2265.0,499.6560975609757,138.06829268292682,98.74878048780488
0,11.0,71.06666666666666,13.301253073802236,85.9,60.2,758130.0,252710.0,72.0,137.16666666666666,74.23333333333333,27.100000000000005,73.6,4.818614192412121,79.02000000000001,69.82,470608.0,261884.0,55.0,212.0133333333333,60.86,33.62
0,21.0,80.73333333333333,3.716629297271023,85.0,78.2,836000.0,278666.6666666667,141.0,333.8333333333333,61.4,36.23333333333333,80.17266666666667,7.295103812420459,86.92,73.4,3912882.0,922847.7333333334,132.0,322.0586666666667,58.96400000000001,41.32666666666667
0,31.0,71.3,8.061017305526645,77.0,65.6,139480.0,69740.0,41.0,171.0,71.9,20.75,75.24,8.311836093964004,83.22,68.34,772426.0,282791.3333333334,77.0,258.18666666666667,62.84000000000001,28.276666666666664
0,41.0,88.7,15.980613254815973,100.0,77.4,158179000.0,79089500.0,503.0,1942.4,58.0,29.75,77.205,8.79894947276441,84.08,70.44000000000001,32221872.0,16055052.5,170.6,567.475,65.3,32.075
0,51.0,77.03333333333333,11.668904547271495,88.3,65.0,1430100.0,476700.0,120.0,280.6,73.53333333333333,27.53333333333333,79.73666666666666,8.058341153868133,86.38000000000001,73.1,1066496.0,442778.0,108.6,315.5033333333333,75.14666666666668,32.526666666666664
0,61.0,92.5,0.0,92.5,92.5,3960000.0,3960000.0,69.0,481.2,33.1,45.2,76.24166666666666,6.454165614775048,82.5,70.55999999999999,1322376.0,933825.5,65.8,225.07166666666663,60.925,30.883333333333336
0,71.0,74.65,13.64716087690037,84.3,65.0,575600.0,287800.0,67.0,212.25,67.2,32.849999999999994,77.34,11.56826694021192,85.52000000000001,69.16,699596.0,441698.0,69.4,326.74999999999994,68.41,39.31
0,81.0,63.7,0.0,63.7,63.7,2390.0,2390.0,2.0,35.4,76.0,0.6,69.35666666666667,5.84779292057664,74.12,64.62,216352.0,80876.33333333334,39.6,122.50999999999996,73.61999999999999,15.24
0,91.0,75.3,16.263455967290593,86.8,63.8,1392450.0,696225.0,69.0,237.15,74.3,27.2,70.03999999999999,8.796408357960653,76.25999999999999,63.82000000000001,501532.0,251239.0,37.6,127.21999999999996,74.05,14.48
0,101.0,64.2,0.0,64.2,64.2,3690.0,3690.0,2.0,79.2,75.0,0.5,64.31,0.0,64.31,64.30999999999999,2644.0,2644.0,1.7,27.619999999999955,73.52,0.5599999999999999
0,111.0,81.73076923076923,0.0,81.73076923076923,81.73076923076923,665492.3076923076,665492.3076923076,50.0,306.8461538461538,54.86153846153846,52.03076923076922,83.85384615384615,0.0,83.85384615384615,83.85384615384615,843661.5384615384,843661.5384615384,56.0,347.0307692307691,61.90769230769231,58.95384615384614
0,121.0,73.9,0.0,73.9,73.9,115400.0,115400.0,30.0,217.65,82.85,52.75,72.28230769230768,0.9758073580374336,72.97230769230768,71.59230769230768,85856.92307692305,80386.92307692305,29.4,179.7284615384615,72.36461538461538,51.732307692307685
0,131.0,79.91875,0.0,79.91875,79.91875,189125.0,189125.0,45.5,292.29375,59.01875,19.94375,79.89750000000001,0.0,79.89750000000001,79.89750000000001,194050.0,194050.0,46.4,298.7074999999999,63.44749999999999,21.3275
0,141.0,79.98125,0.0,79.98125,79.98125,162875.0,162875.0,40.5,258.60625,37.08125,19.75625,79.96875,0.0,79.96875,79.96875,168125.0,168125.0,41.5,265.3437499999999,41.46875,19.79375
0,151.0,82.28421052631579,0.0,82.28421052631579,82.28421052631579,373105.2631578947,373105.2631578947,48.94736842105263,314.63157894736844,43.21052631578947,39.3,81.63157894736842,0.0,81.63157894736842,81.63157894736842,310789.4736842105,310789.4736842105,46.10526315789474,295.7368421052631,39.578947368421055,33.7
0,161.0,85.54736842105264,0.0,85.54736842105264,85.54736842105264,684684.2105263158,684684.2105263158,63.15789473684211,409.10526315789474,61.36842105263158,67.3,84.89473684210526,0.0,84.89473684210526,84.89473684210526,622368.4210526316,622368.4210526316,60.315789473684205,390.2105263157895,57.736842105263165,61.7
0,171.0,85.33333333333333,0.0,85.33333333333333,85.33333333333333,836000.0,836000.0,66.0,445.7,61.6,73.0,85.88,0.0,85.88,85.88,878700.0,878700.0,66.6,444.65,61.28,72.99
0,181.0,82.368,0.0,82.368,82.368,611180.8,611180.8,59.44,412.628,65.88,67.52,82.84533333333334,0.0,82.84533333333333,82.84533333333333,628787.2,628787.2,60.96,422.852,65.18666666666667,69.34666666666666
0,191.0,79.98133333333334,0.0,79.98133333333334,79.98133333333334,523148.8,523148.8,51.84,361.508,69.34666666666666,58.38666666666667,80.45866666666666,0.0,80.45866666666666,80.45866666666666,540755.2,540755.2,53.36,371.7319999999999,68.65333333333334,60.21333333333333
0,201.0,77.59466666666667,0.0,77.59466666666667,77.59466666666667,435116.8,435116.8,44.24,310.38800000000003,72.81333333333333,49.25333333333333,78.07199999999999,0.0,78.072,78.072,452723.2,452723.2,45.760000000000005,320.612,72.11999999999999,51.08
0,211.0,75.208,0.0,75.208,75.208,347084.8,347084.8,36.64,259.26800000000003,76.28,40.12,75.68533333333333,0.0,75.68533333333332,75.68533333333332,364691.2,364691.2,38.16,269.492,75.58666666666667,41.946666666666665
0,221.0,72.82133333333334,0.0,72.82133333333334,72.82133333333334,259052.8,259052.8,29.04,208.148,79.74666666666667,30.986666666666665,73.29866666666666,0.0,73.29866666666666,73.29866666666666,276659.2,276659.2,30.56,218.372,79.05333333333333,32.81333333333333
0,231.0,70.43466666666667,0.0,70.43466666666667,70.43466666666667,171020.79999999993,171020.79999999993,21.44,157.02800000000002,83.21333333333334,21.85333333333333,70.912,0.0,70.912,70.912,188627.2,188627.2,22.96,167.25199999999995,82.52000000000001,23.68
0,241.0,68.048,0.0,68.048,68.048,82988.79999999993,82988.79999999993,13.839999999999996,105.90800000000002,86.68,12.72,68.52533333333334,0.0,68.52533333333334,68.52533333333334,100595.19999999995,100595.19999999995,15.36,116.13199999999998,85.98666666666666,14.546666666666669
0,251.0,72.05000000000001,0.0,72.05000000000001,72.05000000000001,56880.0,56880.0,20.5,134.45,59.8,12.55,67.41640000000001,0.0,67.41640000000001,67.41640000000001,24947.839999999967,24947.839999999967,10.611999999999998,80.94439999999994,83.38399999999999,7.205999999999998
