CWT,EMD,FFT,Hilbert,SPWVD,STFT,Time
,Duration_Kurtosis,Energy_P12,Duration_envelope_Kurtosis,,,Duration_Kurtosis
,Duration_Max_Min_difference,Energy_P13,Duration_envelope_Max_Min_difference,,,Duration_Max_Min_difference
,Duration_Mean,Energy_P14,Duration_envelope_Mean,,,Duration_Mean
,Duration_Median,Energy_P5,Duration_envelope_Median,,,Duration_Median
,Duration_Peak,Energy_P6,Duration_envelope_Peak,,,Duration_Peak
,Duration_Root_amplitude,Energy_P7,Duration_envelope_Root_amplitude,,,Duration_Root_amplitude
,Duration_Root_mean_squared,Energy_P8,Duration_envelope_Root_mean_squared,,,Duration_Root_mean_squared
,Duration_Root_standard_squared,Energy_P9,Duration_envelope_Root_standard_squared,,,Duration_Root_standard_squared
,Duration_Shape_factor,Energy_Skewness,Duration_envelope_Shape_factor,,,Duration_Shape_factor
,Duration_Skewness,Energy_Variance,Duration_envelope_Skewness,,,Duration_Skewness
,Duration_Standard_deviation,Rise-Time_Kurtosis,Duration_envelope_Standard_deviation,,,Duration_Standard_deviation
,Energy_Central_moment_3rd_order,Rise-Time_Mean,Energy_envelope_Central_moment_3rd_order,,,Energy_Central_moment_3rd_order
,Energy_Central_moment_4th_order,Rise-Time_P10,Energy_envelope_Central_moment_4th_order,,,Energy_Central_moment_4th_order
,Energy_Central_moment_5th_order,Rise-Time_P11,Energy_envelope_Central_moment_5th_order,,,Energy_Central_moment_5th_order
,Energy_Central_moment_6th_order,Rise-Time_P12,Energy_envelope_Central_moment_6th_order,,,Energy_Central_moment_6th_order
,Energy_Clearance_factor,Rise-Time_P13,Energy_envelope_Clearance_factor,,,Energy_Clearance_factor
,Energy_Crest_factor,Rise-Time_P14,Energy_envelope_Crest_factor,,,Energy_Crest_factor
,Energy_FM4,Rise-Time_P5,Energy_envelope_FM4,,,Energy_FM4
,Energy_Impulse_factor,Rise-Time_P6,Energy_envelope_Impulse_factor,,,Energy_Impulse_factor
,Energy_Kurtosis,Rise-Time_P7,Energy_envelope_Kurtosis,,,Energy_Kurtosis
,Energy_Max_Min_difference,Rise-Time_P8,Energy_envelope_Max_Min_difference,,,Energy_Max_Min_difference
,Energy_Mean,Rise-Time_P9,Energy_envelope_Mean,,,Energy_Mean
,Energy_Median,Rise-Time_Skewness,Energy_envelope_Median,,,Energy_Median
,Energy_Peak,Rise-Time_Variance,Energy_envelope_Peak,,,Energy_Peak
,Energy_Root_amplitude,RMS_Kurtosis,Energy_envelope_Root_amplitude,,,Energy_Root_amplitude
,Energy_Root_mean_squared,RMS_Mean,Energy_envelope_Root_mean_squared,,,Energy_Root_mean_squared
,Energy_Root_standard_squared,RMS_P10,Energy_envelope_Root_standard_squared,,,Energy_Root_standard_squared
,Energy_Shape_factor,RMS_P11,Energy_envelope_Shape_factor,,,Energy_Shape_factor
,Energy_Skewness,RMS_P12,Energy_envelope_Skewness,,,Energy_Skewness
,Energy_Standard_deviation,RMS_P13,Energy_envelope_Standard_deviation,,,Energy_Standard_deviation
,Rise-Time_Central_moment_3rd_order,RMS_P14,Rise-Time_envelope_Central_moment_3rd_order,,,Rise-Time_Central_moment_3rd_order
,Rise-Time_Central_moment_4th_order,RMS_P5,Rise-Time_envelope_Central_moment_4th_order,,,Rise-Time_Central_moment_4th_order
,Rise-Time_Central_moment_5th_order,RMS_P6,Rise-Time_envelope_Central_moment_5th_order,,,Rise-Time_Central_moment_5th_order
,Rise-Time_Central_moment_6th_order,RMS_P7,Rise-Time_envelope_Central_moment_6th_order,,,Rise-Time_Central_moment_6th_order
,Rise-Time_Clearance_factor,RMS_P8,Rise-Time_envelope_Clearance_factor,,,Rise-Time_Clearance_factor
,Rise-Time_Crest_factor,RMS_P9,Rise-Time_envelope_Crest_factor,,,Rise-Time_Crest_factor
,Rise-Time_FM4,RMS_Skewness,Rise-Time_envelope_FM4,,,Rise-Time_FM4
,Rise-Time_Impulse_factor,RMS_Variance,Rise-Time_envelope_Impulse_factor,,,Rise-Time_Impulse_factor
,Rise-Time_Kurtosis,,Rise-Time_envelope_Kurtosis,,,Rise-Time_Kurtosis
,Rise-Time_Max_Min_difference,,Rise-Time_envelope_Max_Min_difference,,,Rise-Time_Max_Min_difference
,Rise-Time_Mean,,Rise-Time_envelope_Mean,,,Rise-Time_Mean
,Rise-Time_Median,,Rise-Time_envelope_Median,,,Rise-Time_Median
,Rise-Time_Peak,,Rise-Time_envelope_Peak,,,Rise-Time_Peak
,Rise-Time_Root_amplitude,,Rise-Time_envelope_Root_amplitude,,,Rise-Time_Root_amplitude
,Rise-Time_Root_mean_squared,,Rise-Time_envelope_Root_mean_squared,,,Rise-Time_Root_mean_squared
,Rise-Time_Root_standard_squared,,Rise-Time_envelope_Root_standard_squared,,,Rise-Time_Root_standard_squared
,Rise-Time_Shape_factor,,Rise-Time_envelope_Shape_factor,,,Rise-Time_Shape_factor
,Rise-Time_Skewness,,Rise-Time_envelope_Skewness,,,Rise-Time_Skewness
,Rise-Time_Standard_deviation,,Rise-Time_envelope_Standard_deviation,,,Rise-Time_Standard_deviation
,RMS_Central_moment_3rd_order,,RMS_envelope_Central_moment_3rd_order,,,RMS_Central_moment_3rd_order
,RMS_Central_moment_4th_order,,RMS_envelope_Central_moment_4th_order,,,RMS_Central_moment_4th_order
,RMS_Central_moment_5th_order,,RMS_envelope_Central_moment_5th_order,,,RMS_Central_moment_5th_order
,RMS_Central_moment_6th_order,,RMS_envelope_Central_moment_6th_order,,,RMS_Central_moment_6th_order
,RMS_Clearance_factor,,RMS_envelope_Clearance_factor,,,RMS_Clearance_factor
,RMS_Crest_factor,,RMS_envelope_Crest_factor,,,RMS_Crest_factor
,RMS_FM4,,RMS_envelope_FM4,,,RMS_FM4
,RMS_Impulse_factor,,RMS_envelope_Impulse_factor,,,RMS_Impulse_factor
,RMS_Kurtosis,,RMS_envelope_Kurtosis,,,RMS_Kurtosis
,RMS_Max_Min_difference,,RMS_envelope_Max_Min_difference,,,RMS_Max_Min_difference
,RMS_Mean,,RMS_envelope_Mean,,,RMS_Mean
,RMS_Median,,RMS_envelope_Median,,,RMS_Median
,RMS_Peak,,RMS_envelope_Peak,,,RMS_Peak
,RMS_Root_amplitude,,RMS_envelope_Root_amplitude,,,RMS_Root_amplitude
,RMS_Root_mean_squared,,RMS_envelope_Root_mean_squared,,,RMS_Root_mean_squared
,RMS_Root_standard_squared,,RMS_envelope_Root_standard_squared,,,RMS_Root_standard_squared
,RMS_Shape_factor,,RMS_envelope_Shape_factor,,,RMS_Shape_factor
,RMS_Skewness,,RMS_envelope_Skewness,,,RMS_Skewness
,RMS_Standard_deviation,,RMS_envelope_Standard_deviation,,,RMS_Standard_deviation
