Time (cycle),Amplitude_envelope_Mean,Amplitude_envelope_Standard_deviation,Amplitude_envelope_Root_amplitude,Amplitude_envelope_Root_mean_squared,Amplitude_envelope_Root_standard_squared,Amplitude_envelope_Peak,Amplitude_envelope_Skewness,Amplitude_envelope_Kurtosis,Amplitude_envelope_Crest_factor,Amplitude_envelope_Clearance_factor,Amplitude_envelope_Shape_factor,Amplitude_envelope_Impulse_factor,Amplitude_envelope_Max_Min_difference,Amplitude_envelope_Central_moment_3rd_order,Amplitude_envelope_Central_moment_4th_order,Amplitude_envelope_Central_moment_5th_order,Amplitude_envelope_Central_moment_6th_order,Amplitude_envelope_FM4,Amplitude_envelope_Median,Rise-Time_envelope_Mean,Rise-Time_envelope_Standard_deviation,Rise-Time_envelope_Root_amplitude,Rise-Time_envelope_Root_mean_squared,Rise-Time_envelope_Root_standard_squared,Rise-Time_envelope_Peak,Rise-Time_envelope_Skewness,Rise-Time_envelope_Kurtosis,Rise-Time_envelope_Crest_factor,Rise-Time_envelope_Clearance_factor,Rise-Time_envelope_Shape_factor,Rise-Time_envelope_Impulse_factor,Rise-Time_envelope_Max_Min_difference,Rise-Time_envelope_Central_moment_3rd_order,Rise-Time_envelope_Central_moment_4th_order,Rise-Time_envelope_Central_moment_5th_order,Rise-Time_envelope_Central_moment_6th_order,Rise-Time_envelope_FM4,Rise-Time_envelope_Median,Energy_envelope_Mean,Energy_envelope_Standard_deviation,Energy_envelope_Root_amplitude,Energy_envelope_Root_mean_squared,Energy_envelope_Root_standard_squared,Energy_envelope_Peak,Energy_envelope_Skewness,Energy_envelope_Kurtosis,Energy_envelope_Crest_factor,Energy_envelope_Clearance_factor,Energy_envelope_Shape_factor,Energy_envelope_Impulse_factor,Energy_envelope_Max_Min_difference,Energy_envelope_Central_moment_3rd_order,Energy_envelope_Central_moment_4th_order,Energy_envelope_Central_moment_5th_order,Energy_envelope_Central_moment_6th_order,Energy_envelope_FM4,Energy_envelope_Median,Counts_envelope_Mean,Counts_envelope_Standard_deviation,Counts_envelope_Root_amplitude,Counts_envelope_Root_mean_squared,Counts_envelope_Root_standard_squared,Counts_envelope_Peak,Counts_envelope_Skewness,Counts_envelope_Kurtosis,Counts_envelope_Crest_factor,Counts_envelope_Clearance_factor,Counts_envelope_Shape_factor,Counts_envelope_Impulse_factor,Counts_envelope_Max_Min_difference,Counts_envelope_Central_moment_3rd_order,Counts_envelope_Central_moment_4th_order,Counts_envelope_Central_moment_5th_order,Counts_envelope_Central_moment_6th_order,Counts_envelope_FM4,Counts_envelope_Median,Duration_envelope_Mean,Duration_envelope_Standard_deviation,Duration_envelope_Root_amplitude,Duration_envelope_Root_mean_squared,Duration_envelope_Root_standard_squared,Duration_envelope_Peak,Duration_envelope_Skewness,Duration_envelope_Kurtosis,Duration_envelope_Crest_factor,Duration_envelope_Clearance_factor,Duration_envelope_Shape_factor,Duration_envelope_Impulse_factor,Duration_envelope_Max_Min_difference,Duration_envelope_Central_moment_3rd_order,Duration_envelope_Central_moment_4th_order,Duration_envelope_Central_moment_5th_order,Duration_envelope_Central_moment_6th_order,Duration_envelope_FM4,Duration_envelope_Median,RMS_envelope_Mean,RMS_envelope_Standard_deviation,RMS_envelope_Root_amplitude,RMS_envelope_Root_mean_squared,RMS_envelope_Root_standard_squared,RMS_envelope_Peak,RMS_envelope_Skewness,RMS_envelope_Kurtosis,RMS_envelope_Crest_factor,RMS_envelope_Clearance_factor,RMS_envelope_Shape_factor,RMS_envelope_Impulse_factor,RMS_envelope_Max_Min_difference,RMS_envelope_Central_moment_3rd_order,RMS_envelope_Central_moment_4th_order,RMS_envelope_Central_moment_5th_order,RMS_envelope_Central_moment_6th_order,RMS_envelope_FM4,RMS_envelope_Median
500.0,79.21264676398776,9.400545991357202,78.93405606993286,79.76850050171385,1406.7328289631928,106.22797597886554,0.177450365634232,-0.5463897185763922,1.3317033078311808,1.3457812922314698,1.007017234752706,1.3410481825631877,45.772434079352806,147.41311861961796,19160.98790990937,157503.28774901485,6693520.165023156,2.4536102814236083,79.21939807715128,79.86045203508068,169.38583081377763,61.81541434468071,187.26786024227732,3302.5046873839965,2207.678566901885,9.344853321933671,99.07426371713538,11.788881253012162,35.71404625053457,2.344938645726865,27.644203240073164,2207.164516635108,45415460.7847085,84028105191.20706,163432500093239.5,3.282894656605107e+17,102.07426371713537,53.11793949476521,10587649.300448632,14515963.90962722,8832941.771642778,17966956.501725335,316850729.1545198,158108747.2738312,6.190436110273415,47.2725566740538,8.799973844131491,17.89989692691313,1.6969731421840746,14.933319265413488,158033196.48484895,1.8934719900041488e+22,2.2321043376603192e+30,2.8592247948030358e+38,3.859589382370826e+46,50.2725566740538,7419805.443018147,60.60855328585795,46.18633606232587,54.31687584860183,76.20088168956305,1343.8171859121949,463.1194689276568,3.909171582277191,25.081387606057977,6.077612996846578,8.526253796674832,1.257262837642147,7.641156962506122,460.88146054632233,385145.8891531869,127782861.46507184,44163570582.98642,16264327214472.96,28.081387606057977,56.165153088552174,415.5821014137993,402.0171073135233,360.8840870091966,578.2095101157039,10196.835778315906,3582.093425790776,4.276145392014919,23.967707348038296,6.195147888650212,9.925883558560706,1.391324381268227,8.619460303041418,3566.267389451124,277834431.5083292,704404568302.9636,1879803826410448.8,5.272023063500141e+18,26.96770734803829,341.275623684185,88.30617705776741,36.5662412748806,85.139964356296,95.57756487550073,1685.5287159351517,224.32954455438983,1.6374604991066657,2.473381285080368,2.34709416217709,2.6348324931827496,1.0823429125799044,2.540360731590042,204.12980700034524,80059.30097347658,9785363.992902707,960415709.4623286,111452049013.33775,5.47338128508037,77.79928452707384
1000.0,80.21744555625013,8.51534770685669,79.99917789880618,80.66814562228775,1275.475373942851,110.97065899576538,0.9441994810236054,2.338387866757203,1.375644105113845,1.3871474921421834,1.005618479408218,1.3833731331914634,48.368934572914654,583.003169697584,28068.530070422334,494180.0794560924,16011126.333446069,5.338387866757203,79.74653014728854,46.68122249275346,18.73197113831936,44.531133412134416,50.29933673662885,795.3023444176405,148.83434370630283,0.6286841757391041,3.4733220412609924,2.958972291933207,3.342253661698773,1.0775068443084808,3.1883128966771825,143.36293677515462,4132.215562527842,797005.159976527,48740165.1222931,5300876037.411819,6.473322041260991,45.21255133706085,10786592.318308529,5698033.026935457,10276847.53788196,12199104.648187906,192884780.51510423,44546600.24676057,3.183106225693708,12.245176190501684,3.651628667139737,4.334656136773003,1.1309507477613538,4.1298121716484815,44029491.33034497,5.8887893394603016e+20,1.6070607587238369e+28,4.440440551924424e+35,1.3028686363421333e+43,15.24517619050168,9170327.4530057,57.174845804042825,22.368727820143853,55.11487151525704,61.39481229719456,970.7372168882462,146.9515986634746,1.3690232875119932,3.0448849728420075,2.3935507441919417,2.6662785310638903,1.073808095742225,2.570214166683134,142.84386862298214,15322.678559203549,1513398.090194449,93524897.44856024,8072694307.397966,6.044884972842007,53.29156438401422,337.44690788765047,157.6848965556606,320.24073597171787,372.4713978880873,5889.289902965931,1067.7176868195816,1.4175433710503087,3.345950038979172,2.8665763139761613,3.3341095210132083,1.1037925942770763,3.164105706296966,1033.3302826964134,5557847.779979455,3923349871.0081086,1974082405320.3767,1273698539326044.8,6.345950038979174,314.3403512509308,73.50068848237756,10.906383768851128,73.06714517732826,74.30545346269659,1174.872377568833,96.75738986941056,-0.5722251612624306,0.3511669866371139,1.302157316326526,1.3242256781018051,1.0109490808444874,1.316414742055226,61.578992438589886,-742.3509631595174,47415.372908256046,-985393.8130704198,41178772.31695233,3.351166986637114,75.0176051980504
1500.0,87.75972853155274,10.184226617929838,87.466311637064,88.34867528003566,1801.9664770118973,110.9575806759968,0.2479177374575488,-1.0183315193872329,1.255905426134557,1.2685750502022808,1.00671089984367,1.2643336816624675,47.591021494182925,261.87362718995166,21317.841075288597,70994.76377662263,6515466.715477455,1.981668480612768,85.90492996436075,63.95865865346316,23.88029526282903,62.04060393388871,68.27135943124402,1392.4679758376803,270.16898533476234,2.686023835603332,17.79327100707922,3.957281465983537,4.354712369058464,1.0674295063182555,4.224119001597191,264.06220706958885,36578.75662287421,6762099.905190297,1157984483.886107,218783737259.10852,20.79327100707922,66.95194596115358,12351995.394127754,8310909.924949979,11002093.193474092,14887679.940043896,303650282.1056307,37037321.81579101,1.0984815019410985,0.5609973709760903,2.4877833191571024,3.366388664818777,1.2052854186718387,2.9984889593950848,36766132.27659219,6.305775053796867e+20,1.698892716953081e+28,2.8638353896719237e+35,6.314661013205958e+42,3.560997370976092,10214187.562185984,74.10574350345223,25.970110470426192,71.86737580465848,78.5245684995823,1601.593228303294,148.7056428981662,0.5351107578643649,-0.4822496410174661,1.8937467055162127,2.069167563629435,1.0596286439785092,2.006668253604914,124.90238170966272,9372.707699074635,1145269.920792869,37321686.96827681,2984602566.184727,2.5177503589825334,68.8466883153234,468.1317258391544,198.23623183174,446.47726121139374,508.3747794176975,10368.851681877068,1047.5592356755942,0.4136871778677435,-0.5593956974442236,2.060604259077308,2.34627679096877,1.0859652344784043,2.2377445873760875,1001.4534328527466,3222709.518224091,3769029250.3486056,863163786235.1359,581471770815571.2,2.4406043025557764,449.38247369295584,85.77054873571473,9.556376319146468,85.4251361286945,86.30128248629192,1760.207693782743,111.53586085016636,-3.20976933497846,14.533035023303086,1.2924009659750153,1.3056562260800566,1.006187832051915,1.3003981260962016,87.19638466839567,-2801.2608645601063,146227.8430964992,-7159234.700466891,371671851.33956206,17.533035023303082,87.43759492145138
2000.0,88.84303651318595,11.455338985907272,88.45674881328816,89.57851264765083,2961.5149419654654,109.4845318651894,-0.4993451969016434,-0.5155679067246983,1.2222186842489464,1.2377182446111157,1.008278376824229,1.2323366710787724,49.10720075735141,-750.6279177065509,42781.78610679133,-666848.6728889381,22349334.94115054,2.4844320932753017,89.91651899095295,68.32681295201304,34.024888516165014,65.41803455900929,76.3298526575077,2523.506949176384,535.9790423075697,6.459874080474373,67.15924627527538,7.021879692503919,8.193138878608442,1.1171288306848923,7.844344250096896,535.4525737773098,254456.8726387333,94031152.3289504,36072818623.627686,14711307140467.422,70.15924627527544,68.39864985032024,14381815.38139028,9647596.332801124,12637343.45273535,17317988.586007085,572542236.3729364,52869328.06851665,0.866231539543189,0.4351418724527165,3.0528561562417824,4.183579267767159,1.2041587328687409,3.67612340073064,52786066.8479277,7.778419538912919e+20,2.975919459994171e+28,6.133504721071527e+35,1.9004683002272663e+43,3.435141872452716,12157816.241788143,78.45160771182077,27.8237839975012,75.51298083918019,83.23952011219802,2751.944359066941,194.94674038743256,-0.1061857984167182,-0.1603545419913197,2.3419974084985724,2.5816321673568967,1.0610301374315343,2.484929832203538,193.6214797656128,-2287.2572681228344,1701879.8348288944,1406699.4382841105,7101336417.018138,2.8396454580086803,79.17850997295322,517.6347323887164,202.85713479273852,493.65093835863513,555.9646871083247,18380.49861971712,1747.3739564865011,0.0246644143718933,0.7191634934522031,3.1429585313680923,3.539695401565391,1.0740482667048403,3.37568916294109,1726.2964273986188,205893.04161984703,6298054560.851679,2458460873683.897,3906752822217373.0,3.719163493452202,526.8305477224255,79.6115206763514,10.21934178713168,79.17438623068887,80.26474425900417,2653.596631717589,97.29860780381578,-3.278103859169802,11.561824975584788,1.21222099069855,1.228915214073384,1.008205138868134,1.2221674322660985,67.43265281258977,-3498.5773676217627,158820.8457885509,-6811802.548378403,298941316.63423574,14.561824975584788,81.07950483475427
2500.0,91.59591330575782,8.458549918401367,91.39454825632332,91.98564236356664,3954.312876482866,106.90496527208796,-0.5380521818691298,-0.6719145254708039,1.1621918652212455,1.1697083394106225,1.004254873866565,1.16713684501651,45.49318283265627,-325.62080589158387,11917.429399854274,-138027.0236033178,3474302.2085888046,2.328085474529196,94.18831212727969,66.94338891850325,20.334322961232026,65.84535988969054,69.96357631071808,3007.620141378083,484.3184787639669,7.389506651772508,118.76520650114898,6.922437421052354,7.355392689406456,1.04511554376029,7.23474694944971,475.857981511256,62130.463765890425,20818147.322861563,7690626302.781364,3034676349640.1104,121.765206501149,65.94415819881127,12474503.79200198,9221380.379547369,10762819.312330997,15512804.419606822,666870184.2007018,53243523.392296165,1.1014003083462274,1.0336943336401792,3.432230688411248,4.94698664422387,1.2435608404362222,4.268187679451684,53191693.08971802,8.636405086337742e+20,2.9166662264048524e+28,6.714789076815749e+35,1.9981270733090744e+43,4.033694333640181,10555137.87222461,82.71681834382277,24.26804199413543,80.6894795792011,86.20330561616588,3705.739641911823,153.8711130707481,-0.3235280208473601,-0.4812601695217222,1.78497926466862,1.9069538417299523,1.042149678168847,1.8602155662124675,146.8415026519578,-4623.981782191631,873619.3829956052,-13351538.404106751,1965884238.232192,2.5187398304782773,88.10625348040361,549.9470426904469,164.0460519901785,535.9874842274027,573.8927224991902,24670.712993761656,1285.270728529702,-0.3014671115096534,-0.316485365003273,2.239566173504693,2.397949143126637,1.0435417921180128,2.337080898265967,1248.6370337306514,-1330875.0657501533,1943421933.032676,-83002546253.79959,264631955725131.0,2.6835146349967265,596.2545969226506,79.87568885935777,5.745779884173163,79.75575970302113,80.08208074990496,3442.598159322256,97.49035810314322,-3.018828682165925,18.537474676261866,1.2173804325539943,1.2223613500286217,1.002583913747656,1.2205260385897982,61.69090976058002,-572.6449316143647,23474.19554018484,-847857.6726758452,32982579.65860438,21.53747467626185,79.93949717859475
3000.0,92.20725891039444,8.080554133328986,92.02213807656469,92.56065012125929,5572.889113548231,105.34398843119811,-0.8842977721586648,-0.2687532809870552,1.1381076979601157,1.1447678855662895,1.0038325747347967,1.1424695807687957,43.79119695376042,-466.5755353095647,11644.62504194916,-175458.7154550628,3614311.689585712,2.731246719012945,95.20390804275588,68.64394069820176,23.879810796918715,67.24721726986596,72.67899255132032,4375.854813490322,513.7246244642085,8.263712225644747,122.0101087764896,7.068405964783506,7.639343980623163,1.058782345711459,7.483903447834346,508.3662109159981,112529.87318637322,40650759.02185111,15304133172.17084,6048897035217.631,125.01010877648964,69.52921913975321,10477095.668436488,5928201.575191355,9468331.434080536,12037986.025979258,724782736.3500462,30303331.08180557,0.3025563968936174,-0.6191202438508299,2.5173090429252656,3.200493275164728,1.1489812069049956,2.892340782293131,30267527.59718148,6.303405217655563e+19,2.940555035599654e+27,1.5976289847371142e+34,3.8239884516764415e+41,2.380879756149169,10077054.14189742,79.48679567219101,24.01690074424517,77.22531618274604,83.03590914533041,4999.423767047501,135.6589407451828,-0.7721756282291228,-0.2642981268400488,1.633738248204773,1.756664102535487,1.0446503528432092,1.7066852374405628,132.37104099529276,-10697.1227610906,910199.5590502413,-33370256.412303757,2181077167.545808,2.735701873159951,88.16450794537218,544.6499688732162,164.99075327956135,529.3870474235276,569.0918530969781,34263.86686543716,962.116349776145,-0.6829424721141216,-0.3683067436580018,1.6906169795619832,1.8174157347798103,1.0448763162041996,1.7664856417169956,896.3185581146478,-3067347.205611994,1950175468.1287,-432458404233.0532,209144417135758.9,2.6316932563419977,604.623444758594,70.01772440423326,6.535009373073479,69.86054167360271,70.3220312437953,4233.94695097474,95.0974626637156,-0.2783640985407328,2.488004828950247,1.3523139332256748,1.3612471415985146,1.0043461400974012,1.3581912790351414,59.93633209944689,-77.68762892955749,10009.199467028864,-137826.53300524494,6052867.901074616,5.488004828950248,69.39718364789506
3500.0,89.85634788088852,8.399056057506114,89.65375823251908,90.24803264973916,4553.726499597862,102.19001105393912,-0.5678667267100397,-0.933976209940368,1.132323974867661,1.1398296409271207,1.0043590105550455,1.1372597870258403,40.00729454084357,-336.4634255597669,10281.51793729451,-116796.68485458005,2490678.834535406,2.0660237900596323,93.2258006715347,64.95581123135536,18.226250017990647,63.77130623808669,67.46446177389824,3404.1152847423896,468.46020973207567,5.741406330081723,115.02864342524558,6.943807115842452,7.345940319665165,1.038620879256018,7.211983052040483,465.09893944012447,34762.44013650227,13024969.324061418,4678905121.963518,1796285344928.149,118.0286434252456,66.1982767810409,8639053.49667807,5552381.047376164,7609310.236497785,10269478.108147835,518176332.7695993,29109419.11934178,0.646375406644135,0.0835190500440545,2.8345568112410966,3.825500369234453,1.1887272271316187,3.369514858373672,29057978.45821749,1.1064266129997069e+20,2.930648201418364e+27,2.8483412316797464e+34,5.07077764987607e+41,3.0835190500440546,8084439.492977903,74.40883444904668,24.590980986599654,71.86916473466903,78.36702744106695,3954.23588831142,141.15248442111746,-0.6964353157060414,-0.6261291825461717,1.8011718579892035,1.9640201043414487,1.0531952021736175,1.8969855591243696,133.81897497843232,-10356.388833955569,868081.4935012272,-29996351.64841684,1901063128.1165428,2.3738708174538283,84.10856485210999,517.8576532569652,166.99761304788444,501.3175214875615,544.1183251835048,27455.069806578143,1004.9940491814008,-0.6735011380323725,-0.6501414369497285,1.8470137884851885,2.004705612920286,1.0507102130505903,1.9406762512066504,916.8035755098462,-3136672.128444765,1827606852.6137488,-400506700572.1753,180826014034245.3,2.3498585630502724,595.383142284787,67.23148612950749,5.549923365293822,67.10258819075892,67.46016881495919,3403.8986710356035,84.39767586754499,-1.981703992869257,9.539124911237224,1.2510741871851043,1.257740992457991,1.0034014224378618,1.2553296189968255,67.52026949142756,-338.765943199926,11896.389472710856,-386088.44724862825,15276946.92970134,12.539124911237227,67.79298848139865
4000.0,87.19115668495651,8.270406576324257,86.98994314320625,87.58251782746567,4286.177824408482,100.35950431941492,-0.4279077892605065,-0.9631134983081432,1.1458851242107408,1.1536908830276988,1.0044885416983655,1.1510284773722976,40.15947031431534,-242.06431603953172,9529.591202006892,-90683.85593929216,2175802.1400491144,2.0368865016918565,87.91755183806016,58.5884489086487,20.6720454514416,56.86659860444638,62.12841385926254,3040.4861193170077,466.2274694439537,4.283616526461407,73.70013891115055,7.504255146446898,8.198617130012407,1.060420868218125,7.957668757725555,465.6615934994538,37840.85486558303,14006510.632293964,5106062168.976635,1996583565272.775,76.70013891115057,60.517181705182615,5205659.459149761,3269619.021312996,4611451.99506413,6147300.134950882,300841105.8736077,16065135.151433945,0.5087942833022882,-0.3807769945325558,2.613364371148003,3.4837476718025626,1.1808878746661078,3.086090297973094,16041825.603459269,1.7784173097930387e+19,2.993374686125417e+26,1.410602568073565e+33,1.4744118312527483e+40,2.619223005467444,4871159.524498451,70.01755086671429,23.778310167167312,67.59052983656423,73.94501649049067,3618.775730236754,154.64167420367153,-0.4586477681331438,-0.7247486076515286,2.0913062372980664,2.287919248119513,1.0560925878606169,2.2086130161571647,151.58503232102262,-6166.26589153797,727366.5748947281,-15393567.64196566,1481480164.361662,2.2752513923484714,74.84669495964249,479.407090603677,160.36828385118758,463.4537918919464,505.5186890575434,24739.446280031512,1418.1323815119997,-0.3697791337985688,-0.2415694621836017,2.805301588663072,3.0599218440371185,1.0544664419147125,2.958096384695239,1394.6043037295226,-1525098.3314422038,1824466859.2597165,85690438659.28645,425755204795540.7,2.758430537816397,509.7055626266482,62.88884291086902,5.671134448844894,62.75022612284882,63.14402844770705,3090.1890147705503,79.6140818735783,-1.285061758023192,4.5346503631971125,1.2608331117092249,1.2687457367518389,1.0040577235170267,1.2659492238776533,56.38251806003393,-234.3871671555619,7793.685525891546,-170763.5819314894,5399039.705616025,7.534650363197111,63.43822914317342
4500.0,87.48305397905902,7.648437649437061,87.3088016525545,87.81675997200239,3785.299648749008,98.65312811068966,-0.8142066787476717,-0.3005097604137945,1.1233974943068057,1.1299333657479338,1.003814521530344,1.1276827182359734,38.4463866476599,-364.2946995902383,9237.887820303364,-124842.13536090596,2450945.594043744,2.699490239586206,88.79152074163991,65.70316870503821,17.938334667563474,64.28534648509522,68.10793073151042,2935.75994328648,153.85562820182608,-0.2353093168961497,0.625645393406538,2.2589972496498727,2.3933234650527715,1.0366003965085449,2.34167744469877,144.151484046715,-1358.268064349336,375416.8958551477,-2790755.430252769,905124876.849944,3.625645393406539,61.566717399492674,5316181.04923307,3680882.0321870646,4600676.167802299,6466117.342200218,278718910.9687469,20702967.00213041,0.6939177270331286,0.020740688426581,3.201761722914518,4.499983534381214,1.2163087152821934,3.894330687837859,20682733.11227217,3.460697820371213e+19,5.545248865614e+26,4.011372567576097e+33,4.769658507947891e+40,3.0207406884265806,4744900.932920314,76.76032556961208,23.030480608485103,74.61141148006848,80.14081743163499,3454.43179833943,124.00451644596104,-0.7407089639136459,-0.2789756917891766,1.5473328126674584,1.6620046985585752,1.0440395717050108,1.615476687022443,119.53261466914586,-9048.08358005759,765498.644225825,-28343327.041458342,1782282461.735611,2.7210243082108243,82.31008770357806,528.8151762847452,152.2328202261538,515.5783418156163,550.291124972114,23720.037071861265,1058.64506044452,-0.6419643663234814,-0.2680500744878635,1.9237909034025704,2.053315615850904,1.0406114454548197,2.001918832742582,1021.9368228746526,-2264831.003459909,1467256043.918527,-305667627687.92194,159406349730646.2,2.731949925512136,557.1671185987616,71.24386711530825,4.84954566220078,71.15291875934169,71.40872982117432,3078.03931727704,84.26576799285164,-2.1036945537132863,11.461743160669585,1.1800485487401138,1.184291093916486,1.0023140617226636,1.182779253917638,52.43861598052262,-239.9307111793673,7998.800329893942,-236630.9352803265,8249993.780373172,14.461743160669576,71.66341493412767
5000.0,89.63648443557484,7.689219434249128,89.46385605016398,89.96567921978405,4420.236393912624,101.72653494615882,-0.9340287186894036,-0.2070191730885393,1.1307260260620418,1.1370685261891569,1.0036725534951765,1.1348786778811428,39.61633424412821,-424.6264027320177,9763.307641740234,-144643.57847808037,2835953.4780574213,2.7929808269114607,93.11018929102644,70.8180614477637,25.535903024454075,69.01526214658209,75.2813401215305,3698.7584851638326,628.6737968192433,6.658931445983631,119.56035479286314,8.350991039802734,9.109199577971577,1.0630245813359207,8.877308753826325,620.0694057841872,110881.27342939464,52114057.890149534,25762473348.20084,13491864792450.871,122.5603547928631,71.07739643944396,8495904.114892958,5007355.993439825,7577805.170660603,9861744.306890786,484531895.6164039,24805576.133084524,0.2721130418055578,-0.6967194480779013,2.5153335313867244,3.273451292879053,1.160764548837547,2.919709991736066,24705532.419830877,3.4164475828447453e+19,1.448040516406442e+27,6.193180622549917e+33,1.287820010942712e+41,2.3032805519220987,8373476.342270235,82.36777444187868,20.940959690459717,80.71702121841172,84.98808186602203,4175.674721415368,154.18339602767975,-1.023955132650385,0.3370696132812938,1.814176677981031,1.910172026919524,1.0318122887488277,1.8718897903023524,145.11823376129388,-9403.091663294968,641728.8876605723,-24417562.628679875,1572612638.943488,3.3370696132812947,90.56545271553289,585.635523721504,141.2449195380349,575.4387558923734,602.4276669774274,29598.761676307287,1206.6918253301003,-0.8622606081713845,0.4453632895165991,2.003048484450357,2.0969943594758376,1.028673368632448,2.060482632033668,1116.5281589281308,-2429724.611215016,1371280701.976765,-263788844615.3668,173233774758288.44,3.4453632895165995,626.8270934783416,68.4174104780977,4.621217657234485,68.3374769845,68.57330172278455,3369.175963039332,81.62247071147917,-0.4837317133303512,1.6107085681992557,1.1902951828314667,1.1944027539967916,1.002278531788875,1.193007308243693,48.76815166514072,-47.73905664081629,2102.777729023369,-34027.70012954861,1129600.2293843534,4.610708568199255,68.80779078635567
