Counts_Mean,Counts_Mean.1,Counts_Mean.2,Counts_Mean.3,Counts_Mean.4,Counts_Mean.5,Counts_Mean.6,Counts_Mean.7,Counts_Mean.8,Counts_Mean.9,Counts_Mean.10,Counts_Mean
4.955915174091296,1.217025967945316,1.6761532269794044,4.320826796937708,114.15805964855356,16.4267401513949,8.02799765246014,100.63992256013668,4.895878117543125,107.14886480376168,21.40878038515772,325.3852805409334
15.094837393860242,3.699874089680071,5.118026078744316,13.098871003021832,345.96599108212064,49.79611628078376,24.331679872268914,304.49056229579344,14.935126952607815,324.13378708534475,64.92238043479283,985.7826432970252
25.83265993296449,6.319625568117294,8.783560315465339,22.30681331764587,588.8908357530972,84.79083236899812,41.423755268914775,517.4211064400537,25.611498009515856,550.7097288456711,110.57658891576064,1677.4919573794816
37.497139964669465,9.15514012353384,12.78942868638998,32.21267283966871,849.8750783458264,122.4225167273979,59.79761382678507,745.4552034826578,37.271897766728806,793.2726356699474,159.67729640526468,2420.3690732219616
50.35648805524378,12.270179472205104,17.234203297095203,43.02624351983655,1134.2787563635345,163.47958414368247,79.83697639967517,993.181544911219,50.211790257324296,1056.684737034985,213.23633715366623,3229.7686255779586
64.59160019781783,15.70679828128682,22.189021828356328,54.87582770781429,1445.2554871368245,208.43795935664065,101.77276972214588,1263.2209343675806,64.64878446679421,1343.7081402783535,271.853752478352,4114.783012585114
80.27430426767768,19.48026660901345,27.689943201082325,67.79081574757481,1783.2856484489914,257.394059451637,125.6509931332971,1555.8365442659604,80.70100832513985,1654.5916565428945,335.6293558803506,5076.9278149569645
97.35276420020392,23.576494369476823,33.73288904810326,81.6913784258914,2145.903100619625,310.0251861242683,151.31394607502315,1868.717188655312,98.3722826712438,1986.8425160503828,404.110618741453,6109.374257023972
115.64555557001724,27.95453975596444,40.277253650920336,96.38618208538644,2527.6382244940164,365.5805322701468,178.39672906366087,2196.9515046327483,117.54528465384398,2335.2014800367883,476.280923511003,7196.792167753728
134.84501131068433,32.53946410781355,47.2430242888359,111.57824223169682,2920.184023238981,422.9037551403212,206.3449448171976,2533.196867150048,137.98196292444365,2691.825693898727,550.5900092268558,8315.8224591322
154.5292239163769,37.22977814576184,54.50514134988581,126.87876626413828,3312.7775636317483,480.4858667485,234.43454773338664,2868.03356925356,159.3333429466975,3046.668762120661,625.0246083850907,9436.152299112591
174.1824480362489,41.90829405390511,61.911528365820764,141.8280610780663,3692.768785250113,536.545521738109,261.8113952524897,3190.4814108972364,181.1558831930668,3388.033598378661,697.2149472880259,10522.128049042623
193.2225966738424,46.44875062094028,69.29864063484021,155.92209802068635,4046.346955986812,589.1310102954786,287.53942096594784,3488.644412498341,202.94184840969,3703.261034687499,764.5707140069642,11534.799296205174
211.03379089436973,50.736353293703246,76.4930791167043,168.64286561798465,4359.369435018283,636.2375637292046,310.6647944703108,3750.439917781737,224.13800648328288,3979.507939254961,824.4398859770583,12434.255375499011
227.003585660605,54.68751255009934,83.29740601173806,179.4906900800418,4618.240993255912,675.9420255980302,330.2708643866382,3964.363545042373,244.18112312695945,4204.567355869883,874.3061278735138,13182.100330616478
240.6110099448376,58.1870964126756,89.60074115225548,188.01687455875745,4810.782501872261,706.6799046158601,345.5361764778463,4120.237706020451,262.55269824993024,4367.687494031445,911.9237110938784,13743.900205471393
251.4262643878245,61.16754116067052,95.3901104983849,193.857838595257,4927.035393396059,727.1863587649511,355.8076315242,4209.892583205853,278.82917954507286,4460.284991128431,935.4519930583516,14091.437390271803
259.0513676290351,63.56261389419205,100.59827245971115,196.93926531805312,4959.945402123243,736.3811543364042,360.6840547798765,4227.733244964803,293.0759192188281,4476.482686822688,943.6343603491888,14204.626279621403
263.69690584592263,65.31024658063122,105.14083038855507,197.41188645202013,4905.875545094034,733.7491943605372,359.9961650330144,4171.1566450206965,304.9105947768816,4413.595651491977,935.826468783504,14072.94470845112
265.67265756985216,66.38338890877415,108.93834115947642,195.3571161858437,4765.009572465228,719.2849976975548,354.2325504696788,4040.8038837814574,314.01895436998353,4272.378807330345,912.1138264138646,13696.366685527768
265.59540803742084,66.80272264246574,112.00035457656683,191.01009003171765,4541.817377521807,693.5626769484554,343.797644355093,3841.156245998169,320.2322484681568,4057.0646488401535,873.1985096018226,13086.310858968736
263.3683616093998,66.63029510139863,114.31509920560252,185.0187541580792,4243.743252243268,658.1245483709472,329.3568350404267,3580.2707957484545,323.5321647756074,3775.262958967776,820.6302137341476,12263.61994068848
259.9665123195038,66.02534628665744,115.83973989391328,178.11441245229537,3881.9497228729465,616.0979349992838,311.7390779759065,3267.698494437547,324.1574104620406,3438.694072943523,756.5992665666516,11258.950737489058
256.584044915032,65.02587885007298,116.52847540331182,171.1764303867913,3473.104932114149,570.8936610101671,292.40211784108294,2916.524497428642,322.6740267068538,3062.48904558648,685.8468454777312,10112.153095992311
253.45343900464007,63.651526149725065,116.3850378504538,164.86784746086605,3054.6373540685163,525.0600974926183,272.59948683404275,2540.975791890556,319.6590910861518,2660.900131269429,613.0384431627444,8873.60312034689
250.7218864305221,61.96092096782446,115.43954251227562,158.95199053462167,2646.313157277855,480.3195603236491,253.51030043140523,2159.525608195143,315.8996070078429,2249.761335872214,539.3651319070221,7602.314063558877
248.1532990465605,60.042874656256174,113.79728735574092,153.85452390658435,2268.8077368432246,438.0752678759124,236.1322479270086,1793.7437488322555,311.43744813763846,1851.999654517192,468.5633098948833,6367.43695825202
245.5874474296349,57.90188123139791,111.79966114031508,149.3315032486658,1936.860568195008,400.2570580137335,221.15616005681,1462.5494684213777,306.5755576869451,1490.6285137257978,406.93042745780593,5258.4473560411725
242.87703456267784,55.57765675140867,109.32350935324465,144.9419485880922,1667.823149899482,369.202601458598,208.1639087811389,1186.997890259366,301.3520716836697,1190.507477673155,356.06101200929214,4349.49320075316
239.7401124682592,53.2003457049689,106.3547298063495,140.52713768402833,1473.513018057501,343.9010204010207,196.97595240934115,985.4494501376544,295.79520376843067,968.9083318650136,316.08297098401573,3660.646726444537
235.94397629302813,50.85614839119252,102.98418869319347,136.02108326755325,1339.8716147659256,322.3030120370818,187.40840216780543,859.373530540721,289.4728786824942,833.7522804275347,288.9671077232976,3168.406435596243
231.3603837371693,48.765390254871214,99.50620498750018,131.414478768935,1248.4506842530348,303.6826392999275,178.86673321840655,790.7662327431822,282.1566460386157,772.4016525696953,272.3987878464808,2841.4400584803416
225.8759605936398,47.83006089488732,96.31609137935736,126.51079149180715,1193.2089202300265,287.2113786101707,171.25603357674234,755.5795731404039,273.58917604686246,751.4309087577915,260.90177641054635,2616.546557606809
219.3911548830229,47.0791294749037,93.35734448157125,121.27402888969873,1154.8323410457178,272.1595503873299,164.07578285384614,731.6980172053486,263.7720092814552,743.1952152865514,251.3294791448392,2450.33289537755
211.84613483313385,46.12254327366669,90.5308134888836,115.88195426375265,1115.4001444123692,257.87991103312623,156.70809216718143,706.4515956607337,252.87656621686435,729.7123004078192,241.45379906934008,2305.5696724745785
