Rise-Time_Standard_deviation,Rise-Time_Standard_deviation.1,Rise-Time_Standard_deviation.2,Rise-Time_Standard_deviation.3,Rise-Time_Standard_deviation.4,Rise-Time_Standard_deviation.5,Rise-Time_Standard_deviation.6,Rise-Time_Standard_deviation.7,Rise-Time_Standard_deviation.8,Rise-Time_Standard_deviation.9,Rise-Time_Standard_deviation.10,Rise-Time_Standard_deviation
0.9740069559933048,4.505731695174998,1.902807319692256,2.3419728305781464,1.886395941273987,1.7462323674420213,7.900716610780806,2.5936143214627543,1.8472244723281075,1.9518610953769016,1.364576444654238,1.4914997232367253
2.979029712825806,14.070126642898687,6.116253773859342,7.246301344828734,5.827821290782796,5.471197913932825,24.4711394912744,7.891191659630704,5.679787151443607,5.968261222056916,4.153413501386376,4.530279299311268
5.118531852992185,24.690409899873668,11.064876236015428,12.609930722504869,10.12570772469198,9.647816523573406,42.58976720370266,13.489321685541954,9.818897255641374,10.26277870345807,7.104468105689364,7.724834858575785
7.458507381177723,36.75743901248407,17.009694922632967,18.63449698539133,14.939825420166152,14.457712606414894,62.87843728616711,19.558065228222773,14.408840403297196,14.984504087312596,10.310714059645797,11.162958361715123
10.054599713081627,50.64366555511886,24.24048716931672,25.51408414690729,20.42341930807621,20.08837261466017,85.90395709381119,26.23732987127681,19.581324545078058,20.26857488219259,13.851213256950189,14.912603416149183
12.946636502818972,66.67175000044888,33.066334918519615,33.4242572624637,26.714923403004224,26.72502533414469,112.12629110039472,33.623583218896464,25.44585784418693,26.227941858172183,17.784904933892072,19.014086807873472
16.154361039053427,85.08502570790816,43.804787318782914,42.51311411608963,33.93150041871136,34.54300570350008,141.85262776298845,41.76007941620585,32.08189437171512,32.94759713104256,22.14639716220926,23.4746972373943
19.674666147171056,106.02190085133697,56.77005458235752,52.89477758350269,42.164917022943904,43.70092566586434,175.20079656304685,50.63130828536904,39.53326634479985,40.48169253508132,26.94414805715897,28.26620111355889
23.48058640825779,129.49601694209895,72.26064356216288,64.6455380450901,51.47975361483517,54.33475993539743,212.07484058528675,60.1622271707258,47.80505012317892,48.853656487880734,32.16118202295804,33.32532280725248
27.52202202970906,155.38198909295454,90.54685988594632,77.8025103318748,61.91380955875271,66.55296101284536,252.15479226534603,70.22220176700611,56.86308501282881,58.05772247542746,37.758193540557706,38.55720033510984
31.72828895239312,183.41312461641263,111.85773084193396,92.36443542610044,73.48038525530491,80.43238310206964,294.9017584776521,80.63355615144008,66.63583498770942,68.05606813389338,43.67879658454373,43.8418716140332
36.012246422960644,213.1887365184818,136.35998728076757,108.2940737508922,86.1717970204309,96.014963521715,339.5783724134147,91.1840242420904,77.0183129926988,78.79802727282436,49.85542148942993,49.04321808587797
40.27569536893124,244.18486503370403,164.14401666297024,125.52157834617304,99.96304013632104,113.30499474360488,385.2826008643901,101.64223927849058,87.87733824368192,90.21695088415846,56.18586476584956,54.01957554365688
44.415737595813,275.7757018277629,195.24436529924964,143.94764570710896,114.8150132315315,132.26688663318623,430.9691591528781,111.77495953437362,99.05477664265467,102.257866629533,62.562517796874566,58.63561347706661
48.33145211768889,307.2369651244585,229.5799112066223,163.44595271563404,130.67550184332518,152.82272488810116,475.54255322124607,121.36469620518096,110.22167033136353,114.88317068769682,68.90490329022549,62.77439136872981
51.930333504965546,337.81977798941926,267.0308813852356,183.8628701444664,147.44836787136444,174.83949314153986,517.9063724700535,130.22607309866248,121.00718734591965,128.04121454251566,75.13419043978273,66.34806197191722
55.12673230933343,366.7971071278827,307.4294239099813,204.9106003000492,164.70576214453126,197.99958509970256,557.0097133086811,138.2193364084773,131.32349122538594,141.68331826755042,81.23007142609075,69.3065881554353
57.80940436507354,393.4651358682424,350.52123044167104,225.6435807339928,182.45594606848616,221.71781323959573,591.846079357082,145.25912240243684,141.0854753961562,155.79055461343572,86.93612669436118,71.64348645570254
59.92609675519412,417.1396646814122,395.89719963008025,245.6082308116073,200.7577895626284,245.9265366737687,621.6745922536539,151.3154936571601,150.12371247294527,170.3379130245863,92.16076999887645,73.39691530161393
61.30249473199135,437.24085049348383,443.1147228780159,264.3728259468261,219.5824944409864,270.4778777181286,646.0336511074262,156.38787339662474,158.2654360510373,185.25744524247727,96.7931464497138,74.64531370431307
61.80050955823999,453.4189999433752,491.7344325313288,282.34763758655333,238.78174475287867,294.9104444979731,664.723971451766,160.48301849311758,165.36881937662176,200.49347617627112,100.80581726658252,75.49668180092706
61.427663553801935,465.4391915239779,541.277622933835,299.2878455942495,257.6583119410569,318.8888124678465,677.7111826011399,163.4375175852172,171.16677120586922,215.91601117820625,104.4927584359725,76.06090439008341
60.355017778075485,473.2488261955301,591.2041197262055,314.5979330218253,276.3322695534291,342.20323971079,685.368449508564,165.11847814692356,175.71245699319977,231.392626110165,107.93223476246888,76.15627379611318
58.770055336804944,476.99364077934587,640.9397635389295,328.6076290462386,294.8033117094293,364.7066261885349,688.3560626373408,165.31010331913205,179.01405837524212,246.7786085642846,111.22062389761004,75.80228311857272
56.561024033003314,476.95698959057313,689.8688505814833,341.72060044344204,312.77020624726225,386.1784913780319,687.4372260784593,163.9048275361887,180.9552513802805,261.92534912437435,114.39888308067988,74.79889432824437
53.79446060088244,473.5363801638605,737.4383990641785,354.1609303715408,330.15845002524577,406.2916923710776,683.3992981588708,161.13570285619926,181.69819201276533,276.6342203991853,117.76317895103216,72.50811413183716
50.6336090596447,467.217202846371,783.1076119883825,365.56173083314826,346.6826935210776,424.6049875905508,677.1284352656031,157.43304091762877,181.2757324987264,290.6319479138369,121.25735623948516,69.81749527927035
