Amplitude_Skewness,Amplitude_Skewness.1,Amplitude_Skewness.2,Amplitude_Skewness.3,Amplitude_Skewness.4,Amplitude_Skewness.5,Amplitude_Skewness.6,Amplitude_Skewness.7,Amplitude_Skewness.8,Amplitude_Skewness.9,Amplitude_Skewness.10,Amplitude_Skewness
-2.842764929302431,-1.2026533673810205,-0.5326046583755268,-3.7634737060724857,-3.659344049471978,-3.941863934918926,-2.7493695554464064,-3.343503206498357,-3.8166329427709376,-3.6467679687999546,-2.5539617737815994,-4.141578061370453
-2.7641146439080377,-1.0766945123155247,-0.3931035403900573,-3.6760271524082593,-3.622298222106754,-3.8481210775082606,-2.590790896872253,-3.3204715883977527,-3.73014229974334,-3.6060799115967175,-2.443623400201721,-4.135008158044418
-2.670582534560204,-0.9391815189702708,-0.245930167710504,-3.562106635964232,-3.576823706708593,-3.727440775414925,-2.408997169883151,-3.292382466649052,-3.6219850822793496,-3.5549027994757063,-2.312177288394568,-4.123979002925997
-2.5585334901388097,-0.7898356997665704,-0.0925537021330223,-3.413734239929461,-3.520385623533628,-3.571843416243394,-2.2015069487706125,-3.257545540490528,-3.486248657688876,-3.489705383403904,-2.1556811143401577,-4.105969041733598
-2.423319813133791,-0.6288663415535699,0.0647388651451163,-3.221381957210919,-3.4496905926053767,-3.3717359743678834,-1.966602493132004,-3.213513150008232,-3.3158575417082536,-3.4056490637624792,-1.9700383318905907,-4.07712504709269
-2.259055755902541,-0.4572380417234319,0.2226815175384454,-2.9744353644564803,-3.360486120926315,-3.116339948317015,-1.7040615206484249,-3.156668699287511,-3.102848983132201,-3.296121538993978,-1.7515974749309628,-4.031448563120152
-2.058439467792276,-0.2769787926334738,0.3769660455103622,-2.662592473369453,-3.247328227236311,-2.7950908723249515,-1.4161130172030338,-3.081572289891473,-2.839270828507324,-3.15218888542642,-1.4982110865696754,-3.9594347810659984
-1.8127985527117187,-0.0914788695409423,0.5223633773193884,-2.278887578608808,-3.103409023518883,-2.400682269295749,-1.10846356990256,-2.9799103757888625,-2.519091207189981,-2.962107128514857,-1.210827588678404,-3.845927284995411
-1.512638005616183,0.0943283521388147,0.6531252170889837,-1.82476880754314,-2.9206062989518333,-1.9342738367429584,-0.7910146762933398,-2.83889275011356,-2.1414543530620627,-2.7113016570796096,-0.895410348033703,-3.666845699749023
-1.1493046034694137,0.2740711039487716,0.7637134262044497,-1.3163507325303374,-2.69004025891506,-1.412219646958638,-0.4776620747528456,-2.63907587884744,-1.7149051592293445,-2.383682780286383,-0.5645167525999074,-3.3850284879836576
-0.7184406693464472,0.4405139401915878,0.8497968983977875,-0.7885571955687091,-2.40355404423076,-0.8708901919743887,-0.1845257355950195,-2.3521974645919888,-1.2606199881437596,-1.9657330084404272,-0.2371301749568768,-2.947392925954344
-0.2256552154925847,0.5866912770059394,0.9092968306035456,-0.2912691084609721,-2.056433127465883,-0.3631698356486761,0.0734954480981305,-1.9414664812917244,-0.810990037385519,-1.4545714081899794,0.0645588946524884,-2.290909754478679
