Counts_Standard_deviation,Counts_Standard_deviation.1,Counts_Standard_deviation.2,Counts_Standard_deviation.3,Counts_Standard_deviation.4,Counts_Standard_deviation.5,Counts_Standard_deviation.6,Counts_Standard_deviation.7,Counts_Standard_deviation.8,Counts_Standard_deviation.9,Counts_Standard_deviation.10,Counts_Standard_deviation
8.13929255916797,0.8305252826432576,2.076828486238416,2.336150873776221,106.712218013798,13.858780621641303,10.412634397728644,48.83833218625392,14.645923317805504,124.89519022065942,34.04238884373279,317.4644406775884
25.21683876075033,2.584223802688591,6.459096715672873,7.227426600862085,323.94878261734,42.22143418499697,31.72203475742404,148.21746894759286,46.15455846241516,377.9672446089103,103.29718054391512,964.5573446738766
43.91508578077994,4.521324991335196,11.292254291893135,12.56382060477185,552.3270135932312,72.26027877621154,54.29468013673,252.636050661584,81.90218102342509,642.4080105420677,176.04538283991198,1646.117155248734
64.89880025618672,6.715423031944223,16.75115885163045,18.527219660319787,798.398300137756,104.87895005263536,78.8161363291021,365.0903115935991,123.53684997151022,925.6735285294872,254.3759546957221,2382.0207510363384
88.78394237742364,9.23753502349494,22.99972576357305,25.28335113280949,1067.274848105296,140.8147050197801,105.84903524243904,487.9241182766513,172.75801406643544,1233.44528462126,339.91786582329905,3187.997024873556
116.08696006032662,12.151160494046856,30.177064032627065,32.96718599577915,1362.0403873900273,180.56047177484444,135.7756168433801,622.5653328900786,231.22905440379736,1568.969865423497,433.6534353765662,4073.8551279542407
147.17978082012812,15.50780593444535,38.38464423635669,41.67024495246445,1683.307677801612,224.30434198330843,168.75327773137707,769.330630912622,300.48589312675955,1932.5785717026088,535.7785450594824,5042.133452528142
182.2534880806297,19.34251603143732,47.67536914389679,51.43080109405342,2028.9571073022207,271.8909835685531,204.68656477881927,927.313783597548,381.8458888662026,2321.424027846612,645.6204775052313,6087.270324047358
221.2940167078297,23.6670559104729,58.04139290948923,62.227541242615054,2394.077532669781,322.80801495953057,243.217558376871,1094.3659602821483,476.3216768723024,2729.4556958153,761.6203180895525,7195.364894164187
264.07164249951245,28.478624785573267,69.412255224814,73.97742211538974,2771.118078061556,376.1987259347369,283.73155630526907,1267.1712049551943,584.5439783544952,3147.6389348941107,881.3819191415322,8344.549750804144
310.1455093386935,33.75416616977436,81.66039160179214,86.53761549454488,3150.2425148270536,430.9007222128745,325.39117519924315,1441.412550616867,706.6982338361363,3564.40539254956,1001.7852881072262,9505.96582756121
358.88291404107883,39.44522210396301,94.5962256059474,99.71153444369004,3519.869848492723,485.5076478729542,367.1827704060256,1612.0185703605707,842.477847724664,3966.305982439046,1119.157366426013,10645.269483003249
409.49237479084087,45.4811824141798,107.97131015049652,113.25858425304126,3867.3598108347287,538.4505231069337,407.9784058268646,1773.4740238692873,991.0559647942652,4338.823718829027,1229.4888962463845,11724.586554234778
461.0683645294674,51.76090294620471,121.49529441913371,126.90709244455664,4179.805931713119,588.092985832542,446.6016969317927,1920.1746827032864,1151.0844270590812,4667.292398805335,1328.6816174845655,12704.782415417962
512.6435885897254,58.149363761516405,134.86561397427354,140.3691612025681,4444.881588629161,632.8232759383712,481.9079516285861,2046.800852156654,1320.7100162973925,4937.855361030827,1412.7932348139784,13547.895601110073
563.2241953976336,64.55146827371365,147.72199918633763,153.3557563197302,4651.685792293703,670.996932609146,512.8613740926442,2148.6847546614345,1497.6131551500978,5138.389853283588,1478.3184837344577,14219.571346765622
611.8651193859705,70.84618221642859,159.66737943760853,165.58716005970774,4791.530104233703,701.2275439692161,538.593479885172,2222.147294753746,1679.0675981836268,5259.377893972292,1522.443366735565,14691.336032676483
657.7587016520146,76.93942462243326,170.38247161107665,176.60930180998457,4858.61904608948,722.6892526666506,558.4400324525748,2264.7806277823465,1861.9660921140653,5294.685136441242,1543.2230593886654,14942.55588035175
700.0619786911772,82.76431409160884,179.61967248568527,185.9461285508937,4850.584184482209,734.857379888955,572.0244560567295,2275.652587352932,2043.0710180630365,5242.062819751265,1539.784754670054,14961.956694751972
738.1548609279467,88.25765211954536,187.20471601312605,193.4437756894968,4768.74683470103,737.6574563680798,579.0358603585521,2255.392907688228,2219.0277541480496,5103.476145568777,1512.3944556630263,14748.546523294726
771.5755672455858,93.3530403552938,192.99868424265864,199.00978822680293,4617.909657748877,731.4246812634103,579.7140703208736,2205.2417754442104,2386.4587937889974,4885.2065675498725,1462.5738674870715,14311.352034248648
800.3539367558483,97.98711878759332,196.96751620096708,202.3741236738616,4407.478878709902,716.522056652939,574.595212291759,2127.3068394950446,2542.06129801462,4597.670952560082,1392.9179886967122,13670.689739441905
824.3502160877146,102.0622898709044,199.1868741252381,203.4142285247367,4150.095035161772,692.7779135566817,564.506021565109,2027.3902757281755,2682.6993383417725,4254.2069265459,1307.0890040096288,12856.026410267958
843.521127883419,105.58734168726193,199.8197024032968,202.04023418097728,3859.079618761064,660.6398035680596,550.216386600661,1910.3971958901395,2805.502141630127,3870.7994177906426,1208.5224302639551,11903.85113921885
858.194430698135,108.5890827233425,199.07375574559185,198.42243138829008,3534.5347327047643,621.9090384795265,532.7871610102061,1783.0487039378831,2907.986839694794,3468.393533566076,1101.7285916232454,10853.333741103592
868.6917048225048,111.07147996483845,197.1971395525665,193.43235355872287,3197.4377128629826,579.3078118130479,513.3221671283726,1648.2538400970057,2988.1124589502324,3069.4736895294977,993.7632654281572,9744.785024597346
875.3534881830963,113.02183162792976,194.42780030549736,187.26967758687823,2869.74185528391,535.6783779452606,492.8438873434639,1507.20031649006,3044.412340081841,2692.6957016234624,890.3168035905899,8615.81413505019
878.3681442427599,114.47085243280328,190.87456255721304,180.5312814667178,2576.6497889593625,492.9383457241142,472.186110179054,1366.200637554546,3075.938535634062,2356.9609636735745,795.2147720876115,7492.391385413567
877.7892136526667,115.42538020586622,186.90675948766028,173.80799358308448,2334.5295957320595,451.81332392145697,452.2433900198703,1229.1516828771128,3082.3232883780324,2077.710080296163,713.3244253922953,6411.395689170624
873.6036034964172,115.85050293784876,182.79792132547604,167.30183535742665,2150.499719349973,414.5421125740013,433.30457462203583,1099.9494029329223,3063.7566215517254,1867.2099511610984,647.5843332473247,5433.426471384164
865.7315833039074,115.74185022392494,178.71140785530693,161.0079990551462,2029.5060509872128,382.9342790309036,415.25333559168615,987.30283799953,3021.052829254312,1725.78421976986,596.5343698533411,4618.072437103889
854.0842162092268,115.04833814016442,174.64236120759995,154.793738924655,1959.057755510652,356.5795367910109,397.8996696095036,898.5679605788414,2955.5205919494365,1640.780204386577,557.3921490836855,3987.0780864740136
838.6644874240538,113.45160977864144,170.48421327561778,148.66594135785084,1908.524550925396,334.39734464675433,380.7496185995172,831.5045999218082,2868.967582591716,1592.3358308428565,526.813802785665,3537.3494974267664
819.6430064224409,111.42520498757214,166.35043993383675,142.533262255916,1857.606180638024,315.02478991387784,363.577380120224,778.9372037618548,2763.645458154382,1557.367552431024,500.2678120755581,3218.244831162135
797.3996900248658,109.19301353380617,162.34759278093642,136.19907402074787,1794.0983199159314,297.34659347051803,346.41107408453905,731.4874430333135,2642.163766163625,1519.5529321255754,474.2785486121371,2969.469023590096
772.5157362553133,106.78815211521736,158.38619712505772,129.76476048876407,1711.9507409534936,280.89492153477426,329.29702710799853,684.555606440416,2507.458048363603,1471.079277266403,447.21645903356034,2743.119879952132
745.782513069242,104.24853343948024,154.50106170381494,123.36311351140267,1609.569802290777,265.352159639196,312.3744923429029,636.202628826257,2362.6732142130054,1411.752144749645,418.8414959887324,2514.953852598037
718.1933480095339,101.63021064989086,150.7244150292283,117.01803337342356,1490.3761767404524,250.5267553739757,295.89568422276216,588.2528641387444,2211.00294147476,1345.5906986811465,390.0606032315258,2281.9433439585578
690.8698737920736,98.98666115928236,147.0413376933268,110.6136663252026,1361.201032983337,236.44868788362183,280.1278824075736,543.7226673564869,2055.589578586484,1278.3498159460091,362.3589433911273,2053.867793996843
664.923648450182,96.34049189214667,143.50378527786555,104.19548442435976,1229.8350601682623,223.12928059277047,265.2651836710873,506.31925558372166,1899.4331478575568,1215.143204681444,337.18563411438333,1846.704121775278
641.4273181019623,93.69081528314842,140.09634580896008,98.0394795691942,1103.5992943468757,211.0656528064154,251.34502305444903,478.1881473107567,1745.310755529319,1158.5592665550942,315.4687064157298,1674.874727225562
621.2989743681251,90.97840065212556,136.92506293504707,92.24131993530746,988.4578238265192,200.4127140455151,238.3357441792629,458.6485235465731,1595.7159558919464,1107.9384590827558,297.13568033003776,1545.0718991952976
605.2226223630486,88.21390117492791,134.04749221083054,86.81772978878044,887.7118994091762,191.0092122648812,226.05257200343613,444.9166236491443,1452.8163507567558,1060.0909001868706,281.45359640680715,1446.9611610633665
593.3818734669462,85.42654379225436,131.44010255857506,81.73345979073433,802.0391070923765,182.4053118909166,214.2391557238845,433.2189583963537,1318.5005720680183,1011.0194134127232,266.9746216286966,1360.3194991387013
585.5028120744,82.6174587072056,129.05120579921336,76.95156691440238,731.6455541976231,174.1136009406019,202.71228302627432,420.9227333517951,1194.463303724251,957.6747696420872,252.1721319063124,1266.2107968841462
580.9538923525744,79.75233505482477,126.88682792568956,72.3958017862636,676.9465403325542,165.8492201967053,191.2855995589097,407.74464738587386,1082.2725066065473,899.4334408576339,236.2947371680285,1158.613241576948
578.8356523711357,76.78919344855768,124.92910531633024,67.91352317277156,638.7291226025714,157.55114816671505,179.8197429970946,394.3907773166308,983.4335421277692,838.7377952999367,219.30070586543223,1043.708337249078
578.1117678725441,73.68805154620519,123.14592880595528,63.65404303830615,620.1350430496445,149.10037350248578,168.311896032085,382.2369115593785,899.3296593126834,780.62248888816,202.01180534251185,949.8132919987924
577.8140218633779,70.37690080399254,121.51973802452068,59.61010299935329,625.5890683595159,140.51407803356074,156.85050959699666,373.31564683201793,831.0731135081604,732.397286717338,185.94980327257727,917.3873723966848
577.5229887832,66.96209973077563,120.05711123513308,55.6387665944788,653.9834735282467,132.47788804228676,145.80940199245651,368.5394420801055,779.2222857790733,700.3242423955929,173.17546585732282,980.0014597469096
576.7749438070769,63.49850379887205,118.76257090704532,51.72075257764157,699.7191721519822,125.576412201419,135.65765547492543,365.883490135638,743.465781866798,687.9171151228927,165.92544428987446,1112.3810922224293
575.3073894461038,60.03041287112268,117.63245513331526,47.9052528689041,757.8870988128836,120.06250871809566,126.83846986765664,363.9086082638903,722.4596707945725,694.7888349605279,165.03055366869106,1276.1529694752464
573.0271770945158,56.61575771502478,116.64368093093124,44.25979121981664,823.8524104922219,115.9903487520232,119.49354321976718,363.29358892846966,713.9369454710229,714.4462363589313,169.54362388901623,1447.7459471245177
570.0300836637358,53.30947125238604,115.753083528671,41.026680851376526,893.2010532040624,113.10639652598398,113.58494622828934,364.2998055679103,715.0635805984788,736.0694644894537,176.46266081383166,1603.745398426719
566.5109164283319,50.16113184932639,114.9213990079242,38.39747507332466,961.342023134112,110.87053069545723,108.85909780928418,365.29225213074784,722.8666658671497,748.9155187152464,182.30724597721945,1722.845430819489
562.6842342785592,47.22507451448339,114.09569595056054,36.4901410237525,1025.680389989633,108.84572723329973,104.9852739432973,364.0068320755406,734.5888320262867,745.0405705913596,184.5758372595672,1788.9523908502608
558.7563291640641,44.533422366026365,113.21795553924584,35.37585453617723,1085.7324490381811,106.67527343457309,101.72032497030747,358.85861053255803,747.8890227538016,720.1178410205197,181.8723530729609,1793.321983315721
554.8786582715652,42.11028188903899,112.24379317869489,35.210878518399724,1142.7651976161817,104.20803052672376,98.99109773842405,349.7702127477499,760.8930751609124,673.7405792053671,173.94705555765174,1734.4789202844108
551.1528817187168,39.95052465882197,111.1051060275569,35.95194302775461,1199.3286342322217,101.47801876263124,96.90980616977726,338.39197254621934,772.1674367422859,610.2946152905346,161.72462169532108,1618.4140702540794
547.5780426566718,38.055380021644375,109.73988685631709,37.49244321363427,1259.2364006913406,98.98307506568212,95.76002139328445,327.7727858827352,780.6664343281176,539.9833027097773,147.53243106858838,1457.7631529538485
