Energy_Kurtosis,Energy_Kurtosis.1,Energy_Kurtosis.2,Energy_Kurtosis.3,Energy_Kurtosis.4,Energy_Kurtosis.5,Energy_Kurtosis.6,Energy_Kurtosis.7,Energy_Kurtosis.8,Energy_Kurtosis.9,Energy_Kurtosis.10,Energy_Kurtosis
28.17491957083592,21.688333574797348,28.81011694005242,13.428076660767111,0.0871435679430923,10.111920691256412,72.46325471196357,5.151005189386996,108.49585825735156,349.6776199810695,20.48326302026721,25.489363632451425
29.25479447435164,21.45041187807188,28.87577207223409,14.137836625926465,0.1563270532809202,10.626413896822044,72.70563275772383,5.256357756274007,113.05327546937282,364.8457601187552,21.53064542951384,27.261563238694247
30.3792025488728,21.176193548759755,28.91604481290455,14.901805205963852,0.2332164444364712,11.133124759650167,72.74756560771098,5.369333418984988,117.67690736621849,380.342136614044,22.617145552288346,29.171992480209155
31.54773054701699,20.87289271232473,28.93407308058807,15.726999575754306,0.3188005672338994,11.627708999217848,72.59051940760448,5.491354114376337,122.3624968335824,396.0905186046799,23.72424473858998,31.23372711331986
32.75543838379891,20.54936119684568,28.9331373752663,16.62004344912004,0.4141886568402797,12.106146173325602,72.23775431032979,5.62411718397213,127.10517923739502,412.002959537718,24.83472707073128,33.4608346370919
33.994556686299696,20.21654444902224,28.916734308994226,17.587032166389285,0.520636223323081,12.566503718291075,71.69498954427749,5.7696773457064285,131.9005946679689,427.9858728306413,25.932121702141856,35.86857533472003
35.254537356772545,19.88808072348711,28.88865319227561,18.633439236978408,0.6395707103667241,13.014661689418723,70.97023522281626,5.930555807232507,136.74550485872143,443.9449429594548,27.00150643023968,38.473537538368994
36.52285980877218,19.582038347953272,28.85306165321032,19.763924843749862,0.7726108495399289,13.454637631622546,70.07327968157722,6.10988465155474,141.63765281972087,459.7879172771256,28.031060770049624,41.29355017251126
37.78515965200148,19.31986656765282,28.814578465640263,20.98283029781438,0.9215728427233344,13.882976478009065,69.01827086586819,6.311686448089802,146.57525747090034,475.42536502906296,29.01282015729604,44.34734570862656
39.02797687688016,19.12678847237042,28.778385355384323,22.29241104488804,1.088461205463636,14.301755896470588,67.82502823253114,6.5409416267827964,151.55587819028096,490.77062117077054,29.94256766131697,47.65398206911163
40.23656049431271,19.034439336393987,28.750288884441268,23.69131692974824,1.2754421879738578,14.714473638100928,66.51875040266866,6.803857407184692,156.5769381304634,505.7400461933308,30.819804607746576,51.23202321173888
41.39290443345364,19.08125927349765,28.73698494070476,25.17633562441237,1.484874917990651,15.125530025141323,65.13430067040763,7.108366747529125,161.63347386482343,520.2536552443892,31.64823128597922,55.09846394712379
42.48255955992648,19.313489620986232,28.745890198228945,26.7405146569231,1.7218880809495412,15.54145868337364,63.7145661513721,7.4646084250961025,166.71768184869893,534.236325221486,32.435175691795465,59.26739688165996
43.4955516217709,19.7822505954646,28.785380430195627,28.37545039250398,1.990109490117056,15.968759093223913,62.31297849630933,7.885574908966351,171.81806900009397,547.619338681313,33.18807331286757,63.74834604011902
44.42830750107867,20.54441412668309,28.864392279868056,30.075869197999765,2.2906515746222142,16.414237809356486,60.99775952900709,8.387921939565963,176.9213044829899,560.3421906665716,33.916013801249804,68.54429834118822
45.28550954721452,21.659989509647005,28.99229928130305,31.819232955971984,2.624634399957705,16.885216778436615,59.85190255841,8.992960296828322,182.0113194186024,572.3586657567187,34.630797561830825,73.64941658719124
46.08553910076618,23.18919275975268,29.17883969682046,33.580529239975704,2.9981635222469745,17.389249291369143,58.97571345431006,9.72780057568074,187.07003147366217,583.6260790619955,35.34150008399085,79.04654546235568
46.862919106966345,25.187620820035608,29.433604497375583,35.33355923626386,3.413290908623482,17.935419248337098,58.483678713700414,10.628065201375474,192.07724113809263,594.1087808400489,36.06008546848451,84.70464016113239
47.64225353701288,27.70091925678489,29.765095162933832,37.0515374724804,3.861493898497246,18.53068932699433,58.499114671615466,11.737143525678,197.01141020993893,603.7833139022449,36.78432127906273,90.5764375283029
48.46237163904596,30.759511729438167,30.17999047881993,38.71618822588426,4.330526525567231,19.177427141221127,59.1538510504215,13.103933542521702,201.85154594584247,612.6355402228988,37.50824533102939,96.59677642154578
49.37723513355518,34.37046158074062,30.68023468527354,40.3240422533078,4.803054403360088,19.87392442979078,60.58102722776298,14.77890958692247,206.5726367489574,620.6594891345295,38.22488020617666,102.68854032198752
50.44448869032704,38.51483472840555,31.262019822230087,41.83825877383296,5.281025344190883,20.613884037248013,62.90120476560527,16.807588665546675,211.1464097098734,627.8542268756863,38.92555733180084,108.77956510140956
51.71426566153848,43.14543762664082,31.916578952484024,43.23148618156612,5.730776079223544,21.380550225419807,66.21058456385008,19.22863754128308,215.54481261384427,634.2190065263698,39.59876516208988,114.73351849264208
53.238660662217015,48.1859034267167,32.62311006835187,44.48633358441493,6.135621522198756,22.145444107423813,70.56512864875648,22.043234113304347,219.73962036158056,639.7536709701457,40.23140213386009,120.44712345942268
55.066088108125,53.53565094491256,33.34683422844988,45.58917282990251,6.470164267130038,22.87247876618492,75.96632540421376,25.25236554070342,223.70200603794964,644.4557599600855,40.810704430604304,125.82902238845368
57.2378007306572,59.07764602237465,34.04199564748454,46.533723826066144,6.679115446326247,23.51984390645013,82.35244520277513,28.74900494027448,227.40239878690963,648.3172151075565,41.32244050101586,130.71927604445463
59.78470973858297,64.69006511881108,34.654066061632015,47.32125467658364,6.785348967927003,24.049051947380622,89.59624780599954,32.197863799721205,230.8103469838185,651.3224949802081,41.75221937182416,134.99779774511623
