Rise-Time_Mean,Rise-Time_Mean.1,Rise-Time_Mean.2,Rise-Time_Mean.3,Rise-Time_Mean.4,Rise-Time_Mean.5,Rise-Time_Mean.6,Rise-Time_Mean.7,Rise-Time_Mean.8,Rise-Time_Mean.9,Rise-Time_Mean.10,Rise-Time_Mean
2.7103317905002333,3.373597339508724,2.034176206187282,6.682748278277517,6.377655464215945,4.843985810405793,5.519979643902516,6.130711369968233,4.075001379619747,3.681521972624744,3.076020605204796,6.34254294110453
8.20423499282719,10.301692534556691,6.212793922749487,20.2504745060341,19.31088713026752,14.673613643397593,16.787098150140906,18.5484273772698,12.339176650557969,11.146833396220607,9.30836763388789,19.184264772113465
13.948769970053997,17.674588925873643,10.664827294547498,34.469948117822035,32.84280847508867,24.96836645454046,28.68132692105752,31.519393308236783,20.986409265644227,18.95730597534946,15.821299186504994,32.590637424769334
20.10752267437307,25.72037844475545,15.533479296713145,49.753181581332136,47.36110108040342,36.025579955377374,41.55877951474261,45.41129761227313,30.2641409328146,27.33678604374765,22.80029836267731,46.94039771956098
26.805942103614647,34.62895597022429,20.941088054454625,66.42131436176805,63.16478622873216,48.07637026247316,55.70639610008715,60.50463250829288,40.36309644421297,36.45794121398978,30.38757847027629,62.52146332755283
34.11693449922176,44.53244763404181,26.97808173563469,84.66879178476212,80.43022163677074,61.259932312104816,71.311335873075,76.96033152494658,51.395650878290766,46.42280660226474,38.66585165719693,79.49744996905687
42.0502658284479,55.48941992209279,33.694169439702584,104.53669566937803,99.18600146205064,75.60454165305462,88.43731377442019,94.79611662466654,63.37989576555035,57.24847926720021,47.64645195630369,97.88324152339312
50.5465875782708,67.47403487031626,41.092396109482685,125.89726290014153,119.29863798676136,91.0166860325619,107.00959895786238,113.87338364795656,76.23059549955599,68.85904323863699,57.26272290779895,117.531482078807
59.47655066685592,80.37105166435977,49.12650956847604,148.45080196301203,140.47023075117994,107.27920087669357,126.80988026094676,133.8956382170969,89.75782671234695,81.0843914541164,67.36923715219267,138.13112944200702
68.64517560325635,93.9799180041938,57.7018630993321,171.73540424207297,162.24841939223302,124.05861340255328,147.48147872340533,154.41880681667172,103.67340027323644,93.6669855478471,77.74699575228811,159.2183133922052
77.80117984768795,108.01945133171247,66.68132211885492,195.1489070634515,184.04801767267685,140.92132288804143,168.54468132986273,174.87275440392494,117.6047807749064,106.27982435728543,88.11428625964,180.1988251605822
86.65069367744054,122.13668685944832,75.91068404595138,217.98170290578005,205.1829764901977,157.35757294932563,189.4213146691756,194.59266724377545,131.11558237136876,118.5379752221832,98.14298804831226,200.3808164219548
94.8744633656716,135.92974749042725,85.24339759491554,239.45817850378145,224.90662857327047,172.81159759534458,209.4688957091843,212.8581808789711,143.73141813145057,130.02922139995673,107.4946434447881,219.0155895856072
102.1473505978472,148.97076014040266,94.50441747502366,258.7842467556566,242.4574375913168,186.71591409345,228.06751221976072,228.9376568296421,154.97117935370517,140.32715146828005,115.83393191429596,235.3436241085304
108.1588849890884,160.8791966372905,103.6139512118929,275.197776825365,257.10767874843066,198.52793159526968,244.5975289531044,242.13456319066904,164.48070942436198,149.01701003199787,122.83970380588856,248.64277450855317
112.63349359848088,171.27710995203452,112.440768430547,288.0196626533794,268.228001811771,207.7752725387288,258.5060498332978,251.832852725851,172.0044257496129,155.74798405766688,128.24544515699904,258.2754696623449
115.35251133784058,179.79187266043203,120.80391316967015,296.7746179114697,275.50992365815955,214.212434090786,269.3851143380795,257.5382365988676,177.18998102042556,160.24810596763052,131.83014288764997,263.7316008706712
116.18890871939426,186.148803318244,128.5601731407719,301.65644708407734,278.5915744625212,218.0021867213752,277.14845891087583,258.912757350096,179.7855927722164,162.31836422993538,133.62250737088203,264.6641415754501
115.08187220564577,190.2830107641192,135.82324645769495,302.84299846982964,277.2454096334092,218.9975513115924,281.7230567873293,255.80137416769668,179.73122369192382,161.86893340570822,133.686183846,260.9152274064284
112.1407430678282,192.25751851488343,142.68301693869887,300.80810403287734,271.4677816032953,217.22446508892344,283.1080807760269,248.26112442874347,177.1217467649666,158.9609492285479,132.23879661691944,252.53092039626245
107.57846746435548,192.04014457101084,149.0767316247394,295.5568644067708,261.5187340975832,213.22417564915,281.4678871305265,236.5782084533555,172.18551159274656,153.74499220958373,129.5800253148384,239.76382253285212
101.64575906514808,189.79073653747207,154.90590289528865,287.8385653194865,248.395925101944,207.5802748611481,277.38281550713066,221.393271122111,165.4387420840671,146.552700923778,125.86458902471604,223.06728198464992
94.5961027503416,185.7206359772339,160.1442644669192,279.02244444891414,232.5815667870224,200.80903464551977,271.2282599016147,203.5888381887637,157.23424579171626,137.8042132483972,121.45990259022489,203.17893952161785
86.74656304931126,180.0202004904952,164.8002107802014,269.64241275305534,214.688383499292,193.32464172674028,263.3038424963762,184.3873518014596,148.05360982305743,127.991381819287,116.7295516170825,180.94087067885783
78.68079952603972,172.94785205586578,169.01300041467402,259.9920792042688,195.7199965563996,185.5944369278604,254.10832982894203,165.20670828650097,138.59410542566232,117.62592681389025,112.03709331133828,157.43345336105597
70.92194437067693,164.80578264302025,172.7017809057222,250.3180886921185,176.3268686471679,178.22153673202163,244.3338700768827,147.33789851024832,129.22038379213777,107.30874244019512,107.354176531447,134.14614655614577
63.9180528393801,155.8944905606529,175.80704782278792,241.42162359814515,157.3515268065723,172.03393530781116,234.39160450850127,131.8347957466326,120.38873381850424,97.84559571000436,102.81376078116526,111.95598311006871
