Amplitude_Mean,Amplitude_Mean.1,Amplitude_Mean.2,Amplitude_Mean.3,Amplitude_Mean.4,Amplitude_Mean.5,Amplitude_Mean.6,Amplitude_Mean.7,Amplitude_Mean.8,Amplitude_Mean.9,Amplitude_Mean.10,Amplitude_Mean
6.122567969378212,6.044389693514507,6.116145586089628,6.514481179266134,8.161444367895285,7.030590036837888,7.156472785359774,8.662935489299839,6.446905945343141,7.605957082082976,6.363038324360843,7.60559711811967
18.516489928801303,18.2811701337565,18.499677952494004,19.700095258991645,24.68208183433457,21.26314803160634,21.6440792639029,26.198603839053188,19.496706202940327,23.002237546198817,19.24430216318077,23.001549706371897
31.45139339948837,31.05377269625952,31.427985923906203,33.46021166265767,41.92327290508472,36.1182603618183,36.76551479189765,44.49875040092513,33.11530066125773,39.069957781134185,32.68872319305589,39.06980421849656
45.29155509224297,44.72227517255745,45.266398493404495,48.18404755582077,60.37105526225743,52.015201376401166,52.94722756114604,64.07864089504756,47.68627370778733,56.261508663324285,47.075228925756086,56.26335171085267
60.31320494972041,59.559994380582495,60.29274951289848,64.16752171353257,80.39429064068273,69.2723922470791,70.51289430515654,85.32884517492546,63.5004657183524,74.91978676866711,62.69136255754568,74.92588436281464
76.67220202228626,75.72156643671453,76.66507174514629,81.578854825188,102.20149484167383,88.07026789805684,89.64569902336243,108.46957384556582,80.72198159399507,95.23812252788387,79.69965140414686,95.25166932971712
94.38050872126836,93.2196981468206,94.39802306117916,100.43347498264794,125.80938454922229,108.42420896310396,110.36087362566224,133.51746796041616,99.36346684883466,117.23114179876336,98.11310872359591,117.25633272288724
113.2932736901217,111.91237813183464,113.3498601168036,120.58015123937008,151.02556216578043,130.16961868083553,132.490603903006,160.2673958519619,119.27254916385353,140.71880016435824,117.7817509112492,140.76079534396652
133.10757821001943,131.50159236249266,133.22101876409903,141.6994954676662,177.44675416153444,152.96036617522796,155.6825352473826,188.2907426920169,140.13055423103535,165.32489415016946,138.39123361623683,165.3896789748744
153.37307239539274,151.54377332365092,153.5645375808729,163.3150773727454,204.47292062494816,176.2808606375291,179.41214487206128,216.95050746873304,161.46373476335518,190.4903247229525,159.473850507526,190.58446314069195
