Duration_Mean,Duration_Mean.1,Duration_Mean.2,Duration_Mean.3,Duration_Mean.4,Duration_Mean.5,Duration_Mean.6,Duration_Mean.7,Duration_Mean.8,Duration_Mean.9,Duration_Mean.10,Duration_Mean
71.755187664641,69.19356471605958,73.01374545710344,171.67146037866954,294.1184494271485,222.61309136885103,170.5313496017898,482.1948543474436,125.17358026699102,246.1753428636064,128.59756326517538,322.1056436486639
217.231786394594,210.2862959562333,222.73402678021947,519.610248675602,889.8778912268315,673.663395173143,516.3343946977443,1458.3872146698266,378.78443483028695,745.0197029301344,389.3868051997134,974.354088035912
369.37797336808825,359.049051928915,381.79748680738913,883.4088292384074,1512.186863662473,1145.0261062188167,878.1273007588505,2477.3194640001307,643.8032968766873,1266.4041029617588,662.2373820882113,1655.3963643181537
532.5242085761139,519.9403297208648,555.1507011753653,1273.4939385802084,2178.6668606842,1650.103372763792,1266.274401989901,3567.709928008422,927.7672715231012,1825.1593399784613,954.9368033074068,2384.4844850269064
709.9923638176482,696.5530788597366,746.9165179030039,1697.8957239229676,2902.758200240246,2199.150901490116,1688.7659856206958,4751.349753329535,1236.4462724390185,2432.6444405451384,1273.474862031861,3176.265118836214
903.713132491757,891.2396474535948,959.9833054979596,2161.3363669069954,3692.154572259853,2798.095538453807,2150.314724062068,6040.559424783526,1573.1818997326104,3095.446871131662,1621.3555653024164,4039.07603293588
1113.9441037718043,1104.8303142979205,1195.6773517108602,2664.5594345668183,4547.655847571283,3447.6672470310223,2651.6903430571856,7436.336708038031,1938.403596245117,3814.430861666718,1999.088985743496,4973.702246736656
1339.1105669256572,1336.620227339737,1453.5436778443402,3203.949811271932,5462.527690442494,4142.911638472721,3189.342639333375,8927.339241356325,2329.358804275744,4584.206511313964,2403.901602963971,5972.686383715294
1575.781356983695,1584.0779127267156,1731.257608815644,3771.475778522386,6422.419809106415,4873.122934902986,3755.343894609156,10489.783905365384,2740.0792969661907,5393.062501359063,2829.689033989002,7020.250759703222
1818.7835506650283,1842.880407723473,2025.0218869291048,4354.961061409887,7405.857293872233,5622.206531657509,4337.659526919529,12088.281332620052,3161.5886886978524,6223.372569549036,3267.217901509453,8092.843285005152
2061.4493841362337,2107.238965402673,2329.5929753985256,4938.671615753563,8385.274957088277,6369.451199494211,4920.784104583099,13677.55739787689,3582.3392778923767,7052.4518826009535,3704.5647017947504,9160.275776197012
2295.979759421624,2370.317186488388,2637.936952736348,5504.177838911702,9328.529429829929,7090.661287483623,5487.037544160872,15204.950767942824,3988.851646150572,7853.808809875907,4127.76514402459,10187.381694299836
2513.900198223529,2625.1562886637653,2942.964172092132,6031.43762082941,10200.78980707509,7759.574921762935,6017.12638248305,16613.519952494255,4366.6081442809655,8598.707794546874,4521.631926970116,11136.083197134436
2706.5784687168098,2864.1521449719057,3236.9517647181387,6500.026383995029,10966.679009275284,8349.471104426064,6491.363023312339,17845.549275419595,4701.529821418041,9257.94037216444,4870.686252456216,11967.72662952468
2865.769414039771,3080.7033902357484,3512.473820467629,6890.437780967076,11592.525776429791,8834.857878407434,6891.110940229525,18846.21806023839,4979.52918295257,9803.748326339408,5160.161554804094,12645.53172869035
2984.150656495244,3271.2641384200515,3765.403695830361,7185.455383956538,12048.596505631069,9193.129761542426,7200.117430898708,19567.182997203152,5189.189415879687,10212.871986048944,5377.717870019932,13136.985866041823
3055.813526210091,3432.122061574573,3993.093936009962,7375.46946809499,12312.793049850525,9406.08679143928,7404.454064835443,19969.829922423258,5322.777702783014,10468.623183744883,5516.024514362524,13416.023889184173
3076.6900406599448,3561.829722310969,4195.544068931343,7456.108177255933,12374.337672849775,9461.30581073543,7498.354872175316,20027.985741904533,5376.285187820776,10557.1411335797,5570.099766091637,13464.837703162631
