Counts_Skewness,Counts_Skewness.1,Counts_Skewness.2,Counts_Skewness.3,Counts_Skewness.4,Counts_Skewness.5,Counts_Skewness.6,Counts_Skewness.7,Counts_Skewness.8,Counts_Skewness.9,Counts_Skewness.10,Counts_Skewness
3.82189170010112,1.483326669810051,3.1738788225916257,1.5316871446087938,1.0065836910274284,1.025233357858406,2.642759450081111,-0.3630563530501711,11.57466037896108,1.0476379062822736,1.2168170768577216,1.2450678840254306
3.908713441547371,1.5458792690351435,3.198597423087296,1.5482958172917645,1.0153787167327089,1.038459477845844,2.6710364382495304,-0.3433246636195344,11.830785498976851,1.0500353379311247,1.2191558722267837,1.2560064808135027
3.996147321650605,1.6103545275142266,3.218306039164589,1.5656965064818036,1.0243101586429086,1.0521768838176806,2.701439224874588,-0.3223480743361669,12.08771561147644,1.0525819246357546,1.2217389978129722,1.2672501386285668
4.084816548957468,1.677049401725603,3.233702117587337,1.5839363054689584,1.033432364670567,1.066435072738266,2.734272021782597,-0.2999449348525145,12.341762462577623,1.0553214099722488,1.2246225591786986,1.2788545757687435
4.1753569516387286,1.7462123185818756,3.244837721492724,1.603054724598212,1.0428109620128911,1.0812948849316508,2.769880954379492,-0.2759135995945591,12.589454917413647,1.058307112306885,1.2278766794292997,1.290883852901864
4.2684885038954,1.8181211321187,3.251671619794628,1.6230737517001863,1.052524053078122,1.0968327447369317,2.808663254900005,-0.2500260295607033,12.827807135506328,1.0616044660005866,1.231588759805457,1.3034143327950778
4.365018175711854,1.8930860026506289,3.254158382610568,1.64402122512473,1.0626628105465608,1.1131419789099848,2.851080135157999,-0.2220201902625506,13.054514591336757,1.0652945695032467,1.2358675750143326,1.316537215859908
4.465874697619454,1.971724331415157,3.252272907928556,1.6659416217881238,1.0733334864327089,1.1303342732209,2.897668000719557,-0.1915910400724144,13.268009787059428,1.0694792718000268,1.240848683892901,1.330359750017595
4.572098281851691,2.0559492929827687,3.2465344923550314,1.688921530704072,1.0846627928990606,1.1485409607960215,2.9490566886604204,-0.1583787287064198,13.467365571954284,1.0742877233207149,1.246701522618074,1.3450079736168796
4.684822669046102,2.145282126320956,3.237232572446915,1.7130761329651902,1.0968040097695717,1.1679133562843569,3.006088429133116,-0.1219569910182466,13.652203570816155,1.0798855936831957,1.2536392794608824,1.3606295477536838
4.8052383770205385,2.2396113937918942,3.223983655268024,1.7385523019465556,1.1099477980202594,1.188622704610521,3.069656819036688,-0.0818192709758387,13.822561229209528,1.0864876395083982,1.2619322455286046,1.3773980070914478
4.934538401795618,2.3401430418229063,3.206848167193467,1.7655192084409563,1.1243320787928994,1.21086417424444,3.1407508828055306,-0.037363533056337,13.978831891314108,1.0943754096065197,1.2719261533782833,1.3955186378372386
5.073826477775544,2.448392696827272,3.186346305952237,1.7941455736254943,1.1402615643712717,1.2348580505682585,3.220453483093652,0.0121249316809624,14.121771618975574,1.1039223717737945,1.284067432360853,1.415237319166191
5.223975195598878,2.5676236143187765,3.162862188414145,1.8245578406326468,1.1581300823630882,1.2608519006054415,3.310040675967343,0.0674900706745268,14.252342905525031,1.1156297281336562,1.2989392387335077,1.4368510751034709
5.385442070147312,2.703023204559667,3.136018563143779,1.8568021332234803,1.1784512142857635,1.2891932520144147,3.410880746283272,0.1297225904941184,14.371794827331426,1.130180380349303,1.317322244642955,1.4607224659814713
5.558424225424527,2.8526744759154097,3.1077922116438983,1.8908232366879407,1.2018976652526427,1.32132818794353,3.524380058923079,0.1999721439072336,14.481627193127228,1.1485236500518754,1.3402481753198725,1.4872981274002826
5.742054109535254,3.01826150556406,3.081281440917685,1.926587730973632,1.2293524686396315,1.3583940839415043,3.6520874108135017,0.2795439653744108,14.583509824155811,1.1719827603074098,1.369086396002205,1.5171329432661111
5.933402249565015,3.198565817021958,3.057097509500593,1.9712346891522623,1.2619666942100425,1.400076347598223,3.79588369225625,0.3698645928219271,14.679860187582031,1.2023967016374977,1.4056920718848942,1.5509196104538088
6.130775305149622,3.390352961181039,3.0354130508799533,2.031365385808156,1.301211892846471,1.446659007415121,3.957151541965862,0.4723953434108062,14.771387139559442,1.2423858884775971,1.45254649258381,1.5895218939724949
6.329140756071784,3.591040345240142,3.016688462640666,2.1026285041742048,1.348968318951295,1.4981950160154778,4.140560081333095,0.5885069805962011,14.85870272280287,1.29571200093746,1.5129956429160996,1.6340263547689575
6.52167029148251,3.799088038351782,3.0030881171206927,2.180835657148094,1.4077515710759474,1.5546270169592205,4.346665193744196,0.7216142587510308,14.942277452846342,1.3677898357317988,1.5914170488183208,1.685971052841193
6.69550660352723,4.0131710938005645,2.996416468201774,2.268730929102194,1.4793092218838546,1.6177071225409103,4.5749800429404495,0.8766958957791938,15.022362737222249,1.4664059777849767,1.6935490831808746,1.746892051660307
6.8424271255309375,4.2358938010102,2.9979730551623205,2.365327436801272,1.5644221831625706,1.6942499204861967,4.822379414786799,1.0517487691831948,15.0989022919746,1.6032409575897126,1.826392048413342,1.8186193484426592
6.956658523733876,4.460314184177925,3.008669260490715,2.470441287917612,1.6628374512955884,1.7897269161599625,5.087379147972276,1.2478868266362633,15.171384702517448,1.7953957107778789,1.9998004151192903,1.903296409233316
7.03294299338648,4.678727860068542,3.029264992876985,2.579340738019037,1.7878468759405532,1.9030211350714072,5.36168478198908,1.4590382477310788,15.238608994482236,2.0639620273629693,2.225295983281901,2.003923845196726
7.071096829353578,4.886557640001319,3.059320147877191,2.6691007343809408,1.932800347792506,2.027231092044879,5.6325583138507564,1.6886117096052164,15.298941356524365,2.432734938867442,2.5087393354809424,2.1234293452349524
