Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
501,16.63314915,13.90622602,2.570801384,10.30906068,80.81343713,37.28393445,0.873681735,1.452223907,1273.786429,887.2386829,1.378300367,1.536966724,2.76266E+11,1.00769E+11,0.831801198,2.328423295,36.82169882,22.93523392,0.642706619,-0.209033411,12.08500889,7.699035364,1.570809362,3.213885419
1001,24.27256513,35.88897184,5.415677862,34.05735323,82.95170754,40.29718195,0.934387785,1.058619564,1778.300883,1580.531065,2.00737134,4.082393724,2.97847E+11,1.16581E+11,1.345421058,2.837722303,47.08840389,32.05340883,0.952682401,0.386100716,15.60711475,14.14117924,4.06835226,21.78486433
1501,21.02332339,37.37937242,4.940503696,27.13737982,50.00635221,31.7683449,2.41874579,8.897673821,1464.717885,1921.288755,3.444771961,13.31545367,1.79982E+11,93278392281,2.38944046,7.709545264,32.36553059,27.0973164,2.031144483,5.169694078,10.66640989,10.72790746,3.861677966,19.83835529
2001,15.36501511,35.86371083,6.227487348,41.74333683,19.84670569,27.23451791,4.351984624,19.63053212,811.2221288,1566.579314,4.321334573,19.12970644,57991087561,45403743495,3.092581806,11.54049517,14.66895708,23.35015181,5.270683992,31.5570204,5.930788326,9.8616639,6.007845353,41.29690878
2501,14.32192179,33.50223781,6.488866606,45.98137859,10.40524059,21.12707068,4.792161583,25.2602305,505.247862,965.8838043,4.324779418,20.45588071,35532355623,55127820472,2.789843803,8.217708643,10.12040487,24.46726175,6.294908997,43.33443598,5.348310985,9.90252941,6.068646206,42.10028594
3001,14.79106985,37.47713678,6.524013821,45.16544515,13.53236184,31.92829853,5.482991138,33.84396916,587.7713372,1170.612461,4.734939391,27.33654144,71130027978,1.21762E+11,2.296456867,4.672973438,11.81356877,25.53384734,4.816356324,25.52489231,5.30933599,10.25189658,6.215053579,43.34888268
3501,14.12238018,32.69867936,6.377572571,43.86504644,15.35608827,28.69578668,3.40767186,12.69536583,731.1398894,1233.742316,2.807523913,8.343720423,1.81716E+11,2.83229E+11,2.355893917,5.319912732,10.02505468,15.00303344,3.499107193,15.14514175,5.501114793,10.45781409,6.08330105,41.64238419
4001,13.61271335,29.64100378,6.20431511,43.00613855,16.47806308,29.92874144,3.983018425,20.93765275,876.5733569,1555.86874,3.46757774,15.77641334,4.65725E+11,5.6609E+11,1.885004653,3.05834554,11.09894396,17.22386187,3.141822729,10.87069939,5.482891959,9.213070005,5.840346243,40.12754055
4501,14.13315184,35.51263807,6.538862447,45.47855255,15.90184618,30.01214708,4.837794846,28.7721878,923.9867522,1881.162291,4.572758962,25.44802487,9.7598E+11,8.41965E+11,1.530568866,1.707734592,13.78972075,25.60699563,4.70623206,27.31771633,6.168405988,11.32681557,5.639072163,37.17337756
5001,14.4961661,34.85602377,6.298299897,42.53249825,18.79856166,45.25501526,4.892727552,24.61438981,1073.32128,2912.698362,4.985288068,25.33566035,1.34351E+12,7.71204E+11,1.251426091,1.205444061,25.13814523,53.41836368,4.62168591,24.52414059,7.574497913,17.93407515,6.246497354,42.06837146
